,MGH258,UKF248,UKF251,UKF255,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8812bulk,ZH881T1,ZH916bulk
IGFL3,,,,,,,0.05574705523638493,,,,,,,,,-0.02315319077907014,,
BMP1,0.08344253405128904,0.019525302418900943,-0.020564275739630586,0.003308209664498417,0.0036628249690850135,-0.02336117222507,0.15842313417173756,-0.026318209408530534,-0.009966513460255313,0.019666114552811947,0.050238287354535865,0.038187960120422984,-0.0702037677301938,0.03745066273725719,0.016130760328473322,0.047881412281375865,0.005796269785305514,-0.004662912740695228
NDP,0.02497143051741664,-0.02947543689522503,0.03947375634094389,0.047797642331095,0.02096696310359869,-0.008735645809343195,0.054915709922630916,0.05315498538024125,-0.0005352286658894131,-0.05053405491324618,0.037669593003318444,0.08658313469838146,0.05070025362998145,-0.09513513375613192,-0.05122070564364089,-0.0201966628524705,0.06124483671902944,-0.00553432459947962
TNFSF18,0.12891246270909953,0.012884714231342596,0.026260657318723533,,,,0.05834004026623096,-0.017588837731426565,,,,-0.03803703635498833,,0.02480399517793544,,-0.023877476972638166,,-0.02886114326632066
IL36G,,,,,,,,,,,-0.019128755107599253,,,,,,,
RTN4,-0.004100917756060617,0.040356464449691314,-0.029233861379999174,0.01288560466033105,-0.016944287661973832,0.0168152934923434,-0.1739597190495333,-0.004968635640388676,-0.0448002819794637,-0.18982924129232726,-0.060031838125406786,-0.07411828737249773,-0.040282277388928624,-0.10306800507421846,0.005354637493446995,-0.04072451508897986,0.10145706672069416,0.011955900176511623
HEBP1,0.025821687559478262,0.05036424380284316,-0.04480065484490422,0.08034792064179298,0.027440371152445228,0.01122201582774992,0.08029477570343742,-0.022754035698004785,0.0004723792991223465,0.03307462244641086,0.0006907043256509047,0.038986416923467396,-0.09975278837810653,0.017323290879144745,-0.0589193945293865,0.010295673937637589,0.00764370528353749,0.039867748752577384
WNT7B,0.08890562359845111,0.0023506979419416056,-0.027916124084533502,-0.023117118539495482,-0.0035911293041160333,0.010036001996525285,-0.07862201699102021,-0.007617861218174259,-0.008018485854678127,,-0.005157480209241402,-0.04187506440631872,-0.0896318488026717,,0.06541488566744505,0.01932845816457846,0.021248478129084397,0.008468380204055003
PTMA,0.04383076898687231,0.016373987141496463,0.00020643816879519994,0.0537914326797279,0.011233556865358917,-0.02140630741633945,-0.07038836375864656,0.014474708644511256,0.050222991865946615,0.15695238546902443,0.011593640544359901,0.06905958005171216,0.03373384167198095,0.09119512940623913,0.09083847321361688,-0.049052411891554584,0.0388481507934897,-0.0943985695590124
FASLG,-0.021188868886446152,,,,,,,,,,,,,,,,,
CEACAM1,0.03270348231943015,-0.020242235758751306,-0.021423946193076953,,-0.03286519781947231,0.04279615363932652,0.056584733665777064,0.022605827728721137,,,,,-0.06749502983220972,-0.03565898927089659,0.07870861902507068,0.06848079459086609,0.06060974187317419,
PDAP1,-0.03388636551382899,0.015481798677605317,-0.03768330508277826,0.06030037264717643,0.017996861863415904,-0.04368890367336084,0.09836001210334482,-0.009146978241916423,0.017949605619755133,-0.013408811998221746,0.050655595799933555,0.0419089800324298,0.05650304271791493,-0.02851591409376416,0.07515395895695726,0.013909649757005113,0.0505378522730716,-0.08614666024428462
QDPR,0.06454142668564788,0.0023072218504055363,-0.007737064758696061,-0.05638875279987849,0.0072522626115628045,0.03868017746354821,-0.14437850899550175,0.014935779805070644,0.03816042058607396,0.09891876699868271,-0.06040059997347628,0.044184477032819115,-0.001818272078516323,-0.0568660456005898,0.1313816957518977,-0.022196097547352318,-0.035123635926186926,0.030709417185714235
POMC,0.0331430989864013,0.0351723758671527,-0.038066934353071805,,0.020422778288232756,-0.012148856179293503,0.017344690011861088,-0.020408696411023018,-0.03892823441414978,0.06601568416703056,0.015123912075107344,0.0031737473225348306,0.08633636885555068,0.09671605961214837,0.05177720461690857,0.07162701723758028,0.000722628780232572,0.08731536168317726
CCL18,,-0.025260397658968252,,,,,,,,0.06760967169807038,,,-0.05787345944964713,,-0.019372846780657496,,-0.07962240844376366,
CCL17,,,,,-0.020629191233673537,,,0.0030508550320505388,-0.026859605178845846,,-0.017474660855965295,,,,,0.03428960316475633,,
VEGFD,,0.07294589891198172,-0.030685504648838315,,0.016588984375083264,-0.02599751821066632,0.03493523648891504,0.10505692420262848,0.010248512232800523,-0.03493190786216925,0.017229159331122828,,0.08591671030813627,0.05401495369784252,,-0.0015774647805221432,,
TNFSF13,,0.09094413338324407,,,-0.003397802995683762,,,,,,,,,,,0.09071433393809136,0.04453553234574304,0.03310220776648293
WNT5A,-0.06961364790618321,-0.00812271384785053,-0.025797631806606425,0.024369961402115285,0.03941419606927259,0.008308775073337767,0.11599311569941381,0.01914204785322531,0.01327453594436841,0.034991719103546017,0.08951395983772298,0.015373345989285346,-0.05630245363828563,0.07470522795583462,-0.004385611538743255,0.03218282990812111,0.05298448129563907,-0.071185359000831
CXCL8,,-0.0231032170841026,0.019367142888225226,-0.08491810955563586,-0.04910873417522135,-0.08156490240632429,0.0969428938369098,0.005373811268999715,-0.01834721493666481,0.11885671779913262,0.02673058403767265,,0.0008557170651096526,-0.056757310812058474,-0.03410894688098142,-0.04334047109877685,-0.0741005752704242,-0.05158284083576069
GRN,0.007414126510221564,0.04142057901404711,0.07404198920906059,0.1084171236165314,-0.037189767383250326,0.03296337715222659,0.12298191231132907,-0.017967510218823483,-0.0346394722945087,0.13405942548793068,0.012363154590791835,0.047586685948269675,-0.0645426280243783,0.0937170029340648,-0.08871801341107483,0.05260871124891312,-0.003681592848365711,0.02564796202846373
MIA,0.03791994053275074,0.019419247925963133,0.02131618270332201,-0.024921146905575214,0.029061024186226376,-0.016476671548833647,0.005428180897189065,-0.043116884036258254,-0.009517701740150594,,-0.025649039541518415,0.13750377995296484,-0.05856747106357356,-0.04528624307055911,0.03239343585881022,0.07552850440174298,-0.0499177702453939,0.040771360362985946
COL4A4,0.012514007942094387,0.014536522895411906,-0.01421962191397679,-0.0379510015058532,0.06403231542984406,-0.00567214158938194,0.0575356122628918,-0.010333380061309197,0.009868061120190352,,0.0023259866740544415,,,-0.037958926874114896,0.08787898298427838,0.020971154509549818,0.04175805309376678,0.022795804678186822
TAC1,0.06702796568365657,-0.001735056417272206,-0.0323581774494889,0.1317750736733169,0.08808074907928629,0.01605975930498661,-0.14627324290768645,0.019449612086532047,0.008930714236932482,-0.03841782064654179,-0.04409348833450505,,,,,,0.008923404053779904,0.012928257606037823
RARRES2,-0.08866967079486404,-0.0031714817152838017,0.03987791167674593,-0.11343320478283003,-0.00890419508762063,-0.043120591364172095,0.2104263772440247,0.08404048897435246,-0.007442433889164816,0.015952555671684843,0.012725943002056733,-0.025935818717194702,-0.030796785520320592,-0.059755589114760095,0.005291155991769752,-0.09295301501290018,-0.040122320315637776,0.006936346838053373
FGF7,-0.029669146423981527,,0.06495783689651038,-0.045130401818159624,0.020366510054536418,0.09747912828120059,0.12490631061026274,0.04028387571792652,-0.0106514309121046,0.05142317849425744,0.010762753743753734,0.021709634402174518,0.03221811004926353,0.040077603070403374,0.020533716378797327,0.008398716763308601,0.06949131415378561,0.011930269384914104
HBEGF,-0.005805995313590581,-0.02532977472819696,0.010566322941591893,-0.008794271208531676,0.03283786140877545,-0.001317414037566753,0.10134906528748386,-0.02708812669884109,0.0031946585284514852,0.05474402242251392,0.022481341043787153,0.08646325379762292,-0.12471677763809233,0.03233713142390858,-0.07508888523561748,0.0382430006669351,0.0003663423643179716,-0.042811406236154745
CSF3,,,,-0.02656425843908865,0.022452826256224575,-0.05555931827123166,0.001218831436454043,,,,,,,,,,-0.033146930243460895,-0.02249448576716913
PI3,,-0.026575003359911746,,-0.05456518849266903,0.0007740787066963984,-0.035722949589599595,0.0552616836399623,,,,,,0.029297144070790176,,,-0.025936938537448353,-0.07479550335066014,-0.037418488809579126
PCSK1N,-0.07374067908963478,0.05663021530195477,-0.03916719806860228,0.09018340746110651,0.017921807211985687,-0.04065493549608265,-0.03845404200294221,-0.008298075100379063,0.0004085094765206143,-0.1643521662804382,-0.06894739512271121,-0.018500938002217734,-0.045055910811644284,0.0378888474649639,-0.09068300407836646,0.0317827030450426,0.01794289978757945,0.015980579499979067
NTS,,,,,,0.1024100576157079,-0.042711112560256316,-0.004470494946002743,0.0036897984994515966,0.03898025371375512,,,,,,,0.0405372933549912,
SFRP1,0.058330030828792914,-0.02811218117980919,0.060210292097493165,,0.04385443921373951,0.0318724652354308,0.11093514108307719,-0.016399606413733895,0.07803409032366973,0.0938929084316837,0.0012881348146232428,-0.026632056373732,-0.019354899947524828,-0.059225041735894386,0.03486707672932921,0.07225526517459299,0.00587166901734819,-0.04604992690942333
CXCL13,,,-0.05180493992408565,-0.019288794784010715,,0.022837865801734247,,,,,,,,,,,-0.001246325400907268,0.005048132074145426
MICA,0.04337703274986544,0.013131530816224571,0.01083191249764814,-0.04137812584916248,-0.02135886681621974,0.025810903798460197,0.1155829862061568,0.026563738694463757,0.007031205847034046,-0.027043801989825613,0.06005463407899229,0.06558367264212424,-0.006917008811383362,0.03270573035185782,-0.04983833136720886,0.0447440966125581,0.041643926376756096,-0.021691580609062323
TG,0.08697980251818417,0.016110232014576384,-0.029132250233671532,,-0.0022333122478506513,0.06529607771067475,-0.03283403746341044,-0.009568383338379748,0.08297192723312155,,0.04988690934337264,0.1110608507955647,-0.054967252183829446,0.09477953390234521,-0.03154352388895703,,0.001050396977515674,-0.0011820079154162117
ADA,0.0005361229586662768,-0.004170611303623713,-0.0028115767693823353,-0.03255791207181149,-0.01857694832936629,0.01668548494411379,0.08331186618038343,-0.033987155160013174,-0.003319894347969857,0.125089219167247,0.04464585912662181,0.07416513808217556,-0.006883893159159028,0.022166065861033434,-0.02138556747207649,-0.010305072390928836,0.013467228990599742,0.055362808772844184
LAMC3,0.001963344653435404,0.020960737351276838,-0.0004959568889923139,0.135853679155873,-0.02172659713982829,0.026881767829268956,0.14895573658064376,0.011683140572915054,-0.01221814651595814,0.01554091292485354,-0.011928688329710675,0.06640009786014098,-0.021622888160475622,0.15890754174828609,-0.07625763306998759,0.0008534941303418252,0.07186201089058726,-0.03506384504703168
CCL7,,-0.01606774685304671,,,-0.025438724770304576,-0.03896852039355237,,,,,,,,,,,,0.0004704583965074558
