,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.020940964819556564,,,,,,,,,-0.01754461429646003,
BMP1,0.02490260496400318,0.08585870221362255,0.06106100430718046,0.12868666798578834,-0.026190192149607345,-0.002000004879353823,0.06632528306706444,-0.043142718290345765,-0.040815422102060496,-0.01071959276401439,-0.05841494091600279,-0.13727217511451095,0.11152760944490588,0.11000031449324474,0.05380064842430391,-0.006669126780930633,0.05682673133127699,0.0822939674575881
NDP,0.0916105865961476,0.04653798924554804,0.024654577831772384,0.024722302519937674,-0.03842542842918338,0.04529126430428873,0.030135651260349113,0.012379211923172793,-0.021762822791442694,-0.018824819495518487,-0.04106620889530225,-0.04959736938242077,0.05029932469730688,0.04748795166811381,-0.030198647398438742,0.056339028539961866,0.017383489065182483,-0.023062613007630982
TNFSF18,-0.021544822991690443,0.007459092361883321,0.011184604861314314,,,,0.019272414684184006,-0.031096704092050287,-0.02595977129131548,,,,,,,0.0007058200677296659,0.10408356202208638,-0.0017045867097754217
IL36G,,,,,,,,,,,,-0.016810357635882848,,,,,,
RTN4,-0.07440428044991315,0.09296613559719555,0.004343636982050614,0.03805897764994571,0.005217699285675836,0.07766439465001843,0.032250118811325876,0.07653438514426812,0.02541354132596108,0.037683868930653945,0.1796384114116299,0.17551661361178847,0.02597657533670131,0.02327268919102773,0.06611695557165277,-0.07037491997666,-0.00349762279347857,0.13686387536549632
HEBP1,-0.02225599999030811,0.011949795923863093,0.00974025889048762,0.012903918431263678,0.0504166258109602,0.008879833625644495,0.04486882841886068,-0.03133574222188062,-0.00384729713810022,-0.0566840220312283,-0.09118836041671019,0.03054298471238707,0.01876433095732783,0.0544380976662794,-0.01417406056562553,-0.05156323160783438,0.00729497778633867,0.10530361507969317
WNT7B,-0.05028585635847431,0.03793862113324705,0.041457423062578894,0.02362659395398202,-0.027489580223290497,0.05189339641599894,0.008468744795629566,0.12497670852499565,-0.012746252831352393,-0.019380055106848242,,0.055455303243350684,0.048824482272662374,0.04645817367164935,0.06418671126053208,0.001265491644170434,0.05330154234407371,-0.06417373337385918
PTMA,-0.02794288509957123,0.06013059597104585,-0.019160414628182833,0.16841499287134762,0.06236209114749311,-0.0630283979980966,-0.02368610061043019,0.03164396787509527,0.01497898945612655,0.021341382603340887,-0.21586381064033336,-0.1513828725919275,-0.10341867831621351,-0.051960386604721666,-0.003522662581327833,0.04060689585107996,0.00613808203230225,0.03362830123140738
FASLG,,,,,,,,,,,,,,,,,0.012356682568383471,
CEACAM1,,0.008450726601157008,-0.017017350457200365,,-0.02942346648222825,-0.027661378156362774,,-0.04092149144930571,-0.040828535740114046,,,,-0.06464952447533828,0.0028581841322027316,-0.006679809983968307,,-0.021171438580553002,
