,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF334,ZH1007inf,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,0.0012761927632174994,,,,,,,-0.025049578604174033,,0.05745401602128437,,
BMP1,0.09018796980365165,0.04847437093422395,0.05160629593076062,0.025011232055392456,-0.020849255275786547,0.11701221592145795,0.031620850027783365,-0.03152643468228996,0.026946467710878698,-0.04167342585146285,-0.11955284677093965,0.07374976231452596,0.0031114591175387153,-0.0006997523350408549,0.002858211898363328,0.03986083994795245,0.08908536540192331,-0.0431741156989659
NDP,0.007269641540652519,0.036354027723714155,0.057541817191625946,-0.013682937870252312,-0.010690636282833264,-0.018550857870974758,0.04700517006945626,0.029049211939203876,0.09207460209560951,-0.11064984389781392,-0.09619439161364167,0.030312689357953435,0.015848610072742658,0.005007211993218391,-0.025713811738797034,0.06629949565508308,-0.01212967680817144,0.16278086227531643
TNFSF18,0.10373942916850287,0.008682892530402447,,,,-0.014292939035592443,-0.02878055039255029,-0.014795352272133827,,-0.02412490043482592,0.013250943945312727,,,-0.006762046733273108,,-0.013806217455521772,0.018110133969112083,
IL36G,,,,,,,,,0.000531474953827038,,,,,,,,,
RTN4,-0.017340757979224426,0.017993902755910975,-0.058326197335235634,0.00381818814466697,0.04136995343964177,-0.16767306508488655,0.052358758409612995,0.02131218769704765,-0.02863833889016966,-0.04136571731065614,0.014005507177319094,-0.01151697746837998,0.07803382356633529,-0.004079448899144249,0.054829513235276794,-0.0038432565612322497,0.00899088927501252,0.04441056909983635
HEBP1,0.005752826371416249,0.017967761438618234,-0.010362918792097782,0.012282385756134707,-0.017724363406266194,0.07006853509392723,0.013695368072063254,0.0070915962292294665,0.04495569856128444,0.0982535638591499,0.005094386659538082,0.019915230844646043,-0.02109865373821658,-0.014250417132738754,0.020580644812449655,0.09296232299462827,-0.00821231564664207,-0.01794401398380986
WNT7B,-0.05057613350957812,0.058005167829108785,0.03427731434468592,0.09690136699677564,-0.011312842828449247,0.0478049959456719,0.00256442696563987,0.02077888680525518,-0.02875209022493117,-0.02655916065794848,,0.06046861162949108,0.033018067615789355,0.018440962969539135,0.01704824019893116,0.07727672039378303,0.07592999787166735,-0.04503278191535094
PTMA,0.08189547138775764,0.06223567179099871,0.10760669026342573,2.1694495438438684e-05,-0.03185160165883208,0.17418387408019972,0.03444345563013041,-0.014493253676631648,0.07811701370642049,-0.04658575849255215,0.04543718268402925,-0.05511237376872457,-0.015553091006728652,0.05027308329780199,0.005163240625270067,-0.030988195037667844,5.081245369402345e-05,0.06650913212212559
FASLG,,,,,,,,,,,,,,,,-0.014640300508525415,,
CEACAM1,-0.033118381740524616,0.006953114448978468,,0.03372184947256545,-0.02071939940296173,,-0.004593358976005421,-0.023269564367559677,,,-0.03834498882744625,-0.018763782581180947,-0.006802370976017478,-0.03711959451322892,-0.003725484462658998,-0.020369827888864826,,
PDAP1,-0.020002248181765436,0.07072368299243606,0.02144024547948013,0.021244284705211235,-0.013802191358564966,0.08686183736899855,-0.06817018653977733,-0.020407577952920045,0.009975021692879182,0.05298156605791907,-0.033222312186665166,-0.018662643380767736,-0.02379117661383958,0.031333441486922964,0.023618165524882388,0.07066739111736645,0.0077399829957528945,0.033323947822332375
QDPR,-0.018635765497509695,-0.0021316597649291,0.04407962281701062,0.04040493412603343,0.004390179916860293,-0.06636116189313225,0.05266754757237607,0.019521219941921526,0.03267320258492966,-0.025512012922860833,0.013396504418757177,0.03211250789338743,0.06841588939436044,0.020167350280566328,0.022200390623369343,0.024068690168008094,-0.09405899246543949,0.01602267659215084
POMC,-0.005901892192108223,-0.00790062071107635,,0.04881765801315008,-0.024264652527990344,-0.018260753657772136,0.057449698601131055,-0.017167356787686307,-0.025664652985511252,-0.06501582131303871,-0.03816295433937057,0.04010027676949647,0.04907422315476305,0.00831345997537553,-0.0347754793394533,0.04520378429831964,-0.039786255747629604,-0.02906868231182701
CCL18,0.012491905419496926,,,,,,,,,,,0.043229957530457636,-0.003653082864268785,,-0.03667326177427823,,,
CCL17,,,,-0.007747586061082006,,,,-0.0031919966611181644,-0.023897267277083224,,,-0.013311995548742302,-0.011423069862545748,-0.033026422400216957,,-0.01326978801800427,,
VEGFD,0.0343599331362545,0.028569459545340754,,0.005890859874879894,0.05616197786791095,,0.01529078110795262,-0.01965977495807305,0.028154909105286247,,0.04612141309562433,,0.041205868365259135,0.04094125008233389,,,,
TNFSF13,0.026300300740634264,,,-0.019939471640628637,,0.12053526314762121,,,,,,-0.025543719965629028,-0.0045585183123955245,0.026305314602527136,-0.02387143547898125,0.09806500449020117,-0.006533308855623542,
WNT5A,-0.004411116408721558,-0.026350973209469986,0.1018419038747976,0.027964730310082453,0.0021796682527486077,0.11973848594285029,-0.002339566376115578,-0.0006561218279877534,-0.0638047073709799,-0.057662427804371565,0.046863321814390964,-0.016282450776075697,0.057988319230576714,0.012151837622021733,-0.012412643641774204,0.049322036437933224,0.06345965420809707,0.018246837778629576
CXCL8,-0.007889724379852253,0.02480554498595019,-0.0572835568927293,-0.012454330134492137,-0.07877507218620348,0.05781367960653037,0.006941300830367494,-0.027090747745093204,-0.022508548110107777,,0.08099482333277887,-0.031957594551625154,-0.031114712520665933,-0.0032575191721797227,-0.06297199093542546,-0.03259239730075986,0.052115082369955996,-0.04959509443956235
GRN,0.0643779669935552,-0.032473097935843014,-0.006648212025436833,0.0022490967904357528,-0.045166928135150004,0.08297344125013405,0.01504348778671814,-0.017512448793165943,0.012580665195472839,-0.052792058120732004,-0.10240809228343599,0.03141740593560567,0.00978922770131284,-0.0017937262022871387,-0.05730160527038644,0.029213951920110216,-0.021934967109920066,0.05524242565118468
MIA,0.051326086557841225,-0.028945123668212416,-0.05567182130223725,0.07278382742000504,0.014180247181092093,0.06631751004316225,-0.02794487554705543,0.0028070236809534122,-0.03507604287009111,-0.036818419563260055,0.020724939987789626,0.0674937502578886,-0.0052554471173927916,-0.0023239331848676913,0.015361221186086828,0.013328051073674371,0.023502502034168173,
COL4A4,-0.042075980484174255,0.057311090758141114,-0.04236317963626032,-0.016816426348852897,0.025572154645283583,0.09894719709210169,0.02071135741498368,-0.004990324223642282,-0.02418946307704035,,-0.01759270241437927,0.04280228577904122,0.025607635929389107,-0.027796503033970403,-0.007597184790325866,0.035917268845630616,0.025149810276286256,
TAC1,0.018616712919240868,0.011550177144610603,-0.03242895558548741,0.0250317864908808,0.06385204752930053,-0.13360779807742568,0.023927992010901334,0.009582168887463193,-0.01257444941103758,,,,,,-0.016726397695339883,-0.017444485678505643,-0.006039201880047573,0.09519169362467358
RARRES2,0.05102122831182713,0.035541064602601855,-0.013068471717958653,0.03498346445918974,-0.04435201339301726,0.08413547558369665,-0.020543182559288962,-0.01866894800850402,0.04777459067960583,-0.06942058078782451,0.029762985026977457,0.04675192749274941,-0.03745034193904711,-0.007548266841908186,0.07083013119006105,-0.04021130244780271,0.07680744608603285,-0.03283871508168186
FGF7,,-0.0367354320384806,0.056979558919072935,0.025590806398086686,0.13029381421662767,0.13309783222338809,-0.021248715727493015,0.005366123772222092,0.031571518808577496,-0.058587852091786505,-0.016299708166518365,-0.01874921751249862,-0.02475879995304056,0.022637771166957386,0.027471302436861317,-0.0409681721951069,-0.004340966302166784,0.0020149217371002214
EFNA2,,,,,,,,,,,,,-0.02317746619677026,,,,,
HBEGF,0.002509050782588717,0.029242298875813203,0.043894572490433534,0.018482209906283676,-0.04709791719018823,0.06739475281507804,-0.013467665488885729,-0.0017893980296829872,-0.02199271684144942,-0.08102275438124931,-0.03409631703625177,-0.03596713366574643,-0.018789256481640048,0.013594511428562661,-0.03827003755547173,-0.007452654328119467,0.12488835974689189,0.023250159626459613
CSF3,,,-0.029652615412154384,-0.03445474446576525,-0.013505815087448558,,-0.020206128262541312,,,,,-0.052239355298850834,0.02479709083793103,,-0.030476407988858086,-0.01397103967653922,0.1593997641901073,
PI3,-0.008633923942511645,,-0.05598163299987726,0.034250731567376146,-0.054944419433053365,,0.07709504469583763,,,,,-0.013142895543023395,-0.053289372688344244,0.0475358147738242,-0.0053972578703316235,-0.03035442779420519,0.06720634724164647,
PCSK1N,-0.00919331672897278,-0.019222317251881955,0.06284611889069036,-0.04155488874617734,0.06683419982191245,-0.040628294900793505,-0.014591376475778314,0.04550613422952566,-0.005770206608598297,0.04308511329473424,-0.006071137941972721,-0.012921576156834888,0.004506542710194593,0.02823308724149893,0.06695209683554008,0.059032558801591,-0.10855363835192529,0.015585181938695777
NTS,,,,,-0.0078659712414263,-0.01609990571417658,-0.009098211690007255,0.01543557201982463,,,,-0.031055499887549014,0.002541742934579211,,0.04199867824532745,-0.0009265780303835409,,
SFRP1,-0.001808483194800438,-0.0010769533128833857,,0.045114901643532136,0.009873081178972353,-0.018089678523263986,0.12131099830923554,-0.03423666785391968,-0.01605338382095538,-0.018094624014275102,0.09298277180441504,0.04758005599186894,-0.010237234350297856,0.04755781501248264,0.023905004455742642,0.12444132593103986,0.05796078885153367,0.0579869039229536
CXCL13,,-0.03200217521754162,0.07522039796229263,,0.062485287836508786,,,,,,,-0.029901471343978584,-0.05954951786100961,,0.04477284016337053,,-0.024848602396924296,
MICA,0.01875987002597374,-0.015149568213912508,-0.053416368953786285,-0.0196446822945836,0.04783560476391857,-0.034172577964543704,-0.04008164945723944,0.0020991465668272072,-0.023428980100267536,-0.014438219473129937,-0.05360144138647916,0.028761414353568375,-0.004019290141708191,0.010210868683971735,-0.02918642355607377,0.03669422916135973,0.01449259536020485,-0.06695770765349321
TG,-0.004395467466603689,-0.01968916742585893,,0.005604427638586514,-0.012825776579183658,-0.01858353534303028,-0.024386989011501645,-0.018590381672277157,0.002844466367684798,0.0446589974254203,-0.014199774871934705,0.006376335825195608,0.06154132623171706,,-0.025082552093016637,0.1074502578422589,0.048236215508782446,
