,UKF243,UKF251,UKF255,UKF259,UKF260,UKF269,UKF275,UKF296,ZH1019T1,ZH1019inf,ZH916T1,ZH916bulk
IGFL3,,,,,,0.0212399595745392,,,,,0.003886535466568054,
BMP1,0.00874459555002102,-0.02622144765277625,0.044036530054147746,0.020510917858062243,0.036726791522487735,0.2276372662264497,-0.007060111446926879,-0.0027787908798755454,0.07871288721956482,0.14313329141358683,-0.03225477450107111,0.03783488131392377
NDP,0.09563967588351698,0.020194153914753925,-0.025852375488383903,0.011147029183484295,0.03209475096013031,0.04236097309852537,0.0012466495517240628,0.06138578846911208,0.12471549787908674,0.08311985531024602,0.18398381313526224,0.14963362451129214
TNFSF18,0.014022836560164497,0.01676254289989863,,,,-0.017700167154237348,0.024456961856654857,,0.011026893285468879,,0.02436853428645725,-0.023549550375503762
RTN4,0.07873552484712153,0.008860634091558135,0.04360321233935409,0.01440570207312709,0.02355821004639409,-0.24474330737156888,0.015767954973940686,-0.04122109908553921,0.0447186830030453,-0.060459514556605545,-0.13515535756220737,-0.055394520005233316
HEBP1,0.0211489726310521,0.0005175725187423065,0.10351406722372179,0.0012133232324833987,-0.01269795431863974,0.105170677310374,0.030663604179255902,-0.012072371181830526,0.004995962068827187,0.0032450226942027545,0.14037823348636114,0.020665615128850852
WNT7B,0.04695766956685827,-0.01763861580468543,-0.011893437789730314,0.05630721735634853,-0.031483216723364904,-0.11286607795880754,-0.0327553002676556,-0.037888114140278,,0.005934096202231806,-0.03878779514691548,0.1636127194831539
PTMA,-0.056252600026205225,0.032911519839982216,-0.07770311564668574,-0.012551689961156819,0.030046440127428704,-0.07805317479790287,-0.029002830802390946,0.009960885837931087,-0.0940409614455021,-0.13348561030630932,-0.150493353874208,0.0032967380538378404
FASLG,,,,,,,,,,,-0.03433797811203868,
CEACAM1,,-0.01353657673879236,,0.058307209934945134,0.05994200326627875,0.03150822985216935,-0.01946944577456108,,0.01700783299308665,-0.06095473947389031,0.04458989805341874,
PDAP1,-0.11365588062624568,-0.009039543689344048,0.028093501047241832,0.0654591458950531,-0.053808726938261345,0.16001033823480487,0.0673823899924793,0.04017345697560373,-0.05759532390608673,0.0026092372063958383,-0.029013402415819754,-0.05178992196978201
QDPR,0.15328013677767702,0.006834574954788668,0.0003936466063047223,0.06740176422242859,-0.004307946790059252,-0.19666100684644225,0.02457774513162391,-0.05923619861911716,0.006509836162146825,-0.17323978436950108,0.08494935818877392,0.008297054757402543
POMC,-0.005028890313168012,0.03040482976405554,,-0.028772849758953643,-0.019987961640577444,0.05826084896599118,0.0014894260350362186,-0.022620688650973036,0.01809585239413576,-0.0019387332410070004,0.028468498895914324,0.0702487168186252
CCL18,-0.03662632971155488,,,,,,,,,-0.06491411526054505,,
