,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,0.00012958511958450355,,,,,,,,,,,,-0.019917721974471805,,-0.024219221801556785,
BMP1,0.02336897119518069,-0.008291261758378039,-0.0026179418435418474,0.05391505583555428,-0.003788300912522771,0.14240708835839705,0.0116077601088468,0.03126224434841845,-0.035354000138108944,0.06938691886925306,0.03779091403213211,-0.0057830218323401085,0.014766866811594356,0.021595162121345438,-0.0029401240662979555,0.04883783775002825,-0.018065806624823433,0.09312879727604989,0.07460410061054239,0.013537923558268656,0.07035408507029162
NDP,0.008039412220982648,-0.021365206983294353,-0.006885884155350022,-0.0062922884549280675,0.031810782814138,0.023848403140810874,0.022332444176772576,0.0020152744455579357,0.041268636859684696,0.09603751655493437,-0.002926618974956184,-0.020162667009085658,0.0019676747474144415,0.017079572085297402,0.09070648232340167,0.05002452237473351,0.018367807835775792,0.04373070039088851,-0.04345140658925258,0.07596388124619133,0.043428075989160646
TNFSF18,-0.01623912846086879,0.03418214540835861,,,-0.01538394391668182,0.03334640558202805,-0.017968899214456987,,,,,-0.03698205835606616,,-0.07413020065690926,,,,0.053581041137370417,,0.002509612647246493,0.06584673126375772
IL36G,,,,,,,,,,,0.02630968210953355,,,,,,,,,,
RTN4,-0.051983852609616084,-0.036931001692888654,0.05253755477016003,-0.026672200109526405,-0.12033450284036865,-0.1762855883603747,0.005131819502420102,-0.04503008657320943,0.008537819686020362,-0.07542347109123844,-0.025473647588405826,-0.0539765270264963,-0.05007272994272971,-0.07493709321704387,-0.03917202405451086,0.0014399499885423463,0.020759697258857072,-0.03778511793787509,-0.0024267322596381244,-0.0003234041183041771,-0.13006338394047373
HEBP1,0.06698893828887471,0.07193501355879282,-0.04127108092250253,-0.004903004280263806,0.0435121266776684,0.06983216264731346,-0.04595837636003952,0.006811398263259773,0.06331008148656103,-0.014332433191707855,-0.03184402607996714,0.01057222487082799,-0.024550405014884705,0.008353737122917254,-0.0004035679313850663,0.026258822763938323,0.03192643569826444,0.031046572153244884,-0.01631015536941884,-0.016600980133952014,0.02271275881401033
WNT7B,-0.013342129000060772,0.04764965644241558,0.021962217586494793,0.025509544524689603,-0.03919085688838095,-0.0830422819774785,0.016829712069056292,-0.018277116776383905,,0.04564375516872886,-0.03321172148009358,0.10337365479162057,0.03476504012535652,,0.10983661762059294,-0.019104165088118366,0.002925673293300388,0.008951984042489154,0.053421276830923174,4.256161948697563e-05,0.049655219746443886
PTMA,0.00841718154814311,0.007789875855066086,0.004675822681542012,0.003312796953120638,0.12029187538148146,-0.1012981395665418,-0.06693007142881006,0.027493302851223273,0.033505073268070534,0.12865426868454372,0.0604631461022941,-0.038484488838425375,-0.023230171678011457,0.020246075278864732,-0.005318031479771364,-0.06376592834267411,-0.027009056972899986,-0.10186409369644789,-0.015743716749102424,-0.06601070470927885,0.013248190904518809
FASLG,,,,,,,,,,,,,,,,,,,,0.0174071313960935,
CEACAM1,-0.02248078357123195,0.11528778343711811,0.048643671040784556,-0.006786335688515544,,0.042517018200500176,-0.028260797660932997,,,,,,0.024814872264180617,0.003222693072592843,-0.030919735033909643,-0.023400511239798295,-0.02609465516928078,0.0039018867403014506,-0.013517656594014087,-0.029225821564165602,
PDAP1,0.027543948451822793,0.0037528289127650087,0.020035832204131646,-0.070092410406297,0.11520378049928966,0.13132520165146613,0.03323479063041529,0.038969671070653106,0.06271578394511147,0.07728178997460333,0.0004070643362579542,0.015963004067849243,-0.024425192031456395,-0.09222012441023317,0.043132778253766914,-0.00664572733549057,-0.03275303564398857,0.053866723529683365,-0.04917586961322651,0.035649928114852125,-0.02118127116028559
