,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF269,UKF275,UKF296,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.012443412518819388,,,,,,,,,-0.02504957526599423,,-0.02372828888506667,
BMP1,-0.05740266444799361,0.07269720883856139,-0.026884002885877396,0.029531291888801655,0.0008441733109987432,-0.01974541978135062,0.02239708930848912,-0.03515425801183673,-0.004254882051268535,-0.03449806719699589,0.03949135593941837,0.04439211518801485,0.06843418010758837,0.06257804443094565,0.01599571079097608,0.024112606672965324,0.04537598624588635,0.03422479451287352,0.057480286372529596,0.07995253780176043
NDP,-0.023109590218676906,0.043029389048328495,0.05311732755977335,-0.007741636190143741,0.06830355381712579,-0.06514895816762437,-0.034147875196155565,0.005376022186699955,0.0745865245280549,0.02532528678584026,0.040257200882277494,0.02288038881540203,0.12355463099079178,-0.022384309464073403,-0.010621997780893165,0.05509572547766716,-0.026541267269885867,0.08822183153158987,-0.009614247150919786,0.004853631159047411
TNFSF18,0.0723037159759218,0.017827971710862242,-0.005083628356550035,0.0005437601385117949,,,,-0.018478094028966257,-0.014222978391048647,,,,0.09992489830308154,,,,-0.025833184820851073,,-0.02943453270614388,-0.0243087271724507
IL36G,,,,,,,,,,,-0.023978508176992562,,,,,,,,,
RTN4,-0.014970899848368475,-0.07596767634544563,0.0007067226025528451,0.013977870696609567,0.021465666063414282,-0.031909112703629346,-0.0364191842757846,0.00242711745460026,0.018007530166790853,0.004554527271046654,-0.0784055359048741,0.018283013228965386,-0.05009955479089284,-0.08442842883483553,0.028875731962523486,-0.06426884076672237,-0.10208021158861999,0.03548950437416859,0.02379379675512233,-0.014198204986093923
HEBP1,0.01677963934038958,-0.04719272208114709,-0.03072266486125259,-0.011698306901568586,0.07339035849073171,0.04006671222258624,0.02097220936930808,-0.049230806639285064,-0.014512545317632713,-0.03387101671208007,-0.004643343756790459,-0.024437755181753344,-0.07086949927193599,0.11835987875082558,0.021518845982580834,0.056466591387019635,-0.0572971168066319,-0.018264146503328704,0.037183003871780536,0.00392653397603401
WNT7B,-0.028679128614095398,-0.02757660859296994,-0.043126146835238764,-0.009337210763335995,0.03269146953082327,-0.03040021288744686,0.010169825810899587,-0.03400684187493679,-0.03322257408899453,-0.015511129887256551,-0.02635514380335471,-0.024492924761213036,,-0.03613094166590334,0.02713647747228369,0.13014846641207306,0.013272449619495207,0.015646027881541902,0.026673746999976825,-0.005555103259420745
PTMA,-0.04549467420236179,-0.04932592049194374,0.011697027028202679,-0.021228035738735242,-0.07428374553024288,0.04972827362109694,0.04907002251895801,0.020931935103191114,-0.0037938653903859076,-0.009241848239069152,0.003918655075200687,-0.05178165065095824,0.012875508739073886,-0.06410083935902851,-0.009672438576123939,-0.05583482579829517,-0.03781808899239214,-0.10167478976112813,-0.0021297031472794297,-0.020656868979839656
FASLG,0.004950429891412205,,,,,,,,,,,,,,,,,,0.019778888283185206,
