,UKF248,UKF269,UKF275,UKF313,UKF334,ZH1007nec,ZH8811Bbulk,ZH916T1
IGFL3,,0.09041742342377673,,,,,,-0.01754460714522513
BMP1,-0.03789697015207693,0.10400585367675276,-0.002218105298990464,-0.029658516756312186,0.04476142185780713,-0.046086222396521714,0.05961461226767054,-0.05476989953217048
NDP,0.036747683735602145,0.003488044548542308,0.014479423821387522,-0.04818317815121218,0.06344388507400331,0.07295740081057916,-0.003977969268790033,-0.05240690697142347
TNFSF18,0.035219500687905185,-0.021552438063055894,0.17817296666415516,,,,,0.013057977605119349
IL36G,,,,,-0.01631018900900801,,,
RTN4,0.02418740845837216,-0.10822110400929853,-0.004780358373168007,0.0264344994860118,-0.0784000487826539,-0.07403886432145247,-0.04587175659694648,0.0807543523927432
HEBP1,-0.042381530397131675,0.06247704861043728,-0.03717339748072302,0.014541947609083823,0.02353613116054602,0.009047306184291334,0.004144959270404735,0.06796978420776358
WNT7B,-0.03566922037176782,-0.046774140813399936,0.021256409029015818,0.033168091953761504,-0.01792677732990707,0.01822689056759993,0.06052614738321905,0.0385124898299026
PTMA,-0.045154863273817826,-0.02027952314092644,-0.043287150032951506,-0.025782335338593736,0.054079013114558004,-0.045095700387020494,-0.0378222721041968,-0.03769482758960382
FASLG,,,,,,,,-0.01521643179162454
CEACAM1,-0.01534065130716381,-0.001117029421900573,-0.01813926931339618,,,-0.02081581201224044,-0.01769328481910118,0.03777242460266121
PDAP1,-0.042459241053205324,0.11973999802687438,0.048216652297273184,-0.03354733232624595,0.013762024779760344,3.882887212632892e-05,-0.01638933380625747,0.016991310300881943
QDPR,-0.0028343376646089834,-0.10174773331359874,-0.038881397001221625,-0.019123502577475148,0.0038125124840203174,0.0044884465824978,0.026127759294338145,0.009284075738029328
POMC,-0.015853582346240413,0.007926441555997544,-0.013382429651546558,-0.02453574619494417,0.03302508296105781,0.025006463135960694,-0.012505769565281247,-0.05504973096393847
CCL18,-0.019143683384825548,,,-0.014719155473530912,,0.1136847117055131,0.11555354298876302,
CCL17,,,-0.014384378442222142,,-0.014899820705837785,,-0.025541367410777196,0.10401826345433114
VEGFD,-0.019143689463841658,0.0399466716635351,-0.015325338582720014,-0.01657734194888747,-0.015968599347610746,0.0333382174461431,-0.01769328481910118,
TNFSF13,0.031821280653926094,,,,,,0.07744317451006563,-0.022472890530437564
WNT5A,-0.012256370708745936,0.11673851630797484,0.036231680459896845,-0.016686111984334846,0.03569610635039224,0.07534085120291988,0.025570529108210928,-0.052451608744294845
CXCL8,-0.014567608354373797,0.05750554032429799,-0.020085587206319058,-0.029900582793137113,-0.017927659942727905,0.02762883719178815,-0.037246651835992114,0.08239192514229852
GRN,-0.020975004365384447,0.04806810842139358,0.050404982554304895,0.0013796174420707314,-0.046912849626781064,0.018792770650372145,0.03911231148058959,-0.07856596651080511
MIA,-0.02884722384361478,0.05171962990385299,-0.02827268610343317,-0.02248185385056643,0.16229177545073606,-0.05613940149841596,0.08214257240417318,-0.012933704919557877
COL4A4,-0.0229914082072275,0.09418655741783497,-0.015017736127239237,,-0.005133033698167009,,-0.02832971549815693,0.037212438184465374
TAC1,-0.05655646298137024,-0.0780722462140839,-0.0774567294172429,,-0.03759644183622604,,,-0.018130968439642226
RARRES2,-0.040954377915150865,0.0857016002346953,-0.11111632624850798,0.06678446866121998,0.047973000246729146,0.10023242759106145,0.040879657036523576,0.05422447158108969
FGF7,,0.0408349172956806,0.0022656817279075423,-0.03611887061495864,-0.011782607577124158,0.08151966830228168,-0.003310559453519792,0.06507208987998772
EFNA2,,,,,,,-0.0168162831314902,
HBEGF,0.002296511030536206,0.07518331412807658,0.012956923382983071,-0.04723102438716588,0.0545624446865096,0.03760629577860181,-0.014667313252091124,0.02350826723224328
CSF3,,-0.015131445435640788,,-0.009572700143501074,,,-0.01028791873622055,-0.014520833924982829
PI3,-0.020139962052109876,-0.017038207273994174,,,,-0.02464578250595465,-0.06250239106912232,0.04794945234315762
PCSK1N,-0.03418251681720041,-0.07183339687505959,0.02873922568025787,0.022612158148338096,-0.03491032142900453,0.06407636463076277,-0.010269694917008456,0.002706624497928926
NTS,,-0.018598366622625317,-0.017156017825382074,,,,-0.020487449880257715,0.015975517079749986
SFRP1,-0.020200885491610244,-0.014962271964059522,-0.014701007361907353,0.02100366339036233,0.024864428328972434,0.00030084242182895724,-0.02701946666646301,-0.02100369100768681
CXCL13,,,,0.00749941448672021,,,0.04909094423726502,
MICA,0.025862133425023415,0.037169221017847295,-0.04616074914479823,-0.01975874191726372,0.019841610450533797,0.008069515971538899,0.0650225815804326,-0.04797345735690593
TG,-0.03014665707187429,0.06506851778969552,0.023037992118359503,-0.0353832346172106,0.03891434266971995,0.08566959360128377,-0.025232534142337937,-0.02831839589213164
ADA,-0.0269257774411474,0.10859439071674329,0.01887773803868662,0.015571797863087948,0.09708324315671217,0.04310645939958593,0.06721976350713882,0.004768921948757237
LAMC3,-0.012991493298331559,0.06617266303401637,0.029591221927594603,-0.040381031006655174,-0.01584634069916682,-0.021590007317716254,0.10026910982573044,-0.10849460759573247
CCL7,-0.012176999848339557,,,,,,,-0.015216426380843022
NGF,-0.02090730404091348,,,-0.008598435268150954,,,-0.016590243994732363,-0.01187606976908372
TNFSF15,,,,-0.015859723376529137,,,,-0.018557107790516624
HMGB1,-0.06429884186938851,0.09051511342055965,-0.023411456270739144,-0.06077406698614695,0.025858236542683797,-0.026206035078191796,0.013079953388325873,0.04278340733535472
ITGB3BP,0.011328882974857278,0.09655238492998645,0.013661102235363544,-0.011405509374610828,0.05543007960370838,0.04507634414364656,0.025788973595138747,0.04573721099097578
AANAT,-0.017666974178758357,-0.013648973268922407,-0.013032485720877675,,-0.019986684293637123,0.16142817151912078,-0.022630162478115133,-0.016099613669056358
RELN,0.001300832683065806,-0.040050370073501734,-0.028693326657030914,,0.007606974915431943,,,
IL15,0.013573459866785037,0.020631174621853987,0.0016818985936702493,-0.037292314576282494,-0.018536725912827443,0.021755944585908,0.08399539449378568,0.01837029217412386
UTS2,,0.010286315868236307,,,,0.040726580754619095,,
BSG,-0.043201234240660524,-0.01689081329809107,0.01792991894830858,0.06997955431331744,0.06511401437749262,0.04221742551431445,0.05617299596329154,0.038786830818676295
ADAMTS3,-0.026981236181849028,0.0944237351937974,0.039067928461784786,0.00831864559682175,-0.030802055880773,0.06822558628458825,0.049807917814799325,-0.005835900986727242
CD34,0.009298712896749538,0.07408519160623767,-0.019350506617673263,0.03928575319835183,0.012836467444919245,-0.020013224903720688,0.08482677060363263,-0.07422266177176319
CCL23,,0.03419928888826526,,,,,,
PLAT,-0.024805625725189153,0.05663910283049192,0.05271769342903788,-0.03744125949369582,0.10428483842075731,0.03971309971277561,0.024810512706997863,-0.04383763773568403
