,UKF251,UKF260,ZH8811Bbulk
BMP1,0.015475263643444303,0.05282002629392045,0.007713952700154144
NDP,-0.023159500579945834,0.006762151881016882,0.022477383356814283
TNFSF18,-0.024548848219859365,,
RTN4,-0.010898406313958893,0.039559225318394516,-0.0021187211060436813
HEBP1,-0.019095964253019834,0.03755785855149406,-0.023584344790310324
WNT7B,-0.015248983530408457,0.010247822120437544,-0.021575806803342628
PTMA,-0.04370487896922882,0.0006697414303483302,0.005199891557604585
CEACAM1,-0.011702677694987998,0.15481380708605633,0.030724984465155987
PDAP1,-0.023827486264619613,-0.003871846599183606,-0.0023282414421044585
QDPR,0.012886702866472543,-0.021624801732650575,0.06325693015911384
POMC,0.04130839468197343,-0.005232235373022767,-0.008692405821744492
CCL18,,,0.04332198980345624
CCL17,,,0.046554499556333465
VEGFD,-0.0167617378972625,-0.014138102052563162,-0.016893073170700663
TNFSF13,,,0.035956532843727476
WNT5A,0.03662666102745557,-0.06316283220963702,0.0031201516407370466
CXCL8,-0.015694697867106918,0.05152984733328271,-0.010439235930266367
GRN,0.01856308801766462,0.0031895245123099627,0.04671915477756691
MIA,-0.014906717490167719,-0.007717384775640058,0.0078011151085283
COL4A4,-0.011677589998237623,-0.05362228113566491,-0.027048451528844452
TAC1,0.02651024436134385,-0.06821014338619952,
RARRES2,0.027036106279003647,0.016213051755765387,0.033813912660536995
FGF7,-0.018918720595354266,-0.027070353675094867,-0.0456967447210893
EFNA2,,,-0.01605573551231141
HBEGF,-0.005711246253088418,0.05625525658783389,-0.056454900927373396
CSF3,,0.027927911052318774,-0.02285236694575522
PI3,,0.012691513385190225,0.010409181093385206
PCSK1N,0.030164763934731637,-0.05972317866187393,0.007669372577253589
NTS,,0.09122674830741301,0.02162547991514688
SFRP1,0.02745840287945885,-0.016129126050308223,-0.004394384336700713
CXCL13,0.10568924865703537,-0.015984169894204342,-0.019619232453519417
MICA,-0.024457825839357464,0.03776130038331693,0.0749539805186666
TG,-0.01591328375929945,-0.03420925739541768,-0.02409134594886216
ADA,-0.032874725509270654,-0.03176659037727306,-0.011812795248018974
LAMC3,0.010239613495478788,0.05897700174489372,0.029300706074413086
CCL7,,0.01332696441534758,
NGF,,-0.022620316397525264,-0.015839919415089613
TNFSF15,,-0.015690527954472483,
HMGB1,0.05240447333979752,-0.059630379174819954,0.04185344121133351
ITGB3BP,-0.022410824553716933,0.038405794901743215,0.01647769719477415
AANAT,,0.011953033034141261,-0.02160667137370279
RELN,0.11714106603127573,0.06683920812580865,
IL15,-0.0202732800502982,0.037250094479374996,0.04971089808479113
BSG,0.019343294455404447,0.03148994423759284,-0.009959291273914515
ADAMTS3,0.008018973429909943,0.04935012075959849,0.034948449574483
CD34,-0.03147944969172586,0.012427603784591845,0.10608552781043837
PLAT,0.014810394642251827,0.09189147193395304,-0.020032386822340858
NTF3,,,-0.009241242833473029
LTA,-0.011702678895892346,,
CKLF,-0.039536251992550474,0.09680840453588496,0.0012892967654244921
CD24,0.024344329906449934,-0.08149936143552741,0.009106608776240546
HSP90AA1,-0.02370712776563798,0.017692011512148154,-0.03008300856919653
BMP4,-0.012405525640749388,-0.027437274796821138,-0.004029810097507741
