,ZH1019inf,ZH916inf
BMP1,0.026506835298882262,0.006099805725558688
NDP,-0.07310637815870293,0.020123474734762895
RTN4,0.018972444082082155,0.030504862824697276
HEBP1,-0.014954249330167924,-0.01897438777767252
WNT7B,-0.02950955764988637,0.01641631765542463
PTMA,0.00742643200268556,0.10993511829478333
CEACAM1,-0.026464643965279103,
PDAP1,0.0692186751823508,0.009722539972377178
QDPR,-0.04095482948437293,0.00666439561103134
POMC,-0.023665584401690434,0.11377024736669236
CCL18,-0.018763867691869118,
WNT5A,0.012746800782449122,-0.09452299808648888
CXCL8,-0.011993038456845047,-0.06716605110249653
GRN,0.12129402726439556,0.07812336266700239
MIA,-0.03195514201510437,
COL4A4,-0.023723391594368523,
TAC1,,0.0006400820430232917
RARRES2,-0.004249036881148065,0.03624106266746696
FGF7,0.02817744022495878,-0.03525047401650603
HBEGF,0.05836043931661551,-0.03511564063813965
PCSK1N,-0.027165835944344154,0.12021294511848578
SFRP1,0.05731233728570803,0.011453698212935409
MICA,-0.030156640980432494,-0.060407802158216194
TG,0.06355138401928806,
ADA,-0.024936348259462806,-0.05695977059855098
LAMC3,0.0763056576457669,0.03558407951113084
NGF,-0.02788429204988842,
TNFSF15,-0.003220625704763305,
HMGB1,-0.022632854634544553,-0.056453990287641934
ITGB3BP,0.06610318440141769,-0.06899572034516023
AANAT,-0.019543354747520753,
RELN,,0.03438962990823763
IL15,0.13744034006626332,
BSG,0.05106883506270145,-0.045179115348067934
ADAMTS3,-0.02340117771417034,
CD34,0.1137136797511912,-0.029295595306597928
PLAT,0.019191011640009005,0.008761559379368889
CKLF,0.033662718596384165,0.05550326278003533
CD24,0.019358710074183327,0.03465673464375509
HSP90AA1,0.02819145248374683,-0.07987547378369166
BMP4,0.01140926048826909,
IGFBP4,0.08621168000837244,-0.024301986464182773
LEFTY2,-0.024974751071281817,
ANGPTL2,0.07739787321139566,-0.15490307903561798
LRIG2,-0.010541181404540183,0.10971391550942618
ICOSLG,0.021063848188260174,-0.03292460204087599
WIF1,,0.045648471080783605
NPPC,-0.023401132770807236,0.004563763575891487
LYZ,0.03265710905011848,0.06880619610558061
SPTAN1,0.022606275213100185,-0.010155170108010756
LIPC,0.06205386151705577,
COL8A1,0.06453101834392472,
GSTM2,-0.03542352517751798,
SPX,0.010753834744631735,0.03976869961683932
MFGE8,0.08486341552928324,-0.008495499364972021
TGFA,0.006328270489546028,-0.05307704694325469
