,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.048478241871318495,,,,,,,,,,-0.021845054401799655,
BMP1,0.03140388695414195,0.030079405547052403,0.06089999800698207,0.05432918294181638,-0.015922611055172533,0.03263136835400401,0.15545084587636293,-0.013294956730035353,-0.015328703561692211,-0.07187410915491597,-0.004307482924556026,-0.007389032687090459,0.11348923826159046,-0.03618648543743383,-0.031028645031645062,0.009440337340560255,0.01549991493758812,0.0014224941972687335
NDP,0.14128166263781347,0.004851270329581227,0.004244072844967426,0.02017331454006678,-0.01987662109521857,0.028015442308208183,0.002900695246960403,0.019222777277976912,0.07320282785991596,-0.019178435589014064,0.026000022758838306,0.08537781203552805,0.04079586803776891,0.02897710786187105,-0.005626382924705815,0.03794759620514198,-0.012054811991919346,-0.06836321653852714
TNFSF18,0.06754242337802903,0.02785282629613236,0.06943493102181716,,,,0.003412408504933669,-0.01167476352698013,,,,,-0.04113134900656033,,,,0.0086932707399802,-0.026674489673715173
IL36G,,,,,,,,,,,-0.015263924644373143,,,,,,,
RTN4,-0.11238371137669816,0.0377802828295123,-0.03330016326454936,0.002044843687846782,-0.05197921603637895,0.029135928444079286,-0.11738970970093658,0.035306470038673134,-0.023333512634348297,0.0605585721909073,0.005548244828872497,-0.07325815851658102,0.059644494191940456,-0.026254291456370288,-0.07081304085012084,0.0204457317810793,-0.046100212052424844,0.06557583564003491
HEBP1,0.005172090886936784,-0.0023419540354247315,0.019288755443270335,-0.003698249269070916,0.02627419711023702,-0.03353272058943499,0.06147513364336182,-0.014144339629918483,-0.022254689796645934,0.013869936620446275,0.02357168811571796,-0.01300601905625919,0.01514679326275923,-0.026862893548207825,-0.009138775721548182,0.04352463327295842,0.011450344399426826,0.007266826349827227
WNT7B,-0.0806913791269397,0.024670177479928702,-0.018628564235715756,0.028252171221142337,0.04285390050502812,0.040662260574282294,-0.08815839036006297,0.010035500802345223,-0.011246855396774986,-0.0042986454915560825,-0.01677681222020374,-0.027462417860381172,,0.026327423157779414,-0.011273555948735074,-0.021792635990184835,-0.03796697357501802,-0.037371429516445225
PTMA,-0.0744340188091087,0.05089918440683725,0.01588201395661052,-0.0363192520476593,0.09381121448756592,-0.024075088308899942,-0.11771924653989488,-0.012275676363170392,0.031728304723743245,0.013283207865223185,0.00801327872430388,-0.027982404598705872,-0.1259362929981174,0.02700979691420651,-0.016434809924145897,-0.004174478730877161,0.012311793215123096,-0.06942225447377455
FASLG,,,,,,,,,,,,,,,,,-0.018946208230132842,
CEACAM1,,-0.0245326243144192,-0.014296302618219332,,-0.015223902891089271,-0.028734904465603235,-0.034097863182465424,0.08524846148157729,,,,-0.0019046695093632366,0.04889370790596575,-0.008658587368383533,-0.01668742919788324,-0.014464089452255467,0.004504818159064911,
PDAP1,0.00877884297298417,-0.06889528055090462,0.025992323128258638,-0.002940159459209837,0.012817765780855705,-0.04654728661967788,0.12408746451620338,-0.027845066263896507,0.011705845531596443,-0.04115073452924912,-0.021098351713128658,-0.08601245673457604,-0.11115091349802184,-0.02524713497255762,-0.04403914860563471,0.05176592165662659,-0.0007315512076578394,0.0006441195411279907
QDPR,-0.03836932282544597,-0.06041448748689734,-0.04540482436407446,0.03759782140456184,-0.042994249030195164,0.054045921371115864,-0.0850695535921914,0.026376065207179732,-0.026592670912514747,-0.02603248530792357,0.03109097910262498,0.04703566676850791,-0.07992107030297847,-0.017012008968210233,0.020466934403499216,0.01397220857540611,0.006538385878745995,-0.070264188583879
POMC,0.010204449039935505,-0.0005617724237010314,0.0262871172009706,,-0.014003888377477751,0.10390946819405618,0.041370160326423315,-0.013546472378155074,-0.03024957849072425,-0.02010925769839702,-0.022281870381921295,0.00015252768948418018,0.08352239839173764,-0.020104842932582884,-0.016457132996111963,-0.02366135025964456,0.01879128921384447,0.021748389618716037
CCL18,-0.04636386409895875,-0.030614397203252926,,,,,,,,0.013561012613618723,,0.09648535626423546,,0.0799782233318903,0.03046478379681188,-0.033155560648254416,,
CCL17,,,,,0.010828604811846339,,,0.02401483219302638,-0.013920454173200043,,-0.013944028505308594,,,-0.024205088354676687,-0.024089351674502626,,-0.017172609729727,
VEGFD,-0.05223852338891933,-0.019649497305861935,-0.020476585242467097,,0.004922108409100309,-0.027491929675312506,0.03690113635502108,-0.015513197618244072,-0.010210821482018302,-0.013586627386670512,0.030146836307956084,0.05809329528800554,-0.0014331439592993594,,0.0315547193578639,,,
TNFSF13,,-0.023102613875977906,,,0.03915166055541761,,,,,,,,,-0.01644917404088968,0.021339452691219448,-0.016242203034937695,-0.027981334215095497,0.038837906651557216
WNT5A,-0.050542566765642706,0.006104955882255836,0.017795735579056737,0.016058962189750264,-0.025457941891501037,-0.04249916462768159,0.10376948748590988,0.0090797689978637,-0.0119181779364296,0.01523227556488271,-0.07258278533014395,0.05266929779014997,-0.07816644715510708,-0.016633306135653426,-0.021441131472210558,0.008600323660593674,0.027471742370379217,0.03990822371627969
CXCL8,-0.03991664292949811,0.04531472894433264,0.11533472711158209,-0.0359863825709772,0.0914003386503246,-0.013069036764481203,0.08626820028052323,-0.031222953146134592,-0.00950876094533376,-0.0189190152174362,0.0009936915919705545,-0.05867286393660455,0.05449360507603126,-0.08503287898416946,-0.041032922677990705,-0.08112396268281638,-0.013905173633365058,0.011270052998864992
