,UKF243,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,UKF334,ZH1019T1,ZH1019inf,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,-0.013231780592814936,,,,,,-0.016603058072280137,0.17901745516514264,
BMP1,-0.04573399073397542,-0.007176178705708175,0.011195230210290168,-0.05307212158539382,0.030411146468830093,-0.040638204959647185,-0.01877563117255246,1.4532424953138361e-05,0.004872009644951445,-0.010084183473572221,0.031806113449041225,-0.01399840695607022,0.03422893737205029
NDP,-0.003638109624648296,0.011000045539524765,0.04364035696494543,-0.009940521054912095,-0.02581522729977299,0.02270126885228962,0.03995376413538745,0.010167639455248723,-0.009822946707685512,0.028619318046817502,0.055216046086920156,0.13595796683186132,0.0476627797798772
TNFSF18,-0.02154482699216585,0.0432828253437672,,,0.06218421976713864,-0.02547474106848831,,,0.04578959312635361,,-0.017122440728757498,-0.023273397618619757,0.034191300126579706
IL36G,,,,,,,,0.0015607111481561872,,,,,
RTN4,-0.07669885458328818,-0.05232079688332561,-0.031075508937176984,0.06846647934052179,-0.13509223424315828,0.04299326264457002,-0.018549262276143678,-0.061067754128595754,0.05508093772949476,-0.003971867129669603,-0.04047751504584258,-0.00828153934530095,-0.07267808746275306
HEBP1,0.02377678782404607,0.026826212162060242,-0.011225266965522038,0.030173673739955394,0.03978087123934935,-0.028645317537289956,0.06513993082322743,0.03849389475745417,0.06899212984927994,-0.014892544407521878,0.051927741477516894,0.05844373388085369,0.07547629648511453
WNT7B,0.009334934170361343,-0.025411050112892238,0.006004867596473363,0.013825014154112908,-0.040005688939719196,0.0517075772993889,0.008494013412699742,-0.01918663948528177,,3.840319142113077e-05,-0.03580440873324431,-0.02377523781779609,-0.019306379001261947
PTMA,0.005035527809480987,-0.06548796527743517,-0.010509691938886645,-0.10975489382562037,-0.0576571409258532,0.04928435402005414,0.015583151917397776,0.05762336839682366,-0.013586264060006459,-0.05768877775350782,-0.028662299229013997,-0.07382967208361578,-0.10253673238139464
FASLG,,,,,,,,,,,,-0.018160455719658256,
CEACAM1,,-0.01950145258989605,0.0016670704150372846,0.009331894424936043,0.06660305127380864,0.01854987025570288,,,0.08810206551011737,-0.04761977331011085,0.11859903986133609,0.07507081070472384,
PDAP1,-0.0054810822293941686,0.04998983965490205,0.006775807925391058,-0.03209740695404285,0.06898786419927805,-0.005999866516302642,-0.04481833928534525,0.024535109678158556,0.01573580130643541,0.059021318949364396,0.03409428634105154,0.0370239856869498,-0.015468349019081054
QDPR,-0.0319571551981299,-0.08019352925081895,0.00316329603840505,0.10160122584012893,-0.09208524781816911,0.023261382423838885,-0.008077655302002421,-0.03537897617089338,0.07669214018350612,-0.08478900181954438,-0.00973618115774717,0.05650978149666247,-0.022757564023616096
POMC,-0.025406510635965336,0.003074816677337942,0.05651988009410221,0.01978570480124721,-0.021659519675478606,0.06564803051196741,-0.061572787108300844,-0.017157685631203408,0.009866050515848488,0.043232990057517164,-0.05321161024647271,-0.02215515624903615,-0.03775657298641265
CCL18,-0.02889338450323036,,,,,,,,,-0.03376320222104665,,,
CCL17,,,0.02168323461701556,,,0.03220148858778146,0.03871640156893029,0.04740625431690231,,,-0.0218901729923347,-0.016460413334404327,
VEGFD,-0.03255439923936228,-0.02793191827095464,-0.008506150014499083,0.010506353905157396,0.08327646967073041,-0.03385033808657202,-0.0051089705139969275,-0.01709084422309279,-0.011073369634372403,,0.062387364002388326,,
TNFSF13,,,-0.026973832949841185,,,,,,,,0.01856699461992857,-0.010291566351848802,-0.03392937936552425
WNT5A,-0.02457746897606092,-0.010951023849993316,-0.03169357105833197,-0.07390830131320952,0.0001565735586994375,0.04874967803722157,0.04530486389000126,0.039413490640554424,0.04886410360625019,0.014413544562986285,0.01893089297023825,0.002533281730957518,0.02179303726310738
CXCL8,0.0051517824516014755,0.026050389783891036,-0.043419765451336106,-0.07033066645742078,0.014196665261326914,-0.017741891366675304,0.013708066067237115,0.010188766789120491,0.06737647012382593,0.04465299370034932,0.09841055414689687,0.007021786416068388,0.000169831178039508
GRN,0.023708122838773205,0.05685692969975166,-0.020325837066691346,-0.010521798736178603,0.09097949196399817,-0.05053296444357531,-0.07399344711989714,0.019295349421716276,0.07807118820196654,-0.005023205042240045,0.05489223733621135,-0.1124220485556385,-0.05268213991011748
MIA,-0.029395867472947243,-0.024840694752277227,0.016907958591300565,-0.007185883867429792,-0.01647000838175224,-0.02872502885628358,0.00766088600486374,-0.023406694395218964,0.05587913412131593,0.17238187999518842,-0.02455104645436001,0.1422176960239937,0.07215541928380544
