,UKF243,UKF260,UKF313,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
DCN,0.06768712604510682,0.047865940347013414,0.12398797118463249,-0.05320815315591384,0.00976457620976993,0.030248298698162493,-0.03148013465542314,0.10681345492250584,-0.0345194304387803,-0.0381127919114497,0.0068964522183659555
RARRES2,0.04783357313266154,-0.014357914422990418,-0.08475241857094482,-0.04791813489368484,-0.093033097483244,-0.02865555674904264,0.010789444387825026,-0.005575008467785877,0.0669980367129089,-0.01428744009222897,0.0058612852792037234
SEMA4A,0.033468154038149844,0.026048791859005493,-0.0333787660349488,0.029821187639811182,-0.051239528671869705,0.07186806810573068,0.009368094944417848,0.03986345231253259,0.033810260416767095,-0.038785596941390575,0.014186857248762716
GDF11,-0.08129266879606042,0.008144173734784193,-0.029242253800157613,0.07953609570780665,0.03437707332226453,0.009404671468363114,0.04079143848054797,-0.0029597633904440927,0.022126819505485062,0.006502817940094661,-0.010956101454128248
GPC3,0.050429856461431485,0.07553500301172338,-0.01649077947387679,0.012611155462584565,0.004655497305520115,0.1110958367797674,0.020027057831702062,0.07807899225242011,-0.055665535530306905,0.022394328007160118,
OSTN,,-0.017798469370994635,,,,,0.08091640142815501,,,-0.07187980512104042,
GRN,-0.005622330193161027,0.011253738295796649,-0.08715847256634149,0.06033038040439432,0.021065857904181754,-0.013827642635572306,0.06432649101304701,0.0554278223394162,-0.02599530797897279,0.03550675639500645,-0.03875468047398166
CALM1,0.10178586322063667,-0.0313669679373244,0.0810183195841838,0.0564027533941461,0.049942617263773144,0.006605985373397148,-0.055292929000665465,-0.022467083539440227,0.010404205960688683,-0.015259953848008398,0.03978199895598133
ANGPTL4,-0.12226542480829584,-0.006306974695904868,0.005271925918076133,0.09457150729911733,-0.014029790796508429,-0.09546802522290133,0.026406514618544524,0.00667528164204424,-0.027313690365485758,-0.013865216146602972,0.042142883865302704
BMP8B,-0.03496366944240439,-0.06906973920889964,-0.019665593854408327,0.0392599165960929,-0.0024960373809903603,-0.0015900185733458614,-0.012164463344858064,0.001058991063712236,-0.0484892498555539,-0.03572462209282309,-0.03515381230538435
TNFSF4,-0.004903580515201397,-0.021354052681653565,0.092157839075054,0.048936864590670724,0.0760978277763704,0.03332276649166598,0.03703196860735634,-0.01895752101086584,0.04746804475210193,-0.003745785757110574,-0.06362214367100268
RBP4,-0.02552337615060787,-0.0341281745307031,0.059124761524117164,-0.002691513584045113,0.044255576694531,0.13629678966299025,-0.020627541408414964,0.01287450190319965,0.018947352474265263,-0.001784287847788952,-0.01917524090014487
DKK3,0.07743414507907559,-0.012118312483840618,-0.03276436412311959,-0.022807415580574857,0.015349158788744884,0.08514673752605753,-0.021520056547967334,-0.019543976301396277,0.007347766774750892,-0.009955625332346665,-0.03216168229484092
COL11A1,,0.026687395507674308,-0.0070677778338784315,0.022610729396100655,0.004676492182086213,-0.017655079290992373,-0.04358232511358764,0.01167233997595726,0.04845497167328075,0.008728211759479847,0.018418542947974192
