,UKF260,UKF266,UKF275,ZH1007nec,ZH1019T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.01880731892511695,
BMP1,0.005953908993945379,0.062286856200489564,-0.06531387274023549,0.032797372261967696,0.1310240905113371,-0.005772811762199923,-0.039673392605415254
NDP,0.04114216338911288,0.045582848101886946,0.043942585903740124,-0.013481285410584421,0.0916071660246562,0.11197870695294013,0.04223752784488297
TNFSF18,,0.012922343768871953,-0.010647509681371023,,0.058771687088691946,0.06491511883031283,-0.028252151085598275
RTN4,0.03933092947680864,0.05017628636749669,0.05996853534421803,-0.026567785673216403,0.0011675342350985019,-0.009752986093343277,0.009740326582604646
HEBP1,0.014275340812991236,-0.005140947925774125,0.034611750603350776,-0.009274451693434039,0.0035244836983420835,0.06422029611288967,0.007640848272470131
WNT7B,-0.004014873480108125,0.013261176365733072,0.026304143180803433,0.12510048728836784,,-0.02910216243807336,0.036051474237722765
PTMA,-0.09855184419193008,0.003372720300822809,0.016549888218528666,-0.0403771169025514,-0.071584254342416,-0.08822118626587719,-0.019356163180234
FASLG,,,,,,-0.016311581287544362,
CEACAM1,0.05019989376700454,,0.06606492686966592,0.03704748357918333,0.028380093543828405,0.05227994703397085,
PDAP1,-0.01267616152170231,0.02662816347530318,-0.036617727020540905,0.05101096633365304,0.05318956041862198,0.02801646685338589,0.04710181532597296
QDPR,0.007124890123509822,0.004633498344823649,0.013874878881061497,-0.02137004050730843,-0.03745761845051936,0.026292862068990282,0.04073179394205089
POMC,0.03230724431945928,-0.0155913291074057,-0.012354528249030876,-0.059785386266635,0.007203052985518939,0.029190075974290054,-0.004442167493910919
CCL18,,,,-0.005841994114682746,,,
CCL17,,,0.02796573083802021,,,-0.014784616326564736,
VEGFD,-0.019823148028365892,,0.06451033503859954,-0.041032044546400914,-0.0434109440274158,,
TNFSF13,,-0.013221199680168346,,,,-0.006021353371973,-0.014871550752199966
WNT5A,-0.0334840428255085,0.022626198268125376,-0.0034035224966738843,0.049569627016935916,-0.030159895466643168,-0.024857940669635044,0.015608500294199058
CXCL8,-0.04970834163327662,-0.018806299029192286,-0.0297149118741063,-0.09701510128503023,0.10023675102943715,-0.025162481916332205,0.039721233167145834
GRN,0.008959985585505655,-0.00990917085924498,0.05496084632235566,-0.01814373303380557,0.10086423189294541,-0.015109070872855436,-0.08439005520053598
MIA,0.03866056659245709,-0.02390647887834691,-0.026101067462027047,-0.02210564717014521,0.04457857889397737,0.0964941934392767,-0.012180113696371498
COL4A4,-0.021929625012815618,-0.012579387377580195,-0.013864227203243833,,-0.033991624118644606,0.036042382123240235,0.03951967058386828
TAC1,0.09553017050754922,-0.005331400781320495,0.01686362759159511,,,0.0013493589191025722,-0.002833026659249203
