,UKF251,UKF269,UKF275,UKF313,ZH1007inf,ZH1007nec
IGFL3,,0.1777311518711185,,,,
BMP1,0.02916060394160176,0.05749195899361002,0.03212962192441566,-0.02548894864090553,-0.027281334351512015,0.07023296633208855
NDP,-0.006112418731079987,0.001870344074787048,-0.042640100882990445,-0.045029105032284335,0.050765588636956106,0.011872409253164826
TNFSF18,-0.03489886549559948,0.12436774310287188,-0.010647509681371023,,-0.026346382368070357,
RTN4,0.07146001789618459,-0.09331735881471814,-0.006974309660236939,0.0027506323371222076,-6.210398401102587e-05,-0.1320488583874087
HEBP1,0.047942983407959945,0.08148502271180985,0.030448297546404376,-0.09453856936906854,0.05416580847379175,0.011661778814257836
WNT7B,0.03729478072880447,-0.013854687177061425,0.009222994405132285,0.027956772880114524,0.07580283343025197,0.00324767500800653
PTMA,-0.0021717737856075127,-0.04148162626921629,0.0006643216224560797,-0.004941610387102335,-0.06681183072292317,-0.12188465683355981
CEACAM1,-0.016636632853729783,0.0970449060723053,-0.00016991931987287502,,,0.0883214215750721
PDAP1,-0.014938875831081977,0.08039183429089759,0.024769015549549904,-0.04715475238774116,0.07631563447705109,-0.009034248628781485
QDPR,-0.02841617280869333,-0.09331316759620131,-0.055488194511937414,-0.06646552189074263,0.06519314668257782,0.02289474928572601
POMC,0.0031318795918411674,0.07032299031830272,0.03248020313266697,-0.022929635089457397,0.062087749143421335,-0.020616837492892053
CCL18,,,,-0.000883194676323908,,-0.04194780749474337
CCL17,,,0.027810130332000242,,,
VEGFD,0.04470038552756357,0.06436103463978866,-0.014148202783512946,-0.01549218836146382,,-0.0005424322280545137
WNT5A,0.027283231905875047,0.07917857459319243,0.017047450874738627,-0.02053449653475542,0.05409966301470111,0.1149696206327265
CXCL8,-0.022311724971892558,-0.017601909662083887,-0.029281416766369882,0.004089384568708751,,0.006765270442445345
GRN,-0.03162585770355574,0.05730969635204341,0.04103399026300141,0.012157732535440393,0.03657078934495814,0.05460103588479868
MIA,-0.02119152491437106,0.07460336712433924,-0.026101067462027047,-0.02101019063501011,0.09465396315360562,0.12697258184506308
COL4A4,0.06825932881753825,0.16059950086787347,0.08508416202178468,,,
TAC1,0.004701103538793397,-0.020544010022550546,-0.0015797606139232906,,,
RARRES2,-0.02071461779657954,0.09197424962666059,-0.006848488959887543,0.048574606249356944,0.05435885397696797,0.011240426657716589
FGF7,0.023619700694019446,-0.016517544075504754,-0.03160527851273665,-0.03375452763751625,0.055792841194726134,0.002371193669681311
HBEGF,-0.02113379114604183,0.09189794218077965,0.07010969546026742,-0.02816270391949941,0.07468960014680402,0.014490047672265275
CSF3,,0.1440569544234298,,0.046755629399661956,,
PI3,,-0.0184275591737816,,,,0.07634842250300358
PCSK1N,-0.017751680150976806,-0.017446800343838966,0.003351662449249674,-0.018558009658932974,-0.017443787028629816,0.016139491884909974
NTS,,0.11388382806599939,0.018968211398022475,,,
SFRP1,-0.019426511941045898,0.08085858853004069,-0.008059980568111734,0.02837314720631617,0.09714941745169083,0.006569604064642334
CXCL13,-0.01618664828170265,,,-0.04380823827486287,,
MICA,0.024668063442663295,-0.027700321426043728,0.0032439840761319177,0.028321504470350308,0.049957815600661336,0.0009680895345569631
TG,-0.022622468660661282,0.05740751758259309,-0.013378611417638507,-0.033067046406947145,0.053690719243648474,0.13279553792556786
ADA,-0.04000186395974425,0.03314364248030816,0.018898582236879773,0.014464578232293407,0.023804463141304924,0.03242250996911003
LAMC3,-0.00889801045620567,0.09247774297111279,-0.03955359833458631,-0.04758686308584435,0.06213296724193135,0.06366855468836292
NGF,,,,-0.04859370294398495,,
TNFSF15,,,,-0.0148215451347669,-0.03112197078667825,
HMGB1,-0.017870232546102687,0.09113627627908265,-0.009097511711932278,0.0028663627259824177,-0.04051460376985893,-0.07020708634777617
ITGB3BP,0.015964264057329185,0.04228712102366348,-0.024128990115322515,0.024400287275661212,0.11675007494664087,0.06054023767175139
AANAT,,-0.014761955793220555,-0.012031463432730795,,,0.05831366860046691
RELN,-0.02942391599020913,-0.025220354795740363,-0.02648939870959768,,,
IL15,0.01869762375020304,0.0054311522472317,0.0091390090274367,-0.009294944305304167,-0.009100441607910213,0.07544805079894822
UTS2,,0.019263935173976315,,,0.03799382337774634,-0.023638360176938752
BSG,-0.01396569923840745,0.02774433127104019,-0.006055715076280481,-0.010600194841019057,0.07970093052998452,0.01587265868677872
ADAMTS3,0.1112063676327118,0.07194305812154206,0.013786612933341241,-0.0290791989327884,0.07489157469446175,-0.021652636760148832
