,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.026686856796426565,,,,,,,,,-0.021684176747734107,,,-0.021845065693575062,
BMP1,0.060235265554351373,0.05586332680376067,0.04249820906700527,0.039901228409665604,0.0010167967230808304,0.06817347409511545,0.13873803026246814,0.03895418437190833,-0.040924420504083264,0.049976447551682804,0.019568039982158232,-0.0652918176316872,-0.02368341569042113,-0.02298516581611439,-0.029368576419697593,-0.005190804650378585,0.006852807835950895,-1.051758950283602e-05,0.056954750495201184,0.03557432983031482
NDP,0.07500988448000884,0.023920582897016946,0.05145160992647756,0.03712380872277223,0.04146345451649236,0.08803784404909572,0.03591743814092566,-0.06527812333001785,-0.00983381370621572,0.019664411179189045,0.071571279315288,0.00481717746117967,0.1367557135679874,0.09163224505982341,0.1113056294146988,0.05339871497485149,0.057515949714647484,-0.04353328173736962,0.013257180234612746,-0.053787263800112076
TNFSF18,0.08064184085592616,0.07781300234973974,0.022229592271437507,,,-0.01668935651287683,0.028899450173533858,0.0316475035371798,,,,0.07295463646176523,,,,-0.022362508731741684,,-0.033140151486892235,-0.0032801977530362587,-0.02322655387694751
IL36G,,,,,,,,,,,0.05987664250001997,,,,,,,,,
RTN4,-0.008643691030899611,-0.01993848409492068,0.04247805841064322,-0.00363280267851345,0.009526262579575487,0.011720118160133172,-0.15484570608858098,-0.06353012137333554,0.03918832080235169,0.10489267803682556,-0.07497494441998727,-0.019606201030050126,-0.07491963617793412,-0.09928221173124423,-0.0717568980938685,-0.09490938970337442,0.09304582835833232,0.015275769011223874,-0.0036089806673343075,0.086487302540298
HEBP1,0.04192971695628046,0.053562825472373586,0.07057782824058659,-0.0031795984954509355,0.01964730663043042,0.033033727142699275,0.011111921532730008,-0.036813890491872524,-0.0012933640884103435,0.038400576425106345,-0.019355975420721483,-0.023243899887676583,-0.06259526801531401,0.06961161215221315,0.05750446111580902,-0.03991276098559936,-0.02011539676834753,0.04256612212770472,0.013255321335163762,-0.03954210330037441
WNT7B,0.046631192704855176,-0.03597878606918743,0.11605900196102277,-0.006819593777782717,0.02186087415050958,0.015791296564440355,-0.009830916684633016,0.023026385721265346,0.010399705561880928,,0.06187769453289522,-0.03236212586267901,-0.06709073184531184,0.043711533274360295,0.06803345327244449,0.051789115033925824,-0.032857015987500786,-0.03314011712304463,0.10402653173389208,-0.05050173919043209
PTMA,-0.03610618162354139,0.04693225747734399,0.03668500109709471,0.05082306954395846,-0.018887580277274187,0.00603152627613961,-0.10118377628256386,0.01133446888423622,-0.011289092655123345,-0.13505559923434285,0.03985521592671812,-0.06242122283914582,-0.1754115590364707,-0.047822083979920424,-0.0353090197908013,-0.05789487288000884,0.0018511845160136256,-0.01028830405008417,-0.08482120848327,0.06356649528637413
FASLG,,,,,,,,,,,,,,,,,,,0.06893108991570675,
CEACAM1,,-0.010411957217549471,-0.013221173748456687,-0.042184726435630496,0.030984743246767282,,0.06349082664387293,0.025758766806136868,,,,,0.013976068269197022,-0.05913330939781066,-0.00879790185320145,0.028986520068712877,-0.027969543009915075,,0.0371615671537675,
