,UKF243,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.01717328949090706,,,,,,,,,,-0.029695606339657104,,0.05700856297343993,
BMP1,-0.029629602319672235,-0.026688025746924738,-0.02116326162885181,-0.041064679988040594,0.05666282855951632,0.16440198353252167,-0.008532519309511434,-0.007244353195766205,0.008279295718355405,-0.011802391261591418,0.04048238358263999,-0.026033247064320697,0.08886228916030435,0.020658136275197483,-0.03968520803595322,0.13017615742905583,-0.03696617144064883,0.020818409129648833,-0.04384416565597667
NDP,0.10412236769133987,-0.03762258538548943,-0.018190298520798617,0.015982345144281776,0.08840717558379348,0.0697532254708774,0.03038615635139886,-0.009137831453355904,0.0013763725342717142,-0.015598268877807743,0.002782495421392803,-0.019872731720673616,-0.08092953520335107,0.09878871201017575,0.07607594687194175,0.045221910736210534,-0.04674595293934422,0.041678443665463645,0.0007969597919499466
TNFSF18,-0.03384890154288481,-0.019868984958115406,,,0.08158107994119411,0.02211413620128863,-0.02519422073074898,,,,-0.016686622273907978,,-0.051271885315850405,,,-0.030624554659855262,,-0.03624442280281395,-0.01984344052201448
IL36G,,,,,,,,,,0.1335566920803328,,,,,,,,,
RTN4,-0.07973954071149485,0.03457367642468968,0.04947086424360503,0.06437076594006792,0.0157463210840936,-0.1975799990949544,-0.09944453719472741,0.020683025823320995,-0.005513807347768677,0.018002454623752554,0.0034284327055539407,-0.018380540021960094,0.025529152123274036,-0.04212056338096129,-0.05246749308685775,-0.09245317664418946,0.14186266421727434,0.004090440889713183,-0.036048838683361846
HEBP1,0.04376157785979024,0.0786510855286448,0.04723882372598891,-0.022133134454108676,0.013595623488769741,0.07253661353165194,-0.013466806440540805,0.012370812100660199,-0.06617473546460642,0.02627323175467179,0.03713505808295312,0.01859992898508739,-0.09517474785793381,0.0532329081955605,0.0432338942914316,-0.02151082118157554,0.023631178406192496,0.08384521097965525,0.07516824237037478
WNT7B,-0.029419832974558958,-0.00673718521307208,0.04467190785720944,0.031860596027424436,-0.005642478355119691,-0.003976660005865022,0.026356440176683864,-0.02349558464406265,,-0.01773998393828855,0.03354641962782697,-0.015193989060979985,,0.022767573981762386,0.06397154816695977,-0.010890742585434033,0.06642334400643417,-0.01051041116302701,0.05284622124057624
PTMA,-0.06492044742416062,0.038526249666126784,0.05036959024706761,-0.0420469343703246,0.03401148604638593,-0.0710758154744896,-0.008179308458345195,0.01707924700127053,0.02386276265971584,0.013099428296009063,-0.03592519889315759,0.003605949463850251,0.0053937597973325166,-0.10520310264196843,-0.025871975186327983,-0.12397881697157799,-0.024260454743129233,0.0014110576433895398,0.029352428500097325
FASLG,,,,,,,,,,,,,,,,,,0.07291628592514382,
