,UKF266,UKF275,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916bulk
BMP1,0.0836044904083124,-0.01870482898593632,0.006357852021469823,0.0029540593740991442,0.013885323506694873,0.01810417218396752
NDP,-0.0560592657278287,-0.023462141242044744,0.016588544804349844,0.0031755948984724244,0.04695151269034234,0.07384841733077886
TNFSF18,0.10696326511047988,-0.010492886331704632,,,,-0.008156480119976914
RTN4,-0.004018501062609161,0.011756338533628985,-0.006797325502551656,-0.028885355209713467,0.057281982021785124,0.037435392379789836
HEBP1,-0.03307161661560569,0.003127599311663972,-0.0026588037869331674,0.011651895848866445,-0.01133105481965688,-0.05460249412005272
WNT7B,0.0280000553906859,-0.011624314448518318,0.0018499307864571683,0.058719139856508666,0.08731950186793323,-0.01906299422467755
PTMA,-0.004890799215640931,0.0046180995680800575,-0.026935768618675207,-0.01338333650661922,0.01867528302331536,-0.05280743327798196
CEACAM1,,-0.0165028104370964,0.03010708448322058,0.015781656870822454,-0.01603498154134533,
PDAP1,0.03359985867189645,-0.021596895414422477,-0.020650275653056816,-0.02228244519935384,0.053696869181580134,-0.008375102286572499
QDPR,0.04611449993311591,0.037843633157313136,0.03374680445763423,0.018211530302313424,-0.026387573015163642,0.04518857141583336
POMC,0.07427449087551263,-0.012175115541404461,0.0003760007505336168,0.05054431057699027,0.003318744524645267,0.040157645561167916
CCL18,,,-0.03249000973681347,0.01017669033681374,0.010847099712595116,
CCL17,,0.07061804252168113,-0.016758085356743023,-0.03165858887683011,,
VEGFD,,0.005529721576796992,,0.12602404120190355,,
TNFSF13,-0.011844249475520555,,0.05333968079100029,-0.011045834425894808,0.002647310277689614,-0.02901804342073641
WNT5A,-0.018332100948365047,0.011568187087726372,0.0781547949874245,-0.02131695448386448,0.0101281723491157,-0.04195298846897675
CXCL8,-0.016847676670908366,-0.0268129506469383,-0.08909655104839781,-0.10431083885044251,-0.004162013895792443,-0.05447261968191587
GRN,0.006447348482578631,0.047800030192841104,0.005399923600462751,0.08637927049142805,-0.014505091742535437,0.046069809134072194
MIA,0.08333051001931205,-0.02572202723556844,0.13999301387591423,0.09937368869251122,-0.04452438528402982,-0.03274720744601344
COL4A4,0.0546274975029496,0.04675779064054341,0.10843949974574939,-0.011636339229884794,0.07462134943328075,-0.0324320573723403
TAC1,0.05188910118128913,0.030724509725272027,,,0.026540579658406265,0.03464174650926496
RARRES2,-0.02083260983148433,0.012095008053207498,-0.0355611079641647,-0.05718624166885034,0.03258417297413751,-0.02328613089021809
FGF7,-0.020686168676389404,0.06326273070356885,0.024626314591708713,0.04626775050287847,-0.05035265509296222,0.08637801888543015
EFNA2,,,,-0.020843825059717963,,
HBEGF,0.02549670881212509,0.007377045067147448,0.015030787087106137,-0.01026081530081047,0.018818784462738068,0.056280504161324976
CSF3,,,-0.0895978962716767,-0.03734086360252607,-0.022988336396604598,0.024779555730143683
PI3,,,-0.09586663117029039,-0.07480543180636105,-0.0012853754942482956,-0.01526623247779033
PCSK1N,0.006150955717173513,-0.01943666010002387,0.08312624929985117,0.013634191786138547,0.006677228357309098,0.10337426472154412
NTS,-0.013757230519848094,-0.015608264320693234,0.1902330162857804,-0.025394245439657338,0.09078371636846595,
SFRP1,-0.041869524168060696,0.01225051733103325,0.06394433964532424,0.05743672928113871,0.04271660992656842,0.0036591134538981615
CXCL13,,,-0.014686494791918855,0.009027168314320636,-0.037498760440710335,0.00875852677257878
MICA,-0.029200173023482396,0.0046662333639136315,0.061415705658186895,0.04407978817117592,-0.02111864992239652,0.04974198666889612
TG,-0.015879470608495257,0.1298714976449615,0.017012449197203103,0.048963287661454906,0.06275557980219489,-0.030494409451288767
ADA,-0.006565250607600255,-0.0026739831476453478,-0.020158039687513337,0.08659486074758842,0.03476007012914877,0.032767642391057276
LAMC3,0.09347965229764801,-0.010519169620357538,0.0547087327098103,0.05312898824024582,-0.0594840735340664,-0.0027052009321900214
CCL7,,,-0.02511650720066186,,,-0.05776749472742519
NGF,-0.01515327410484983,,0.060226337299754185,0.05723146122854048,0.0016750214301652234,0.015866398800323596
TNFSF15,0.02265228430674326,,0.04486715677281357,,-0.014275362241250983,0.032020353991824076
HMGB1,-0.0007453468915337282,-0.04894540322568852,-0.06217186437250234,-0.05819044435940604,0.05507434868174602,-0.035384922559333794
ITGB3BP,0.07462353642316098,-0.05076937964055222,0.014901942661623792,0.0006547173019353927,-0.01111208039271237,-0.014847000413215392
