,UKF243,UKF248,UKF259,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.022022207550562008,
BMP1,0.06099830660146262,0.13092866603038558,-0.011417125148868475,0.05594203535252364,0.053444654312035454,-0.033865445410159456,0.05474562211240987,-0.023808505050735798,0.060807103996024625
NDP,-0.038528202008614544,-0.04884633602893142,0.03639761689860201,0.05056026789184309,0.07355062003042669,-0.11557898663124076,0.046317090944780724,0.03433343843594223,0.07019111897732165
TNFSF18,-0.025285700390958565,-0.028252069056272512,,,0.09946144459659076,,0.009119306694746462,-0.037147526971229125,-0.019797455951448696
IL36G,,,,-0.01631018900900801,,,,,
RTN4,-0.015305083696319437,0.0037355774017574965,-0.0779187822217071,-0.07322950349844994,0.006845636250947554,-0.008217188237397453,-0.12748585291087275,-0.0010535456579494511,-0.13760445074644265
HEBP1,0.07486201663629978,0.03495717698811968,0.01456630137997817,-0.01876393277171187,0.05804028115848268,0.0954657361461371,-0.111230347375329,0.052598509632348134,-0.04069121335591375
WNT7B,-0.01445619988470447,-0.0323417204856829,-0.024950399184458325,-0.01792677732990707,0.1667538065271167,-0.03479097974237298,,0.015321454320109684,0.016558138271081373
PTMA,-0.0033683733991554787,0.014148659634850217,0.023497185535267733,0.0906942838025817,0.1130662032376604,-0.02768058640279321,-0.09862225325075508,-0.07406710700701696,-0.032654042091828275
FASLG,,,,,,,,0.070212718875273,
CEACAM1,,0.031203024628826827,-0.008945863771845291,,,-0.043157084392802254,0.019716251225538668,-0.026574640324751254,
PDAP1,0.12275637564297276,0.020208556579345845,0.05096643513049734,0.01312967169929496,0.029264033409643782,0.02624558915981025,0.03289972503065739,-0.01204648996621954,-0.06714627248789264
QDPR,-0.0018860957600558288,-0.04837059969321016,-0.04325254695638675,-0.04264711239048238,-0.11673475783819566,0.01968088396876015,-0.061430804807281095,0.03366464026475637,0.0010499529296368341
POMC,0.005870072424627619,0.05043023561910175,-0.01608129923517563,0.005256403065078852,0.0864131245108546,0.15279368067568014,-0.08378996862748993,0.031171507781838487,0.11587716642517513
CCL18,0.08756860149322242,0.040562807542192346,,,,-0.03700494362001039,,,
CCL17,,,-0.01669895569328328,-0.014899820705837785,,,,-0.017311871542956336,
VEGFD,-0.03820688770782343,-0.018842506323879113,-0.018604480703326952,-0.015968599347610746,,0.035899617645667334,-0.049013050454290066,,
TNFSF13,,0.006478052342999457,-0.011518565903562625,,,,,-0.028208249716041446,0.04020582239621493
WNT5A,-0.023795667179872207,0.03042747397708221,0.02896602352561374,0.0014431813839193533,0.022612601818265504,0.09461264367415965,-0.05796308911905538,0.030942720488423097,0.016881316703457157
CXCL8,0.022334679453285534,0.023972979573196024,0.013266346811804764,0.018705767397371394,,0.07389575960477027,0.01693603668937892,0.012712917297546906,-0.024539633979192954
GRN,0.09975811433936359,0.11535285117130002,0.05098480623642579,-0.02653193962902511,0.05571437758514749,0.06289531429278768,0.009250471000701175,0.03118197307453005,0.004637010846901604
MIA,0.02521938878766215,0.004699993548452109,-0.018771919593701957,0.04134999626969471,-0.028291151509578037,0.002759477899505232,-0.024697276849730797,0.05505961476756299,0.031757708324160965
COL4A4,0.02589076369608121,-0.007405123935534847,-0.01655073816977927,0.04207664718250621,,,-0.012484156716554898,0.011494524898750195,0.009330722840123519
TAC1,-0.04817053170006317,-0.06938288087059774,-0.0023725291056684076,-0.03759644183622604,,,,0.013323733380588058,-0.06265151231580493
RARRES2,-0.05007480422357461,-0.003400115610261879,-0.012961253424216656,0.09536316084750927,-0.038314034647739546,0.040509301515874896,0.10424558959862854,0.045557200562574215,-0.07519403697680827
FGF7,0.07738629076814592,,0.014231111145034139,0.04785071174397216,0.029012754581804467,0.013463628541848844,-0.05530430253880817,-0.0012150729877195667,0.08287323551859796
HBEGF,0.05666868920419439,0.07635189972205293,-0.016794471634552974,0.06365020702872883,0.050462999543641085,-0.04409961620794212,0.039732037129596415,-0.009419105307860155,0.08668107851735092
CSF3,0.13890431861887378,,0.037128402391469945,,,,,0.005136472583974585,0.0013680509065119733
PI3,-0.020359910397915144,-0.0102912345822292,-0.016274192473540203,,,-0.03909069819189677,,-0.029156621851260854,-0.0401532732381761
PCSK1N,-0.045520366481088835,-0.04521132560064596,-0.007417753216190149,-0.01973985645416509,0.05697664335484929,0.06472375634967208,0.011207484992995141,0.022665032411490316,-0.07759329193136465
NTS,,,,,,,,0.004243461370794478,
SFRP1,-0.009551273943018307,-0.0030118707087475687,-0.014570484316984624,-0.010596951878996128,-0.015046875263452277,-0.0030495332981043803,0.010999746933470337,-0.026364092331644877,0.0028001001902697633
CXCL13,,,,,,,,,0.06398418981264736
MICA,0.03973633447959949,0.0889042005740957,0.06384830824078085,0.01249019169292105,0.08058204239345916,-0.005345874693572685,-0.02644414562607332,0.01792054567748506,0.055219364877907205
TG,-0.030660249302111614,0.010873602245169211,0.002589701404192876,0.06858174494073237,0.040101521666888795,0.01925047273413404,-0.007039320064508963,-0.0111421094493591,0.011981041088692022
ADA,-0.017598317907080524,0.0947222428587817,0.005377897579471112,-0.002062973107289021,-0.01943575227638846,-0.07756462149351674,0.008959221682497708,-0.013240650221947758,0.016368416750342733
LAMC3,-0.08003544450268969,0.12407924000212338,0.023934891307698193,-0.028254358051559764,0.12027426011529302,-0.06589378864863372,-0.019107431714658923,0.021232376830831252,0.0703533736111995
CCL7,,0.08801428748533321,-0.011368326410666397,,,,,-0.01909984630393798,-0.07564421629278857
NGF,0.003405562629037743,0.01951764522528494,-0.026047739413730547,,,,-0.00343833261831929,0.04467924443581028,0.02095762194796466
TNFSF15,0.01567890474993086,,0.0765936999926279,,-0.0289501145486611,,0.05386130665065761,-0.016199765139372522,0.045773934086149125
