,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.01755368742090054,,,,,,,,,,,-0.027147257232154293,
BMP1,-0.018780808133982876,0.06952125628992459,-0.03167904993341794,-0.0657182385149537,0.017287635428051694,0.01958188857505918,0.06585916990710487,0.05051576137488779,-0.028241784689444185,-0.007475371941457066,0.02710122795199426,0.00452877704272624,-0.059105219991488385,0.0791824300383484,0.04410643435656213,0.013611487871426407,0.021962307053269767,0.05382030213344392,0.02165339024154934,0.03911371598882765
NDP,-0.034958235131469596,-0.023676994339060346,-0.03388152973864965,0.054370188954147476,0.037133656523416866,0.02424067550673028,0.05967161104780129,-0.01604836046328386,-0.0620935511275023,0.02770174860731524,0.021617310297968734,0.056264761054330786,0.042446328966685355,0.10428324151513664,0.055652132058491136,0.00274304398610191,0.032423534181183225,0.02353394009758749,0.08819372549177733,-0.0018929892216363712
TNFSF18,0.010467424069851083,0.040475430856007195,-0.033803390009165546,,,,-0.013966648712416681,-0.02606669884390018,-0.02292645083129508,,,,0.02242958307807033,-0.008655503622485176,,,,,-0.01739406602002763,-0.030820640386552467
IL36G,,,,,,,,,,,,0.04510289048496732,,,,,,,,
RTN4,0.0760258434187076,0.05284283223262808,0.028628599576786783,0.00047787103148246826,0.01046037258923827,0.0382942111352154,-0.09121813097523655,-0.06814482806813586,-0.06836428896476227,0.009514583384358096,-0.005005543404500304,0.019462245630213103,-0.035541675739387296,-0.043371613072062026,-0.04851924832735521,0.0276708834339328,4.991188051024015e-05,-0.04298158705202069,-0.047830874784749094,-0.08049145150744128
HEBP1,-0.024728435682834327,0.018030755064461272,0.004409573289743066,0.052790361878494764,-0.011301854195437158,-0.034189311556766334,0.034116015993672553,0.06249393446304253,-0.02640958874998717,0.010268371853967903,0.013886838790095163,0.0005357724340320924,-0.06341986590402848,-0.10572344187514128,-0.001224779291499233,0.009508555512624577,0.04784643450927349,-0.028792767994771845,0.07046150852924826,0.02749440870740367
WNT7B,0.10582689557225362,0.0503603903422874,-0.005600716894816648,-0.023899108144024173,-0.03126426176905329,-0.05676955493296475,0.0040379078462278815,-0.008634803879725289,-0.030026199647472756,-0.017219593969058585,,0.09493372625155673,0.01272263391967634,,-0.034477280638715524,-0.019136473379673228,0.01094373920026762,-0.024159450517226556,0.04111994847144475,0.07473924319440069
PTMA,0.10263138650747934,-0.05394267034192205,-0.0394516463430263,-0.02224796105804534,0.00618089873892142,-0.029696359195615668,0.10680074426286741,-0.04485363234026864,0.004322986376716219,-0.04404016188244347,-0.013809438297167121,-0.018169181257355057,0.027287577206393306,-0.055910477533665015,-0.11182506326367818,0.07192939204894529,-0.04505543775909183,-0.017277133327263466,-0.07213146139408101,0.10242255976816626
FASLG,,,,,,,,,,,,,,,,,,,-0.02354480693602679,
