,UKF243,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF334,ZH1019inf,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,,,0.0056132708440965575,,,,-0.01611380020118038,,0.07761278521898916
BMP1,0.0109827016106808,-0.018693981245043366,0.06266327953884153,0.011782819184127404,0.010671752791730518,0.015137987572957054,0.0902461194923258,0.018077009649675173,0.04660854966717672,0.03988245592202572,-0.03218158708518672,-0.037516790311636086,-0.0435281937042656
NDP,0.09123649453513931,0.07902331250327783,0.04815401223686722,-0.01404821910006395,-0.022319698117334377,-0.0034308474708286303,0.001968935526647085,-0.0366479078307522,0.08111776322005146,0.06829661426580312,0.0765515072384548,0.05446502959569008,0.06990662111668161
TNFSF18,0.0739782813689954,-0.061611100198944106,,,,-0.02152062979755494,-0.036969705265281094,-0.010120831525198258,,,-0.016617877722200886,,0.12211257507719737
IL36G,,,,,,,,,-0.018536726757428602,,,,
RTN4,-0.07251060314021736,-0.0026494361560580365,0.034985264354661656,0.05895162245432141,0.025018155893736006,-0.057596741408243064,-0.0789994960875629,-0.08560033339717324,-0.0487678429814558,-0.06698010219420236,0.008723060955847439,0.06462104979160559,0.01446903961101359
HEBP1,0.013282550629193401,-0.0072134349502093725,0.08356000097886261,0.004888137398435672,-0.01961890002134404,-0.029151633765147504,0.04028123994708121,0.017053504701233103,-0.00333724334986452,-0.0075797104859706204,0.06277073075644522,0.013617857086998515,0.04895539291099465
WNT7B,-0.017810528014361855,0.006529127938376444,0.07339883654424235,-0.02208807810004503,0.028309039323530013,0.0075326810342033175,-0.03032135065480766,-0.009626241735962028,-0.020373998904747437,0.15717075272073003,0.05289079897752522,0.006776777941381304,0.024423870336187738
PTMA,-0.11004038368144982,0.011047484596595132,0.11067935582150086,-0.03884395532201763,0.005441833310793159,0.08179462872955756,-0.08243811036410566,0.0005213537329577639,0.07851051693986116,-0.1020788927911423,-0.0013513360705315494,-0.003848905025379827,-0.07362313563214519
FASLG,,,,,,,,,,,,,-0.0183200520419137
