,UKF248,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8812bulk,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,-0.01244340974844861,,,,,0.10839005765534067,,,
BMP1,0.03557197203822528,-0.07680883958577835,-0.046635507886377166,-0.06490340683597544,-0.01603757693490863,0.00534263955896238,-0.09380192375142161,-0.03038686142958703,0.011448417767724543,-0.06595888525758611,-0.06065118962130251,0.028142534034883464
NDP,0.05173957335539496,0.07342543692384669,0.038131419722736364,0.00797501906217574,0.009203928448925822,0.011844021719188639,-0.022485060108884302,-0.06660709506624826,0.06173548722250258,-0.015054588068117563,0.08655297923825156,-0.025472351111114174
TNFSF18,0.07771247373268288,,-0.03497876756511615,-0.01847808991504882,-0.01362822101759482,,,,-0.01661788454842239,0.006043722192516417,-0.04989165806911272,
IL36G,,,,,,,,-0.02026530842203045,,,,
RTN4,-0.04338969953669169,0.11994808874487044,0.09786098855619359,0.07168537996975369,0.03170008143187045,0.030636775264942018,0.21214677064489135,0.056120757577933646,0.032186737978045464,-0.041164841957977684,0.15432429248893015,0.03629244573557037
HEBP1,-0.03163970754009896,-0.005771317608550225,0.007491117014513046,-0.027008069079043944,-0.022530407275022188,0.03708963269753469,-0.10569223470988556,0.04537243949713433,-0.005089456780053918,0.040365576764996955,0.026431025259988968,0.06187913658781737
WNT7B,-0.007773969148220703,-0.030835338172121102,-0.018683907827082943,0.10681354507439435,-0.006461106672430432,0.05376948160680899,,0.039438734652017256,-0.005006498110308208,0.10919833173482504,0.019930002517466888,0.020790004507194426
PTMA,0.048389947206975606,-0.08027478528380126,-0.1001275538104796,-0.017407216077969172,0.04031003597007715,-0.06137948274633304,-0.26920676322810266,-0.08987521633460542,-0.00799740548157836,-0.03319465104232272,-0.06549032384731715,-0.035727770162256776
CEACAM1,0.0014727515274217842,-0.016402712408529245,,-0.02431611389489597,-0.008764966448298724,,,,0.0180332523322638,,,
PDAP1,0.050606940642212175,-0.05425321809430808,-0.026748551435861082,0.0017316576741336516,-0.011560517575076578,0.023710310570894722,0.03212962739759362,-0.007445570851180721,0.020307335230202544,-0.06689261798282739,0.0121928888767126,0.09138522257871654
QDPR,0.05146570676988682,0.0920522289398681,0.15203818469524813,-0.043067494762880645,0.09822389495841728,0.02550134602819777,-0.26821171903207613,0.020163463990754815,0.02805690111557813,-0.01407084132954708,0.06318888739159492,0.05490219139102358
POMC,-0.03513922309645183,0.09214856973686557,0.05269326836720921,-0.017608524250689667,-0.015813109974484787,0.034446481769165094,-0.02415979359648786,0.029165834626000125,-0.03124397499510377,,0.05299737973305839,0.026496700783340658
CCL18,-0.03136437541001864,,,,,,-0.08835785164005046,,,,,
CCL17,,,,,-0.016997044942072985,-0.01978267756524481,,-0.01851293457543585,-0.021245123478258292,,,
VEGFD,-0.020030754698837926,-0.01569318654110915,,-0.02084604919572752,0.04329816049663673,-0.014510833234445247,0.006977176120025568,-0.01984088539185163,-0.022407047976673044,,,
TNFSF13,-0.023668571677180842,,0.008754182738205584,,,,,,0.10841293312220904,,-0.03355598676112213,
WNT5A,-0.018589250264940117,-0.0003246192811286899,-0.10503855157795497,-0.07825964775500624,-0.026799938775762644,-0.017116316984545212,-0.019609884434243493,-0.0037301764348867017,-0.027913025632895085,0.09129687449918307,-0.0398516493369523,-0.00940889714725604
CXCL8,-0.08253868522815747,-0.0800864838727349,-0.015472322063785376,-0.03245067160567795,0.015566505665610342,-0.01351311885992062,-0.08650702202422711,-0.03595124184431135,0.004061937594669679,0.0557267925123604,-0.14773465366467928,-0.04180371865612615
GRN,-0.00496294146327903,0.00048393411070353205,-0.02949262734109951,-0.06132480849824736,-0.033889479341932295,-0.017331704648559886,-0.16879604305144946,0.03197945514695446,0.057492892044445035,0.04727134123266426,-0.034693598715524375,-0.06070748811732595
MIA,-0.006796322629584456,-0.0323874125103879,0.02472622864402693,-0.03554574839037877,-0.03340791666900408,-0.016503016851157102,,-0.027173001803511544,0.11282772820835178,,-0.04694918166742479,
COL4A4,-0.01835036686905938,-0.005076556035822724,-0.02109723321697793,-0.012262056692927846,-0.017745440785514086,0.09610830805269154,,-0.026358819843274133,-0.0327263953681502,,-0.026953257749958964,
