,UKF259,UKF334,ZH1007nec,ZH8811Bbulk,ZH881T1
BMP1,0.02310930326843952,0.05103110450853118,-0.005256060647275573,-0.049489152912103956,-0.04359125906530686
NDP,-0.01368156826589275,0.023211156132260664,0.06419157555523938,0.012688469903528983,0.009887561126030566
IL36G,,-0.01375291054121208,,,
RTN4,0.01590140425733346,-0.05446425057979002,0.05112201974613804,-0.06014304398067019,-0.01152395456565834
HEBP1,0.029909618746920538,0.03118721981588944,-0.008557603261177578,-0.012230985373999626,0.08605226963434608
WNT7B,0.0667277022858264,0.007349393570851157,0.08730967738657265,0.07817677741757947,0.015418981987068946
PTMA,-0.03547135094953581,0.011072702135120209,-0.07377276565191347,-0.021924319696736947,-0.012261259538927477
CEACAM1,-0.01633824480425865,,-0.05472640545265832,-0.016687430557242377,-0.01409273858649003
PDAP1,-0.05071795302466531,-0.00715915362119877,0.02474103601390228,0.0015867624148793113,0.05699908270758941
QDPR,0.025179593798048003,-0.046501098210039664,-0.02564209181292444,-0.0394050007246334,0.06567568752154739
POMC,0.10350913449906932,-0.006430474382609576,-0.046173359865192554,-0.005980773175290577,0.15936164862927024
CCL18,,,-0.04692503158622098,0.12058571332334578,-0.008538302233331262
CCL17,-0.016084698902694268,-0.01256367422439512,,0.06275816733315695,
VEGFD,-0.01792013080640511,-0.013464878805196949,0.03109888758199062,0.08130444167904304,
TNFSF13,-0.011094865316887238,,,0.05272617766560829,-0.0158252009015596
WNT5A,-0.01163469144446743,0.02247476467727691,-0.132729135617478,-0.030156777768025188,-0.07592545292728001
CXCL8,-0.030972977690437737,0.054639777579087494,0.02032174033191516,0.02635900867221584,-0.02300280851412017
GRN,0.006602170657382245,-0.043535741471047794,-0.19206327690159813,-0.026525257579208993,0.032187607730725785
MIA,-0.03386897970725469,0.13052315299733425,-0.07831970222481544,0.08865542285722282,0.05378769940280412
COL4A4,-0.0312696843416084,0.057158390736519606,,-0.0267191855506423,0.02766482682293017
TAC1,0.022067798960829124,-0.03170168665463845,,,-0.008785573248468624
RARRES2,-0.015037289276370904,0.09997526735545388,-0.005299602284552235,0.06896284578990532,-0.043623320004415524
FGF7,-0.028511621189305548,0.06075744274160647,-0.031650635291237315,0.015414922259540076,-0.006433259459113291
EFNA2,,,,-0.015860285970455804,
HBEGF,-0.020106045243707547,-0.031519289329493834,-0.0672361307189162,-0.007739530374389385,0.025511195579940138
CSF3,-0.019171558618259324,,,0.018134804751362015,0.05357892202976186
PI3,0.005141895041059638,,-0.03987344928531292,-0.014102864657961305,0.009489540702215013
PCSK1N,0.05390920369246283,-0.05557211208628405,-0.15010949819651923,-0.09964486421814264,0.020316606392760714
NTS,,,,0.022569461963939937,-0.0014754639383613229
SFRP1,-0.01403452152396527,0.021161297264109716,-0.016004183877251665,-0.03607814352938519,-0.013882130974796705
CXCL13,,,,0.047605783200248664,0.004778157896327604
MICA,-0.009588371867727716,0.05905278072331523,0.031400454394353065,0.03789065068107792,0.04087824560065317
TG,-0.015145472273159823,0.08834641177906945,-0.045287091933979416,0.11517825856890597,-0.01662809202845485
ADA,-0.024298099282008254,0.04681759246153893,-0.001674374254477691,0.05594683508275012,0.024116533534937257
LAMC3,0.04731959282597796,-0.0012480986349031674,-0.02587970653187152,-0.0008373081210237256,-0.009113197569683205
CCL7,-0.010950152255129648,,,,
NGF,-0.025089595616701807,,,-0.015647097043898016,-0.022699431650086685
TNFSF15,-0.012193530101173163,,,,-0.012546253812308514
HMGB1,-0.06594726966516089,0.01393125554221554,-0.05961908461876186,-0.09667995743204107,0.03294144413448457
ITGB3BP,0.022525063767536577,0.09151524338937073,-0.03696073592011252,0.09666356271000298,0.05490936260349605
AANAT,-0.011094866501021096,0.003126538737170019,0.07200120001262962,-0.002260855784696604,
RELN,-0.01925820360543205,0.05319388101618988,,,-0.015154514938535809
IL15,-0.03850995151240439,-0.015630348186969834,-0.023262818451301695,0.0033496184685017963,0.021018143861636245
UTS2,,,-0.03693437419269464,,
BSG,0.05992902594836766,0.06846350427990093,0.0449305800573661,0.08301286459182487,0.024442926576326955
ADAMTS3,-0.01990014798908067,-0.00017186354613412595,-0.05163244091198207,-0.0201490881866004,-0.03394920772045795
CD34,-0.02520249744274923,-0.026998370403342197,-0.08019884389821351,-0.00858619387852262,0.04641932990475346
PLAT,0.00873871075856258,-0.025005097462166507,-0.060156612682756135,-0.01633720347425207,-0.05070619762366245
NTF3,,,,0.014943722248487484,-0.02943495349370262
LTA,0.02816675586958368,0.02686141375146917,,,
CKLF,-0.003058195312890807,0.06451933841973483,-0.03234582183894241,0.001825431725722929,0.01261561838094822
CD24,-0.024243585247827958,0.11003228801475409,0.08882013899415453,-0.019083282488533047,-0.029940367564715863
HSP90AA1,-0.03535633465617017,-0.06232163218738391,-0.03371399599524468,-0.04126416692677518,0.01380445592943716
BMP4,-0.023464638322938082,-0.013318672670893657,0.041941163205220934,-0.018428057096648676,-0.034285280744809826
SCGB3A1,,-0.010906651608479642,-0.05286624203520247,-0.003643994736049263,-0.026054610272725494
IGFBP4,0.008555494077167627,-0.0031886492695864864,-0.08369269574634541,-0.04617009582956686,0.03983038626768126
RSPO4,-0.021482293041269408,0.12227840152352108,,,-0.01754667119541754
LEFTY2,0.007174716185944094,-0.01929549266464548,0.04704541548502004,-0.018236479293572857,0.037563039466177596
PF4,-0.009553792111737652,,,0.09665988968386886,
ANGPTL2,-0.0031036773993940257,0.06666163995128864,0.07565257502591921,0.02243456797100358,0.0024589748732154956
LRIG2,-0.0218006972101588,0.04278102641835956,0.09603353494329006,0.0257319411270186,0.008971120734052805
ICOSLG,-0.05776869646167372,0.01828110235669887,-0.07344542012595262,0.02016239467740899,-0.0005068748266623381
WIF1,,-0.03807040530502413,,,-0.01631133048015789
NPPC,-0.014820287591827646,0.10165396678942014,0.060456146253054635,-0.011788329879797253,-0.017905258503839526
LYZ,0.025472759361656067,0.0011628990578936595,0.01035766330366719,0.02885106604826294,0.04660031262525124
EREG,,,,0.06098832747411316,0.046779591199865266
SPTAN1,0.0041211421884120684,-0.024359176067274977,-0.059421867987118335,-0.036820793790736384,0.01919451551174126
PTH2,,,,,-0.02790505273282429
LIPC,-0.017168875965937313,0.02951747398343352,-0.022697697360614,,
COL8A1,-0.02445062769466378,-0.007645552268601533,-0.0448520056059272,0.04996580031272521,0.0223836380007439
GSTM2,-0.03374306039064929,0.06864327146463504,-0.046503752844781296,-0.025519270560700684,-0.037252279543057445
IL4,,,-0.02076785882682546,,
SPX,0.014143575310886834,-0.04256078157073324,,-0.018049605867272583,0.0038854201968165363
MFGE8,-0.04666723755387381,0.00495416524122994,-0.06553236925919893,-0.026428174222460327,0.052295731563879316
TGFA,-0.03601400838750106,-0.007881611964220162,0.14655381086225483,0.027840260196022582,0.054011001454998396
SLIT2,-0.03251615558442311,-0.035158664096956914,0.04840851012097946,0.08782749202415718,0.023268745678042133
PLTP,0.04375472894288398,0.07139924016537244,-0.09076014962063765,0.034325407794128744,0.058388610974473044
APOD,0.04292635001473771,-0.04848817153736812,0.10418183893274716,0.012286648801262835,-0.037445569845181395
B2M,-0.02285161345957678,0.038118623549104516,-0.15177232538699653,0.05382556918600619,0.0654611467735651
OMG,0.013224972462709709,-0.04961688346535785,-0.002016396498723797,0.032421615022762,0.04023558743491675
CXCL3,-0.02926758842461873,-0.011256682527464142,-0.03885684681066326,0.06492400785245889,0.02910750591591052
CXCL10,-0.00398067304739353,-0.017888230794658223,-0.023652603565213988,-0.019498398491846237,0.007663060458736295
RSPO3,0.11879387779244906,-0.011763016289896159,,-0.04803676783458782,0.06595882964041869
CORT,-0.024881088210969845,0.0020834617183828953,,0.0922383861584173,0.07912740395112887
NCAN,0.09125115756530638,-0.04744877939689202,0.007161252971169826,-0.017414841696041964,-0.02400723105990666
PRG4,-0.01095015396154833,0.03454070985514772,,-0.022446656121831655,-0.03177526423462892
ZG16B,-0.01270899287337105,,,,
TGM2,0.04074633388901208,-0.006937819492845151,0.07480636173853865,0.04382519289209179,0.032514637488820455
VEGFC,0.04160055518516473,0.009702899412441885,-0.05159592678482701,-0.030479873135278696,0.1160291293658247
WNT6,-0.015145472902007868,0.04279656093591127,-0.057717776867578584,0.01679609568565753,0.05692722042048472
NRG4,0.07273534458716943,0.06437112904921091,,,0.0578799915382033
PMCH,-0.01846563280605159,,,-0.02134364847013146,0.04309475937929282
COL9A1,-0.013918909930734653,-0.018657696534343907,0.0012902235541081479,0.016688545909829187,0.07881969736188972
GDF11,-0.021968794105578678,0.009892731910344761,0.01801948563702939,-0.02050499240632459,0.025855410953636276
IL24,,,,-0.014305264276929621,
SORBS1,0.023396289502775666,-0.033054415165320886,-0.06374170438501146,0.03339801389198559,0.01643259984686368
DLL1,-0.006661281321400488,0.032105587205887964,0.0077834767270698775,-0.009373847772527819,0.07173061710560218
TLN1,-0.01145659273373458,0.039341022644276864,0.009587709033399082,-0.026903952040313126,-0.01048113616381176
COL2A1,,-0.011427843796253149,,-0.03728389479318168,-0.028104565258338304
SHH,-0.011379007828749146,-0.010906650655170394,-0.03196724743641252,0.10561780840778696,0.031681235809379794
PON2,-0.028835713819746395,0.012420951794412192,0.02732961411093849,-0.0021534975753535685,0.06139879407647676
ICAM5,0.04814399233185386,-0.02130009958529002,,-0.04565716498769588,0.04836837564029366
HPX,-0.027686674076147007,0.034797291012315705,-0.015332813158399829,0.030002986490344143,-0.026432415716080383
SFRP2,-0.012959456775456402,-0.021396057426096498,0.033495534415769954,-0.0021898656091227176,-0.01054750325320225
CD70,-0.022027389191018466,,,0.0433802993725781,-0.02227411966950957
HP,0.019341788567779208,0.009740128151300074,0.008635457731340182,-0.050081545896925095,-0.03972255341227043
CXCL2,0.018594138622686645,-0.02158688299998492,-0.06444522230482326,0.0627379295954008,0.0035509631958515076
NPPB,-0.040534680685144604,0.033161589331834045,,0.08638112456717571,0.05578177277973023
CCK,0.027738056070245695,-0.03672690406506784,,0.007054481349573247,0.004696579383569335
SEMA6A,0.0513062546890132,0.029312003263171627,-0.05531990684297183,-0.04173698138291929,0.06315336392015775
