,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.022758178933891295,,,,,,,,,,-0.028066034645973324,,0.01820576551507961,,
BMP1,0.06417248950016421,0.10735972221246126,-0.042313170727926674,0.06493529171094004,-0.032507309222067994,0.026420744907800227,0.020173957363744513,-0.15650716678748242,0.028700376603905797,0.01035053919607287,-0.06910068430681016,0.11021828273710242,-0.038469489447173134,0.11582849102309263,0.09622403259675677,-0.04927895562259923,-0.049335872665735,0.04774784257589756,-0.017246327984563912,0.011732432960467703,0.0337542336089722,-0.05955132507343297
NDP,-0.01774718686216346,-0.0383740751074243,-0.012981096783072582,0.022061239816257468,-0.02695586721493571,0.0203764981950496,0.022856770111287318,-0.0170173319512356,-0.02948053325315498,-0.01735274971433004,-0.06358062761959264,-0.07556501319314216,-0.048893889214596045,0.042601985864827795,0.14427696502465107,0.0838406046558328,0.0968238563436436,-0.019646715258240025,-0.004369537734219788,0.11913537260571773,0.07806340611576267,-0.0609047094301373
TNFSF18,-0.028381945174478073,-0.011689551606769457,0.007503931442372961,,,,-0.022578322101986743,-0.033795212497574695,-0.007724335609819323,,,,,-0.028076698275705306,,,,-0.02894400613578872,,0.058661281967938406,0.043790161245994906,
IL36G,,,,,,,,,,,,,-0.01678267919755155,,,,,,,,,
RTN4,0.1558622755916943,0.022099903403994623,-0.01344504667650724,0.0032902050727280615,0.056128162043790036,0.028118555361298158,0.08476308690775171,0.23211365334369416,0.038940600237461466,0.0017626924799984199,0.11236480619642866,0.12395401192475879,0.05592575113212875,0.035019201502932154,0.07110641633550498,-0.01769451066809174,-0.04549924983416938,-0.08017179779882508,0.052660996188807555,0.058122863145590946,0.06504468320890668,0.09842037067042074
HEBP1,0.014293673121308074,0.003793745573769144,-0.04868792345995048,-0.008611477037639686,0.03517592526861382,0.00521436859435592,-0.011887315790368643,-0.07605826160319422,0.09071342432392268,0.016935678541065657,-0.04763567449201784,0.11846160016229393,0.014089474150906606,0.018449347093320256,0.05196112542605273,-0.014721666734433253,0.06539141094052359,0.008936939959652465,0.1097052556280406,0.08714821736777324,-0.00036849224984712356,-0.0549403629959856
WNT7B,0.166915407076762,-0.05047954952253572,-0.02314189174913443,0.07065675431892336,0.03181174430754068,0.0648230082513589,0.12124662020340965,0.27883513017461065,-0.024415450630736153,0.029794315610228033,,0.006049685718729085,-0.010865608103413795,-0.030909704363908726,0.0007259253324443174,-0.052933227240024985,0.09062647455042731,0.036973139270793806,0.025384016523290875,0.0057639930355707315,0.015796203175212842,0.08335690116674316
PTMA,-0.11441239925498639,0.0408094997618127,-0.004396545833644507,0.14487195948277765,0.055908978462382006,-0.015244772583032666,-0.049402580248880695,0.05828037089684955,0.003876259853171087,-0.0699583070763611,-0.08161304366956458,0.29471812154074367,-0.05932955895950397,-0.03189897806617585,-0.21659150013770215,-0.017811517071109673,-0.06328732068418162,-0.07043963886533637,0.042346970067259695,-0.05953966189732638,-0.024417590498914198,-0.054153145474421224
FASLG,,,,,,,,,,,,,,,,,,,,0.009585151414980727,,
CEACAM1,,-0.013414697278591644,0.0009245521403014339,,-0.02335933934763201,0.03008824073618451,,-0.04447257481542928,-0.03180831614460048,,,,,,0.013630518597801608,-0.05514689334377192,-0.030632529831691235,-0.04158951502198797,0.03771554723182873,0.004446386772228998,,
PDAP1,0.04054877043115839,0.06077313637577922,0.025326832258413076,0.031230804914349777,-0.0077714961074354955,-0.043169400804955536,0.042699023903901075,-0.12298261127398964,-0.012187995402498791,0.011931271960227915,0.004199060118089524,0.038661562742751766,-0.03338262405588321,-0.0349936754159029,0.0018644683694550022,0.020515188583398916,0.0003732104588260311,0.013059789497252203,-0.037651063928233516,0.05009075444132452,-0.05555063200605355,0.056695858773198674
QDPR,0.0008222179934390414,-0.027428437500968975,-0.06542556879538734,0.03761187876522092,-0.0033569116653632187,0.014762634499440968,0.01215546671331546,-0.0489174730311761,0.06171730918431317,-0.019423615018140827,-0.11284090698329756,0.2209205052444708,-0.021743190750574515,-0.05527104252742001,0.08066312374203585,0.07443976781804888,0.08270080745229819,-0.03634657509900281,0.019904734923445647,0.0518694839420495,0.06198202295121601,-0.021450499860806157
POMC,0.14592664324219978,-0.012689898080153045,0.02426450032609728,,0.03218908596710455,0.06142546211571611,0.009596040851777687,0.010237615129845912,0.017529073461467926,0.1143287972848695,-0.03834030854002663,-0.0636859172803245,-0.002660793117970921,-0.05270929337068642,0.019323254054979103,-0.016813390401541572,0.062327916012762906,0.028447083682276973,-0.015466972476672154,0.10595990779894082,0.005412026264111018,-0.05983705801246532
CCL18,0.06627617187706393,-0.0608453885465589,,,,,,,,,-0.011302195021492142,0.1945053282846913,,,-0.05581223415530791,0.04364377310776378,-0.023885627670649025,,-0.0005028660376383182,,,
CCL17,,,,,0.016205786809181146,,,,-0.03575618528544274,0.02537666403279822,,,-0.0010911056621012885,,,-0.027350077395993547,-0.03595106292824583,-0.03700344544568845,,-0.02213657546531883,,
VEGFD,0.00976795803269816,0.009835270688556844,-0.025437651183260395,,0.047869275586617174,0.018562305397350053,,-0.038126054453861885,-0.009734040202805114,-0.02328376167962585,0.0035212420440174875,0.005359775724846215,-0.01460924038513483,,-0.06287872054373093,,0.011618509507565862,0.13916497972437009,,,,
TNFSF13,,0.042252243850325694,,,0.03756660893193818,,0.041989348579335464,,,,,,,,,-0.0024945876090929106,0.08387498029141452,0.05067855856248085,0.025975401321448044,0.045291653602585476,0.045054199135577434,
WNT5A,-0.022332680015818587,0.010682502513169179,0.039241582949932685,0.10000125760680105,0.0015747314304289694,0.10762744507181918,-0.025931031068243682,-0.11313224485962603,0.064628905082976,-0.047329393842691685,-0.0032130968145513304,0.053262543454341865,0.02000043732252117,0.024400080200180994,-0.02459367593487409,-0.08133455324973374,0.05913251479389813,0.006133145007426684,0.0028720585259784507,0.03810027409500969,-0.05934826618187795,-0.03894585478864589
CXCL8,-0.04336219777910028,-0.03434840439745759,-0.02381830883033491,-0.11967562677588252,0.049413692985016,-0.09929644176264614,-0.015599213407637213,-0.07580928867521095,-0.04045830100105194,0.07193223216510287,-0.04333393847877723,-0.016591256147942195,0.06937842633259095,,-0.025945572886388792,-0.16315869726390342,-0.19619186389927565,-0.032790639952260635,-0.09187381752394008,0.0031851426016414456,-0.04386489368595528,0.014636230327366568
GRN,-0.0019757025390344787,0.0485897777653617,0.04134414266002289,0.034273418586078554,0.007296039528492535,0.005206344920261687,-0.0793918497462318,-0.18430128020257572,-0.02843254014464047,-0.011795564968847587,-0.06826984745275201,-0.05126094065304735,0.01639103704649277,-0.0024962320723232556,0.037941857747519854,0.005793230314296682,-0.04939653299919941,0.07962705581203319,-0.014376273958033377,-0.06329446739203047,0.002414604511442357,-0.1022883438438633
MIA,0.006798015430610688,-0.037557015728162745,-0.02262246803562191,-0.0015467910854999475,0.04902273074998925,-0.04548295728587184,0.042598227349769466,-0.05772140265918047,-0.035668283544326135,0.018433140413915163,,0.010900232262510561,0.042851855113173604,0.14226076812900734,0.11513151493612538,0.10972667862620246,0.1261043507451399,0.0031900520153566162,-0.025931360134055878,0.0838858385973522,0.016091252161997808,
COL4A4,-0.04317157646557146,0.0053737663204593755,-0.029175777108008887,0.024384049002756897,-0.029337118375038527,0.10584559995402512,-0.001557817132417287,-0.0224264961097149,0.018438815625590164,0.03338250124181488,,,0.006670605024762409,,,0.09232603121947171,-0.019663163795307668,-0.03751612951486448,0.031435461269135975,-0.021550790406287632,-0.07593276803429778,
TAC1,0.2611188155348031,0.11064578595948853,-0.01982942608777497,-0.017170768100249437,0.06993171826156677,0.06859383801075059,0.016172117416722226,0.23482996077284954,0.03075432041764357,0.019859346801655322,0.13823679653231719,,0.06530738430770067,,,,,,-0.021710971173496046,-0.015074905347108012,0.15656964082990607,0.14862162575586294
RARRES2,-0.02029265766384027,0.07031866970918906,-0.005442934253897334,0.05374909061186176,0.1067110346217792,-0.06531935698053726,0.029422831642108547,-0.17118276859648704,0.10599964763399701,-0.0011723300746895463,-0.023068662062664638,-0.22853661203882586,0.04285383173836977,0.06182267006276823,0.04972339535353472,-0.07759559149098497,-0.08603841017547455,-0.04876820419215529,-0.021114282551082535,0.04697018124656373,0.018962762498481417,-0.004123939619917733
FGF7,-0.05257017847928377,,-0.017465099167507332,0.008830528716630611,0.03721999415026996,0.03909378090992804,0.020226422834730185,-0.029224531350409085,-0.02371359000709527,0.03896027752630854,0.0320969208470052,0.12836716553498,0.02829908508261539,0.046366762540670445,0.17790267164540274,0.04703955200348701,0.02967669193803167,0.05110663743993213,0.008488170635492709,0.0732641177829985,0.08038909860374358,-0.06168071958423556
EFNA2,,,,,,,,,,,,,,,,,-0.04563117085433012,,,,,
HBEGF,0.04151461792607988,0.003519540582413887,-0.04203324885670666,-0.012542925813538136,-0.004528606867091344,-0.01409191128145603,-0.03309558382485414,-0.08720190430044349,0.01278308310087646,-0.0029268444233654938,0.026228360009013785,0.12760075558460943,0.010405833591153026,0.014754983731725162,0.020528782567464415,-0.010680309504200628,0.023067555635579457,-0.01707936714751714,-0.053561428044601116,-0.05949336375578696,0.08113743819684684,-0.03151272997662131
CSF3,-0.04317154228650541,,,-0.06643174680413384,-0.005284883169937688,-0.08666081911275667,,-0.023726801227630143,,,,-0.023585520678740066,,,,-0.08117385219663946,-0.10849353396071598,,0.06534237630449666,-0.023306398995150437,-0.027646991391312523,
PI3,-0.0511431296212029,-0.050452475535794815,,-0.10330505595678795,0.02705278490563669,-0.10759393336347273,,-0.026716691342191134,,,,,,,0.031491839435244084,-0.12722693413458933,-0.2015067338632976,0.05118474252256275,-0.09818761904444741,-0.04261846045738587,-0.011654628581211805,
PCSK1N,0.1270083032323243,0.07169795859768911,0.013855708268068204,0.088397990998154,-0.08875381033410434,0.12267750005420187,0.010577667348344285,0.1104215310521009,-0.0237813701566636,-0.016394380363484826,0.10449563984918255,0.16996635374072486,0.062237060886398396,0.09013967626237028,-0.0791191570274603,0.035620999425014094,-0.025023763205282303,0.01634315237360063,0.03941556147698221,0.09966333395475507,0.03470181958942597,0.052141633796210445
NTS,,,,,,-0.0338186155644431,-0.029149713647818994,-0.02916309283805936,0.02453373871653824,-0.0071160454015714875,-0.03356244012204142,,,,,-0.016784366933585433,0.039196631945086,,-0.021163843083807317,0.17988232947708302,,
SFRP1,0.061917650124962406,0.004292003789321578,-0.019227932353686694,,0.0013274466754765334,0.02375022019533446,-0.04797811548370819,0.049044979769460886,-0.021918869148969098,-0.022422629644449063,-0.04458400615438255,0.13631386152732644,0.02221108146817836,0.009682620138685795,0.051137574046886826,0.03364798759238836,0.03294705386910517,-0.03273618145495597,0.030256486600173656,-0.033711590224428586,-0.012423271095924183,-0.019218992245707882
CXCL13,,,-0.011921326293642679,0.10019019640301806,,0.062406841790685876,,,,,,0.14874088526025075,,,,0.022116092760801846,-0.08483299499445336,,-0.057287668089946835,,0.025860304758658144,
MICA,-0.046516289635733926,0.07258783818334795,0.019535481331310906,-0.08512077038120634,0.010691248127562747,0.018328685301592075,-0.0018597975079453777,-0.08499008246339428,0.017477229601737202,0.040031820627820444,-0.0016289117203481531,-0.005212616337484586,0.01821667165717631,0.11678449479553175,0.08995092884104866,-0.043816106125417635,0.057277982351041666,-0.015413000675042088,0.0264699272007727,-0.012313227704052463,0.025145988730617946,-0.03953614845782219
