,UKF259,UKF275,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916inf
BMP1,0.03125615687368964,-0.03181764181225517,0.02851143434369791,-0.045224526538363306,-0.041007520346227504,-0.00954291736990305,0.03937730364063623
NDP,-0.06216009873274789,0.014027201601199333,-0.05310886437740015,0.04418705461398667,0.06466852396641981,-0.04485103482521518,0.020587251579853916
TNFSF18,,-0.01490736916415009,-0.025257711380729422,,,,
RTN4,-0.03251320926659895,-0.08492376115791658,0.09069677068015121,0.019579258386658426,-0.02766493926258487,0.0006890916140999454,0.03305403289366676
HEBP1,-0.006100025633906265,0.01684600778748922,0.021766617421664632,0.04155163597358786,0.0573626866535393,0.03629979135995644,0.0015395383665341026
WNT7B,-0.022423413639043904,-0.021384520261961786,0.13409783011016355,-0.04158369404850571,-0.016444404886893856,-0.034969262018183615,-0.06384587771872453
PTMA,0.047875502785069336,-0.020850196371884233,0.06618543130754019,0.004982334631188097,-0.027941793855598474,-0.02097900437702128,0.060014601839264235
CEACAM1,0.06811895177992042,0.012317190588675848,,0.005097670451834068,-0.01936683424898596,-0.009556956997480428,
PDAP1,-0.03715766284054558,-0.016031161913631353,-0.030173756167626783,-0.04927931910890609,-0.04503453717969646,0.027170942227642363,0.004250139809053515
QDPR,-0.03347971356874548,-0.022829084557709562,0.06705200317011542,0.05444716766525874,0.09790303510677566,-0.005533589055066506,0.07638763786121842
POMC,0.06589126516304282,-0.0012158908757708353,0.02012774516932995,0.026622269111577463,0.05407250530742491,-0.046818113197516824,-0.004256886489741362
CCL18,,,,-0.02091296060155773,-0.06745621189868903,-0.05369807175061051,
CCL17,-0.01500767935944699,0.012057788427146379,,-0.029229054034016815,-0.02881169280994468,,
VEGFD,-0.016720212100260538,-0.019808620815071683,,,0.030569192977577944,,
TNFSF13,-0.010351961340364412,,,0.07226122712794959,-0.04184932450550473,-0.016488232923063242,
WNT5A,0.07816779917702096,-0.06523267498529393,-0.004389077133417532,0.01983411771408624,-0.0007222002974449022,-0.007447908799505326,0.04438134346946773
CXCL8,-0.05240137740913649,0.029487686472316203,,-0.15015505612964133,-0.14659654785971057,-0.01892372983450281,0.026547449968593668
GRN,0.018982006367126443,-0.007994340162821696,-0.0770526264405908,0.022569731248865632,0.003226685376366384,-0.053731876120917905,-0.024682393836601726
MIA,-0.03160113787351986,0.024750246210474263,-0.06825164655479773,0.00020749164111567172,0.10478087109018182,0.019586295313935447,
COL4A4,-0.007744961053095314,0.09583363346856498,,0.01617369789130029,-0.0190364631977346,-0.018961064695917275,
TAC1,0.035492587234998686,-0.012890885033362685,,,,-0.02336228410352089,0.00031354841099253837
RARRES2,0.02970320588287954,0.025873262537645405,0.061124571049471714,-0.051906808008217495,-0.03301154917785541,0.01007744807240172,0.12162490362273803
FGF7,-0.015808575491273017,-0.0150904082352123,0.015801517044583654,-0.0020425279240160197,0.049849407846582525,0.009529462531708418,-0.03849769493980809
EFNA2,,,,,0.10083978624023394,,
HBEGF,-0.041619044557651724,0.06955577799055684,0.06830160198994235,0.013745010012941374,0.00176817492254995,-0.024304076249294655,0.018918229292507308
CSF3,-0.01788784523131384,,,-0.0705591042162102,-0.08695150164656516,-0.01992048462173618,
PI3,-0.010021671872194781,,,-0.10853800325005415,-0.12218876807576363,-0.018100297782629463,
PCSK1N,-0.007825101042355098,0.01227177772993662,0.05558160579145158,0.013949820967882208,0.04385971891404343,0.10727055763289324,-0.07274088857318393
NTS,,0.07844544304829498,,0.004068167086982977,-0.02535404090037054,0.017367966392945428,
SFRP1,0.009273318940812557,-0.012350586611385684,-0.056753505689858444,0.1550362525403735,0.025625445982362147,-0.00884704354868852,0.10926823167232126
CXCL13,,,,-0.02548470859784183,-0.05152316019864476,0.052263913530140114,
MICA,-0.006815937758385061,0.02544599431307626,-0.006689494464817397,-0.018500406666342055,0.03176154056164729,-0.04823217553413223,0.07146699122312342
TG,-0.014131342650430576,-0.018731131060194514,-0.032368936522709016,0.0081578913132121,0.07680771324172364,0.0046093803449507725,
ADA,-0.01333660620488735,-0.0012903943566595977,0.002854493693733395,0.0018353669333911623,0.04526754503368709,-0.024731101855112455,-0.032993242044135486
LAMC3,-0.05723336774526135,-0.025730376577385076,0.06447379527601398,0.04125626229188661,0.06270301978885197,-0.0033926996929139865,-0.0326276589057684
CCL7,-0.010216938158201022,,,0.03698321906568045,,,
NGF,0.0016537441338382551,,,-0.004265881491613495,0.05412466278214751,0.06765053317138303,
TNFSF15,-0.011377060343201028,,0.20177362596921264,0.00899665245952945,,-0.02932989824884783,
HMGB1,0.04178294615886113,-0.034047996912707226,0.04665757742927169,-0.0031464042654394246,-0.04702197536190273,-0.03216246554829151,0.07102930684927126
ITGB3BP,-0.007771864583201788,-0.03800664374801351,-0.028706955233923668,0.0038678170538778674,-0.02869246784651175,0.018495858699315557,0.06669898585428105
AANAT,-0.010351962445209542,0.06631543301153303,,-0.038431639048400155,0.028046158667304002,,
RELN,-0.002188894205618979,0.02563679574508026,,,,0.04310301827212524,0.07652601709989666
IL15,-0.0169356075336245,0.05345170265105325,0.010781742311639924,-0.0012394249862254618,-0.020122431791860414,0.040868614198384806,
UTS2,,,0.12145809335849529,-0.03272735336868912,,,
BSG,-0.057991311294188046,-0.013469644073774451,-0.040426057656587036,-0.10157128621289274,-0.06586410723064168,-0.03351683366510708,-0.00893581479777047
ADAMTS3,-0.007199694679456295,-0.025092988317949576,0.018373268924679755,0.04776728920092152,0.1458776168759775,0.017079946673414326,
CD34,-0.051258214008867146,-0.0018682506810853061,0.0028588429637750328,0.021137246658882447,0.06234990852560827,0.011110784667436065,0.028444868113394597
CCL23,,,0.024662466799315885,,,,
PLAT,0.02084194584698035,0.0180598259846919,0.03717206771760806,0.08712299912907288,0.11059613896575525,-0.05393647885671692,0.020446866330267415
NTF3,,,,0.003658830232809741,0.043521238939314866,0.03658346088837439,
LTA,-0.013094779729215243,-0.0162235055744645,,,,,
CKLF,0.017762109605760773,0.002052083856269497,-0.004116457138926614,0.044716228516164726,0.09230607433176354,0.01602854034333416,-0.0039057040343800893
CD24,-0.01489618959511035,0.060186267614176184,0.05537884673752527,0.1113681196655865,0.08855636227211139,0.10135863283229277,0.010686552060177637
HSP90AA1,-0.015852609584607765,0.03181095013629686,-0.018909289323110194,-0.15015950470352304,-0.14936729813603664,-0.01655112904153804,-0.013834417906418034
BMP4,-0.0305516930716159,0.026782349979126,-0.06226878215076407,0.007706679417858466,0.009515652650831524,-0.028479143748931485,
SCGB3A1,,,0.05424930484780488,0.0855581215093833,0.06307100023470426,0.015640050141385677,
IGFBP4,-0.015477315708004768,0.0015729875606210202,-0.008013047128206297,0.03443545734677305,-0.034378710288629974,-0.031982183266635156,-0.05284559747356667
RSPO4,-0.020043854586239546,-0.018868924644982143,,,,0.0073791564103709685,
LEFTY2,0.04602314853806356,0.06081951413644893,0.08272576341070487,0.00961230277938994,-0.01229450158418739,-0.04110688043616472,
PF4,-0.008914077257346466,,,,0.0025194030809170638,,
ANGPTL2,0.022676984082896808,0.06862765514122778,-0.007994957132220513,0.056116550775492074,0.05035706135343961,-0.08091773365359815,0.11009735926720057
LRIG2,0.013839205983927717,0.038232762700518286,0.008917850807553737,0.02152252267361001,0.07348612374598329,0.04407873210092924,-0.02377180375626676
ICOSLG,0.028716775918798832,0.006307301172124181,0.08488951768812342,0.10676103230745944,0.0678453967389568,-0.028861482051001346,0.03545971677838911
WIF1,,-0.014560702225173089,,,,0.004350394595742401,0.03309606519300629
NPPC,-0.013827932094873343,0.01219107422570499,-0.02487458429902331,-0.036103383791261406,0.06467042561383143,0.045833690017599585,-0.04505731559515217
LYZ,-0.0065580865924022395,-0.04733486753309339,0.07949205468397492,-0.00035698718865238756,0.005970344141039506,-0.011474952740228087,-0.12065461221325685
EREG,,,,-0.06891767045285564,-0.08934130510151059,-0.051090580350680655,
SPTAN1,0.03554285079387757,-0.027868022137099442,0.053255726659717444,0.03612752170870999,0.07311451510791378,-0.0009740523627787796,-0.08705326322414002
PTH2,,,,,,0.027338334876518846,
LIPC,-0.016019260728327513,0.022130153337852614,0.0026896633046996493,,,,
COL8A1,-0.04115501636299957,0.03621981156380043,0.040143161582477306,0.030306949948958602,-0.007967116660293195,-0.009104365942084244,
GSTM2,-0.02275019735744324,-0.00043852157684275324,-0.051789437996641825,-0.04352968115033017,-0.00648079523365455,0.040333624520004586,
SPX,0.00873004140884035,0.005637854845307192,0.06245285219560262,0.07899116382483853,0.011641088258158114,0.03167537502777783,0.047079033546587885
MFGE8,0.006458232679940055,0.017834551669122248,-0.03986655855330461,-0.06626726391852843,-0.05181895139595798,-0.0855700926171028,-0.03386738376634521
TGFA,-0.027212860495409327,-0.0085380088483797,-0.029481736978795282,-0.028843978659812843,0.025368891054742815,0.08370059659044644,0.07376792823043289
SLIT2,-0.030338897853485626,-0.023013437890062674,0.06786195676456062,0.03699272044152991,0.057463744316927294,0.10877825149521521,0.008058006244550957
PLTP,-0.008562226827170533,0.011649764198238335,0.01421304549196685,0.07377216567194549,0.004178520367080546,-0.00761279046220559,0.06425417632953057
APOD,0.07534017362624178,0.005100863402708966,0.11865257314318656,0.03907594227264058,0.14367303593225741,-0.10873912715183383,0.06344540659981021
B2M,-0.022627054489904708,0.09116996488511532,0.20885132807454615,0.00876920137421719,0.11589045404744903,-0.04263503945182098,-0.05191140376453718
OMG,0.04222282020372854,0.07625979251762176,0.163389194700668,0.10088710730180982,0.14444593382756402,-0.025192101582802086,-0.017819391189551153
CXCL3,-0.040876712874982006,0.01066118686266181,0.09255909172003048,-0.08844225385939561,-0.04470165404155303,-0.015564065695842693,
CXCL10,-0.030818158720559458,0.09364817542622288,0.10179328518228402,0.035301728893460095,0.009233133594989382,-0.00640625589692745,
RSPO3,-0.010351961680316721,0.011186941543859574,,0.0912350592683826,0.015868455834275378,0.09945276477186452,-0.062409465226919626
CORT,-0.023215068944921587,-0.007449472021607071,,-0.04116821078727981,0.01292864944567197,0.06900682279170336,-0.06664320046834646
NCAN,0.02006542356134162,-0.09062178125757712,0.041799222789013275,0.11161749723195878,0.2024831313575253,-0.0370022467640816,-0.009789422745399502
PRG4,-0.010216939750359168,-0.012326566021558674,,0.00896736572558496,0.025120450256610513,-0.011426688818220405,
ZG16B,-0.01185800810937785,-0.012891047924122826,,,,,
TGM2,0.020912352904651633,-0.054644910614071916,0.05969026762098487,-0.05229500425692302,-0.020032297634113072,0.03454612179664659,-0.035825083353716154
VEGFC,-0.018209322320228618,-0.02668824946701805,-0.006384160549572691,-0.01604246490450489,-0.037740182273621165,0.03961617013262839,
WNT6,-0.014131343237171419,0.08069053289814276,,-0.022445327522847756,-0.03981773183672158,0.029550105065579306,
NRG4,-0.012434483059016488,0.020068664082572206,,,,-0.039977017044525484,
PMCH,-0.017229187689431203,0.010299063174334011,,0.0046763109573771154,-0.03042176175580856,-0.00692292144802998,
COL9A1,-0.012986910015362362,0.008865600422029166,-0.03510372623817223,0.113714379807265,0.10783900914325606,-0.01743002943256912,0.05126475591542053
GDF11,-0.0011222621580413937,0.007861273208586572,-0.00811206980779402,0.061552615789776916,0.003190089953017851,0.026694117781663702,0.03088814702185115
IL24,,,,-0.033198574960404834,-0.02766817193241487,,
SORBS1,0.019585787932860026,0.004980676525927565,0.010864727864510577,0.012403582206646628,0.0219672034503064,-0.011529927892986807,-0.004983044604670346
DLL1,0.004487512636826624,0.025646865644754394,0.0690263279502685,0.0899587936771212,0.15668605185578982,0.05899591883104707,-0.02685948392445839
TLN1,0.011922525228237144,0.008132509232905304,0.03142145401624751,-0.04475782905348713,-0.04726376045257181,-0.06166070401262421,-0.046187140952914256
COL2A1,,,,-0.07257643694569312,0.044523981830159126,0.07381579977672696,
SHH,-0.01061707787976678,-0.024295936253121268,0.09461218775577322,-0.05069992489636776,-0.04597747291844206,0.05959995700625788,
PON2,0.04140774116109938,0.008565920246215454,0.05165531134451217,0.07169454867745552,0.11078946515428481,-0.05097737478323792,0.07922287296481188
ICAM5,-0.016547469435245602,-0.027083264128715447,,-0.0487489651274132,0.014968114500178431,0.07828160623291652,0.002849587174648312
HPX,-0.025832794855409263,0.04201306151767409,-0.025635740197991624,-0.0035405828507161273,0.07014240190353746,0.02812004823472297,
SFRP2,-0.012091701133807625,-0.02108413084251856,0.05774135291842716,0.04635956757644253,0.02865673323387975,-0.021338219468914944,-0.008400890383475374
CFC1,,-0.016223506554934746,,,,,
CD70,0.007847781507182017,-0.030262520097645865,,-0.032609369449491526,-0.0403573015989539,-0.004304900406210069,
HP,-0.009382462539145292,0.019689697664091184,-0.06492039935275004,0.053119605562310136,0.03784006236869349,0.0064084510410280385,
CXCL2,0.013654229897457563,0.0625943822388623,-0.04601079714821661,-0.07098828867954479,-0.033223238281478926,-0.01287519703333586,0.06605426131123619
NPPB,-0.03782050844348232,-0.014205962128226229,,0.025863733330375203,-0.04843545063104058,-0.01997425726568138,
CCK,0.004689874966159905,-0.048080135802553485,-0.026376971673970087,0.08544272570349555,0.022591001213512207,0.0203429629120327,-0.060404220514298404
SEMA6A,0.02069124270203561,0.014408424542724639,0.0027262614430281383,0.07930560732037915,0.07549992272234098,-0.04384190410796387,-0.005495567569724203
