,MGH258,UKF243,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916inf
IGFL3,,,,,,,0.01379139270498825,,,,,,,,,,-0.028367967906687688,,,0.05075317089751616,
BMP1,0.05892012775100572,0.03698356941477116,0.026540831784642005,-0.02939405272682156,-0.0320641121624652,0.04375183597374763,-0.23391081638104388,-0.06171187986967573,0.009942809807657235,0.0642919365655045,0.029913683939244002,0.034329882160837336,0.040463464646733754,0.046271841480490336,-0.00041160383364162825,-0.06216130089596732,0.08176651190410233,-0.05466502976913357,-0.005847402751420852,0.06417775269105037,-0.024939134885860158
NDP,-0.03931815368907714,-0.02547520976177087,-0.038426029913956807,-0.03853976936198869,0.05444973626819376,0.06299688569660515,-0.06924222077979252,-0.01675887874587471,-0.035172312020404314,0.017335001802975553,-0.0011278668283463537,0.012907487815152835,0.012656068200585258,-0.05381160111990263,0.04798811063992696,0.06606995638769252,-0.0040959949026338005,-0.08135871483064408,-0.022082455147059584,-0.012456191702472964,0.15528113288075346
TNFSF18,-0.027106500157999477,0.11784290670620218,-0.008095611685448484,,,0.025592650477916458,-0.049866216976690636,-0.031017023956857098,,,,-0.04107279937916336,,,,,0.1113785672844767,,-0.03642678441940856,0.05195919859386941,
IL36G,,,,,,,,,,,0.039421748508792966,,,,,,,,,,
RTN4,-0.056708536774573465,0.005084637834640584,0.030466071022684713,0.021784920957295468,0.06410194660807116,-0.04124119227514128,0.3184716709469643,0.0016687582527674554,0.01669548571765931,-0.06954498106508843,-0.03716117879955765,0.04075955650330037,-0.015276298396758956,0.01287244986728029,0.03184688090788024,-0.06148507096558223,0.010678255728529212,0.2473393747821433,-0.05475990999801548,0.00466012295454189,0.01708841022261486
HEBP1,0.08191053423621764,0.028352178600298646,0.05714823338035371,-0.0039763103048501515,0.01820304914627491,0.029547004676970818,-0.07483952164121346,0.05106623660609061,0.017390365262814508,-0.034065469591445345,0.007617753116217914,0.023735819016891868,-0.09062961568640217,0.023622503512640412,0.12344787981798705,0.13516142301598047,0.01835157852557821,0.09443469731194849,0.06999100082782375,0.020440128322062302,0.020628442416670174
WNT7B,-0.007267439861707588,0.18087727444568522,-0.022502053002104127,0.0022312019247120686,0.0029102860377209654,-0.05370425751993785,0.27026285587936666,-0.049276255897031225,-0.01218291908911213,,0.06108243581812943,0.08745766961695377,-0.06166866497004844,0.006407836108111558,-0.023027542557163213,0.03362486530357631,-0.05272438706987004,-0.030038544117102717,0.016903686843167433,-0.030805941499489623,0.00032378981512446055
PTMA,-0.03153822011857711,0.028886702621766062,-0.013880381890659923,-0.012948840632919302,-0.08136902777203654,0.06761760991907885,0.07106933708337433,0.04846854163165043,-0.001906425258933979,0.0617092478768406,0.03112080656887351,-0.006141480020091705,-0.04568223496909858,-0.08051795909721716,-0.07671664836456055,0.06013513820915308,0.05261838421388405,0.1745675702812262,0.0014778649228113505,-0.010624352303043155,0.1783047637553323
FASLG,-0.019236776710532873,,,,,,,,,,,,,,,,,,,-0.019703638182679065,
