,UKF243,UKF251,UKF255,UKF259,UKF260,UKF269,UKF313,UKF334,ZH916T1
IGFL3,,,,,,-0.01342198851670321,,,-0.016653362043748184
BMP1,-0.05088775319247726,-0.005383587236318406,-0.019080584485693233,0.0477373120204715,0.02124679670754284,0.023148164336981535,0.07627246672422748,0.001960410837906956,-0.03530213061790471
NDP,0.06100917608116264,-0.004410727850764693,-0.05047243520246465,0.024974776998643304,-0.011050214239952394,0.03975317341649733,0.007643707441431051,0.07500214995344841,0.015788602240580513
TNFSF18,-0.005430836567099745,0.03148561715470637,,,,0.05805303837847879,,,-0.028091244452284322
IL36G,,,,,,,,-0.013752911436744552,
RTN4,-0.10026898106423567,0.020395239142786018,-0.023001889525646954,-0.0010552017743263563,-0.05921850796632466,-0.07006477347021178,-0.03053344875087812,-0.054113129895484904,0.0725294619671706
HEBP1,0.011509591296484682,0.022126550593349253,0.09726933045239834,0.005510715739361367,-0.02889661736035618,0.02103318849009029,0.060109896348372854,0.009649034271213996,0.011866402796620839
WNT7B,-0.06572104842639448,-0.006964813096740502,-0.05169169123524286,0.024380500907506306,-0.06791109493177222,-0.03747245372688925,0.0107795552282649,-0.015116034573743229,0.04300856094832965
PTMA,-0.06301085559564702,0.04230404674976464,-0.08435463245073357,-0.010846492356664126,0.05875593593684359,-0.0430343629215848,0.09811352081315833,-0.015649085328136435,-0.013404562403889615
FASLG,,,,,,,,,0.01455958626316697
CEACAM1,,-0.016764850417092116,,-0.02881055981191716,0.017064829421471576,0.13502381363474436,,,-0.020095946580032047
PDAP1,0.031611606572089064,0.01777977356253123,0.02784842895280127,-0.021271421693761092,-0.009265860902594084,0.056132783603688764,0.07347566395657194,0.057894205311773465,0.01659791777938776
QDPR,-0.003513215306706266,-0.0007849375372139752,-0.006274028756016628,0.019953215683469624,-0.04114415155982576,-0.07645656872468666,0.07104184964951567,0.017467161873793404,0.04460525139065983
POMC,-0.04545422592071681,0.002432632056876149,,0.10190300227697206,-0.03507177942461502,0.012019323461993758,0.002302659672620667,0.10117217262824371,0.0895413146258241
CCL18,-0.005018891119604548,,,,,,0.11766403299915544,,
CCL17,,,,-0.01669895680813275,,,,-0.012563675042489455,0.04992633376820469
VEGFD,0.024487195568048015,-0.0107526980421578,,-0.01860448194539237,-0.029243915770636345,0.07895453272232679,-0.0222144995674394,-0.013464879681973988,
TNFSF13,,,,-0.011518566672560836,,,,,-0.02133129451546318
WNT5A,-0.025722353780163902,-0.007601515785146978,0.0403364123071194,-0.026210673304471507,-0.033727762675407585,0.01596100184688179,-0.016696892348760473,0.013096104119117054,0.027645640277845846
CXCL8,0.013108830154827061,-0.02248368014067331,0.017731634202706854,-0.0583067053262309,0.06296347958512784,-0.018409201331996916,0.06937330296175652,0.09385272540815115,-0.0027126275572510825
GRN,0.013271257597557894,-0.04226615354377444,-0.030815166845905236,0.01608260787188811,-0.044864168964992804,0.026832869497237136,0.02025550972098095,0.038602897523135775,-0.08333628831718957
MIA,0.08496465011884,0.0855018453763337,-0.0251383332970153,-0.007571941240010277,0.016055109977391575,0.016589115854896176,-0.030126852313145457,-0.00043603790629473773,0.045016583365285155
COL4A4,0.019962366363394324,-0.008778238282488632,0.03295122654510513,0.01629362677414812,0.015889391660776745,-0.013226373433870129,,0.11825244835936276,-0.027263412649180262
TAC1,-0.08762982655978731,0.009002803023882098,-0.029737018552012055,-0.022156991179161478,-0.06704967160190052,0.011746234451718738,,-0.03170168871892075,-0.017209936884298328
RARRES2,0.002796753459570388,0.022039667187802488,0.10725849279362894,-0.01026168963399085,0.08051451317730053,-0.0045758031838376715,-0.05704187075406158,0.025402967988841663,0.11303557711297486
FGF7,0.05719686226517203,0.10872529728916179,0.04469421810652978,-0.029600450319297197,-0.04260982835566382,0.07949224830955996,0.0955056287041361,-0.011100958197228504,0.053503804025424026
HBEGF,0.023284417979664723,0.006093035322636417,-0.011099735044752099,-0.02638699533041545,0.019071110368485793,-0.020140139800473515,0.06987353468422704,-0.02812291934374276,0.05111735106226157
CSF3,-0.018612198308704603,,0.050781171249715464,-0.019903700482529502,0.005975032885661218,-0.013993248516958538,-0.0333734255918915,,-0.01378319289387411
PI3,0.0013662199333232938,,0.08155980109695266,0.0026385663258295324,-0.043877127801582386,-0.015756582520984688,,,-0.029946299141449535
PCSK1N,-0.044792563904334726,-0.009429483899551883,-0.03799957872744249,0.029603708501231212,-0.0019191204716531949,-0.043011507126940844,0.04446208521322347,-0.027211054038512057,0.04785802247113246
NTS,,,,,0.06357271938367602,-0.017199385694304077,,,-0.020411029182863707
SFRP1,0.020432301738195015,0.06353601171051407,,0.024510670248016463,-0.0333622435257268,0.048540962734841535,0.058741731580128805,0.004187074759594359,-0.019936728574810055
CXCL13,,-0.023835114837253677,-0.026642496374003365,,-0.010261567390177124,,0.006743644709909466,,
MICA,0.06385533066955484,-0.011423887665384531,0.04770049309536504,-0.019369359489214418,0.014414977301113126,0.02361763452191398,-0.009208308950993732,0.03868719790010258,-0.045289121214065545
TG,0.028922272633515374,0.047270206164977284,,0.02049056729639907,-0.029316514065190768,-0.01688859901235529,0.013822479950160864,0.01755621211958204,-0.026879855182064157
ADA,0.0648873154732208,0.1071799353523844,-0.0063428199688003485,0.024675223709903365,-0.03164330905011662,0.013049070987865027,0.11173518270781384,0.005333397378823026,-0.015987361890425194
LAMC3,-0.05092919237950596,-0.032456395064178765,0.060647131801281146,0.028178393809375177,0.01685403795868767,0.07018901652359381,0.0370302867728807,-0.01835739724284222,-0.04299038090230429
CCL7,,,,-0.011368327169634374,0.06549634093332904,,,,-0.014443450083245966
NGF,0.021542217252892987,,,-0.026047741152720034,-0.013106358193317595,,0.1076295316375399,,-0.022839424011867216
TNFSF15,0.028528956675763623,,,-0.012659188321147246,-0.032455026579343495,,-0.02125285339313758,,-0.001898596607307772
HMGB1,-0.032332111819470336,0.043631596731127105,-0.0941438619181688,0.004738158863143083,-0.0183759509043179,0.0668573499031598,0.06139004643304351,-0.03722953371892215,0.05066940757920295
ITGB3BP,0.11206731838168205,-0.005452652660827287,0.040966782889328694,0.01818868909472284,0.024022914937566604,0.023971154485637722,0.1207129331775153,0.02521213192815114,0.029185095318158875
AANAT,0.04579957362271126,,,-0.011518567901915534,0.03812967193008058,-0.012622288846476416,,-0.01685296834100163,-0.015281772511403375
RELN,-0.04067526029572709,0.03179850578973988,0.010090281452622666,0.009697380451307441,0.045576301187962485,-0.03703775584549338,,0.01722347588405492,
IL15,-0.03344574962813977,0.0601558512407589,,-0.010840081272681138,-0.07817119439244277,-0.009048797866066615,0.041268998916431,0.026861412184787718,0.03256531577967411
UTS2,,,,,,0.008366782587556965,,,
