,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.01725703741878472,,,,,,,,,,,,,,0.04244994165302166,,
BMP1,-0.0034008155701037873,0.1528469946858348,-0.0057319067710697716,0.010726962015100223,-0.005131668084152779,0.030169136333393597,0.02329596561851721,0.09697823002666214,-0.009149755518177226,0.005472650005993476,0.07589008524627947,-0.0073850530051994085,0.04476505021479383,-0.07166472990470668,0.08757821166956889,0.0753543569330657,0.0585998230244638,0.13843528600928678,0.09139220589824179,0.16970419065478412,-0.02079920360054759,0.08720814958076008,0.1573869442419154,0.1058829943953157
NDP,0.014458610840908099,-0.017935688250308706,-0.006503613018805228,-0.004633675365733285,0.04404516427387375,0.014397519946253864,-0.015263793801548438,0.04513443522819141,-0.04132873341690119,0.02358949788432076,0.08407621598296958,-0.015034343507241563,0.005775173568887024,0.055230240225282806,-0.06122325142972274,0.07008226007866353,-0.006399332130622271,0.0377178549430512,0.0901684735250609,-0.05177510191896484,-0.037722608503287076,0.060025120162743896,-0.09362409030188047,-0.015613424596290629
TNFSF18,0.10021893225448003,0.009737525634101782,-0.02299847959076466,,,,-0.02107045623112241,0.0643155611903533,0.016882784526050798,,,,,0.1583650201795664,,-0.03398091973109404,,,,,0.025535172622793628,0.09314240802822427,0.07516164684794943,
IL36G,,,,,,,,,,,,,0.07506861311634856,,,,,,,,,,,
RTN4,0.0468968395231871,-0.07011665952597015,-0.017691515827824068,-0.05330910335492722,-0.05165233017605826,-0.06098072372212878,-0.05715646318690046,-0.10630191378952696,-0.048742511937667043,0.03427461240228524,-0.20375256860965846,-0.02761678643015423,-0.022180218292423483,-0.043916495110254715,-0.043826183766482237,-0.05817674913519597,-0.020117227016659554,-0.09246694886024336,0.011589047937049707,-0.07869132558818077,-0.10681264907418674,-0.04460849503952586,-0.23687344820282272,-0.06258904108127641
HEBP1,-0.0927163137443613,0.08091204457419454,0.03640773438929446,-0.06820217977632681,-0.019377737513935265,0.022372235697305003,-0.0020801567421725956,0.03518955337205471,-0.028284078366654728,0.04695011692722271,0.06400737638223178,-0.010922680671929395,-0.006362320878399206,0.07032464978187546,0.01832868925375399,0.004796306378513579,0.0024103108354659414,0.0412817989569699,0.09323569855301375,-0.02028444794641578,0.009439764461465461,0.038875106121486494,0.02181622211326368,0.0035743857432051322
WNT7B,-0.02770450035360295,-0.033411266686570296,0.030643490333228874,-0.020550072527890352,-0.018349456659406287,-0.0818300920206847,-0.006115636174351177,-0.07142634489687626,-0.05301240819862053,-0.012031755373825318,,0.042312374980220564,0.004264387712656471,-0.0016551256562210364,0.07678145420424319,,-0.009260415769416113,0.007353183269831532,-0.012589861244119137,-0.0018682294007036472,-0.03458142494022206,0.03727578173715789,0.02217246414165598,-0.05239083518277241
PTMA,0.023971903444342045,0.017416997837414364,0.03460502233168628,0.041899467226097394,-0.01489755168655163,0.04390115151678497,0.02284955126469859,-0.03425930196993013,-0.021116750117614238,0.02782599197933923,0.23719115162182103,-0.0022787225514834613,0.012322799575498441,0.09652612267026145,-0.09872749467370537,-0.023021505294202688,-0.024101819323403814,-0.10637664677189272,-0.06087655946173343,0.03764277565430773,-0.03230913639273787,0.09302620300877273,0.17993386807829634,0.19975943201309723
FASLG,,,,,,,,,,,,,,,,,,,,,,0.005470425983172566,,
CEACAM1,,0.051144512846901524,-0.010963601702003603,,0.04941642229083527,-0.012062854433174614,,0.010733403403463994,-0.029579868283171797,,,,,,0.0012247344153781842,-0.04497427736933776,-0.02856769248407144,0.038302974316777,-0.018172542819929652,-0.02995869385936882,,0.0498019155832814,,
PDAP1,-0.06761898102787153,-0.03877610787651845,0.014913726225071158,0.07651961587222085,0.012864942461346248,0.012232178356412904,0.037351215162471106,0.08959072396252486,0.02305760509054723,-0.014242139762723965,0.024903908837319525,0.02512974424614091,0.014350034636478853,0.0818104569216368,-0.06115455273087487,-0.021960670248837754,-0.010979977647930225,-0.003145676203543626,-0.004172848995728145,0.03564013217155426,0.05794370218830287,0.027629468451113227,-0.006629828378402068,0.0027491263785502803
QDPR,0.011449823397490485,-0.08870496411731052,0.019033564097607907,-0.023227861494651975,-0.027179545913627173,-0.08887937021350545,-0.11824485619028696,-0.11137920664010154,-0.010925366990730006,0.04383155197260044,0.04351767143226249,0.018975976964148426,-0.014830357816246307,-0.05323630992073453,0.11178750470572427,-0.020316544325031927,-0.07942437255811456,0.0182192420757457,0.027706156230098714,-0.1293087128884042,-0.15124813662408435,0.07585568925316179,-0.21758963958217586,-0.021333261669163384
