,UKF251,UKF259,UKF269,UKF334,ZH8811Abulk
IGFL3,,,-0.014337209840646901,,
BMP1,0.01807132761777426,-0.0014316029016722186,0.07424373187385684,0.015387760581551693,0.03196282116510558
NDP,0.04024593308950565,0.0147952223422518,-0.003944979530537879,0.016441938671251266,0.035508836975241036
TNFSF18,-0.029361831109553992,,-0.021290326198526558,,
IL36G,,,,-0.014899817490577557,
RTN4,-0.01966843447536745,-0.016031301743640636,-0.07999970184213841,0.015064641400353233,0.017745807580546613
HEBP1,-0.046349567961346747,0.06571673238942871,0.026269383876522487,0.02859104434048585,0.04406582289434181
WNT7B,-0.01823865930500215,0.03126853486679253,-0.052987735610979976,0.06771097175701346,0.012462069771920247
PTMA,-0.007800459247224568,-0.007644737375847785,-0.007112014175616201,-0.008415193482144603,-0.021301507420424682
CEACAM1,-0.013997074035099095,0.018944169714150798,-0.028016856670950534,,-0.0052734490304378445
PDAP1,0.06294777105010484,0.003714569817536809,0.010839397888927871,-0.009357072597179304,-0.008684168062358798
QDPR,-0.032985970290131235,0.00613291990617799,-0.07348011472978824,-0.05531985578284307,-0.01118227009393284
POMC,-0.024870567430821083,-0.011658471384777292,-0.014553366342797778,0.012118721572641104,0.019787952290130126
CCL18,,,,,-0.02137076263092507
CCL17,,-0.019839662062446285,,-0.013611406283317733,-0.01660153404033351
VEGFD,-0.020048000331188313,-0.022103574425900968,0.039320010788775867,-0.014587765704502209,
TNFSF13,,-0.013684954865927138,,,0.025082552126973467
WNT5A,-0.009714645611647676,-0.030921664373848037,0.06504424096581818,0.03676081478853456,0.02692352792065466
CXCL8,-0.018771759227248604,0.01092427438803033,0.029297518884284383,0.03664315621768082,-0.018855180972537564
GRN,-0.01166993770998295,0.019619446104836492,0.10238777007790241,-0.03445741639236599,0.06279869561616074
MIA,-0.017829289481290648,0.05506262470271224,0.1196887827742153,-0.019978613654027536,-0.004717354857502953
COL4A4,0.03958200997999505,-0.013969247790781264,-0.014128256116160904,0.06934318586360563,0.06920002500574328
TAC1,-0.05050921721712576,-0.0017922631774397939,-0.07098056362910272,0.08323736204896053,
RARRES2,0.006311495793570338,0.06391179888535942,0.06537611251423756,0.03836660973566822,-0.03930253345851833
FGF7,0.006384390745680403,-0.02682909699679861,-0.02061125164936005,0.06451659602568903,-0.020736572919907655
HBEGF,0.08050142257264632,0.003136809564579498,0.08970756538296847,-0.01759859532968921,0.007265893152080446
CSF3,,0.0014218992212299796,-0.014947423035736146,,-0.0358329770457945
PI3,,-0.03324713549650043,-0.016830995622868772,,-0.05339250518141328
PCSK1N,0.005413547093627612,0.013791798822790968,-0.009277107709146012,0.01692904129512913,-0.032947358482082065
NTS,,,-0.01837218095683688,,-0.02777894817287886
SFRP1,-0.028516380256373663,-0.017310872023657185,0.05059367037491708,0.017798127911462333,0.0013318283491515004
CXCL13,-0.014928690282258834,,,,-0.03729044924598232
MICA,-0.018854894789027434,0.05155768000238118,0.0028382812875035256,0.037878734189328064,0.059371137132782775
TG,-0.019033200496998123,-0.018681173548440434,0.06657185096131706,0.012339122605471585,-0.02205928811821347
ADA,0.07819026565915282,0.02088595332869246,0.03643311324513232,-0.009329273864171053,0.0904218740052541
LAMC3,0.023823821105603202,-0.043839294135677616,0.17083173518387704,-0.004267515259967346,0.01569348069046867
CCL7,,-0.013506458628063987,,,0.009739886655085666
NGF,,-0.011229263439362853,,,0.03585255131360066
TNFSF15,,0.004222793802426893,,,0.09899003627336753
HMGB1,0.023918191261368366,-0.005039047835141211,0.07945170307674437,-0.01162984675991153,-0.010747558505282992
ITGB3BP,0.008414136011065367,0.06280100101415935,0.0411545250706356,0.04318256300352187,-0.02562239034525994
AANAT,,-0.013684956326496323,-0.013482980084208852,0.01794645560931229,-0.021828423292293078
RELN,0.011725414087052442,0.05103236785760845,-0.020384602549295333,-0.003374097961677548,
IL15,-0.024248006242182714,0.05695099795027447,-0.02450793792192489,-0.016933821724656198,0.028878527686983787
UTS2,,,0.09747635962140436,,-0.01858850000304472
BSG,0.09458728635397516,0.03019431412705225,-0.02384033575361226,0.014663295440298301,-0.02074388808801077
ADAMTS3,0.014052005082999908,0.03187404631888377,0.06367609165907542,-0.0027551833645411195,-0.001688440665627256
CD34,-0.04071711167176453,-0.0018540057911488532,0.08969368848324302,-0.03921601798068204,0.02495096973299011
CCL23,,,-0.015341491053612849,,
PLAT,0.06938710609248822,-0.03273188279237379,0.11831280453237779,-0.048523237938163294,0.012923447046845926
NTF3,,,,,0.037856378634112474
LTA,-0.013997075471449603,-0.01731087121382738,,-0.016933823814975053,
CKLF,0.06325312583607727,0.03196568956456025,0.07632898112024007,-0.0025959336574280754,0.016840431399650347
CD24,0.08131771045260136,-0.02924945481419983,0.002855314728252087,-0.03790109486095303,-0.004198638114324787
HSP90AA1,0.0641872400676228,0.06795126324216241,-0.07267575750396335,0.006451125620209609,-0.09377178282141352
BMP4,-0.014837720508380406,0.022452123624825043,0.008887184457105636,-0.014429366890622491,0.056572279626721504
SCGB3A1,,,,0.10356444194354053,0.044052094963230745
IGFBP4,0.05863524249648865,-0.046521400619902994,0.10617669640739498,0.02099532549306363,0.07048800123017816
RSPO4,0.007335569592307614,-0.02649732126436235,,0.02030191521018258,
LEFTY2,-0.014168980854416337,0.03384017279572529,0.15366980877521905,-0.020904616388834413,-0.001038241635415254
PF4,-0.012732242542813414,-0.011784119059884331,,,
ANGPTL2,-0.018788370443792845,0.03462853983798127,0.0961256047555609,0.028262584986465698,0.05704052281284972
LRIG2,0.018491781127993184,-0.040567623705110106,0.024226480840840746,-0.027688211510915873,0.025032076323415375
ICOSLG,0.06989764251217634,-0.011313343716575752,0.09340756044191889,-0.03465321951756752,0.03664316648038632
WIF1,,,-0.06576706132186023,0.09703589848585319,
NPPC,,-0.0182800747013595,-0.03630239033430192,-0.03266161301008444,0.05794978774127205
LYZ,0.026877370558237447,0.002742062853095468,0.039736138340829,0.03191438967835663,0.030925833692265918
EREG,,,,,-0.04110941364171034
SPTAN1,-0.030447385373985177,0.03120358362927253,-0.05356421221390447,-0.03375231455794881,-0.03001335418864371
LIPC,-0.019162705496205676,-0.021176939600603652,-0.00202223786262971,-0.026601453653082235,
COL8A1,-0.02003158538359398,0.0009427339195684581,0.031914958669088084,-0.0019906405480558014,-0.0038735487676301887
GSTM2,-0.016141618542697685,0.026386074123697503,0.04946100689592177,-0.008744142458531615,0.05285694313135452
SPX,0.004924491520068358,0.0011210051907001883,-0.04728604531089654,0.06519376651180898,-0.006852293364957591
MFGE8,0.007493713940493504,-0.030087906833829264,0.07673969393137321,-0.030892874663834172,0.056095561477029536
TGFA,0.021436427630047175,-0.030586471303801804,-0.007049064299675507,-2.8164267522549835e-05,0.033052254938913804
SLIT2,-0.03319892587059189,0.04687496511904254,-0.008226866240116811,0.03808986760635886,-0.0011637207695319415
PLTP,-0.024537244023834823,-0.0038766572980798667,0.028435898506361062,0.017242537666692898,0.07358166201938425
APOD,-0.03547278624696154,0.030428751564810442,0.07816851498661087,-0.020083875530577847,0.03463965778991146
B2M,-0.08259494747382964,0.0318661367988721,0.12582503078634322,-0.04248762227167127,0.09691802415279491
OMG,0.06316353644137135,-0.028758852710267336,-0.0019378331926461212,0.03356542619416756,0.09721885035010329
CXCL3,-0.026176278963253957,0.06239220971511081,-0.01770250832929863,-0.012195419631792876,-0.033595849690910534
CXCL10,-0.02726988898240864,0.0737566997589227,0.09354031251340673,-0.019379997657299277,0.1472791080658638
RSPO3,,-0.013684955315332991,-0.0221397682248761,-0.012743978471534271,0.03612620382139881
CORT,-0.02273897891739138,-0.00996605931700281,-0.03831782919811981,-0.0338093791330574,0.017048881958212785
NCAN,0.042493132034647565,-0.022021380543867385,-0.051111215565068736,-0.002152222528730066,0.04614751447270179
PRG4,,-0.01350646073284507,-0.0191790543673458,-0.014899817490577557,0.08771757902769615
