,MGH258,UKF248,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,0.02871001754118368,,,,,,,,,,-0.016360146360959907,,0.005569873435004182,,
BMP1,-0.006162063600743841,0.1299739471207128,0.11472661763116879,0.031459489123373735,-0.08815993824345543,0.0740589027601977,-0.0700823446674682,0.046439632175928065,0.11030713159999428,-0.03008082008137663,0.12175656994841667,0.07637148044655817,0.15295300295976685,0.19144099448750815,0.09877187806672291,0.06387501885521558,0.18495013673619648,0.1252672374899491,-0.07917311613675984
NDP,0.032228741493229,-0.02380879225921466,-0.05417820602760581,0.036137139309721934,-0.006306320088131987,-0.005369736063576041,0.019348803656612273,-0.02426635360373935,0.1917686910448601,-0.2883201089387369,0.02520815409475983,-0.03775510549224164,0.11336902878532717,0.11784769711104953,0.08467163660710052,-0.06722925800563576,0.02235128741121243,-0.07971341981205296,0.032209895003347276
TNFSF18,0.02784211449100919,0.03854085855538031,,0.015175394566212202,-0.012986886804324313,-0.0033771002874541456,,,0.027330060135986857,,0.03517565247289588,,,,-0.016871930168516444,,0.028439488758025582,0.07417623947809186,
RTN4,0.050491581414151984,0.030448087161921343,0.04391396436343476,-0.007568300962343708,0.1842239777604821,-0.02776406520296637,0.07603727258740443,-0.1970291146685369,-0.022453711239893252,0.11388145252251655,-0.02670402045974561,-0.002077308109486294,-0.10021914415493657,-0.1643899088385726,-0.09957862539427129,-0.07200736839097142,0.05878148840755364,-0.3110781609085576,-0.05755353429119612
HEBP1,-0.04307988970027526,0.059591154857725225,-0.04053519529665825,0.0033400902990599977,-0.05923542369937944,0.024104585247915214,0.02738964074758775,0.056579910583339506,0.06754409374121398,-0.0380201369473872,-0.06767985743991621,-0.022163597842656712,0.11211379244449032,0.10483408332131997,0.029063547295344983,0.01185252779546994,-0.038544198263214376,0.07510905722637529,0.12814948934398773
WNT7B,0.06373238628203799,-0.007889222355770501,-0.052125079536666244,0.03177414166624528,0.18691841527477285,0.01476271457818252,-0.01644265418540013,,0.1057843762459814,0.14223530897319062,,-0.0013564845037720603,0.04909094929483974,0.021720627005701588,-0.02116983810019611,-0.023041477884021486,-0.019101551814136343,-0.0768940101351072,-0.03502351254472292
PTMA,-0.017298382475836236,-0.005014251335083684,0.038562963987108526,0.029861455968433773,-0.034953915937250266,-0.08682532875657539,-0.047670615588150396,0.2435038126594858,0.14237983439033397,-0.13096808164834148,-0.05255839193701414,-0.04736609554147414,-0.2395091907599172,-0.05726249223555687,-0.07024271926235591,0.03803904721449223,0.06504513846384491,0.2376620819013639,-0.026687000515218908
FASLG,-0.0169850696758353,,,,,,,,,,,,,,,,0.05799387075218146,,
CEACAM1,-0.02358391789291431,-0.029681496973226557,-0.0025912537659612024,,9.64833405279207e-06,0.001190599450288582,,,,0.04347035928518979,-0.038344908779850355,-0.03452187235884866,0.010822269380698376,0.0013027360254276674,-0.02424320219880735,0.038878336611320355,-0.045153238043737616,,
PDAP1,0.06742694802835224,0.020767959053827036,0.10136560003691111,0.04767257037930607,-0.07575969090793522,0.017832661454014184,-0.007217917812599787,0.11687979604790294,0.05563293821625132,-0.17383034765390193,0.08230503662328319,0.01440270562602614,-0.028173859761212675,0.03414002609712986,0.04356970124797186,0.02098601799000458,-0.06464751409560111,0.07831800694453632,0.0721210218602898
QDPR,0.055627935826958616,-7.254045934665339e-05,-0.0739910893396607,-0.04228230661213088,-0.03416032949590993,-0.06911900408328103,-0.013922191662815973,-0.01436218373298414,-0.015254591207225044,0.021039326348307064,-0.05656407246535061,-0.14103500804781705,-0.007452991815062515,-0.05199746993261376,-0.05041931330737151,-0.06500177274057908,-0.010296684725692512,-0.29391947606387225,-0.032064601683880235
POMC,-0.03470076975475759,0.053925855826119445,-0.038788073630505716,0.062156190476763615,0.0018645659069790568,0.005870588932402717,-0.023282785540136523,-0.049726486711540695,0.06680104394080903,0.10235096139755645,-0.006538402823933946,0.07188947263868245,0.05429617523358779,0.011910634092430948,0.028516807243572837,0.044196491366371514,0.042702014438977545,0.022322788713086395,-0.05243874351385559
CCL18,,0.002703706186330224,,,,,,0.024092909305446615,,-0.06684294469093127,,0.18097246672417314,0.15319370656700426,0.18860886137256155,,0.0881801697890159,,,
CCL17,,,,,,-0.04479397569139019,-0.020351396545853336,,,,,,0.03155988151432578,0.08236242697320029,-0.021569907932758623,,0.08856471694513386,,
VEGFD,,-0.0174846238177664,-0.007029447534587207,,-0.04589650891612169,-0.02169281471481169,-0.014927995484482247,0.005650026528915096,,-0.0023440569886829334,0.03804483245378726,,,0.10975229173758522,0.0676786363156733,,,,
TNFSF13,,-0.027951357956858446,,0.016716676120881818,,,,,,,,,0.002929145698524605,0.009860819459154093,0.11030735457889497,-0.0008886407508574406,0.07097681269864602,-0.0013687010763780427,
WNT5A,-0.030013095232494156,0.020574440776224768,-0.14298675938101013,0.005291713058403524,-0.03976389328433236,-0.03558307875682293,0.04144362892391395,0.017762213389813382,0.14659157050993654,0.015781315299011344,-0.06858954500172981,0.03605908902368958,0.040455243106896625,0.03651780236550894,0.04780659539606799,0.10585433900233604,0.13933728351192753,0.20411696525592635,0.10022111644045044
CXCL8,,0.016334292726393695,0.2868306188725509,0.023788512033907742,-0.006202069493211457,0.001788597140553538,-0.013901598485972735,0.15500066548348435,,0.4009347235830883,0.023400933629747718,-0.04309486412842589,0.08817064875101195,0.1391312261861296,-0.013048779242059605,0.05655656188344864,-0.0008373556179186398,0.12747237123939087,0.006195656837575301
GRN,0.06827370000488786,0.1158191936546509,0.1347878273203321,0.030879951204464667,-0.08763959001453064,-0.02262957225301283,-0.055965589909567785,0.1456247530744546,0.01565685260431063,-0.21064343490847073,0.06339671492620315,0.16022402405299999,0.06983778427915083,0.08390019551712818,0.10369138003598347,0.12537016044359198,0.3348553216653223,-0.044628358225485595,0.017203314029172266
MIA,0.018647388712067513,0.0010515611272450404,0.11771015883712521,-0.02269396196360901,-0.024954547405159327,0.07992379086946562,-0.01697745105702236,,0.04895197548540622,0.09372223459321195,0.04116567227525752,-0.001957062877118231,0.25308772700181187,0.19464946589477705,0.04533981345272401,0.20688807802721487,-0.102150616053246,0.13527116682530485,
