,MGH258,UKF266,UKF296,UKF304,UKF334,ZH1007nec,ZH8812bulk,ZH881inf,ZH916bulk
IGFL3,,,,,,,-0.023857859155508136,,
BMP1,0.010014728976191064,-0.010463558382530545,0.032265129534080846,0.04393138801240771,-0.008292744943794615,0.04943669414499017,-0.01615071283605925,-0.0051339280750741555,-0.03594660157834985
NDP,0.016744796565820202,0.020035193290578807,-0.02883974420380445,0.06987530068079736,0.10492621343528458,0.04481237426351784,-0.015439252200674335,0.014859377780543833,-0.0624503724804046
TNFSF18,-0.019279987219288242,-0.017907431873953796,,,,,-0.024604189031131395,-0.03597299048219467,0.0017748525913523132
IL36G,,,,,-0.016645194252410383,,,,
RTN4,0.018263106471823356,0.06045926449785606,0.012045188106428384,0.04561110428512365,0.07711793864560124,-0.09578611353033467,0.03392924842846974,-0.0670678016405568,0.051096585821716715
HEBP1,-0.0034173900554926905,-0.0027979867868353943,0.012749804239358682,0.04129850699066105,-0.04284425844468593,-0.026417615588014212,0.029413602628211986,0.10668053661585106,-0.013077287246212621
WNT7B,0.009994466745144657,0.004765172737761143,-0.01947755013790933,,0.018758628806553438,-0.06415449576453136,-0.05144934969119677,-0.03597295318090583,0.019451046454525195
PTMA,0.029858316282248273,-0.037165256370987367,-0.002642668621316395,0.04870459200020522,-0.08105719014740424,-0.032356198726156346,0.04452843310641858,-0.02187960783792493,-0.04381778064190273
FASLG,-0.0169850696758353,,,,,,,,
CEACAM1,-0.02358391789291431,,,,,-7.394604919965673e-05,-0.03535365092563357,,
PDAP1,0.0721296012099924,0.016596863037564323,0.01511310416679018,0.05298332083334383,-0.03427586687913333,-0.13767464177698996,0.032772019397451606,0.01992498877975919,0.0469487475908795
QDPR,0.027532299978513523,0.009459539869946984,0.06426187180777795,0.007059073858464594,-0.018731841547835106,0.07983551912116543,0.003846512740876358,0.005667207605589483,-0.0020579481057248833
POMC,-0.02584178754058833,-0.03824307982883265,0.00953059377387772,0.04919433522522537,-0.025192222298768663,-0.0679970944341915,-0.04404858845105489,,0.029708564736502872
CCL18,,,,0.059741038865710784,,-0.041423251430584056,,,
CCL17,,,-0.024107746968874588,,-0.01520585750648149,,-0.014381616724415881,,
VEGFD,,,0.099954656674566,0.024468558896297937,-0.016296588465841488,-0.046667923084184375,-0.0026020097207261877,,
TNFSF13,,-0.017366473216715337,,,,,0.04229650050073427,,-0.004410776520221659
WNT5A,-0.002594016985919455,0.019091982301362637,-0.03613767498813336,0.09188745807252181,0.019638896750170953,0.004565285182291693,0.008470626894076764,-0.049329801538781595,-0.0372053631077254
CXCL8,,-0.02470268177598909,0.055830364055241576,-0.006416808607996003,-0.04137967914474208,-0.1670851104696037,0.005374159012532739,-0.017145680063488582,0.05874982316707418
GRN,0.01683918283302794,-0.003148425063343303,-0.0033282671774418618,0.052995140358547535,0.018986586567485763,-0.12213642942744514,0.04333333640779287,0.05900678118837004,-0.03365244838715734
MIA,-0.02223199120683366,0.028222914634700783,-0.020111056916265597,,-0.022318924736859733,-0.05472762787410123,-0.0429764462492114,,0.016060607123802365
COL4A4,-0.019670780304333193,0.005591181193870606,-0.0007310164094150644,,-0.021650185006739105,,-0.048454207008072646,,-0.038935010980303005
TAC1,-0.016985060434957754,0.04984449209915164,-0.0068931490442356224,-0.0015976800182942326,0.09503641914368388,,,0.09460754045281704,0.05094981030699417
RARRES2,-0.015774520714518417,-0.09525237146106234,0.0686540672073124,0.013263789043940665,-0.019497557707173967,-0.05320287507212362,-0.02927578534841409,0.06378675169035285,0.04727883852478716
FGF7,0.05886700468486426,0.050288958185443926,0.016591538817633176,0.03302391674894366,-0.03500306666013023,-0.035435208352498984,0.016098424048018332,0.1381659400426458,0.040362898000863415
HBEGF,-0.03850838410622491,-0.0449151999309467,-0.03251903585415407,-0.0027135080130788742,-0.042606451421955585,0.007938165784433852,0.042791820331852644,0.04033164359233207,0.006770368963519661
CSF3,,,,,,,,-0.03233150778230678,0.009652113594235236
PI3,,,,,,0.1490592358890532,-0.026726330398957027,,0.022584027229588542
PCSK1N,7.941467736682375e-05,-0.006539917180622856,0.042243967706697826,-0.043673563482074296,0.059430441445035204,-0.011142789906242784,0.0052496642633773705,0.01582755718104975,0.016786378087658725
NTS,,-0.020171356222519993,-0.021174554518123157,0.028854241968851245,,,,,
SFRP1,-0.02471369197187137,-0.006642885161042991,-0.0241077472116594,0.0457869204680656,-0.006270843173819998,0.00997672197855035,0.044481491072732096,0.03626271695321036,-0.03145411500010596
CXCL13,,,,,,,,,-0.0332202116655469
MICA,0.08571962438920505,0.021946129322305222,-0.0003951328502368201,-0.014701876474600533,0.011938151273707514,0.08930958202226191,0.07294989978360039,-0.0322491477867286,-0.034873876566772016
TG,0.004051539551099144,-0.02328306251806057,-0.017446671790563188,,-0.022841343565916192,-0.04913745980928446,,,-0.03660884516800263
ADA,-0.0018745097874514928,-0.01866850595634379,0.15093778973251418,-0.03191614636166587,-0.02181676963694481,0.0701401870224107,-0.06252647995752501,0.0771857734728486,-0.031161683766681218
LAMC3,0.0031364304554693102,-0.028665978339388807,0.08005036859696904,-0.009897021167744212,0.0297367346732002,0.03467340132179517,0.014685894715157181,-0.06355246360973794,-0.02329485714366343
CCL7,,,,,,,,,0.050563541570919926
NGF,,-0.022218286555962197,,0.03084192129634632,,,,,-0.0346538284991169
TNFSF15,,-0.02697787086183415,,,,,,,-0.034214573756354096
HMGB1,-0.021822508192947974,-0.024944934442911067,0.006107853743766184,0.08290839596275838,0.024039535455798997,0.011499480399087806,0.03440753815019231,-0.005045488354947081,-0.014604930995826998
ITGB3BP,0.007293709207425943,-0.050055115692099306,-0.0031520883179777075,-0.006775480769156319,-0.057140058082144445,0.1202952228750263,-0.02274084040360995,-0.07605530373717487,0.03934998293570705
AANAT,,,0.05094033810210928,0.08825656545755904,-0.020397203388964488,0.019155304554297013,-0.03890908456617613,,-0.005448971739962011
RELN,-0.01630759471203579,0.0078006467973317836,-0.04612515884031916,-0.08304273540108977,0.1325908413659185,,-0.00439950195085073,-0.039693399119293794,0.006107321365567336
IL15,0.010449266796004239,-0.01919635893408552,-0.007938101794773934,0.06445945151602067,-0.01891746339985964,0.15648463229838017,0.03613994496134214,-0.03419548295857567,0.006840325929098613
