,UKF248,UKF259,UKF269,UKF275,UKF334,ZH1019T1,ZH8811Abulk,ZH916T1
IGFL3,,,-0.018276108288597718,,,,,-0.025949298571211556
BMP1,0.07872146834295587,0.012386460662244596,0.05121945958544965,-0.006713144921621907,0.04686084566633343,-0.014621721056149003,-0.01748895468393374,0.041066780521648784
NDP,-0.07371662476479243,-0.0016196806120132362,-0.028923601817602448,0.015283307601396873,0.017685326715657618,-0.05860536048478392,0.02297743289033464,0.05503290289050674
TNFSF18,0.04419874441128384,,0.10189038370716294,-0.0123584790809369,,0.022413636564692793,,0.016414097116090643
IL36G,,,,,0.03668238694841679,,,
RTN4,0.007288784181426201,0.023809681967612482,-0.021708746842597826,-0.03201947775826485,-0.06782674668424911,-0.05276882171636405,-0.014397425043076402,0.01419441345056853
HEBP1,0.054067093486963744,-0.0025565909687593415,-0.022434400624040198,0.04613879340940134,0.02379094372854342,-0.03136459283728595,0.03690809164831319,-0.004156262411292473
WNT7B,0.03166499171788045,-0.02513325353454654,-0.010753238277302724,0.00340741529211212,-0.02459998854531185,,0.020293798822039907,0.017197994253676102
PTMA,0.016598387722845446,0.024669051273504262,-0.05195880881514363,-0.042272953305630565,0.049050924528900544,-0.047780599718396335,-0.05462660404563118,-0.004897933842355806
FASLG,,,,,,,,0.014723379374237738
CEACAM1,-0.022149905797345295,-0.00662094415057285,0.06376120135907894,-0.019436943383945925,,-0.03526144942481784,0.14519120010061567,0.04037699332050519
PDAP1,0.023924778894713276,0.012131829241820288,0.05830550806981264,-0.0392060161139669,0.10804862428042773,-0.03838846729154359,0.04988779353299187,-0.02687911412689483
QDPR,0.02335551566065152,0.004519267299476562,-0.04014642903013031,-0.03095400926511834,0.02884270804842307,-0.0012397782333171637,0.06390742986162608,-0.005938327770006356
POMC,-0.0017391732577414186,0.005823622688368263,-0.04603732545135673,-0.014339801840014092,0.027495217710218588,-0.04987019999983044,-0.024974228711018738,0.04187217463131017
CCL18,-0.027640989622785793,,,,,,0.04463034654050812,
CCL17,,0.0021346138267288295,,0.02080033971584044,-0.0041419503175566886,,-0.013312000374670204,-0.020398995989081504
VEGFD,-0.02764099840009462,-0.0020054902959969543,-0.01799357846472925,-0.016421705484693527,-0.021912882265824128,0.04123487050507978,,
TNFSF13,0.012204014740757996,-0.015673627677529247,,,,,0.060244461972851944,-0.03323846132919462
WNT5A,0.024955090756624235,0.016540817747806167,0.0405579122939098,0.04296859410956298,0.04757799988296572,0.020537336660288473,0.049916687106261265,0.03178203782849184
CXCL8,-0.02953463256468198,-0.05472785649712527,0.049499026449045615,-0.00913265390930253,0.06820530463103744,-0.018277984190638252,0.02872609814600618,-0.046765293947744535
GRN,0.045600195793860376,0.03418429026976655,0.003763374558941753,0.021680209348502556,-0.03428740066962914,-0.07191391988660428,0.03399506724789542,-0.030850423897825083
MIA,-0.009220649193749915,-0.041017668606861006,0.02066421419838931,0.017308916063855095,-0.03001069647697847,0.08792400741601496,0.08955769177820068,0.12731438830085293
COL4A4,-0.023051000462151486,0.028238261293650382,-0.018009748171220825,0.05353378606849387,0.028050077649838558,-0.03753574645718799,0.08138283569116794,0.07589587015963611
TAC1,-0.006788935232856268,0.052304462206305705,-0.006591737250077446,-0.06730617116532503,-0.022503643569578475,,,-0.010862604512714985
RARRES2,-0.0504132326155076,0.033242203836034524,0.049169674152693174,0.03397323902083227,0.0530978265007177,0.025713646385130524,0.06384826455762636,-0.010768344724474535
FGF7,,0.049889216045354984,0.037877438942886234,0.06542743494779793,-0.050100089689419064,-0.023924224776185058,-0.05250336262180411,0.049134443501898474
HBEGF,0.0031127402871273936,-0.04884303793056085,0.005984675302668446,0.039644153201622276,0.029304374508664237,0.07929001430683297,0.0159359709247789,0.0068830900085233
CSF3,,-0.005100774831862132,-0.01905396692054469,,,,0.027503737456601722,-0.02147699585994475
PI3,-0.029079486475781034,-0.04673795776432707,-0.021455018237675778,,,,0.025253007588385036,-0.04666237697126239
PCSK1N,0.04222281879814759,0.0670220164865058,0.017241142161148616,-0.017530259010972923,-0.05876242216219712,0.019499483452973906,-0.022600979026761687,0.008007359982184983
NTS,,,-0.02341961737303508,-0.003316379546350662,,,-0.031055511145936448,0.062163107081287146
SFRP1,-0.01003947638743358,-0.005356513441115482,0.005797731486766479,0.00874662324848025,0.0023162494789733343,0.03880137932153472,0.046976911746835284,-0.0043348099240988515
CXCL13,,,,,,,0.000626655960798649,
MICA,0.025331517124295672,-0.009027204732242328,0.07952522926274137,-0.026308360860655033,0.07252738244022648,0.013137136832828045,0.030075096750013446,0.06545163586915329
TG,-0.01926574355242103,-0.02139588779401694,-0.022996433353254294,-0.015528446959400106,0.07236880758379129,0.06934707699313711,-0.01768832030709835,-0.04188423850018703
ADA,0.04854693873623908,-0.016595910306243817,0.027131045169978756,-0.006999736944449707,-0.010592182249911812,-0.02917753880223774,-0.0020453668948213796,0.046448962294705805
LAMC3,0.04147367997783882,0.08732054850274873,0.047515210830315145,0.024278629560079645,-0.006675853592230614,-0.012509766012614958,0.01598542069211877,0.06277768739090074
CCL7,-0.01758200444912368,-0.015469192690237296,,,,,0.04527671731002197,-0.00422794110829806
NGF,0.017329008448589436,-0.00012069665666810009,,,,-0.07171694210346678,-0.023042524010583345,0.027545240649333686
TNFSF15,,-0.017225702649101934,,,,0.01657597583041637,-0.01945058926011892,0.04014403555077511
HMGB1,0.009974799128964545,0.014060756032628977,-0.005324143647957767,-0.03314857317368549,-0.0003607308501281264,-0.022782570153793025,-0.017258175037996055,0.0411113351614009
ITGB3BP,-0.023564310874075334,-0.01981734119118211,0.07076500045046356,-0.06112080555389647,0.031582979873166966,-0.07123346745702275,0.07220557566467331,-0.005757310486017064
AANAT,-0.02550881354045829,0.020851521640000953,-0.017187193799270566,-0.013964823099115013,-0.027426692239992605,,-0.01750320050782655,-0.006632368224828938
RELN,0.004547159083258462,0.006394819305391393,-0.0025883822815274135,0.040133278683371514,0.03987172725100451,0.0278472159892115,,
IL15,0.016643129530748098,0.002352048307987957,0.0016793307203311267,-0.03259044333628621,0.058189577958028024,0.017561462938976858,-0.0188379991307779,-0.014628455805404447
UTS2,,,0.06993963637321096,,,,0.04298540236387451,
BSG,0.045008568190806474,-0.004323926223567776,0.01380348173387429,-0.05473278583624903,0.056156019198561766,-0.09425572810304668,0.0860872277839491,0.04588587020494249
ADAMTS3,-0.00901839252121345,0.001637787806801632,0.01974199956505034,0.02389105193866413,-0.025250871285166204,,0.04448326095461514,0.06819900897326943
CD34,0.07642534347285153,0.045097020933513136,0.07995581837201297,0.017853530384758367,0.019939172668152642,-0.05401198817099358,0.05865262329189157,0.01618442785299078
CCL23,,,-0.019556298256127817,,,,,
PLAT,0.03386469837676856,0.013915141824415351,-0.0024497340868005015,0.011783937613476124,-0.0026505709636771273,-0.04012161435731211,-0.0046330651524252335,0.028474305955682813
NTF3,,,,,,,0.051534237845898695,
LTA,,0.037987931668895844,,0.02772528412943359,0.001203876406454702,,,-0.018918433067304678
CKLF,0.027336104974881356,0.08632789949296117,0.013848562675093812,0.006688562438254107,0.06606230429457778,0.025856268161783703,0.1012311224783877,0.03967049506010488
CD24,0.04719100479780025,0.01726285376202406,-0.05479929331665279,0.0434475627551378,0.04957957663317503,0.050076516262989555,0.005146633887859986,0.014029224253566864
HSP90AA1,-0.03982738105307407,0.06508941193884817,-0.06805750790441552,-0.0057410742229711586,-0.03986934399835904,0.061252150621917495,-0.03733421079671201,-0.010152530308662637
BMP4,-0.05577202140035496,0.035266623059349834,0.003110521946045644,0.04698493778933162,-0.02167494489899891,0.0032825552970812645,-0.01899554919967206,0.00687296076612507
SCGB3A1,-0.017582002690946726,,,,0.021122083364094008,0.0759336607696323,0.0593002233018662,-0.03813428731224284
IGFBP4,0.04788844914320139,-0.05917412545022728,0.05041661961013478,0.03490682246879082,0.012180882093495297,0.024084410756570463,0.004653978726552185,0.06450230220114578
RSPO4,,-0.030347863914665332,,0.054384705471269654,0.0032632607103068477,-0.0024615642039782586,,-0.032602528078451105
LEFTY2,-0.012687760370446301,0.011856130151738737,0.10045071214866619,0.026583834064050203,-0.03140168323373669,,0.009163951509839523,0.04318773116960875
PF4,0.018876070784066848,0.007466418323934666,,,,,,0.08673555805842323
ANGPTL2,0.045887034018168356,0.025526352520590788,0.040130954601520254,0.018763207711308478,0.04565945391746393,0.10740677547693647,0.021478020764783133,-0.016192541534923107
LRIG2,-0.05479108964124113,0.03005890934094965,0.056032926470488936,0.008462532935749383,-0.02097253930446732,-0.051009341939864436,-0.017990680152605503,0.06239459664917699
ICOSLG,0.04305353095971507,-0.018670115753825392,0.018491536581360567,-0.030592874055963573,0.013321583894251005,-0.08457210830772266,0.08643055445317994,0.08777576918324337
WIF1,-0.032817230236729354,,0.010608247738559383,-0.012071085908726293,-0.010604307548697125,,,
