,UKF259,UKF275,UKF296,ZH1007nec,ZH1019T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.018186158541299728,
BMP1,-0.004774487822202375,0.05716571207093456,-0.0018825102832941527,-0.00498583280113319,-0.01959250333440543,-0.06339481534473586,0.012777055133271103
NDP,0.007850836607832463,-0.01272251861757629,0.00977375189002525,-0.04420512321286421,0.02640836237623032,0.039822525249334016,0.04095526839261285
TNFSF18,,-0.011674764661574738,,,0.0006381217428839671,-0.030676798107769174,-0.026674492887896424
RTN4,-0.0049725075295421585,-0.013538693436963003,-0.025436350464071247,0.0372149041418584,-0.018640741067212717,-0.04909324475591163,-0.02377912282030899
HEBP1,0.004447698110629839,0.01117931381903376,-0.028244517049928645,-0.11380488684662633,-0.038581704090284635,0.05771372451204813,0.08095550721059931
WNT7B,0.027229487823195675,-0.03346462612583523,-0.012031756191589638,0.051735833216913996,,0.006163437526197047,0.032477985615018815
PTMA,0.039116028040626076,0.0022806242520108286,0.041977257223672876,-0.03601776694138712,-0.05892641268840741,0.0039004372533261614,-0.01850282382334477
FASLG,,,,,,-0.015772849098571618,
CEACAM1,-0.03158895333365216,-0.01836162348633581,,0.04439724934318897,-0.030603842339149787,-0.021945602910803996,
PDAP1,-0.0005988749700869041,0.05219279206422697,-0.013229017167827484,-0.07071011840677327,-0.06258558464305458,0.06591743893566383,0.000871079497842895
QDPR,-0.037721826335845414,0.037701816771406736,0.031159443590671784,-0.038720593677019896,-0.08172390692570108,-0.03172841717341983,-0.056473587380637846
POMC,-0.04259118240986251,-0.013546473694648937,0.003914451873868183,0.0029304363870443647,-0.08006161483211557,-0.023143550645933774,-0.02786328183613053
CCL18,,,,-0.04089330709288487,,,
CCL17,-0.026509128588591505,-0.01456070453984554,-0.014891941327543531,,,0.09935653480654426,
VEGFD,-0.010180641612843102,-0.015513199125871216,-0.010923419058336818,0.003932819774205669,-0.04160525301274267,,
TNFSF13,-0.018285403608593633,,,,,-0.023294653832077388,0.004871825867794677
WNT5A,0.0565411843067279,0.046195487321425505,-0.0053443171407035524,-0.023429485345184776,-0.0782798003159543,-0.021076708349816637,0.09249716389705837
CXCL8,0.046056116108895304,-0.05693484147832883,-0.010172362793174277,0.027881291610982965,0.059154865719674564,0.08083660232835663,0.011752324221974858
GRN,-0.06803321764029288,0.003586179843252448,-0.015679314527214095,-0.10658586297168109,-0.008453529398681606,-0.07579477242463725,-0.08331412299658035
MIA,0.008575886313777478,0.04282541990984958,-0.012423088728224566,0.12316209473904915,-0.055484372038304725,-0.015696632016426897,-0.005159233535382356
COL4A4,0.008251828257412285,-0.015201826028453276,-0.02086980108794473,,-0.032577732492458815,-0.021160929682109874,0.03540727492032069
TAC1,-0.018579805487020536,-0.0028210600473108317,-0.029236711592370658,,,-0.018793961233858347,0.05647382076909803
RARRES2,-0.028313647522536935,0.03595488667612237,0.028305521766407365,0.009983739249386215,0.07343118297142069,0.09327420869048643,0.03209816390586304
FGF7,-0.006319109270995788,0.006640896003099587,-0.02378811153707367,-0.08106537521231427,0.01596656688690548,0.02857613388271589,-0.0023187727601211142
HBEGF,0.031691932604569,0.008656021111917241,-0.02805238750770851,0.09955854085449532,-0.002326643568790062,-0.03429243200316279,0.010549725422648693
CSF3,0.0800939063328114,,,,,-0.015051815394082037,0.1237650384536713
PI3,-0.007901449622873395,,,-0.029330840516188682,,0.005030606707748161,0.03318477253677072
PCSK1N,-0.01474584644943172,-0.022697190811468527,0.014260498772974929,0.0013297528008050917,-0.01712860668632492,0.015406595762161359,-0.004464567338538827
NTS,,0.04780695868460202,0.025529542455565924,,,0.013866597541738987,
SFRP1,-0.023130239366546766,0.07572027167356768,-0.014891941477517613,-0.017874036981899186,0.0907105855521768,-0.021771730279080144,-0.015312024875279953
CXCL13,,,,,,,-0.027671747959782413
MICA,0.06554600987502843,0.024365628386259063,0.019394843769871287,0.06303686799938577,-0.037795078653004376,-0.025377096264446827,0.028228761392700523
