,ZH916T1
IGFL3,-0.015471709327991573
BMP1,0.09738161174624668
NDP,-0.062110432763226885
TNFSF18,0.06908464112317803
RTN4,-0.05584277681031253
HEBP1,0.060421805655747285
WNT7B,-0.02083181818140948
PTMA,0.09848804859873504
FASLG,-0.013418608221917186
CEACAM1,0.07157781236739681
PDAP1,0.025279582029968783
QDPR,-0.014855681409103361
POMC,-0.0003035349503056734
CCL17,-0.01216246118020598
TNFSF13,-0.01981771533375892
WNT5A,-0.001500603145703683
CXCL8,-0.07024864850893006
GRN,0.020215475502958085
MIA,-0.052645547193964096
COL4A4,0.05173459321037739
TAC1,0.009896715612903229
RARRES2,-0.07203517892740961
FGF7,-0.06657554424497625
HBEGF,0.06377961407285652
CSF3,0.051918335847038595
PI3,-0.02782143536833305
PCSK1N,-0.1255115852460083
NTS,-0.018962748168978423
SFRP1,-0.018522101942551696
MICA,0.025952129221407032
TG,0.057014505143306825
ADA,0.08470169398297853
LAMC3,0.04781064505486634
CCL7,-0.013418603450420268
NGF,0.09375744579156117
TNFSF15,-0.035454273521154225
HMGB1,0.05371765120846756
ITGB3BP,-0.015215489558807969
AANAT,-0.014197442035536878
IL15,0.007554174346900311
BSG,-0.08213207599647954
ADAMTS3,0.08963437973021797
CD34,0.06410318545020094
PLAT,0.07736185724050831
LTA,-0.019107617373967167
CKLF,-0.014509295487210508
CD24,-0.11716516994371534
HSP90AA1,0.07247581993103658
BMP4,-0.00613236697141149
SCGB3A1,-0.028135223870569076
IGFBP4,0.09370094902162181
RSPO4,-0.02520094718935022
LEFTY2,0.10577590510487674
PF4,0.11458552507852666
ANGPTL2,0.00856601100694445
LRIG2,0.03304848097899531
ICOSLG,-0.029143148561211876
LYZ,0.06497113670572238
EREG,-0.02885692157733236
SPTAN1,-0.010416428178148477
LIPC,-0.024159254959732878
COL8A1,-0.01811925617686228
GSTM2,0.00035345196501393564
SPX,-0.03213850125946705
MFGE8,0.04107342496047369
TGFA,0.008817424242782854
SLIT2,-0.024010363744685004
PLTP,-0.0038199241217044483
APOD,-0.029661040845566776
B2M,0.04121220015482899
OMG,-0.043240536109730394
CXCL3,-0.005167042576063718
CXCL10,0.060602617242550824
RSPO3,-0.013617258622303351
NCAN,-0.0014229000664217084
PRG4,-0.03084676067904283
ZG16B,-0.016979256014257187
TGM2,0.02295629750849341
VEGFC,0.04079267175442593
WNT6,-0.02050594126954526
NRG4,-0.01361726014847316
PMCH,0.03135384365088681
COL9A1,-0.04333168118233978
GDF11,-0.023936129613719607
RAET1E,-0.01493803762963183
SORBS1,-0.07870325574101011
DLL1,0.032117171149234076
TLN1,0.015629576712267088
COL2A1,-0.019817713801781097
SHH,-0.009141613217654393
PON2,-0.11678351215948285
ICAM5,-0.029363984707791727
HPX,0.009039420845133213
SFRP2,0.0062815508428360044
CD70,-0.02077559080813481
HP,-0.02036993180398085
CXCL2,0.00398962753352014
NPPB,-0.013813193863361876
CCK,0.028252749128651125
SEMA6A,-0.05825908584280225
IRAK4,-0.01424550402261217
GSTP1,-0.009593942479603795
VCAM1,-0.008838120578901777
NXPH3,0.01334866944785958
MTMR4,-0.05473618236010871
LAMC2,0.03494207109382197
IL10,0.09790127976472386
SEMA4D,0.03721009304035197
TRH,0.03888590947782474
SEMA6D,-0.08128942034497603
CEL,0.05586233022968329
PDCD1LG2,0.037461958912545223
SPINT1,-0.026587907025282468
CTHRC1,0.10512882482292346
PODXL,0.040207782563745575
JAM3,0.054459210232552
TGFB2,-0.05481636144318405
COL18A1,0.12073303213593072
NODAL,-0.02117443317393903
INHBB,-0.07801903363411718
LCN1,-0.015645828646186563
ARF4,0.08169408608853372
CXCL14,-0.0767499725378641
LIF,0.016507259723672434
IL17B,-0.02642799378439723
MMP1,0.08169912531026453
MATN1,-0.018816897514313837
ADAM28,-0.04799012616112126
TCN2,-0.008074042654399215
THPO,-0.020369938005029807
CUBN,0.0304938566079634
TIMP3,0.0837281651377083
PIGF,-0.03220386522746702
CRH,-0.023200761414516397
BDNF,-0.0349242336905827
CCL5,0.09576809094716345
GAD1,-0.006999322767423568
COL14A1,0.021850840568227965
HLA-A,0.07461154591538802
FGF18,0.09302850708594489
ADM,-0.030686025685178267
CCL15,-0.013418608286396906
GNAI2,0.04329739798037516
HDC,-0.04541803124844829
COL11A1,0.052059273543377825
NUCB2,-0.014949022072605789
CXCL1,0.0697975097457374
VCAN,0.07015039595514094
MMP7,0.05201885381105401
PTPN6,-0.016511210121661107
PTGS2,-0.032275088622011186
CD58,-0.022990763557270078
TNFSF14,-0.032184241086247345
CNTN4,-0.02283259647256927
INSL3,-0.018373118429393518
BTLA,-0.01776588685319207
MFNG,-0.0020686259960904273
ICAM1,-0.0584167824375413
PROS1,-0.05285486315351232
CLCF1,-0.027244785264522058
PSAP,-0.07659564287445103
EFEMP1,-0.0944118914177275
C1QTNF1,-0.07642100061125143
ALB,-0.020775597291943785
EFNA3,-0.03523371105136546
DRAXIN,0.022712436923979243
NPTX2,0.05069835445651564
FGF11,-0.07958343945766669
CD59,0.03319577762149714
COL9A2,-0.04261928006830356
DLL3,-0.05061278927861917
FGF5,-0.04706907090253882
LIN7C,-0.017129627061892718
GDF7,-0.026208374606147798
PSPN,0.01699872224419745
ANGPT1,0.048068518802895206
PNOC,-0.01896276386747807
