,MGH258,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916inf
IGFL3,,,,,,,,-0.011995769422547332,,,,,,,,0.01437803477644605,,,-0.0117094389201593,
BMP1,-0.06657311359861838,0.017227848233012544,0.022719804971279407,0.025264299452949644,0.015299411553733822,0.017289405616225717,0.00807961824993154,0.02922114101668588,0.0010044671051675797,-0.00031785219008042057,0.03740479438977717,0.04061642821663403,-0.01113464580754894,0.09720883093193153,0.07550917674469043,0.013525554451803283,0.12375652157401273,-0.012765797082580962,0.21153605530466785,0.09936912361304387
NDP,0.040174757463363166,0.02441619229624058,0.04069245356477018,0.045262887017089394,0.035828219483070654,0.0609856904832915,0.07527516438671503,-0.042497140595108306,0.014180604209827708,0.04497714597152689,0.08968552697500394,-0.009097909147568884,-0.004291091788924504,0.08138977759944342,0.043831379967972935,0.015125408261866789,-0.03507747100942041,0.06315728346051024,-0.0054382961711619176,0.22654735026159736
TNFSF18,0.04474589658456629,0.027445653075781548,0.042157155929373455,,,,-0.018038163714415356,-0.01547085247988185,-0.025474740484287998,,,,,,,-0.07090645795954355,,-0.06452211583444545,0.13315322876388277,
IL36G,,,,,,,,,,,,0.04272809711755181,,,,,,,,
RTN4,0.06510158431315599,0.0363951888585055,0.0367661647366362,-0.03727221202840612,-0.002216006104991297,0.0060209446883448155,-0.013739236176934807,-0.036124896371142905,0.005781001631164002,-0.03699767936740031,-0.16457672217593255,0.014718067551496723,0.00912604104738758,-0.052721016495460994,-0.07731481774987647,0.06460437029147571,-0.16983810956067866,0.11125681665064474,-0.010750220811834217,0.12803825607173333
HEBP1,-0.07251028895333801,0.014787958269641077,0.005852984780353602,0.033940344493647454,0.004368534956754512,-0.10373804911826122,0.002879414864070022,0.0011302479711726952,0.06751016281364838,0.040072118065511295,0.16016203525226905,0.04969514476115541,0.00866846501105678,0.01286198661766541,0.07564386486967271,0.017257025832689756,-0.05196256378511108,0.10178119365000389,0.011930396356785162,0.079547928698475
WNT7B,0.09032267480516916,-0.02896951394526226,-0.010613729529859655,0.0883349082276949,0.04633072985134202,0.07157252774568715,-0.013777814430840354,-0.03116673875429393,-0.02744792466817829,-0.04180094111250539,,-0.05022983135076149,0.023756952429817124,-0.00451154199218285,-0.02618257572771182,0.02895022852949847,0.02347737317154222,0.02406995646184539,0.0306804127135001,-0.06539859839352354
PTMA,0.08800325707720906,0.1188189563469354,0.12442631281603792,0.06065032425373571,-0.03672173384543368,-0.010775303494563251,0.07864952718402207,0.007909523738901065,-0.009486895841699088,0.05988565716581433,0.32043158191155086,0.20205834831206768,0.011676823877280184,-0.07388837680086582,-0.03582265498543809,0.030483802814220227,-0.007379277870874942,0.028990868873764973,0.13444032517474705,0.2189399797387599
FASLG,-0.03063179952356037,,,,,,,,,,,,,,,,,,0.028200127418131722,
