,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.0184175070661419,,,,,,,,,-0.022245077495204615,,-0.004546275670122737,
BMP1,0.0026751681864742097,-0.006342059315309966,-0.012472406994604677,-0.03384048357335729,-0.03204968839919018,0.058553480808608734,0.10059713277020539,-0.0064295102352760975,-0.0007472953519376091,-0.026430081717643782,-0.04602637423251359,0.07735412686207063,-0.014104638678727821,-0.013743562796383524,-0.011187065829993627,0.026299728539940635,0.031063148642497148,0.02024679369524722,0.040119463379957775
NDP,-0.011808896507957415,0.0031305979739215473,0.06482369401603522,0.07527869514359734,0.012871623398950713,0.015816068143216473,-0.024981433519404208,0.01950380881503037,-0.003373947621805462,-0.026829979787036908,-0.0025594586158254992,0.10196842401552338,0.08816774002986295,-0.094681901203396,0.02922936166149785,0.0406936417746032,0.04450671378827334,0.10393314461382235,-0.018082185604454376
TNFSF18,0.05838944288852751,0.04237826904142292,0.0840656872375999,,,,0.10047814270229939,-0.022154134867141056,,,,,,0.25236896356362737,,-0.02294095577212842,,0.026704766380983663,0.019699769864945326
IL36G,,,,,,,,,,,,0.03960495546022199,,,,,,,
RTN4,-0.0653781863349147,0.025481323038836757,-0.04191666270012204,0.00027902775418054066,0.05773062348599421,0.00641654664143554,-0.10583050025914235,0.0009267997743864638,-0.014489007590553575,0.01733326461159675,0.05055064914615067,-0.12104690979291911,-0.08305930721158465,-0.052533586558861596,-0.05943528731755386,-0.008370302863851516,-0.01129755652550921,0.023965972967218148,-0.010253791041118374
HEBP1,-0.06862180799570561,-0.020565817489801914,0.017993669108094742,-0.03057433229758874,0.0687819217441354,-0.03205776549177848,0.017928859052002838,-0.01706209434807496,-0.03695467366081732,0.030243957951313082,-0.04992613991849923,-0.00036116558557319767,0.05356824679668639,0.006195075234630698,0.03299227740092733,0.022901441767833503,0.015426079459828185,0.10452687974578767,-0.009346918215258558
WNT7B,-0.06272052446491322,-0.01564798965449958,-0.015480749661401345,0.11131088043066559,0.0021452457954310184,-0.012113918981295636,-0.060005198927792804,-0.008948360441934783,-0.025952298083526962,,-0.01557551222292229,0.05306669817500555,-0.06415458411493945,,-0.0006006643114017223,0.014921135442471352,0.012730428956955918,0.008874096040207627,0.015673971455267315
PTMA,0.023916705254603134,-0.038142738148970484,-0.0062504221551226286,-0.09738278592961905,-0.01774098131628549,-0.02250867303692681,-0.08881576616517027,-0.015632125692006206,-0.015489418041863089,-0.02138863337368242,-0.029420641737362082,0.06697146104662415,-0.05267338087114708,0.02147022177904312,-0.03400039335015894,-0.045800243558077984,0.014461975968327385,-0.032004474034400876,0.05809261072275772
FASLG,,,,,,,,,,,,,,,,,,0.0176062973665911,
