,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.0009258970303099769,,,,,,,,,,-0.02698756008642285,,-0.016530432218463956,
BMP1,0.011329250456966377,0.07485212880297909,-0.01866281108230911,0.00011125763178239536,0.088879965400522,0.003620823505372436,-0.057622356166385,0.04415142852850816,-0.0031425753153116053,0.04355408034387559,-0.04195809549060523,0.08803845598231803,0.050087631201810125,-0.0534576852435464,0.0030568810378708866,-0.028169673322182422,0.07164709748881273,0.031375525806040666,0.0025576009521403793,0.06519753219699026,0.07667422060187895
NDP,-0.04338597087917524,-0.004289965365624503,0.0241389904500214,0.04569886654200655,0.010002355152869723,0.05486330640527786,-0.06013675077890531,0.040225096034721276,0.007576358232093224,0.027371289404562064,-0.014701216372054945,0.045875933008627405,0.0373009524837666,0.0634387043373736,-0.01929239395215118,0.027556114725954785,-0.0019827279396014783,0.021499437280334086,0.05856629746336387,0.053455372379436844,0.014755368317113287
TNFSF18,-0.021274476611706557,-0.009911974595768883,-0.004370818837436919,,,,0.09133901461447512,0.10059114177110114,-0.022697083495168795,,,,,0.13834713812434607,,,,-0.010168494422275149,,0.12115394445322857,-0.005230103414047667
IL36G,,,,,,,,,,,,,-0.02186972535120426,,,,,,,,
RTN4,-0.04112527098019263,0.002577264160660468,0.018490457232043605,0.014706776164882427,0.00296128872184977,0.027641278491177698,0.054970074422591025,0.0065812361078431796,-0.0011287722719635367,-0.05091507260428559,0.050820382467390235,-0.11426068337539079,0.012848429726903322,0.1104938663122864,-0.03068663643693579,0.015223641908507904,-0.05915900571915356,-0.05600145202198563,-0.04098016046203603,0.016429795048853436,0.08832378392155855
HEBP1,-0.0022857983255332105,0.03967170254395101,0.0041322065367364064,-0.03339834279143433,0.000972436207994291,-0.01632500734497357,0.038877887846813355,0.008050112602015092,0.03577137363914787,-0.027994934806845083,0.02145592754085074,-0.008744634024640567,-0.05476704905448009,0.019244083697049733,0.0434940530177425,0.04849084093735602,0.055572607552606706,0.001181631065726258,0.0008364982937301119,0.0035982857073514466,0.05798532052874634
WNT7B,-0.025546152909581163,-0.002599249729935999,0.028842204239761023,0.03225480526568093,-0.023299377913120766,-0.03145655841662723,-0.0015830393467763978,0.08099861718192874,-0.024806339878157255,-0.014776919679738803,,0.01908245385885305,-0.010094427689803457,,-0.03139834913500277,0.0654229025928871,0.022803458145821697,0.0018869874242751503,-0.020366673885378588,0.01764318133229309,-0.0612613152397626
PTMA,0.061485008720417275,0.022127056599655658,-0.03889261890834947,0.1224382547663599,-0.07797424354445778,-0.017177311161476708,-0.09667736748600339,0.031496291533831204,0.018244059329707192,-0.07921802182452305,-0.055783659849232954,0.14170653913596262,0.053465112761939694,-0.012541078222403928,-0.08486776264696654,-0.011650061293875111,-0.014941908128965967,-0.044957521840391666,0.00671769877175338,0.030874894515391844,0.04685611820258726
FASLG,,,,,,,,,,,,,,,,,,,,-0.026568263008249153,
CEACAM1,,0.047504060513713996,-0.01870692813188934,,0.008957394512737407,-0.016785830061543914,,0.08685011630792148,-0.0028725362446084045,,,,,0.004211872994003756,-0.028158542422562445,-0.018212107966162818,-0.021278062528828513,-0.027489426132878764,-0.01351765766452986,-0.011999731650568194,
PDAP1,-0.04777488842472614,-0.05748510535236011,0.001868265744998689,0.042875520165899926,0.018664489959399806,-0.03950497215835122,-0.05513660452661891,0.054204956842927074,0.050767519445159066,-0.007878793905579126,0.020212272910019546,0.06714538989679737,0.025153664784619095,-0.07865405606443893,0.025480605631650693,-0.02944310245393342,-0.13273780137479738,0.06511893337423583,0.005634716840543485,-0.02198895125854412,-0.06538553678222724
QDPR,0.008274259645077553,-0.02871370878482307,0.01746466485469197,0.02945149647478104,-0.005562453043655514,-0.023945215189100887,0.04592964217266206,-0.06236051583081789,0.03554400559289823,-0.006080522410718225,-0.03884664966057579,0.023015299188269153,-0.03768456047728554,-0.007654692834217609,-0.07015244440686302,-0.019453197942522447,0.05739393246523916,-0.07468005475164292,-0.011590430460925847,0.04117005394345531,0.06549425699274022
POMC,-0.040169762269809596,-0.0007171491360547759,-0.013553956949656122,,0.005786321714912087,-0.03377705946489364,0.04622090124274947,0.06063798563861471,0.005992577528746801,-0.03233358180624741,-0.04117540289401168,0.008253835303901644,-0.009420146912246187,-0.008025724158888848,-0.015059486418874096,0.07880006003231887,0.01858564237919685,-0.02919166996056027,-0.02211311218353496,0.06728074848302666,0.016135023537640326
CCL18,-0.02853082241368351,-0.025708308562165112,,,,,,,,,-0.02385608425840159,0.01590143366601116,,,0.12400885900646166,0.031561180048021324,0.01841494286462618,,-0.046551375588747355,,
CCL17,,,,,-0.026377622712207612,,,,0.04161372955133732,-0.018289684179797167,,,0.06356091190744101,,,-0.012920609111188877,0.08132822236255417,-0.021598984018668273,,-0.024081146279801357,
VEGFD,-0.03214589773581409,-0.025708316725757182,0.022521354623940573,,-0.00964578651371282,0.07568063548620069,,0.005727001977453503,-0.021170331829548736,-0.013415704530815056,-0.021300082029291983,0.03070322806642021,0.026420663217305195,-0.059789422207769734,,,-0.021278062528828513,-0.02447568165104111,,,
TNFSF13,,-0.019400320776300946,,,0.061944576667421015,,-0.01976347848728711,,,,,,,,,0.07899392090973144,-0.033387479991366396,-0.038156599101909584,-0.015179423569579693,0.04840755312486772,0.017874942776009324
WNT5A,-0.007096423718564836,-0.009305412180326251,0.01186268945634925,0.0880267499951089,-0.003347321095415218,-0.03201038784615544,-0.06625775517582115,-0.029039716816261007,0.02738635930810646,0.02958766872500585,-0.04437118679290545,0.004743850230004638,0.07043184872457665,-0.0031752939855363427,0.08078510675964859,-0.012645787346946533,0.047586335463924934,0.05594581110011117,0.004358403120093311,0.03674830530587998,0.009701079707267612
CXCL8,0.06523023215641434,-0.06703826618299402,-0.025088239863038216,-0.09620513156666402,-0.04107802561526029,-0.009114302290222694,-0.002346159430824855,0.04920274883079326,-0.02348891554626997,0.032987253060830765,-0.04853576483059364,-0.05859566502083654,-0.007396942031202139,-0.005068868206322064,-0.03515129617365041,-0.08702254156225668,-0.022411804763315783,0.03511360526740199,-0.0589762516087791,0.023264331089049895,-0.04828537306962174
