,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.0240185220177934,,,,,,,,,,-0.016459701032380317,,0.016097062763788916,,
BMP1,0.05643056220140694,-0.016121758936397983,0.12197382342810742,0.03120173335077475,0.04871930619079801,0.011379357254138118,-0.008283492305898043,0.003559416095821591,0.01518106224357021,-0.003665762997109846,-0.04165306436070329,0.03194606214735622,0.08059185477436,0.18477660960722284,0.01898054200211016,0.037603430743990265,0.0393457633956317,0.06813170127759043,0.007889150749768894,0.15219018668470713,0.04822663535165663,-0.04108471601270996
NDP,0.03262029512840527,0.03678706775061097,0.025758011315777322,0.005371850981907787,-0.05511444144911617,0.08095421405037863,0.03444123420530662,0.00845198133099205,0.0009655090076593581,-0.009023083947381112,0.007956233237740404,0.04631550593524018,0.0645348427278873,0.10735877677517955,0.07113064686796691,0.02209837975092578,0.008375118240677338,0.05087916620711529,-0.029175557336627404,0.027355211819059897,0.038992790589342054,0.01616642153628938
TNFSF18,0.033983013452077604,-0.01868161475069507,0.0022807924359613736,-0.03060510413232256,,,-0.019545624036146736,0.030118775847413782,-0.013506324531819366,,,,0.05401195750129275,,-0.0026593943266278713,,,-0.0337836379156139,,0.08488896322519585,0.003563324933120627,
IL36G,,,,,,,,,,,,-0.02503181875053824,,,,,,,,,,
RTN4,0.023081968719639783,0.09867922833896703,-0.03172623090704314,0.05253981099734579,-0.002251717123450503,0.05771313051823066,-0.045186041991863636,-0.00345005028672383,-0.0431295167574215,-0.0033413180637666836,-0.054893677313958694,0.01211631778569716,0.05797965815398747,0.022917673248647366,0.07787513858984002,-0.011687875780489083,0.011908477998999923,-0.032118389967745097,0.05718260009640654,-0.08562662086572258,0.030472368825436098,0.029363263003932917
HEBP1,-0.009763005429703013,-0.02669943169576736,0.0009654590437154386,-0.0411125213268061,0.026272269752392878,-0.015991110561384803,0.012787731028599543,0.031731726406873426,-0.023743826356263834,-0.032731288236579385,-0.014865597972176868,0.04253645521107425,0.04756078046945963,-0.04867533560832961,0.0282126547415497,-5.89579254414332e-05,0.03700370980269126,0.014792915109903252,0.02358083127336598,0.07086522929763611,0.026798702774268233,0.011379532077668095
WNT7B,-0.03635818615118598,0.11470131661391746,-0.01328766181156081,0.04862168152069243,-0.01958980813774175,-0.06635562491752334,0.0018141740201965437,0.02956241814327593,0.06406594805856532,0.030721456162656157,,0.022973347458829566,0.025268121363108836,-0.08114608349224488,,-0.0343795541523529,-0.033485857259655256,-0.012948903405035496,0.11089764377311628,0.16399712729891386,-0.01529484059661424,0.013721198621138478
PTMA,-0.0068362355216854175,-0.010844866333598374,0.05563863289611182,-0.01538724053333622,0.025818447290096865,-0.04790954076915845,0.02492148314651768,0.016596836456331098,-0.013476646268164095,0.01527268186123822,0.02326348541313189,0.0022988855571158357,0.10002491900224039,-0.02719299235969325,-0.00914258259593469,0.006148781445214588,-0.029614053237066076,-0.013926227469934561,-0.04964130617554822,0.020042604755068024,0.05241893455601217,-0.0057667559301152384
FASLG,-0.03635819642955206,,,,,,,,,,,,,,,,,,,0.05333263880745849,,
CEACAM1,-0.04015989002512999,,-0.005746323589578767,-0.014589754528376322,-0.05333714856506497,0.0593241199552535,,-0.023251346622841982,-0.021242230822327953,,,,,-0.019044900991947653,-0.01317626833011838,-0.04491639059277043,-0.018763777407578508,0.01522784936889616,-0.023477989013809736,-0.0050646917048394365,,
PDAP1,0.0071841014263479865,-0.047761213041316954,-0.04763091013607919,0.01894387254476599,0.03743706843687261,-0.026898157461817045,-0.0355538391127961,-0.019398700888206288,-0.052481978280370004,0.005850056846977176,-0.033582041065888045,0.01334255413966486,0.09430226744921391,0.05025435213916098,0.017293187092125427,-0.017050548390916808,0.005664033986551183,0.002271754079879555,-0.026734090375565324,0.018148082777712075,-0.013211986682912909,-0.027549680998695654
QDPR,-0.029439598232608458,-0.07194592321316554,-0.09171830323810706,0.007668069357214787,-0.009753853495650028,-0.007011802094874024,0.06908762611452608,-0.02085650463443905,0.027868490289477122,-0.022109136393226748,0.03709030787593096,-0.026890781943514904,-0.01917720647669243,0.06277587517307179,-0.041261679612808834,-0.011337660933130688,0.03802419314602149,-0.03353925397612858,0.019489364420017887,0.029531963677492484,-0.062039237457272085,-0.054053324411249874
