,UKF243,UKF248,UKF259,UKF269,UKF275,UKF296,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,0.08655208369450787,,,,,,,,-0.01660306818713592,,0.0900064314709296,
BMP1,-0.0005703031219175968,0.03322023338798659,0.00639680899078155,0.1066840875149604,0.035357071969864304,0.005741974680875343,0.129331046339195,0.051482996158480926,-0.03488727712985271,-0.0008683341779078925,0.026094079371867286,0.029014767415175106,0.004103910656725294,-0.002227347856445059,0.06844568226269128
NDP,-0.058132779215992414,0.02247833438854161,-0.017819492813649404,0.005031115399419243,0.021335926182897712,0.052569055105539934,-0.014637464512071085,0.022036251448482605,0.05775947774548966,0.002076705340586748,0.03918886222316862,0.10564556571867458,0.01804844792775773,0.025919680790560305,0.06289885423388693
TNFSF18,-0.019581135388980847,0.0076461143430954235,,0.0294832924018094,-0.01167476423610172,,-0.009277995759341729,,0.09658958853037251,,,-0.01712245116002973,,-0.032978480302567566,0.03920425029856404
RTN4,0.020095545584314704,-0.0014462669695012836,-0.027735438334427775,-0.06231771001263136,0.031336355557679274,-0.039662590686092986,-0.029841911200514763,0.09713493224148453,-0.027003427076752,0.015278752884773584,-0.057903030107075315,-0.09574111128905378,0.031160302414894717,0.003857804872239303,-0.06264532828198668
HEBP1,0.06550695530423596,0.01197301557261112,-0.0033198241340407436,0.06103745952026607,-0.02492134410211791,0.0007421920089051614,-0.057208740378496076,0.057741568902254216,-0.10516590545461993,-0.002597438400478122,0.05588140910059223,-0.04430227352682649,0.05384612930219,0.0228749326527985,0.05633359363823651
WNT7B,-0.04570258766506909,-0.009517068280708788,-0.004887629705669854,-0.019019116006455422,-0.015087116812244526,-0.02541472459883397,-0.03544013739054407,-0.03343390662175618,,-0.03274972990457007,0.010926574286193525,-0.021900206103397313,-0.024159453460630347,0.04597096798573498,0.04297223312548235
PTMA,-0.1141317159845305,-0.01500027399155815,-0.025582131860701303,-0.0008454721900431407,0.003332084418124561,0.04936983969106058,-0.06344161196609475,-0.16975720746765607,-0.024443366666812412,-0.04627879641149959,0.02255457884899221,-0.08683548091537659,-0.00709325437503406,-0.023863890882687346,0.0430127309852774
FASLG,,,,,,,,,,,,,,0.05316136329452149,
CEACAM1,,-0.02483474046454571,0.0524005834618098,0.01009532477698432,-0.003243993641677184,,,0.0700003001282285,-0.027512680036172334,-0.029370482342246772,-0.006536266935135626,0.05917810972285237,0.007426441850310145,-0.0028444951020489204,
PDAP1,-0.009338108316183097,0.03656739029302419,-0.06208262197569197,0.02169821959984618,0.004399785558424856,-0.035134935883318605,0.07467386389962892,-0.094710467796229,0.06896258810684666,0.028061447834842046,-0.025761407596824035,-0.024236601077724646,0.06727610509477598,0.04192098914532536,-0.08850667481865572
QDPR,-0.05443654159987143,0.05135164185286435,-0.04435659268671348,0.0001679032946637897,-0.025964519339446983,-0.050740374418884265,0.025706243565870812,0.0698544098434159,0.049153633667525995,0.021765304837192197,0.12790345747555795,-0.09379376650823348,0.04770862891367263,0.05700440216403548,-0.009578725857379174
POMC,-0.036972451445197785,-0.046758314150542914,-0.0059265862513914695,0.03245295750030092,0.02736648667200096,-0.0024612757068709543,-0.005645607772851993,0.09436905311117703,-0.04773830435444296,-0.031539812333914716,0.07182620021771131,-0.014036226152021164,-0.026231121864790447,0.04974982249794726,0.014245025240373924
CCL18,0.08191049240601614,-0.030991409613460273,,,,,,-0.04460902725172732,,-0.020824154877705135,0.025315964226478856,,-0.006061523538343919,,
CCL17,,,-0.017677478550324612,,-0.014560704009197852,0.05987241160923791,,,,,-0.021837032218169555,-0.021890186328187764,,0.06330786095044227,
VEGFD,0.04770533079880952,0.0937301134935033,-0.01969466322407657,0.022847673766240084,-0.015513198560510985,-0.023073579835281376,,-0.009454137925888274,0.026180225608906645,,-0.023793304059587714,-0.02308739018513942,,,
TNFSF13,,0.03430594612775135,-0.012193529070361522,,,,,,,,0.052217031836206886,-0.023474393929999227,0.06544386393644148,-0.03264708602679498,-0.037720158029781334
WNT5A,0.002351435709667103,0.024584949265749445,-0.024399452169242664,0.0780217170554977,0.006592494227858431,0.025358035923116744,0.04620107524922947,0.04396736470264662,0.06874531651270957,0.010698044331991582,0.002087392969205179,-0.022841464319436386,-0.018701682237609506,0.022036547352842446,0.0094338831100699
CXCL8,0.04814006604008748,-0.022504559515184097,0.024183421054721793,0.021836792824517094,-0.037332824181537085,-0.008347574774840105,,-0.025332335535434878,0.04072855761675481,-0.03666420328447299,-0.06570700755654084,-0.015195994253336053,-0.06003175167133943,-0.024778069948067576,-0.06877939995916411
GRN,0.030015670164490166,0.0005727031677629984,-0.013896154236561483,0.044656363604113576,-0.008533218223666131,-0.002700194053779705,-0.0057375134526191345,0.10679215577092945,0.06786270879430359,-0.06996357125444502,0.034303643362410124,0.08905799088536197,-0.021967898537630343,-0.06409120542689865,-0.061997295590616605
MIA,-0.013903429451218354,0.0013096771419080643,-0.01940631322657869,0.05117487596147135,0.030767195093749245,-0.02624133781196506,-0.01328342834743134,-0.008590189736296387,0.09568999202507372,0.06990585553709075,0.07542791052843242,0.020431121125877676,-0.06799924217795777,0.08577943796466703,0.025474958657609757
COL4A4,0.045788768795895295,-0.008068919518225841,-0.006823608535946997,-0.01800974641876726,-0.01520182547444067,0.03659474971236941,,,0.05763492126761365,-0.026328238340736658,-0.015345228259758339,-0.033720062544794364,-0.0323160281710603,-0.02011749492129364,0.021671230257472716
TAC1,-0.037303048299797296,0.0023837833905422214,-0.005505706059120476,-0.07079572918441715,-0.01891875874643157,-0.010973989306048676,,,,,,,0.02511738063220474,-0.02633943709183276,0.025210185485971787
