,UKF248,UKF251,UKF260,UKF266,UKF269,UKF275,UKF296,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,-0.01451371213947941,,,-0.016603058646987356,-0.03295376272115064,
BMP1,-0.013226056422316246,0.008766224810457326,-0.011001150827229245,0.05091005671528167,-0.043095133235313346,0.005843654302667942,-0.006826997957267869,0.03188497026264185,0.003677014156508314,0.055407872514617866
NDP,-0.0002901190450031557,0.04193593712221001,0.0006863411190115875,0.0737903198067373,0.0005096155973790258,-0.006706091460762695,0.035961187305390004,-0.015256500432779797,0.13250263381067895,0.024547346171563525
TNFSF18,0.09745317576102017,-0.011489822071686966,,-0.014453492878875282,0.048231224073236115,-0.010647508685444212,,-0.01712244132144291,0.03327482269115481,0.04240282169017695
RTN4,-0.004426926295176688,-0.008979286279683472,0.034185574148529095,0.006942982220906121,0.1116903383693336,0.04813434671374079,-0.021039027727259286,-0.00024152716831461765,0.018869301458263495,-0.06317839552906804
HEBP1,0.016254765929066977,-0.025926516605217474,-0.03568847660453983,0.00912234942054139,0.004769719107974791,0.04275677331279822,0.02643065051136881,0.07080315794817674,0.05964963392385975,0.047991426485651655
WNT7B,0.04801919679010962,-0.015248985192635364,-0.0027087900450153343,0.03689554288528178,0.07736463323196796,0.044881121995661855,-0.030579654071306257,-0.03580440997259745,0.04165907639190827,0.039440009607885296
PTMA,0.015972584708785414,0.026967425190461736,0.0013864618949220168,-0.0036242993565883857,-0.022441558598889213,0.016167074357637597,-0.0430329064210074,0.029059234251732697,-0.10877481567460018,0.006143968077576455
FASLG,,,,,,,,,-0.014232620046524458,
CEACAM1,0.008143382678480169,-0.011702678970647171,-0.016974348129093,,-0.02836176615218476,-0.016745994563221154,,-0.024603160571844328,0.04941406861905284,
PDAP1,-0.03674999888939132,0.03849292625200372,0.05886221766436273,0.028696217484319907,-0.08242525448978769,0.021289098944020653,-0.0644311464200098,0.025984168876738593,0.01388348219982398,0.08516725022377944
QDPR,0.005641511902525465,0.013670056789770096,-0.01934729096938988,0.011690851544671385,0.000775807165608661,0.01858265444587727,-0.004093681615702323,0.03791578828105078,0.07463139568534943,-0.029511530710801887
POMC,0.013008241814969047,-0.020793793455038467,0.03261081543861787,0.031355389614311655,0.057681436710158004,-0.01235452709343616,-0.012548888144307456,0.0337931960013543,0.08325422826746212,0.009745101709924354
CCL18,-0.018548338537044715,,,,,,,,,
CCL17,,,,,,-0.013279516337015448,-0.0226212952118271,0.02498078496472709,-0.025905273382598015,
VEGFD,-0.018548344427010952,0.05884146915940508,-0.016240095233582694,,-0.024314361046411458,0.06465290361102144,0.003651949027566372,-0.023087376919089447,,
TNFSF13,0.009991265503643045,,,0.0380346094897971,,,,-0.023474380441576303,-0.020356028793770315,0.02593289620928702
WNT5A,0.015729638047700265,0.028426354118738884,0.0005527722803941607,-0.004815048493591729,-0.06803451765645367,0.011357638618708515,-0.032900273940658406,0.023634741403234086,0.015100634784021424,-0.03415048842409261
CXCL8,-0.018309096567883335,-0.01569469957791925,-0.012907444712056744,-0.019938092611576096,-0.03165716592200744,-0.02338927921898169,-0.025853859598695694,0.03276586664557257,-0.004254019826179685,-0.03674044647585539
GRN,-0.0054528926611992845,-0.0070612770650558855,0.026023028879178765,0.008557290281308534,-0.07628855675562654,-0.0016327451063253401,-0.042978566732505934,-0.03100073698381624,-0.0709963869234423,-0.023127395494740192
MIA,-0.03695470154794569,-0.014906719115085659,-0.018392536944919245,0.13731914738252574,0.004302598222607511,-0.026101065020634303,-0.022229846885336378,-0.02057329584399554,0.06539552013214282,0.032952462610034094
COL4A4,0.0831887356347561,0.02792366384243043,-0.00355244853514773,-0.013336435315729287,-0.014302186030747713,-0.013864225906437726,-0.0025991757593151555,-0.0022206419998987647,0.012076269173490348,-0.027601035559008325
TAC1,0.040016725044877015,0.003300395645476332,-0.007664826246819541,0.045657577747005,0.14529421768266793,0.019847739796164037,0.026293626059137872,,-0.009002864749042518,-0.0681060209086804
RARRES2,-0.01294144353008421,-0.02514642005035708,-0.05931849124168867,-0.014653957357416939,-0.10515117863225065,0.04627939876880981,0.022003025589477778,0.07113981368574415,0.06238751421596324,0.08808578339436922
FGF7,,-0.01891872265760362,-0.03109505929833094,0.107713674537355,-0.04075905256093307,-0.012613464015524769,-0.02630400709242082,-0.055200576548765916,0.08636071111726316,0.02640118411138909
HBEGF,-0.030914536842941154,-0.048184518173716426,-0.01792654821205385,0.033004872812544266,-0.010344455679020766,-0.0358240246591668,-0.03591526638405155,-0.023951549929573844,-0.00274764097659382,0.06568791795161956
CSF3,,,0.011477205237527184,,-0.015131437537633848,,,,-0.027274256511770886,0.07202946304544311
PI3,-0.019513634171461295,,0.06060141025412278,,-0.01703819838073412,,,-0.018599272807350662,-0.059257898416638026,-0.025618003061109885
PCSK1N,0.017727680318447545,0.03556496021738696,-0.0027421490921801846,-0.012996731351092796,0.06590443802688781,0.005550797737654735,-0.03356213114080376,0.06565654506577417,0.10115315484331484,-0.004034452968554322
NTS,,,-0.040050715567742326,-0.016280757373339574,-0.018598356915024726,-0.01583826648508941,0.04024834138746557,,0.07994431151791409,
SFRP1,0.004364018455330298,0.014180360605426098,-0.018527136253340102,0.01192898256370283,-0.0370003939039667,-0.02940833810556395,-0.007374698012131193,-0.016957571831468208,0.036620133443134605,0.04901837038283757
CXCL13,,0.02908904834803385,0.022569618869022437,,,,,,,0.05885181672342977
MICA,0.020380783242764725,-0.0013907306620322354,0.01872765266655269,-0.034556441543156,-0.05624325870251556,-0.030593182641232803,-0.013844684579988565,-0.000783115298321403,0.06760894754197655,0.03149304552365586
TG,0.08398201816191468,0.02482472537054468,-0.03929534501209841,-0.01879228583260251,-0.018262291328843123,-0.01337861016625502,-0.02739118545574468,,0.14173996660197788,0.020292781415653244
ADA,0.026703532721646443,-0.013716997460340958,0.029457953038501766,0.06635343176304602,-0.029302177067202964,0.001328799646320791,0.08619287477064391,0.0035240511672687434,-0.009225996060083607,-0.007110242286824578
LAMC3,0.029107203283108046,0.08848647702727315,0.0669916182755091,0.010750156213258654,-0.04453778912254266,-0.025735215437885935,0.006644783306876205,-0.028466574993024952,-0.04370023582237242,-0.024530741805242992
CCL7,-0.011798310231748668,,-0.024342803692832954,,,,,,0.031808907703532646,-0.013684099716839548
NGF,-0.020257112774607244,,-0.02598340931079804,-0.017932881095278297,,,,,-0.04884109054675129,0.0028027642768152657
TNFSF15,,,-0.018023329248753578,-0.021774449130021745,,,,,0.0035855094415151215,0.007536899436268425
HMGB1,0.0341690275214959,0.07569029839291293,0.030775063249193473,-0.01882947677847686,-0.09919880779643349,-0.007791566401525674,-0.029274528005670274,-0.003994350120526537,-0.013154744118452565,0.0003771079395429106
ITGB3BP,-0.0789813701566921,0.06615311788425174,0.04665923601011126,0.026328476377675183,-0.0749969105027926,0.035627772928198236,-0.024190442482617,-0.034754070813666244,0.052629984214221784,0.026321333869406813
AANAT,-0.01711755315868768,,-0.016240097551947812,,-0.01364896614470641,-0.012031462307354312,-0.031574258228608626,0.08736932571378711,0.1264474408340833,-0.04325496543465636
RELN,0.03749756385903303,0.08319146352011138,-0.03201334413084899,0.06733820822204388,-0.008134266044988344,0.017152841598092633,0.020858310124967073,-0.001576773642162632,,0.009400938963276453
IL15,-0.03730592576409151,-0.02027328226020232,0.017077364614372783,0.07892438143663892,-0.03560206560187273,-0.01472065021157706,-0.02127779040514256,-0.017879301587063908,0.10723973631814925,0.006432941362425773
UTS2,,,,,-0.04502308416877827,,,,,
BSG,0.022906109177703672,0.05158781995060101,-0.018102417956343465,0.024149398590995106,0.0601709102782404,-0.016294758582608634,-0.003083367360250488,-0.008951780402725568,0.0016944872538186158,0.06057993449171452
ADAMTS3,0.0027425899177641695,-0.027960796351599013,-0.004882708690944696,0.09620006626873819,-0.09900039103744648,-0.042910046052612484,0.03471281732959935,0.07238959288920463,0.0971977244183101,0.07801177830939189
CD34,0.0530451078933429,-0.005525246266675081,-0.027405629624589166,0.06563590021576206,-0.025095854065968235,0.08678403212900558,-0.007759946085655672,0.018096757748291878,-0.008543941700855658,0.027238036905761705
CCL23,,,,,-0.015530356841906207,,,,,
PLAT,0.07818116737884756,0.026434871084204392,-0.03266027818464795,-0.015571130001414144,-0.0720120004356964,0.010099089022167804,0.005302480620957108,-0.028374725931675573,-0.04277023836858968,-0.0005399860203508685
NTF3,,,,,,,-0.009302896501929473,,,
LTA,,-0.011702680171551651,,,,-0.011587552076450623,,,-0.029730978584016444,
CKLF,0.032594811830175874,0.0627173498850138,-0.014029017152497865,0.008260346107820126,-0.06694063656216145,0.030054946911322218,-0.006380954979665423,-0.013241621115570739,0.019827418210561776,0.021134367495373677
CD24,0.005677195768061664,-0.00962891701053457,-0.009783470028406654,0.045697804245190626,0.028530736583666675,0.022648084395940623,0.012067726431967202,-0.023354600603484432,0.06386035340728403,0.022119318122956977
HSP90AA1,0.036597888738032436,0.010000795457076253,0.03919031356322842,0.05762931626084244,0.11195731142294083,-0.01922836967532141,-0.004941348158776407,0.08135487558915941,-0.06678196671906733,-0.06726378612351935
BMP4,0.07141085991891404,-0.012405526993023032,-0.01984443505133631,0.03304520825981576,-0.011787691123788675,0.0017696673205752737,0.03029435956948367,0.02288957359373105,0.01333765803505543,0.04555687864712022
SCGB3A1,0.01679371839750407,,-0.01933995135078477,-0.019778128916887818,,,0.05376193366946177,,0.01769221600440907,-0.002917765940696589
IGFBP4,0.015838022846593754,0.0007087309482596424,0.002829531610421244,0.02652748425454825,-0.029348958885836624,-0.0320524541860027,-0.0033740289145310193,0.00788256305413094,-0.03118436149797864,-0.04174846910963232
RSPO4,,-0.018918719065885322,-0.02232144766774937,,,-0.01347702849712678,-0.026633191738138884,,0.10768589991489091,0.004238620139902834
LEFTY2,0.01524399676504683,-0.011846406889374331,0.009277601651301086,0.07556608361399865,-0.029423093515997242,-0.033189213304531284,-0.008010375186358618,0.008211997057482314,0.09603261178014388,-0.020126416013796493
