,UKF248,UKF255,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1019T1,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,-0.0195154183568041,,,,,,,,-0.016603068072194273,,,-0.032322591538295156,,
BMP1,0.013985166312520302,0.00603141471409297,-0.04087640582350588,-0.0008442343512634428,-0.07730605002547973,0.025320634631063217,0.006330907444936262,-0.0008603515470718924,0.10546247568451843,-0.1118187603883442,0.021762258560826114,0.0449411617822385,-0.007319403292540763,0.03091605256282953,-0.028043588961329594,0.04263257426921097,0.07158843657468397,-0.07786595301692922
NDP,-0.06614812178656147,-0.015872660296849538,-0.06134168355394015,0.009095434232651576,-0.08631008839551486,-0.002873089481569534,-0.031639576852221164,0.020168998725482456,0.18121716814162778,-0.004195660550143257,0.06566782073141846,-0.007544621196334315,0.008760457452647575,-0.006999240376441259,0.07021266283545016,0.04202838815646511,0.017278019431114833,0.02789361991800415
TNFSF18,-0.031230432273042584,,,0.009739129504017677,-0.028979810390940438,-0.01660448081141944,,,,,-0.026589744421350966,,-0.017122451041492435,,0.012066804394381129,0.055712547760919,-0.015341558158484406,
IL36G,,,,,,,,,,-0.015968591403682005,,,,,,,,
RTN4,-0.008117859592378584,0.026894801884060966,-0.02028360203933748,0.04945004411952558,0.10862060120294438,-0.012840378209591658,-0.07099860116171242,0.0543445790342772,-0.06225113789314105,0.13827703723372686,-0.05539382130613805,-0.010813841851540582,0.04025790501838493,-0.032355719495530996,-0.05646789511601712,-0.04945080485263712,-0.13625161274210731,0.015551754965663448
HEBP1,0.030617630956901787,-0.03062564799934009,-0.009990298588632747,-0.008473906465743093,0.00130688102340345,0.007590705398407435,-0.012382881809050884,-0.04683842222183731,-0.002253289129774215,0.026172359139393257,-0.046078654907719556,0.014318518523158543,0.06109880792536551,-0.009435358580387418,0.016771683303425676,0.07978784845369849,-0.02387072911774609,-0.031194275414475555
WNT7B,0.01568229654803984,0.07573880183622764,0.03744793362349941,-0.009029824163470056,0.11035963626815198,-0.034090904072705853,-0.011246854250185165,,0.004622494859862523,0.002031808286994046,,-0.038478160430043575,-0.035804430298007346,-0.02036666950746475,-0.03905559017203388,-0.02298245122611447,0.032887075229931076,0.05259661958742028
PTMA,-0.019546046959758184,0.02016944320980821,0.02779384883633494,0.015124178059297572,-0.0037070622834067045,-0.002065811170392728,0.004261639614346632,-0.05072480330887414,0.1581510564547454,-0.14534842292823785,-0.03991419457446699,-0.01527373282176367,0.06288364858922671,0.002018520694487019,-0.01986398347806628,-0.05150285296419392,0.021057351341202776,-0.0028054507680541365
FASLG,,,,,,,,,,,,,,,,0.23425797073710522,,
CEACAM1,-0.019877314250025955,,0.022306536383559866,,-0.02760725720312631,0.05781599763687567,,,,,-0.032791500618835935,-0.0006607991090493704,-0.02460317453854071,-0.013517654758844777,,0.02506526120939206,,
PDAP1,-0.06182487778058535,0.05467957636984207,0.05778545161035471,-0.051327313257502796,-0.04338179405641836,-0.026667863403501878,-0.002253318383741334,0.021087178539213776,0.11679119728873126,-0.05137626320697933,0.02994823951000187,0.02010773862252264,-0.0022641503646677083,-0.0317605410188333,0.008533799625100816,-0.006792147069215818,-0.06591896673442289,-0.07082969584635988
QDPR,-0.0007248088626579802,0.02326893509354896,-0.06947781350147106,0.07880385028312172,-0.0286600902990598,0.022982635856819228,0.006258284432827868,-0.05253197233096959,0.049804309336126736,0.048923834273953845,0.03305738083232388,-0.006234412708646306,0.05551654764305127,0.07113402545638325,0.03498253538085299,0.029864240017399905,-0.03838735130003873,-0.06345534706464467
POMC,0.04209594328199126,,-0.01666916661772997,-0.014776211343800591,-0.032328696798750375,-0.019266526482158375,-0.011830114061440288,-0.017084002449137117,-0.016668072054269782,0.03901021405763161,-0.021773867300650687,0.037953555709984474,0.14020996052869064,-0.02211310743021587,,0.029618543711172236,0.04049730413615996,0.09862716831581796
CCL18,0.029777189356607902,,,,,,,-0.07642841131635195,0.12511847587471042,,,-0.03945675183707068,,0.014085128399131657,,,,
CCL17,,,,,,-0.020709020364955425,-0.013920452754043267,,,-0.014587761595419751,,-0.015296635686094302,-0.02189018617664384,,,0.10355921530761875,,
VEGFD,-0.02480501797208526,,0.0234313255611939,,-0.03269356063693576,-0.022063709605818542,-0.010210820441049644,0.044991929652173454,0.19476742764065794,-0.015634155933463824,-0.044579326504009135,,-0.023087390025307356,,,,,
TNFSF13,-0.018718662550093138,,,0.010589338478079947,,,,,,,,-0.02935194629168551,-0.02347439376748797,-0.01517942030669009,,0.0006354378770915034,0.00700754136432411,
WNT5A,0.025602527362159726,0.11155444238146353,0.052761730575012586,0.030990534058069886,-0.0639820023705697,0.027414143217228855,0.04999207674339435,-0.027434308104886437,0.03041250007632158,-0.08375457299602918,0.00035320317397020826,-0.02478821898057286,0.031385520250390354,-0.005565185601154392,-0.02522322590066449,0.09064857032071086,0.009770234651391523,0.11630819569702161
CXCL8,0.06289451927764926,-0.025109054590446593,0.033580485685173564,0.014399849686667457,-0.0019022564113314584,0.007063260043318342,-0.009508759975938483,-0.050236930808182145,0.01598204330542908,-0.017266860776851342,0.016298070154638338,0.007684588549531148,-0.03107929264697485,-0.052268657787038555,0.14785089692280465,0.0043576450956067745,0.1333058454424635,0.0015826366223012998
GRN,-0.020672498736799366,0.04368264864094566,-0.06326808604266317,-0.016350230823886203,-0.07501387386907703,0.0006311757700970566,-0.03135658934318945,-0.03544730058750173,0.008963961680897059,0.021736207150295513,0.10524854453729515,0.018331478281170134,-0.022865412404835733,0.039701356100876606,-0.029067044598610352,0.05487875901094206,0.01560087866527536,0.03950210832754461
MIA,0.06490735443806396,-0.017422151785584285,-0.04674785882386257,-0.04039611291583681,-0.03437042082506324,-0.004497133444025607,-0.011612657872931845,,0.023224341004353336,-0.02141169302610173,0.004653191232066717,0.009476969054780179,-0.00029446595324303745,0.016166727224018587,,0.009812241896892502,0.12902263570210593,
COL4A4,-0.005253627786552852,0.054477167880933784,0.032808416304465314,-0.004087172078798085,0.04058010355587386,-0.021620857970591573,-0.019508341702480843,,,-0.020770136589825326,-0.03490649060821206,-0.005527843977584005,-0.01757585139126811,-0.027242746472988022,,0.00700132447595989,0.01650254918250962,
TAC1,0.015319150669591894,0.0690397794997773,-0.025214296846037456,0.05837663917178584,0.1374253585325602,0.04194187097019245,-0.0051325730108169884,0.07065646931205227,,0.18669210592005084,,,,-0.023321805402185994,0.05891065110608938,0.003977700864801519,-0.038608250385871644,0.028074682513192388
RARRES2,-0.11002828936206933,0.08579250263298532,0.03648492559832727,-0.028920915599997876,-0.0879757500484118,0.008623208764134006,-0.0015981182590583264,-0.020835402596127126,-0.08263239035593901,-0.07700309645598528,-0.13391499246491656,0.003511290748051628,-0.033924220992750415,-0.035001993156066925,0.07770279706413308,0.04714034384104156,0.021162615482106538,0.08251588775231053
FGF7,,-0.03466495999892335,-0.033738837990536015,0.09300593851191749,-0.05480541124898647,-0.02073082785491638,0.0029938503521150777,-0.04447659475260509,0.08271211257258204,-0.02434459336252859,-0.030997499428801707,0.010803167884256329,0.01968137978229443,-0.018810517531630745,0.04333337561496432,0.019148182391493976,0.014849886289079798,0.034316376905152025
HBEGF,0.03427172110435085,0.0018740359106885736,0.10225285870063144,0.013639192876041546,-0.05184583946099728,0.06533342638800627,-0.0022654632011319957,-0.040457084226083434,0.1739969340635089,-0.05355115662120754,-0.03868355027021422,0.00045995955718915,0.05240736526936854,0.02105070220842593,-0.032450883437464446,-0.0021216125879898865,0.0945814614504866,0.06581433324188771
CSF3,,-0.027437578510359942,0.04589192257424066,,-0.020346023887543228,,,,0.025873801958971834,,,-0.03590613035433927,,-0.019379404590409963,-0.0351020977132326,0.02055997426290301,0.07523272410629399,
PI3,-0.026095916443028687,0.0012847640558218776,-0.003237417194117431,,-0.02290989143582223,,,,,,,-0.01950257127840681,-0.018599283365766342,1.9476684516600894e-06,,-0.05812291792431464,0.014910915247129182,
PCSK1N,0.0019192521310684959,0.029570246688962222,0.021335253965449625,0.0056364643354111866,0.08675953716432694,0.04540084483801298,0.032725413642449915,0.07602504188980681,0.12283998819700417,0.13960322969902939,0.08954177577830034,0.04276828166122177,0.02054200037834154,0.044925821060487835,-0.08142135181433531,0.06319230780690209,-0.06613712093693899,0.0002929756256708121
NTS,,,0.0049431770854712915,0.0019109969365850995,-0.02500771080877223,-0.024699316967670817,0.013154510699448216,-0.02643918940751628,,,,0.028740702746685744,,-0.02815213820831672,,0.025110709918615713,,
SFRP1,0.07231176379397729,,-0.020102359107370477,0.02975532426807097,-0.04076537495073077,0.019287695289313844,-0.01392045289423366,0.02816964839448729,0.016634232670846263,0.024194866067095814,-0.06659433171358493,0.01820997637901875,-0.02132056169653136,-0.061503152729745374,0.01943028961894888,-0.03869529363744053,0.07020375537145875,-0.07606629215898844
CXCL13,,0.08474240806446003,-0.019921694594257036,,,,,,0.0920507701231424,,,0.021237097243347863,,0.0429077045400187,,,0.055013410584919084,
MICA,-0.012573632418874924,-0.030637782414621197,0.06309715941657046,0.08882184795700893,0.01075561068500864,-0.016317947094532333,0.0386818880936098,0.004602450708507992,0.04246729139774499,-0.03616925768586661,0.03295356979921639,-0.05238766081087249,-0.02487090085437394,0.061024267318480784,0.11766746667884723,0.029549868068173793,0.05010901332639292,-0.0359990976516751
TG,-0.019408647774887756,,-0.005411933626050146,-0.02995182575715506,0.05348846738243088,-0.02086355431601835,-0.010074171206848863,,0.035791562140663216,-0.02191287629235196,-0.04187058969297478,0.0004922190473468247,,-0.015949547773094264,,-0.00033506666966038354,0.011571005223400425,
ADA,0.025767406082613895,-0.013349759812311486,-0.027944587076880984,0.0431962716043559,-0.07458286976451484,-0.0053675627126325565,0.0900982318811412,0.052224681034676264,0.12634283491470533,-0.04327454449184738,0.01981538734364938,0.021063215795165447,-0.012112717876215033,0.01918721583649451,0.058453577098641345,0.05752361147827614,0.06573849118145858,-0.01290155368426882
LAMC3,0.009825212568662875,0.07982732891980802,-0.03038767228938309,0.014205129773419055,-0.07720966833411902,0.05313919971215179,0.04276028934138172,0.06927278814566454,0.08233478103743522,0.018277188172070045,0.07910549441603096,0.0017085776888210178,0.022241461042860466,-0.051510042749569385,0.03158389402685023,0.0602018309480377,0.12738219839059767,0.15112076826870774
CCL7,-0.015778081892450852,,-0.026412488947142695,,,,,,,,,-0.02292613100941733,,,,-0.028033362645819255,0.05923277548956605,
NGF,-0.027090183084208803,,0.025661500624007755,0.02651879245019404,,,,-0.02643920681596829,0.10717058452707517,,-0.040023702295862454,-0.026477845940318073,,-0.010686958774429744,,0.0970163600186946,0.03255468102510431,
TNFSF15,,,-0.019555717187727816,-0.034704905625103935,,,,,0.04106575432408377,,0.06486715122513642,-0.022350403351702786,,-0.012034277547318544,,-0.019467195624093585,-0.04328820272430685,
HMGB1,-0.04330421005161022,0.06177395884776165,-0.011072771901262733,-0.04138309204109257,-0.1068818274350517,-0.08688471181962354,0.005489140279824651,0.02432736262368325,0.1337803150442588,-0.041136876983795326,-0.029644190056183215,0.00039009309320097346,0.07682578035162367,0.04131704139141413,0.166579893014278,-0.11984307455283606,-0.10265944640436135,0.0611862087679957
ITGB3BP,-0.02111336795643477,0.004471920613679198,-0.014166001914177951,0.007884793709529657,-0.07522589978903199,-0.0006882103685736301,0.03169563529142905,0.009659615915323437,0.054760343471132567,-0.10704132069096825,-0.03571330937827444,-0.027303609829554015,-0.018389412761105287,-0.06864926082630741,-0.027814195801733686,0.005676693060493506,-0.05215980534432133,0.07158602716457158
AANAT,0.03576912596369951,,-0.017620870730581883,,-0.018352664149046252,0.010066043542826123,-0.011612658518857526,0.06454294839037163,,-0.01956808684578765,,-0.020112685845347016,0.04805272858408106,,,-0.029660466731561263,-0.03698852757163643,
RELN,-0.019020996958235097,-0.014070566468427904,-0.03792451223505361,-0.04928216805518444,0.07228663476701427,-0.04130944471918219,-0.04541408101045257,0.0012949749705557906,,0.025568783594751773,-0.03899378948400034,,-0.03386203086607534,-0.01453610309448762,0.006821863346357351,,-0.015953114084867877,-0.08134484657269522
IL15,0.02976135211830125,,-0.007793398146373288,0.005095844467913886,0.0017190916211712278,-0.032715025352143184,0.020114888952969617,0.06201737757897766,0.02169281648912509,-0.018148496127206374,-0.013800421719785606,-0.024318501518085265,0.04256879828106398,0.025248648773255705,-0.037125802862184434,0.13974714339283556,0.038338786691635394,
UTS2,,,,,-0.060538910708947506,,,,,,,0.03350242755982473,,,,,,
BSG,-0.01295010023477264,-0.014169807641801604,0.020035742242278023,0.03823260681033687,0.08907310055511179,0.01669707141825005,0.03187011865867613,0.053735732356719794,-0.01646652107854037,-0.06542757142329561,-0.001569638451157311,-0.014729417879513217,-0.02704045324954359,-0.024280409552208854,0.013696011321224694,0.019520760302975834,0.10894008449295219,-0.044635194351879307
