,UKF248,UKF259,UKF269,UKF275,UKF296,ZH1007nec
IGFL3,,,0.12484497993370655,,,
BMP1,-0.06604869867351411,-0.013264794817172756,0.028821655794623233,0.061528611247833945,0.021706863382053066,-0.0035547632408686296
NDP,-0.013650197909465013,0.023055996728418463,-0.007212961202119822,-0.0021528137306604457,-0.002107981712497589,-0.01793025706428783
TNFSF18,-0.02296948401247568,,-0.0316523475223741,0.03231864057792732,,
RTN4,-0.06482303370761038,0.07103992347432736,-0.068683135782406,0.012733562078663035,-0.05116383246400635,0.22851268048359627
HEBP1,0.01031410548267094,0.010113712412296324,0.03228929942498003,0.04971426975837949,-0.027682994391640212,-0.011615981721060464
WNT7B,-0.010230922838394295,-0.02514879429671945,-0.010272963690676587,-0.010324948024784342,-0.01218291908911213,0.10133957099856429
PTMA,-0.00296973097186447,-0.020717809436251903,0.001600607429656506,-0.0364649476593285,0.03908106963991061,-0.055041102679543964
CEACAM1,-0.014619447079220502,0.014018150525078857,0.08926176896607553,0.009188218812631054,,0.143523007983051
PDAP1,0.046454646374019845,-0.04175527030756611,0.03409666568609522,0.06359405527420678,-0.06667931995232215,-0.11870429644500838
QDPR,0.030823898194807953,-0.03816399784564412,-0.07599397105156293,-0.008042559044252596,-0.015445047807361638,0.06767841676763944
POMC,-0.03464972259581466,0.046134026455957405,0.025203245529528875,-0.014493503484228206,-0.03276721841181623,0.04015808672567559
CCL18,-0.018243688650632167,,,,,-0.040357437160618466
CCL17,,-0.008233715928191146,,-0.015578638894373747,-0.015079038619489988,
VEGFD,-0.018243694443857796,0.07196435862897388,0.042938447654009844,-0.01659772208254875,0.014065984471407347,-0.04546716417089307
TNFSF13,-0.01376727726405573,0.05842559732352542,,,,
WNT5A,-0.07287594571218356,0.06844725510600326,0.04709355730336233,0.03310415110520652,0.052095855855271204,-0.031177119292447448
CXCL8,-0.003677496685451208,-0.009806562031366798,0.009218978937428027,-0.0006866641651709213,-0.010300164903687544,0.08685114778078545
GRN,-0.036089230123972624,0.043237064830786404,0.06763635510212689,0.0256456940373869,0.01458283681378975,-0.004354735048874945
MIA,0.08506706218808502,0.022122561979954363,0.0059115082708757405,0.008785203188603066,-0.01257916819479904,0.01688508391544405
COL4A4,0.08941250794024204,0.04223563667003405,-0.02100449134991559,0.0003909439220035166,-0.02113200217920163,
TAC1,-0.03790499780512275,0.07383704418094648,-0.0446645732279365,0.0008091462237365477,0.011666076472588964,
RARRES2,-0.023696613505728423,0.038374047752149865,0.09278130115771636,0.0414375260720511,0.0010712360523386735,0.09495816701177431
FGF7,,0.01935111559702873,-0.02648873417987335,-0.004351516350588186,-0.031086118779755725,0.009305611760888647
HBEGF,-0.06980060409760439,0.02868816150816675,0.02304419666218996,-0.003214563436303883,-0.0072411467934899686,0.01895181717611181
CSF3,,-0.027574332639780205,-0.022222347561955336,,,
PI3,-0.01919312964638167,-0.015772874024570626,-0.025022656658002216,,,0.1036660588409193
PCSK1N,0.0027098368421399734,0.02564804498882482,0.020804645320046406,0.03534368134313615,0.031205080167878298,0.08872761018289388
NTS,,,-0.02731393831016031,-0.01858039314250538,-0.01795019046923775,
SFRP1,0.0025294078024215264,-0.025229948698031898,-0.0013457525438353996,-0.0023593380387110256,-0.015079038771348292,0.04143473875861351
MICA,-0.014356633639712915,2.5771243131599097e-05,0.03354851025239811,0.0151144115133663,0.012717698927773715,0.049397745654837844
TG,-0.028729383704319184,0.03051213126395539,0.10554498950851747,0.05387418393665487,-0.010912634766373197,-0.02696899599633204
ADA,-0.04734840220752773,0.011711994377358311,0.07496642555223025,0.01356084981144816,0.014596395208130549,-0.07436647916425589
LAMC3,-0.03652404608607919,-0.0639669407289275,0.0761393512556215,0.03238184480407607,0.049408611555496466,-0.12241547985314491
CCL7,-0.011604527167848707,0.01638687406310215,,,,
NGF,-0.019924396876980898,0.036257010553105345,,,,
TNFSF15,,-0.02950075870400877,,,,
HMGB1,-0.023516179840380742,0.010490933113759404,0.08289146339824778,0.020228446026393936,-0.02224840297601417,-0.14547141390213106
ITGB3BP,0.06530963405361813,0.059300212671697036,0.059101808663900156,0.04499248860823398,0.0025494728413355526,0.007732820337678754
AANAT,0.0658858586606625,0.02852828841142959,0.06017930743192245,-0.014114505521190318,0.03247772950299279,-0.034245275933786914
RELN,0.02283716934192868,0.015845032132176008,0.012490159470775418,0.06406594634257239,-0.042544577032299684,
IL15,-0.02617134772831328,0.0356824745432489,-0.02987885033336832,0.021033995420981617,0.028862911712482356,0.016665705349102482
UTS2,,,0.02225153053016469,,,-0.05141285296878514
BSG,0.02030415700210277,-0.06176792790327835,0.040777573352487016,-0.002235235240689744,0.014193988110126173,0.1856332174961581
ADAMTS3,-0.06060431915922077,0.043635861110714845,0.06264300624702014,-0.012725786692375358,0.030862711230517956,-0.0645186845280603
CD34,-0.04450618361055247,-0.001965822347166535,0.03986498922954046,-0.00124590383203624,-0.01173479053634559,-0.11541032065707023
CCL23,,,-0.022808208846229593,,,
PLAT,-0.07779313264304294,-0.013605078392021448,0.09884639101064777,0.0058434437538195955,-0.01728599658413077,-0.03972978902110619
NTF3,,,,,0.008793725749407526,
LTA,,-0.038817914661449196,,-0.013593739778428269,,
CKLF,-0.033785004477763905,-0.014604787191564068,0.045009125454349264,0.023908881860464887,0.05964915993343446,-0.06145964291256914
CD24,0.03562491165317447,0.023490173140114787,0.014137595823128962,-0.02536859733142318,0.04824959410284311,-0.014516994775998304
HSP90AA1,0.02799673297084761,-0.016117238202410976,-0.031998006777839295,-0.04331382673683841,0.046955233075603064,0.056953639910422856
BMP4,-0.003896909438459979,-0.03521426314044649,-0.0065112278475496135,0.007684494218958618,0.04147878488530958,-0.04153863828763056
SCGB3A1,-0.011604526007411495,,,,-0.010610651995442368,-0.045467119972706034
IGFBP4,-0.06469738196915414,-0.01689426278962004,0.11493666014624052,-0.009864616470592228,0.008168267891457505,-0.08923240338808144
RSPO4,,0.007186453521556952,,0.0018489364486863622,-0.010610650443394482,
LEFTY2,-0.07184452857134882,-0.02719231896800028,0.11981953548258299,0.021147005712097447,-0.011634707982288262,-0.06363093192813973
PF4,0.015595751373119913,0.022711073235089817,,,,
ANGPTL2,0.0022799206962316816,0.0515427330368002,0.08555363319727549,-0.0009343667723560317,0.04311831803176659,0.030563085827836768
LRIG2,-0.026517882490309983,0.038276271802178144,0.03021395177227693,-0.011154723929405681,0.01322936614454924,0.02065748051517587
ICOSLG,-0.016717273943779285,0.017147563513841668,0.07035734500486486,-0.03558995484707489,-0.02013703308851725,0.050917658354109704
WIF1,0.06022888682747324,,-0.013974055860492237,-0.012200470245575622,0.00867446763266581,
NPPC,-0.015422621348395102,0.03400732903193669,-0.023249135279817708,0.04580749834649941,-0.01474620746480085,-0.05680121559290854
LYZ,-0.05661966627602554,0.024508356567148875,0.04032560364867965,0.1043727192533362,-0.01809637370149449,-0.05205196599412457
SPTAN1,0.03155454088962285,0.027590591661676486,-0.005977341216740924,0.011592888184976785,-0.006543565614956002,-0.025959929878665227
