,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.04450964608334793,,,,,,,,,,-0.0011755757315578196,,,0.09092064597374569,,
BMP1,-0.03767223910302753,0.007245206560211357,-0.00225960916964776,-0.02950227622897625,0.03784652566918841,-0.05530400631440377,-0.05264284147044622,-0.2159407354841038,-0.014513075193010953,0.05081158185859498,-0.12398514488991885,-0.20763951008193468,0.07170621934639654,0.0358065207102889,0.06260980770799789,0.08160484165944176,-0.08925328599520004,0.08645145289956706,-0.0002730879508379695,-0.07678885054247143,0.21500384569985564,-0.05301648672181951,0.039951789412112027
NDP,0.004600127992782925,0.004526843521816294,-0.0071978086531921245,0.024905049228817217,0.03809890359902603,0.14620774803468325,0.0138194003314464,-0.05926264854480666,0.03921725734056108,0.03832392664579151,-0.10064101910036448,-0.0336716883865783,0.0874565946589872,-0.02258268079799171,-0.044921725995804414,0.07740020142780062,0.10289731639720391,0.0033800932156841704,-0.047778881246759684,0.06628454583803907,-0.07908451457779478,0.011837623417351234,-0.09165501611259658
TNFSF18,-0.039988010915200656,0.0023205016235017697,-0.06343801531489458,,,,-0.01856573985592354,-0.048408183549882355,-0.04086786957014184,,,,-0.025625211861475462,,-0.040885649546989866,,,-0.023692770138745486,,0.00299404083346183,0.03650159022668585,-0.05793233678400521,
IL36G,,,,,,,,,,,,-0.02775114334743773,,,,,,,,,,,
RTN4,0.1599855859208929,0.10661810913643743,0.009359025613298388,-0.03719248953839801,0.06697403449611765,0.1716935375955646,0.24491298935045075,0.2563710203583656,0.05843306902594539,0.0713039600807456,0.3313418907053162,0.3414365576673253,0.005462361754574439,0.04358359392851384,-0.0092734633898646,0.09749124489456251,0.03642997324981447,-0.013833611060275149,0.08330967195613612,0.034786512682028654,-0.03562983493734131,0.13287048898883408,0.08473108650464621
HEBP1,-0.06209056404222569,-0.058065270387258734,-0.0043783064954335486,0.02458685951121104,-0.050372215160825566,-0.07737571624032452,-0.07246559302258884,-0.09796997010181893,0.02409443233360889,-0.04648734423266768,-0.08939880702187668,-0.028824128811953998,0.09552943502812172,-0.028112190201153842,0.04379282809651464,0.027819695362856615,0.07603232178931967,0.027900660856430927,0.02673903690757022,2.239658864600566e-05,0.03096260869849041,0.020973276924585952,-0.03181725785380382
WNT7B,0.22053007214089435,0.08074792670850774,0.0028939733119386184,-0.04289277616380443,-0.04146740704153028,0.06527679827298745,0.12710185099174,0.15724507293924544,0.0481319818801035,0.023419096183143962,,0.059746665182445174,0.02449659140810338,0.07913407766540298,,-0.0010698002634934084,-0.04741053629152009,-0.015152027049838084,0.0827181447063192,-0.04392161888739794,0.019184784088841493,0.09671239202392073,0.2747595065934477
PTMA,-0.023427914853317293,0.018775801526473793,0.024638441423219394,0.11809674124115639,-0.025763674014841188,-0.15770611055054665,-0.2426534321101392,0.015974620832559714,0.05497011978807485,-0.08239759970772584,-0.38411548110163035,-0.3132437382888678,0.05063831397545814,0.059986633246165315,0.08322238210020444,-0.045588202269302824,0.0013315395590792966,-0.02589908279594317,0.07983727455243064,0.04322004005116753,0.1349048273760638,-0.0853958181370682,-0.19911989026021532
FASLG,,,,,,,,,,,,,,,,,,,,,0.09256894787884645,,
