,UKF259,UKF260,UKF269,UKF275,UKF296,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,-0.013977905047778995,,,,,,,0.10095705135984902,
BMP1,0.011418584492873758,-0.016685361972867834,0.09394069748801694,0.017374026565355815,0.014479821163581397,-0.0035493076315143944,-0.04691759648730487,-0.060701051949730675,-0.09388334756974191,0.053373545000840066,-0.04744266419758598
NDP,0.01175565367047944,0.058069317573956364,0.037846430832145776,-0.0045687041510190565,-0.014335454084386514,-0.15951454241236773,-0.05856747715954493,0.00551352856402073,0.05628475204889155,-0.007725254884023271,0.049385179899139264
TNFSF18,,,-0.020756769367743188,-0.01588254220315409,,0.06577513070671231,,,,0.028614780832455087,-0.028861135290093903
RTN4,-0.04796194867110274,0.0659259574280582,-0.09130951278833939,0.023074977518466832,-0.027549582247234444,-0.009122796901314952,0.06943532811459284,-0.06521953005071013,0.09466632745387694,-0.0076758272887990945,0.016755650352136237
HEBP1,0.006192563901349528,0.021752135063610404,0.05804464829157877,-0.06529362317971765,0.013111586052644123,0.02235628756297603,-0.043673962503791665,-0.005452138324193834,-0.019184714200659918,0.003684458028642466,-0.004188744481308114
WNT7B,-0.022423413270025696,0.003748887612819432,-0.04384218235351108,-0.018471925664150093,-0.02222627849377139,,-0.028078825946050753,0.008007453884419797,0.015620023329245723,0.05992134237892444,-0.052966511962415634
PTMA,0.03448122086952202,0.045618151153297724,-0.07622250560258045,-0.04663840568886228,-0.0074669398585348054,-0.04084764476026601,0.06465830498824211,-0.030427136226405384,0.0024615597005749625,0.032801637403936795,-0.06535717833946145
FASLG,,,,,,,,,,-0.015026692005829647,
CEACAM1,0.1607409130467871,-0.016010995197475203,0.002448355740890803,0.021010140507763533,,0.112244696570582,-0.022267308214995552,-0.017888128275810444,-0.013517655880337041,-0.0014219354179260085,
PDAP1,0.0044711247462957,0.041144164919713844,0.10007813063613151,0.022099777024438737,0.04061286649576389,0.021608733250961274,0.02801715501229783,-0.026370468859687652,0.020823272457118916,0.052849909280559784,0.023532566314415377
QDPR,0.0006735165733413182,0.006960368016591887,-0.0775103994037236,0.023508145489051023,-0.028185148208285094,0.0010013990470892696,-0.01507422306820553,0.013087623051419809,0.012971748845701129,-0.011462020050718969,0.06335396537236437
POMC,0.026554611410572936,-0.032217908491533054,0.009397247230380034,-0.018428846010687623,0.008111802897919372,0.020405525138615026,0.010821573067334729,0.008914370458357707,-0.005543762686841107,-0.0073834066672876135,-0.0029456044376995846
CCL18,,,,,,,0.05859861939176678,0.015244738241334092,-0.04655136944444099,,
CCL17,0.06193590674271109,,,-0.019808622363318866,-0.027509902128024708,,-0.01579757741052644,-0.025822636172698928,,-0.013620008510964822,
