,UKF243,UKF255,UKF269,UKF313,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,0.1546123476140757,,,,,,,,0.06324992390600659,
BMP1,0.042410660733567807,-0.05144510304703598,0.15703591194015856,0.11735634442676422,0.09642701648223238,0.05016912221488143,0.051904386988219295,0.03882634525610272,0.0505491159930169,0.040917170218452606,0.15042208545974334,0.08524284639135428
NDP,0.12116241968088651,0.028686099889824308,0.008673286835059472,0.047489241486380555,0.012708674899528087,0.08566018107326419,0.05732740519548897,-0.055325280311468515,0.049388810762168917,-0.06811510339818587,0.018603026125328475,0.028696589828416805
TNFSF18,0.07185010318890592,,0.08049623336878478,,0.08996562633809951,,-0.01873780873808393,,,,-0.012146108649309808,-0.008156478481932508
RTN4,-0.10206128797631844,0.012620684213036321,-0.19018571151747415,-0.04762114200090846,-0.062402720934576134,0.024998374132658006,-0.007097516121278937,-0.00739689368334644,-0.024702843042072143,-0.0035099790687937627,-0.006219747465870566,-0.006736910963909294
HEBP1,-0.04125554420664942,0.06108600973203245,0.02377338819628213,0.02794774576017246,-0.006482514302038358,0.12169131316578613,-0.060723262920242244,-0.01706961924304547,0.07735067467444573,0.054140587150079425,0.08042052549369866,0.0062779953997712315
WNT7B,-0.011203223216591812,-0.016505596057672465,-0.007845669396985102,0.02450641612240554,-0.04384862307460799,-0.04402997410415813,,0.03705886005853161,0.007822600604537464,-0.028125672490797195,0.06197873070437738,0.025831847526426546
PTMA,-0.09944268773150806,-0.11834863970310736,-0.06953861647140647,0.12823539773098394,0.03934778186459031,0.04479459012468733,-0.007715055515603429,-0.0020621879448185286,-0.08823748000962259,0.0015919087511052305,0.06693874535325713,0.03716964190470909
FASLG,,,,,,,,,,,0.14215218944557392,
CEACAM1,,,0.06396728261676214,,,0.025643397708639635,-0.029222858975276565,-0.026337198753819166,0.03319792639748241,-0.01866741788349768,0.028701415383254204,
PDAP1,0.009498346000155648,0.06725510213802874,0.14368156859098713,0.06184600600289684,0.024735861599812843,-0.026257346402780844,-0.030826909133528528,-0.012548177182478961,-0.006775195370853436,-0.007416572186118865,0.02538906063644411,-0.014869122380507133
QDPR,0.08359234488056609,-0.043549329673630184,-0.17488302263471783,0.06361896826669554,-0.05103722759020389,0.004851765315020488,-0.0014755151590909027,0.025281276901317002,0.05121930160360013,0.0008721131176864605,-0.03174020750674758,-0.011283403197878765
POMC,0.05488566792278939,,0.020467652029416212,-0.05122495903943096,0.03368978678599775,-0.04947443554266566,0.08742728172758235,0.010316192866062127,-0.005271361132547084,0.046449553374345885,0.08826619941129804,-0.0638592735468498
CCL18,-0.032315494386731564,,,0.03734056290401834,,-0.04880086235666593,,-0.011008151989535276,-0.0022836752255856437,-0.06428584024930795,,
CCL17,,,,,,,,-0.018684967759582515,-0.039046140173952276,,0.11014867939137364,
VEGFD,0.031670805610171625,,0.11977630842365607,0.021198166603385707,,-0.03362450253200099,0.060571772708739556,,0.0032425302694701957,,,
TNFSF13,,,,,,,,-0.03585364660542391,-0.023345128359334773,-0.020962259145494738,0.0587963934806718,0.007291698452775363
WNT5A,0.012205882926594231,-0.09775637883606612,0.09900785543006828,-0.002820871695450521,-0.010844915276472937,-0.06743481838635526,0.06482421080158375,-0.05115304790098584,-0.02459499537788935,0.040260129316714424,0.04921877767278458,-0.006933192257043621
CXCL8,-0.10844802360668637,0.06452738915839612,0.0876007698426829,-0.06494077532291968,,0.04956990237276585,-0.007926540993523573,-0.03518000669423275,-0.02640848414837443,0.015054713102727754,-0.03981062616020209,-0.01444687060193674
GRN,0.03509575489557238,0.009286007411341285,0.10410868570920792,-0.05299715377404944,0.05478062772430849,-0.036023701090219004,0.04442573764074119,0.05960313261896603,0.0611891742932072,0.09861674368785721,0.11797104088055577,-0.015732464693752148
MIA,0.020609296413131774,0.07097212089623131,0.0449654286519408,-0.0380322653046616,-0.07770523333048088,-0.0035125637832325316,0.03921586647433946,0.052211711990197585,0.06097955838807402,0.07320238809425783,0.08231568739412023,-0.03274720086947808
COL4A4,0.1367659659942501,0.10859452620354096,-0.006277057288928081,,,,0.09104776249998456,-0.03009081903825417,0.003506796013121334,0.005168739852355276,-0.017931218753373897,-0.002120963173016431
TAC1,-0.02080628872793868,-0.07267863717653386,-0.10658722493987279,,,,,,,-0.008504020490552353,-0.03247223259016899,0.03147722888383237
RARRES2,-0.028789555976740835,0.010442897932432358,0.1666081453740402,-0.16433453025888078,0.04088042186962369,-0.05581937312544695,-0.08642649047709977,-0.018179726574367873,0.04658512740415652,0.03830059484659658,-0.016672831490205018,0.009505718685529234
FGF7,0.03534921365274459,-0.03925723119363443,0.05457807244873876,0.03246878440085165,-0.017562968337099395,0.06886798101280538,0.04650259444818862,0.02595999767296512,-0.017611829246532745,0.05208385121216656,0.019146424775621944,0.019323554403483063
EFNA2,,,,,,,,,-0.025707744530544516,,,
HBEGF,0.0013975564446249526,0.022755040104557547,0.07750704834085707,0.051634415240565536,0.03131046061253088,-0.03133810446335501,0.06696278016800865,-0.03358243131189859,0.0070354208218328055,0.051045409955326325,0.0821009424711772,0.11149404827228585
CSF3,-0.03665310791731675,-0.023107244629298616,0.04235898725678822,-0.032181465927241255,,,,-0.030879327669761508,0.06905211836357074,-0.02676229348037236,0.007938678491533728,0.06751458579682465
PI3,-0.04342107207555608,0.09668097346491085,0.04684731577122753,,,-0.07811742294414346,,-0.06534961813933612,0.004399489099724464,-0.022986301048000223,-0.024775211950578715,-0.006755828281506638
PCSK1N,0.02528919105861181,-0.053907963935678364,-0.030531527832268836,0.05136670439774821,0.0004913194886643935,-0.004623766321861354,0.05296447164493862,-0.04645575319237934,0.01637433384217997,-0.08919152972436376,-0.010850217195538454,0.0005408971149099547
NTS,,,0.01961516174941832,,,,,-0.04359008474964485,-0.031320008320847484,-0.04263193712774295,-0.017199974628090232,
SFRP1,0.05027467876736106,,0.01699734125956703,0.10133377290096192,-0.06574228726522556,0.012142034621464277,-0.04191934810805902,-0.01291300277938718,0.015085349288901677,-0.030285525864043865,0.00611712301993751,0.030943165662124766
CXCL13,,-0.016778593714576358,,0.0733647544888231,,,,-0.020481178861247864,0.020076184235794395,0.07894136880574983,,0.2672428742558022
MICA,0.07128743398418846,0.024409190302700737,0.12181177770412899,-0.03212850595392919,0.07571344628918744,-0.052160614208292204,0.033540134233074025,0.04591651968354484,0.03336409520641322,0.053786849055684025,0.06015204884811053,0.0167679624408825
TG,-0.009537255789693675,,0.021355149963040467,0.06157131087905783,-0.006680686667885725,0.09889292795869577,-0.06344987234447605,0.0780554430819776,-0.038574014038498354,-0.022025778779292116,0.07159965738994313,0.03696344232007678
ADA,-0.016787986860976937,-0.04559322290811587,0.07883635382383625,0.0550366825751504,0.000797573855912498,0.05758813604056235,-0.010534179182666952,0.05290329777980388,0.023360420138447885,0.07285998847556976,0.14647068242578304,0.005666615276473557
