,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,0.03112262409493707,,,,,,-0.020322182465718663,,,-0.019995964219577174,,
BMP1,-0.018778303201554835,-0.030478011857166316,0.008393499016835252,0.013399546872211412,-0.01363447977104758,-0.1165172353433796,-0.06841231573438307,-0.32626737095343056,-0.0873147799756294,-0.04609456610698079,-0.00891305182149653,-0.06927109399211649,0.06501001361598473,0.027939776636834644,-0.03813429455923272,-0.011014420937332124,0.015118744942773073,-0.09553296476945118,0.023972817396018524
NDP,0.024891019585361624,-0.05865455232202307,-0.0106818796088188,-0.02672801126547461,0.024609389091608664,0.14043157754586405,0.004099817901604239,-0.10968197198055438,0.04896778917651412,0.010180886263261593,-0.0015873469612985465,-0.06365249590513039,0.057795928124211825,0.09160454055270832,0.031657885880037324,0.06840404608759112,-0.002916812518775486,0.09056583929000248,0.03564991353177239
TNFSF18,0.02810258669708606,-0.037522756503837074,0.0015128513404861277,-0.02542663055671269,,,-0.06324863630468607,-0.06638791198662272,-0.03760286306305377,,,,0.01849191717005001,-0.02095790806931002,,-0.05317728176138453,0.03308872143097966,-0.0681075790888455,
IL36G,,,,,,,,,,,,-0.023858988128386115,,,,,,,
RTN4,0.0382102475602101,0.22749531470750584,0.06540404148755326,-0.024062368972543206,0.07965676807507278,0.21681920845033675,0.30689153147921483,0.45954370798051464,0.15044325199167713,0.07828890982456596,0.014371099579059906,0.0958875738608409,0.03706668915545141,-0.08035007978441158,-0.019423062502255173,-0.03245192314116328,-0.050900891898076506,0.2551434196411217,0.12866805208104076
HEBP1,-0.013903412530823214,-0.014449843983506253,-0.017681705767480276,0.06585024842711137,0.0077841377475188584,-0.042373267825649485,-0.05913529544487526,-0.14052551056583723,-0.008694589972324106,0.014052278389564403,-0.016265039501139687,0.02358195782434659,-0.08352951331620928,0.004302356262318258,0.007240783942408476,0.08380283310557714,-0.03151035259554076,-0.022776737261124724,-0.11920613778770764
WNT7B,0.11830050608140401,0.26342164944293023,0.0759621502157196,-0.005339192950112318,-0.002410469522740463,0.09569515538060186,0.13179521395079835,0.4610677822462975,0.014940297658226829,0.05189308327006765,,0.1578559663608992,0.008794330728438464,-0.032469142552361115,-0.028986524990188212,-0.0216142263029351,-0.04267970008336141,0.06259669157676426,0.14832141605319304
PTMA,0.045834764090202144,0.011759115807716422,0.054860540646325465,0.04052813276438511,-0.021003106661905108,-0.09958350292091539,-0.31200596580887185,0.10375881609746782,0.06120845284939347,-0.03842707318278795,-0.03286575331567595,-0.1448346623266779,0.004849271498778189,-0.06325142756413767,-0.12162380089183171,-0.08905618024664945,0.03960817091296117,-0.23816473862262033,-0.055914424913668444
FASLG,-0.016985064032859393,,,,,,,,,,,,,,,,-0.017342492945917515,,
CEACAM1,-0.023583910057592885,,0.05233452708658749,0.08618466466553916,0.03649855901211391,-0.008453273437666789,,-0.07327238273556384,0.03547980419259926,,,,,-0.03011432586038111,-0.019238778207324374,,0.009820389147527997,,
PDAP1,-0.009773019606115785,-0.04530578423263383,-0.0039687249586977755,0.027723362387269745,-0.00039099149143565957,-0.0461367916415784,-0.059550319792827884,-0.24570258119338018,0.016524866477353108,-0.013242111695741503,0.017288463815019327,-0.022556438271257223,0.0037581833965932405,-0.0024095415023491266,-0.08209809613356615,0.05923532045625483,0.003612927710122077,-0.019229090699088746,-0.008229570866555878
QDPR,0.10724061676273335,0.12686849246451315,-0.016672323030828294,0.03831518130300355,0.06461954333250378,0.20107057674401657,-0.025650050937477277,0.03036516689555722,0.10934157559387528,0.07419041960478027,-0.08494599291700132,-0.018790293141726713,0.09176820465636798,-0.09517063693193076,0.035389782410937286,-0.08717652203226446,0.036472995741912165,0.143557796401424,-0.04546038432294089
POMC,0.04128950978797883,0.09816448450271464,0.008952427063074945,-0.005567930428557189,0.007608399772293166,0.17569205258591244,0.01987570661794855,0.05817059679541537,-0.06007125172393995,0.006723147828630615,0.004650398437170287,0.04451664768697583,-0.02059336333148817,0.04048968083064786,0.03959899341783308,,0.029739584075085843,-0.023374625289424963,0.023747645770074568
