,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,,,,0.0028672689560075553,,,,,,,,,,,0.059284511251442434,,-0.031160945625912706
BMP1,0.00791221083297309,0.044307258315657815,0.07142515766320301,0.010852188710871782,-0.022801618258398722,0.05488591691076489,0.004476500531656883,0.10551703383256127,-0.03390347426293403,-0.010318257787625263,0.04038307414131306,0.01288754941642185,0.03841699507330478,0.010490906193002362,0.024068345578690052,0.1111776934506579,0.06844729896256568,-0.013434606987776333,0.08205026215377077,-0.04757322702007061,0.06046505655570795
NDP,-0.0038569888482107564,-0.03238725476745974,0.045307193176609334,0.031838052262672736,-0.0006809267625353531,0.09842891281822834,-0.023275572266476762,0.05155022241541411,0.0045544886156963765,0.011015677785890356,0.10997700661253586,0.10483173424077673,0.0534298200156896,-0.03137014262072497,0.04041385909882236,0.08835696209166388,0.040058306250714944,0.00594978121542415,0.011601917239290877,0.0344213322675843,0.050327095509616906
TNFSF18,-0.004611380349839224,0.10044991594407778,-0.039953593233466464,-0.004456050438574058,,,-0.018930540675611247,0.007345009104629327,-0.022154135262694073,,,,0.07596679482574899,,0.04129732219649494,,,,-0.020637140901769706,,-0.03698463016250298
IL36G,,,,,,,,,,,,-0.017404553031783093,,,,,,,,,
RTN4,0.04091390476847125,0.05653438323342315,-0.018047354987354394,-0.048783423303269555,-0.026361284216981692,0.021920927480468366,0.006543720502680578,-0.15740105800968443,0.022541668286282988,-0.03162075561966399,-0.05973302179652203,-0.021755430606470255,-0.03055216639487604,0.12233162273707837,0.013022034608091915,-0.018935913909429513,0.06319293650926097,-0.019200513472274035,-0.04681837361941503,0.07369305145025781,-0.08345747343139774
HEBP1,-0.003088506490471083,-0.014167655976402467,-0.01108596441568121,-0.02627912210119217,-0.04183748759240914,0.010115052100776985,0.06013048067251469,0.040092783920101134,0.03481875789588525,-0.008540842494835594,0.10523298628851242,0.04161274733473832,-0.044118311754020846,0.012219604873260443,0.06090614307946617,0.002127273919438785,0.0705653980937583,0.017514451609244346,0.05210539012182249,-0.016059136767504673,0.03905502452113393
WNT7B,0.028700334136038303,-0.03044998909364594,-0.033079691441289444,-0.005834227355653634,-0.0024133680141873934,0.045759596760014225,-0.031242003222100984,-0.07335783452044548,0.015569248401647334,-0.016668023607263244,,0.010709345095637455,0.03649554565148359,-0.013535148164898793,,-0.0004408297771812154,-0.054638158037161454,0.005557012520452659,-0.011135141282622952,-0.015932083390808073,0.021257450468219582
PTMA,0.02261982977178174,-0.021637466603656206,0.026476451469440214,0.033824513103027386,0.04526871680625007,-0.00155920678808412,0.004149432157083998,-0.039027188143067576,0.025460240719946788,0.013012020741385457,0.11406918832716136,0.011621206286123096,0.019186259810314698,0.06110194531739767,0.06992158926543984,-0.16024124002225448,-0.09324332425933356,-0.022481680112122506,-0.07748364573494489,-0.057050943579002686,0.07056719733646051
FASLG,0.03088058925724882,,,,,,,,,,,,,,,,,,,,0.0993501303771851
