,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.0695269539665934,,,,,,,,-0.018667932075631784,,,-0.018186166813005313,,
BMP1,0.07724543434169909,-0.043403640133946195,-0.03042001580337777,0.04348344806541182,0.050060650371043125,-0.03931638551034919,-0.08228206776483311,-0.192165904787375,-0.5647711411958493,-0.1415344243404727,-0.0019408873527108049,-0.1963035182993695,-0.3432977064805807,0.02818372890734425,0.04756957841819418,-0.06176376539523829,0.09655337058743359,-0.15658738388879878,-0.1351428611186346,-0.010704668470013768,-0.15848428295777614,-0.03773959784118837
NDP,0.010668345092514556,-0.09548230074711399,0.025906318346584245,0.06244886657036167,0.07167586064399639,-0.007432158195106961,0.2614303688616803,0.07274608768293206,-0.1609412060020292,0.08185179174091434,-0.04435853138778126,-0.1468713369337602,-0.025600085470712824,0.012025886012388999,0.036083119547931336,0.0967389477494116,0.07257094316652336,0.09380068588402155,0.0646607655160202,0.10218888515833482,0.0468522485188024,-0.029302194596099635
TNFSF18,0.039259880582932956,0.0031752085998220454,0.0056858491491273006,-0.05939709170656437,,,,-0.04486447091073948,-0.11732169915143724,-0.03088484650132322,,,,0.02229550447099824,,,0.028326974040800645,,0.11779224902434622,-0.03067681206065766,-0.16666657898702086,
IL36G,,,,,,,,,,,,,-0.02417240271513705,,,,,,,,,
RTN4,-0.0739118057766055,0.3401961059493054,0.06443742336686908,0.06557067372031755,0.012460815171555372,0.08776939840988653,0.2523113043332947,0.5205766632402147,0.7290321099957067,0.28127738136733715,0.16585365820412473,0.5500255533893255,0.5157211382602556,0.11675585062420464,0.03611390389440701,0.015116068921362209,-0.14160656905650715,0.11841322103819887,0.03700659907136997,-0.06074955927511279,0.5799584850265508,-0.011920496815528462
HEBP1,-0.011973465627676318,-0.07438670743055273,0.02170459979143554,-0.002486061596574143,-0.057426397738305164,-0.033049973668793885,-0.06562429138294643,-0.21862797215073576,-0.26621633290459007,0.016249683999414576,-0.08350869276749735,-0.23073716873532132,-0.033687165523590364,0.061539568571598965,0.06703675904991749,0.07071922528903851,0.01332303849905023,-0.004872638123784736,-0.06515355250964984,0.09463028236025986,-0.06746825106284826,-0.20271738560335956
WNT7B,0.054813806513535464,0.40394027670881844,0.04325375443879414,-0.017669572662581696,0.01530077857040513,0.054056896965832976,0.10139771775185634,0.18531775357092373,0.4662027354565924,0.022797568460316792,0.0938805707469491,,0.1577881602685381,0.15336145785047728,-0.017040315490679983,0.053523263105765995,0.04146772290729392,-0.03306287443875686,0.04483863041306016,-0.03881684007441478,-0.014798506584236268,0.019896365291622708
PTMA,0.04178687730255548,0.08158827264015354,0.09710271343622522,0.055523045795604666,0.17193843662764158,-0.03886628510802585,-0.2183910672870321,-0.5738801670718856,0.14846655463755082,0.2037265218256198,-0.1192402163797251,-0.693859820575385,-0.5069827004204585,-0.010716999842609782,-0.04484244092072639,-0.033312275132902844,-0.1433690296102701,-0.11045594893271644,-0.14737080726455942,-0.014388035080131763,-0.2551104381436009,-0.33386615167609923
FASLG,-0.03545372744729209,,,,,,,,,,,,,,,,,,,0.09159245766413454,,
CEACAM1,-0.03912148693349267,,0.026951145592693695,-0.021476678719954147,,0.05409350845439516,0.017602156306216657,,-0.15810655723323466,-0.07077416480303023,,,,,0.052313023009263285,0.060554885743933924,-0.001213802344803304,0.01421708534382512,,-0.021945612892437318,,
PDAP1,0.0435377655178876,-0.14981033604238989,0.04033247181723868,0.052022642408890284,0.024677913047213146,0.04938639702918693,-0.13714009828784143,-0.14488351366814037,-0.439415020421693,-0.03723303321246098,0.040135996759985804,0.04164870833088247,-0.26471906646231774,-0.04206024521671321,-0.008762200736368797,-0.009815320987492134,0.06933259715915531,-0.009567058091022818,-0.047216756505893014,-0.011632861970186236,-0.041978768790398066,-0.006179162245052361
QDPR,-0.08562709404366119,0.19844124072578895,0.038244364612964835,-0.004409235603802554,0.12447141845841773,0.04470552113423116,0.324907055956217,-0.05166598866041716,0.24105509844777367,0.1960038449334192,0.030957397089930994,-0.5093830145865924,0.15211705627579988,0.1075851103784796,0.05793793622885203,0.10573895522396567,-0.09822399221693437,0.1016929095701561,-0.09353162678785014,0.00367385325160465,0.4371119384229261,-0.09023107763665669
POMC,-0.02681131608924555,0.1908439335570248,0.058604973972867076,-0.0373273075451868,,0.020126530139627376,0.16384754784900107,0.0460918373005798,0.00933575548947684,-0.030603262387828525,0.032137908849787664,-0.14386154424191142,0.1390023763646288,0.032808392997183786,0.07140229988143973,-0.01029406875192651,0.0212716630451721,0.04358870716336644,,0.040980747706299066,-0.003846144778083098,-0.042555188144178496
