,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8812bulk,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,0.016052605778499162,,,,,,,,,0.06477882236571116,,-0.01710443959255713,,
BMP1,-0.047219230615028765,-0.025078730074957232,-0.06371415768600329,-0.009352323085789259,0.022426485777923968,-0.06322547236047663,-0.04391627248649717,0.039933979663440755,0.0032304596853396286,-0.02285357964944379,-0.07742188776563756,0.03127459918271952,0.04064214710732918,0.02230592168778505,-0.07171477454133805,-0.023986681920017197,-0.08314987151229769,0.009245175279846439,-0.013955024260546381,-0.0069453556450340915,-0.08571289100897574
NDP,0.06887512259615335,-0.10918161002235226,-0.03485611412668921,0.042080689944985344,0.009516774254837917,0.06573825475937249,-0.04308367981185928,-0.006189469625206346,0.03658591266463591,-0.04864668113943084,0.024947493614840832,0.03620710364363016,0.08474110800655409,0.06957200923573019,0.08871305987719857,-0.020245233389574523,-0.035397699959858434,0.010454031111169514,-0.06776935986991339,-0.028315357852305777,-0.015486711573589978
TNFSF18,0.10770141285191659,-0.03457195696199007,-0.017375014017794985,0.02122257698643307,,,-0.03678290597357608,0.04651410273235952,-0.03631118735391479,,,,,0.04905999831484456,,,-0.017249930443051297,0.02489877737310216,-0.028852131632737255,0.018592920293284604,
IL36G,,,,,,,,,,,,,-0.03290351405526885,,,,,,,,
RTN4,0.0528355221777744,0.014489701964699463,-0.029850695107703287,0.03100737857418373,0.04384646291508048,0.06208525242931516,0.05385095275621938,-0.09143997381272212,0.06748903634471826,0.017797937380328963,0.024336715584067997,-0.04325187077728666,-0.018578877223899764,0.09460688654767113,-0.06706228033076282,-0.002384203523258042,0.11211461705159965,0.09654159869494779,-0.047711601784603305,-0.019430655903761983,0.04781137395163745
HEBP1,-0.06546524215959361,-0.023683289670938714,-0.0034452309321300074,-0.009984134065063635,-0.02003769145605917,0.022120134975197547,0.04636622063218132,-0.004318249849914308,0.03691760459316661,0.04635071999114907,-0.01865956375046377,0.03187724272110823,0.0071271149409890605,0.04775111203489688,-0.023479887534618535,-0.05874026925954384,0.09902374579402536,-0.011346193730410844,-0.002182210771475054,0.0024593548934462106,-0.0879394062611846
WNT7B,-0.014540158032079952,-0.009247928978777784,-0.020639714326083042,-0.039024107105002315,0.044698847609842864,0.08434801248554434,0.001285899274970581,-0.05456279750769424,-0.021835739346450105,-0.03349357049687253,,0.039517644953825266,-0.0015609021991880487,0.15336115940915582,0.04875546103876989,0.04352664584745017,-0.010092830781860945,0.053066863578013775,-0.012373966348965862,0.18896842850621978,-0.03791648807041871
PTMA,-0.0007984864010426479,0.15724613489952918,-0.036325850574198876,0.08761757876100072,-0.004406189967859333,-0.0053697139999603965,-0.12852110542651773,0.1203442133101344,0.0764421806061846,0.09137533313798947,-0.05672002051933602,0.10927430649258218,-0.0064868235117033005,0.07609255192699006,-0.006226881738862352,0.08110717555564932,0.17041500688778338,-0.07407617203696294,-0.023781218743883573,-0.02949975367259355,-0.017649400394763134
FASLG,0.03849234817173862,,,,,,,,,,,,,,,,,,-0.014834674623360916,,
