,UKF243,UKF248,UKF251,UKF259,UKF269,UKF275,UKF296,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,0.05259349045555317,,,,,,,0.030979825697240167,,0.04873797796803254,
BMP1,0.032591872296264736,-0.0136761718172599,-0.023489058136902736,-0.028364075097695205,0.1128668943109711,0.015914569105307134,0.026012379288765337,-0.03823247351121312,0.04373889247404752,-0.042277647741296144,0.023613475593941353,0.010369129655053029,0.012147270117519642,0.0033848473842665447,0.07629255830516415
NDP,0.021235757630284763,0.03698668336684759,-0.017454207392009483,-0.025844210270334726,0.04630664510779619,0.0029577358203497967,0.03312619962270361,0.013230585282664903,-0.09897145439262617,1.449040730339051e-05,0.07375268261125982,0.0031027316495706664,-0.02370778921930306,0.05266920981160821,-0.041893150652010935
TNFSF18,0.04053766559651317,-0.005297437820450431,0.06768011934105284,,-0.005776697661207944,-0.015882541444304843,,,0.08031512054076446,,,0.05278349976231449,,0.01700179074358612,-0.05727226398314375
IL36G,,,,,,,,0.0064605225867087205,,,,,,,
RTN4,-0.05291049179485316,0.09462896047436753,0.025685249141864878,-0.0309221155841879,-0.1542679398684194,-0.032925025560214406,-0.024424919838862295,0.030339760070043974,0.04496047314454665,0.003927307929288923,-0.06763540394969993,-0.02475179577046987,0.07083710070925599,0.044654479405265166,-0.0656445893988136
HEBP1,-0.024645408346441834,-0.031079497265275487,-0.029728765552346333,0.011512688765961676,0.03530697132462041,-0.0349699316037058,-0.04242151850175136,-0.04080630588141996,0.015698314647405096,0.03362587138271027,0.038402174253664705,-0.11102136067926403,0.02269943081820289,0.06663125817864148,0.02135483525698264
WNT7B,-0.016920216136128933,0.03908201063328278,-0.01570923790960861,-0.026363494668284793,-0.036574401601354486,0.06906058256390539,0.04408905829758773,-0.016973561173129394,,0.018933487220262016,-0.01730966212768782,0.01931905297573664,0.026534106513368846,0.036106194912749,0.0422329910750437
PTMA,-0.04401259691530216,0.06372060331136384,-0.001207461605214878,0.08623150153419337,-0.101324197832001,-0.10469170403927731,-0.021861690893195344,-0.04374537138458497,0.03269916925495771,0.060454598501967056,-0.08200372669945283,-0.03664666184931282,-0.021380907923697214,-0.11457355234874789,0.0005976154583708266
FASLG,,,,,,,,,,,,,,0.08599854522692914,
CEACAM1,,-0.018743062263176583,-0.012055895248587255,-0.011324723731943131,0.06518226368885414,0.008564336997135758,,,-0.033632030186094286,-0.03822838012341519,0.00819420569503371,-0.0298160024436801,-0.02661361280398948,-0.042183273552088986,
PDAP1,0.07638453631871545,-0.06946415402132074,0.015944885744718366,-0.020108366689323944,0.1128437918333325,0.05058116849581115,-0.030002138113160288,-0.04529955430771481,0.031347742632378224,-0.038836364275375866,-0.0838605379835873,-0.011895132770344164,-0.006731682008839392,0.027118232706379277,0.025526109240580044
QDPR,-0.013516217440143313,-0.02653253484033139,0.03962304826684174,0.0005890071987167574,-0.11792120362006252,0.008700792834440932,-0.030095773430594167,-0.004472356229748195,-0.008585253098682374,0.05081216253437767,0.09312936306758174,-0.05188815013088489,0.01214107059508414,0.07853310258767139,-0.09713256333890678
POMC,0.033576129976957164,-0.0026671001946801808,0.008881803042000886,0.009341222588116338,0.04012832839077647,-0.018428845130178968,-0.017488193635997566,-0.03308664584799927,-0.011222194869232396,0.12098307263215703,0.1333817894007466,0.018186268110856673,-0.02449934845577319,0.004551005850395388,-0.018957797688519438
CCL18,0.07111461134602576,-0.023389570784440282,,,,,,,,-0.015978662066195713,0.016547653319597802,,-0.020043900545714605,,
CCL17,,,,-0.023465498369305542,,-0.019808621416886114,0.029577192784871628,-0.014107556175045582,,-0.027121185391954322,0.048579390173319734,-0.02652819633145347,,0.02009651364711802,
VEGFD,-0.0477498281122476,0.03775566628918985,-0.017267651176979554,-0.015257470784844499,0.02022246247779904,-0.02110441068344151,-0.016499743243421766,-0.015119504910884627,-0.04572200803147665,,0.052423789206943384,-0.027979059219956633,,,
TNFSF13,,0.10044082965048919,,-0.016185975601785918,,,,,,-0.009027999852427597,0.00831895671512836,-0.028448059856622236,0.01970783235511549,-0.03890814838515607,-0.009371012753909568
WNT5A,0.048323342479002884,5.836370437525377e-05,-0.004262164741560043,-0.02123876600616276,0.06631441554849606,0.007036756593391486,-0.003582343395109472,0.006792936509507567,0.04465121495492939,-0.07118540885406126,-0.03402152166705387,-0.006500046843522774,0.05041148440713595,-0.016693919202531392,-0.08209604172240993
