,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF313,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,,-0.02037799497783052,
BMP1,0.06138584785666464,0.016340714773385532,0.012295922337961566,0.1258465119015728,0.006369626188813607,0.07382783450876997,-0.04162488964715641,0.02459253409950967,0.02148208003105948,0.04968691458053841,-0.005288922372060988,0.09063339279367462,0.04474362758649061,0.046121923534079165
NDP,0.015781801880402686,-0.04947645337376474,0.04551597863136396,0.013920974888657614,-0.0010101346995844782,0.010680716701177323,-0.03966060589128186,-0.062230019661004235,0.039082308472871426,0.006901873216380396,0.11155594874178827,-0.07507557620820489,0.04419462122390942,-0.016864759100425213
TNFSF18,-0.02181211104418764,-0.039990740040128356,0.012707008042516368,,,,,-0.07328603930291677,,,,,-0.034374034316065304,0.14610847309785327
RTN4,-0.05040849431652139,0.029948134681580738,0.10475619747732691,0.027464864663059092,0.011515947801637864,0.042462278775513757,0.03485521995542744,-0.001846494486402989,-0.08671969347903781,0.013153364479171233,-0.011618733937427456,-0.05680912731333254,-0.0018248760092753624,-0.053265801306343896
HEBP1,-0.019800868664589178,-0.019885291742095083,-0.00895553786966513,-0.043665896790522504,0.007598068527576818,-0.05213567177789011,0.0760736453028423,-0.04960507532315944,-0.013400931358890566,-0.007463227192383796,0.0819787792533666,0.010598512280240545,0.018998361552965234,-0.004049468452869328
WNT7B,-0.05090970964422161,0.011032778336225247,-0.0470119793614606,0.012818155014214523,-0.020528004464222843,0.0005399654849379086,0.0025599646058057837,,0.007554252809546121,0.0347777249591408,-0.07288467366899959,0.04192437705164931,-0.005708893232241429,0.04648103321060646
PTMA,-0.07275337441647589,-0.07624717710831799,0.0615911346180637,0.06952202102458716,-0.00206611965083839,0.006591267598954228,-0.04819950249048572,-0.06507150933996218,-0.020423736851187844,-0.10076992872289373,-0.03548540967661998,-0.00039352014494118716,-0.014595327347019321,-0.07101672592013304
FASLG,,,,,,,,,,,,,0.02817270050246345,
CEACAM1,,-0.03725918254019134,-0.00023801824569218586,,0.015236673362733277,-0.020518714639336254,,-0.012825588556512063,0.016075875272353223,0.01205651849292639,0.029125028330458793,-0.038072808154381646,0.043913165070323536,
PDAP1,-0.010250661861449642,-0.08001337046449096,0.046296881542435955,0.03098301204753511,-0.01156591605800147,-0.013234507860476632,-0.014384893530621258,0.01141262193144555,0.012798576051544695,-0.03984337486985343,-0.04180188963997861,0.00810048143399201,-0.008019521436460229,-0.02081324528608048
QDPR,0.02159623652967007,-0.061732594081031884,0.03633932873916209,0.13775870863899597,-0.004104840954463853,0.021232305377840873,-0.02310807119988824,-0.052881481081576864,-0.09420700754299804,-0.016868588032031027,0.134619713495644,-0.03100337801700895,0.04456765047467686,-0.0671502339273202
POMC,-0.026819019296560272,0.041202326282147865,-0.004922110860666504,,0.06007671918350463,0.03814346996233693,-0.006741811096141445,0.14468570329458205,0.08769804659450199,0.026774847315956238,0.10355102398312424,0.050421787314706284,-0.008866231500247157,0.014832582992569456
CCL18,-0.029251834394216036,0.05633058143780735,,,,,-0.04466770905796914,,-0.0213797032849168,0.05974971237852147,0.0072113926066748515,-0.022216990155685866,,
CCL17,,,,,-0.024611429868552945,,,,,-0.019997017845009044,-0.05935603130884127,,0.16266803928642978,
VEGFD,-0.03295826749706496,0.057991675801448525,-0.024874619794786855,,0.01783786703482127,0.06409140825391561,0.014728038023987344,0.049173724602530715,,,0.0729633514065105,,,
TNFSF13,,0.0060474498894182585,,,-0.016976413503262518,,,,,0.03166625272156449,0.06868894416555514,0.0745757294285783,-0.02610217752816575,-0.023709946249359477
WNT5A,0.07130959114091559,0.05720925608203657,0.026331729136402204,0.1287837722284855,0.03498222005159841,-0.0566955900399648,-0.018585679039767794,-0.045440035120247246,0.11422374496918393,0.1274351624974626,0.09041401795370665,0.06623325675659675,0.055845465909581234,0.037822206410550424
CXCL8,-0.09521050774424676,0.15165894513348366,0.009605065042149322,-0.08079770952018028,0.00660577605835865,0.008699778615411779,-0.03251764082754943,0.11546832223385164,0.037037413032226886,-0.026018553361957752,-0.2590516492762536,0.015420806338615796,-0.029737207556929223,0.003955009342700981
GRN,0.019416446729264486,0.016270868285456472,0.056267907951748825,0.11858717568443257,-0.054512748335889864,0.10703931162739176,0.08349569134904584,0.11006427656081383,0.038166196507751826,0.11459798585294155,0.05757446354446088,0.12386080877355006,0.020225549631983863,-0.0336405188970332
MIA,-0.01095704874771697,0.015315252658708154,-0.03179962354600958,-0.028534763333573496,-0.008335304516385346,0.03194074278226722,-0.02879335310842205,0.0018447009053469512,0.07286406263314606,0.15969867048183228,0.2234008934587768,0.12388894724467632,0.011254307112877155,0.12427934077822365
COL4A4,0.03553242228186001,0.007786066055210543,0.014859370660540263,0.008475802597939466,0.034029656948960804,-0.006600423409093171,,-0.05485627395767581,0.023914163775058495,0.09016821165428301,0.10195915912688523,0.027407048822270928,-0.01004642383766129,-0.04153095006453739
TAC1,-0.04155316919261761,-0.018349573413740196,-0.05584146125646089,0.09005943644137288,0.06185868559178503,-0.027385465543148406,,,,,,-0.06568644034278703,-0.021059051408101038,0.018269791658791012
RARRES2,0.013937486598605867,-0.04996213949633413,-0.008574748006416747,0.03596440924832971,-0.010284390687293667,0.08136129958140079,0.10186617622834039,-0.007792411688155997,-0.035113237532391504,-0.0034557498845036966,-0.06256082271197062,0.03907045143266136,0.016921629723760063,0.015991224815276903
FGF7,-0.04330663051251625,,0.07123620268083464,0.007469621952398032,-0.023055001797962077,0.010057255680829923,-0.018655093507604494,0.0022396292432235666,0.027994186153036414,-0.002009140098402546,0.058527827292074494,-0.07453443884933274,0.05611536125322955,0.02711573915326228
EFNA2,,,,,,,,,,,0.0172846514128325,,,
HBEGF,0.05593366734217567,0.028619936965054996,-0.0008020316526621547,-0.0014732391176523654,0.013941037668351355,0.016578833022049454,-0.04199168336563392,0.08493360365339181,0.05348163689791608,0.04970680636750096,0.06580789560458916,0.004265131740316634,0.00400527210893713,0.1145577458347807
CSF3,-0.0331782218770851,,,0.010511801186976364,0.060267593945635446,0.007278113204617697,-0.031896223923987256,,,-0.04436864308452514,-0.10745343870667469,0.0007203268987363821,-0.01686589379561819,0.001701667459685221
PI3,-0.03930455138247846,0.026421202770661765,,-0.04300588017723674,0.04379257999697534,-0.045648585387929506,,,,-0.05114303939307902,-0.18387218955324894,0.04274984989919118,-0.03664398407396424,-0.004929764996001405
PCSK1N,0.022813004779005944,-0.034753783181235454,-0.047354160073289325,0.11089927104535999,-0.0018051118284871737,0.004480102361557583,0.02256130359256998,-0.07022544372206324,-0.06595018342939321,0.08970355538966954,0.048546139559146065,0.05582118448871509,0.06388774800229771,-0.04863337119881636
NTS,,,,,,0.1429697854470341,,,,-0.0308714899550234,0.03624753153041596,-0.0483137799344325,0.0737276622628645,
SFRP1,0.018848851993805076,0.07585976440096447,0.0163179509833525,,-0.02147442388044393,0.07916424838698957,-0.013793973471802562,0.05398135334693849,-0.031667815849629743,0.13137271979481432,0.09875004699017427,0.06657985991457223,-0.024395707827919767,0.021071529486305998
CXCL13,,,-0.03783975028230193,0.05899104808482311,,-0.012537758471261597,-0.037787461278075175,,,-0.007088611665727784,-0.04654709963469902,0.0146252661506987,,0.1657827109726707
MICA,0.051593613913055336,0.08986239309179969,0.004877908783168626,0.04624494443591992,0.012967528161644178,0.03601323332951202,0.04629733901669064,0.04836677946789409,0.15223392901173408,0.12708524907492014,0.11243267173389455,-0.0029759508303837724,0.037922606690017055,-0.050453519313848
TG,-0.026448338471148938,-0.05349448902165267,0.00551547692702557,,-0.02317430565110227,-0.01864614573588141,-0.036721300052194,0.015093385809026414,0.007209262840536905,0.006601130403395267,0.013236662039251924,0.09513329416753295,0.017502767424901824,0.011477174345758453
ADA,-0.007934202592906791,-0.02903713792414539,-0.02548214032290726,0.0688333831383527,0.021614371352386665,-0.045472466611154116,-0.013779135486431192,0.10054506250435835,0.06652644197643134,-0.02001676026369134,0.12930838199695388,0.0295512275826075,-0.0063337034627700545,0.027178672882583712
LAMC3,-0.017701555914283875,-0.04939418491445912,-0.02004796628474617,0.12398764496721693,-0.018848207920564904,0.000803238454631837,0.05654199172347809,0.1285906708578979,0.08757466507037098,0.05636182956017173,0.1448312041176727,0.08868557984779903,0.04258011586068754,0.0318863963358441
CCL7,,0.05875769908003397,,,-0.01675498595947966,-0.006426550743048288,,,,0.0005518749434120693,,,-0.017673821807616653,-0.0038077413206825477
NGF,0.10043337051712889,0.008163340183964292,,,0.032625800831991444,-0.04962605613880068,-0.018234859151317465,-0.0974876297681313,0.014339759606354726,0.015220194967358068,0.09350321512920942,-0.044468767839954654,-0.004627062755772623,0.023024074835232146
