,MGH258,UKF248,UKF251,UKF259,UKF266,UKF269,UKF296,ZH1019T1,ZH8811Abulk,ZH8812bulk,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,-0.014158631594259584,,,,-0.016603069796319224,-0.02202220675391121,,
BMP1,-0.010662853492143968,-0.018292829336863627,-0.02924822303769884,-0.0640883097661974,0.03738344479928483,0.02545092039948567,0.009094121004490457,-0.03258259601804059,0.009520602694501822,0.008898734709440637,-0.0362672943404269,0.0793818751099725,-0.07637530277538862
NDP,0.027504231302723288,-0.011826997223535432,0.0028422209869629093,-0.043652954279824754,0.025085533604132147,0.04121875100945277,0.0183078269768915,0.06151848360391266,0.023575523289130682,0.02914516904453525,0.04410691557360891,0.11954410420196213,-0.06464514364158255
TNFSF18,-0.02115380653898456,-0.033355590489188305,0.03249099584265297,,0.08458689278632857,-0.02102514286370726,,-0.04663494103931353,,-0.01712245281955207,0.03956382208642964,-0.032837971113322796,
RTN4,-0.05115173367852696,0.01327628298700253,-0.017468865517165307,-0.06357796374649677,-0.03771589150021404,-0.10153928397159158,-0.048838163232096776,0.03782363399718478,-0.021614014693242173,0.012442942873818908,0.015466545477391219,-0.07128502276960928,0.024004864622382358
HEBP1,0.02269293018058695,-0.04731172677953758,0.020431072608477076,0.03290026988947429,0.008552212100572418,0.03820502101159922,-0.022362385954847876,0.022722049422655176,0.033241876801131755,0.0012092223533152913,-0.003919274612916426,0.0661057994924045,-0.023044229114809626
WNT7B,-0.018635841005200295,0.031950926407512736,-0.023299353888279962,0.030632056157022403,-0.004250289183443741,-0.03819563681325717,-0.0014788163666394588,,-0.036288505810331696,-0.00616165146433604,-0.018096829906917022,0.026585348454819083,-0.03512189539100832
PTMA,-0.01932650257972035,0.001518595288226398,0.031758711168220426,0.036059619362420275,0.030041678365119895,-0.00022889208474564615,0.036018181241191834,-0.057494612277800346,-0.08327110706777348,0.013774926226502518,-0.028238664333344845,-0.001486750842774013,-0.05215491394310163
FASLG,-0.018635846273504803,,,,,,,,,,0.0913076453970517,,
CEACAM1,0.0458040988245174,0.0659235463131377,0.053398008589573984,-0.036458993521575764,,-0.027667890506041737,,-0.04364425666684295,-0.020334239622381203,-0.02460317709342677,-0.02657463936341673,,
PDAP1,0.04483014097959872,-0.014834264980853884,0.012270099816298688,0.0360844601470302,0.015957937752087755,0.052785392574154925,0.007658060070275798,0.05296714271249692,-0.037673527703974974,0.03984713502908092,-0.002917027578656942,-0.008124798301401672,0.06339460537237779
QDPR,-0.011001246208478642,-0.031346697070734085,-0.040342900549682925,-0.06479647423651042,0.012024868180488488,-0.05508420745593516,-0.05125281749165071,0.053186581666502884,0.006591818143203398,-0.005124085581644143,0.03741766804085766,0.026545771723817422,0.08084409058487958
POMC,0.024858077178723514,0.018907022540695036,-0.0006231518998903196,0.010708558042016376,-0.029700037783060386,0.04213651341140172,0.04034417622091084,0.008156223047623595,0.019462921554679883,-0.04209914452930956,-0.04845317365626648,0.014683538143289376,0.13682807872653627
CCL18,,-0.010945853591299685,,,,,,,-0.02417110355913027,,,,
CCL17,,,,0.020755598561118742,,,-0.008978357503085831,,-0.014426158807216437,-0.021890188449803,0.27115354161373006,,
VEGFD,,0.15760357267446562,-0.012785273699108686,-0.028343224730438682,,-0.02371950588502604,-0.016215617590027896,-0.05933341052584733,,-0.023087392422788656,,,
TNFSF13,,0.047119844246021884,,0.04896792225136535,-0.014474591449055912,,,,0.004427553820242705,-0.02347439620515719,0.0634974029698308,-0.03572302857340038,
WNT5A,0.028268594950103865,-0.041903476455112276,-0.005798725599277145,-0.0005226153612561983,-0.00394874495499968,0.028474865842425513,0.07399360600637545,-0.0417126955139128,0.027709218462489586,0.028968751171197182,0.04283426759191397,0.012541379123316694,0.024483075183771758
CXCL8,,0.021490597806139437,0.12253407513862406,0.05151223164515592,-0.020589167526503083,0.030397828704933974,-0.015100688178327323,-0.07472747602674619,-0.041470976041030144,-0.03107929587436534,-0.06742317164981693,-0.06434219938999756,-0.1119642893921808
GRN,-0.03685779624239421,-0.03548305669742656,-0.024031588321013025,-0.013380006509622287,0.028762140721752837,0.09147009287914674,0.03648544211834857,0.0016177747500962369,-0.03182861295592194,0.020492781329035016,-0.010483347179711125,-0.07520371580973564,-0.05091786254890068
MIA,-0.004128192061907851,-0.000763839900666849,-0.02277639591015592,0.01613846735984312,0.058367840711056135,0.0548991507647518,0.043197185307580224,0.03755737297717544,0.08018596841455325,0.08010749111048131,0.015847502314762358,-0.037517308665336375,
COL4A4,-0.0002734161327223695,-0.03962838590581203,-0.004611176362517537,0.04989623806512411,-0.013771934270307134,-0.013952280509346387,0.0638695652195843,0.035826758250506734,0.031726886212636085,-0.004223496933540873,0.05172595077254887,0.049947845720159194,
TAC1,-0.01863583613450764,0.015200308105874943,-0.054626234284644526,-0.012428269167212257,0.007151140448395998,-0.07616215509072197,-0.03845461086973052,,,,0.04888106410034606,-0.012493965012432488,0.12729573136684127
RARRES2,0.034800392416204085,-0.006395597466269893,-0.02827251727395117,0.017281497890390584,-0.0014336285379802187,0.0912632057274961,0.0374962436394247,-0.0502063701993817,0.052752570769749735,-0.03970340821114685,0.06051893141878238,0.028075382867022238,0.12922060179348235
FGF7,-0.04597404528151344,,-0.028906449101059693,0.022637131105526422,-0.001855176184909771,0.08929383701758196,0.00924643681588928,0.11546003086845878,-0.008905472267014094,-0.033922788366370096,0.0443617173294342,0.019222343489098383,0.04753930886383585
HBEGF,-0.04069704670987897,-0.010322426876424285,0.02085810645835823,0.02326922024726115,0.05321150739901016,0.01301764113364136,0.013734247724023903,0.007239191408624997,0.016014132348756625,-0.06599123310204397,0.06378099685397015,-0.03696224944898173,0.020094004663464688
CSF3,,,,0.03835196832595088,,-0.014761244230836216,,,0.013809944373446681,,0.07430591663845346,-0.029520992251927097,
PI3,,-0.013289714965089095,,0.01746502838945649,,0.07555477362121084,,,-0.013019700875502067,-0.018599285297185787,0.006637056809223588,-0.04476948642550739,
PCSK1N,0.00732812337903666,0.015733161798292837,-0.025276053959000986,-0.06192871739871565,-0.010870268994415616,-0.043350190810129516,-0.08295533016783295,-7.78224858046096e-05,-0.005096693535661398,-0.009212890927285574,0.06848053311895687,-0.04485921650172572,-0.0012498853645332016
NTS,,,,,-0.01681240264795524,0.024077795831797096,-0.008260545535769397,,-0.03365472678944832,,-0.011977817301174563,,
