,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.05979546349007954,,,,,,,-0.031029724609812487,,
BMP1,0.002671017379071615,0.011855463218566713,0.08368092809449033,0.04094302717145579,-0.05820413929314616,-0.03666097701836335,-0.024824393134440816,-0.3556373662304866,-0.03264874368673745,-0.016277805436467636,-0.19564403938643096,-0.31887479803582275,0.01941754518816495,-0.0167339532077957,0.07302719744204657,-0.04426089221209163,0.0629413580903852
NDP,-0.03045497186364625,-0.0660489938971559,0.06119189800246412,0.010106119077889684,0.004710304191352979,0.1519065174934752,0.0778354782451423,-0.12084964640760723,0.03920689337328001,-0.021828756173608643,-0.08468619935109303,-0.07872315742922455,0.05759498489801899,-0.01936605153781283,-0.03144393009609298,-0.051732903512213595,-0.03908547291221271
TNFSF18,-0.02115380653898456,-0.04866892621650183,0.03158136375610473,0.03727242289171048,,,-0.04537336312922741,-0.07130257824360815,-0.01710307942103891,,,,,-0.04194926559802931,0.012367003766408096,-0.06326135226500271,
IL36G,,,,,,,,,,,,-0.019749030087605163,,,,,
RTN4,0.015238980871117861,0.3347528139264148,0.12967038179706913,0.024908716823045875,0.0679045360113365,0.2403865740678431,0.18671101294169834,0.517986019391598,0.046455744638862734,0.1854518836127546,0.4710431431838672,0.47576465058670153,-0.0013097121668039138,0.04616762371538161,-0.018417894975871988,0.27096897094268885,0.0036078445114463642
HEBP1,-0.05991812049749804,-0.07678441006295185,0.028304719283132735,0.001479990061187747,-0.039849764253382366,-0.05849497635027662,-0.13665587303139903,-0.11816840194435918,-0.06310184600394879,-0.024989379071768517,-0.19270448287212127,-0.03702674139998901,-0.008893649688518399,-0.08212858715224526,0.052903225038953075,0.009216268427433161,-0.154488846056791
WNT7B,-0.018635841005200295,0.4121073221754353,0.004522648740403656,-0.01901094031860478,0.03652488693977347,0.0271973653779108,0.08209321685230415,0.4264788935700127,-0.03069182361073974,0.0809231843304115,,0.1092651797379645,-0.019463691225415816,0.23880814070664044,0.0466713158198258,-0.07807357333456193,0.12906200644989876
PTMA,-0.03416768453934921,-0.03411405284078445,0.09955634663176288,0.011737136032796377,-0.06504785495436925,-0.17718791275817902,-0.1726624069781286,0.035317343007723594,0.03496032086175525,-0.1615290875212883,-0.5782180066721042,-0.47093335580209594,-0.032638787728709505,-0.0346875443180974,0.03855035622913494,-0.07163643306701412,-0.21836978651078254
FASLG,-0.018635846273504803,,,,,,,,,,,,,,0.09980742121835894,,
CEACAM1,-0.025876035645858858,,0.08919420430722153,0.007527075006446489,0.08719353348886046,0.015503854233300795,,-0.06378319234275896,-0.026899069393631424,,,,-0.012918334940403257,,-0.03744419214052887,,
