,UKF251,UKF259,UKF269,UKF275,UKF304,UKF334,ZH1007inf,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH916inf
IGFL3,,,0.13776006387368245,,,,,,-0.02955046841591497,,
BMP1,-0.0033345560095392537,-0.03872017971529878,0.0711440037556999,0.006706542558760574,0.043299256438398465,0.05412930758757654,-0.04166141509844771,0.08107182964609665,0.02459842507491537,0.08621559397216959,-0.019157021027657817
NDP,-0.015914963137006632,0.044364096001075645,0.010473828678374363,-0.024385126382828505,-0.02526801948286054,0.004082256721432239,-0.03367391043083774,0.09085259163715552,-0.046564707804109755,0.02752330832656083,0.023848512543079854
TNFSF18,0.03222671239501601,,0.013699982555999798,-0.024820409094129598,,,0.06628901436583434,,-0.0304748764809348,,
IL36G,,,,,,0.06694418937985823,,,,,
RTN4,-0.020016961751572263,0.03711963819769656,-0.044709863176242086,0.028829722110577726,-0.03208731364647675,-0.020296576381144762,-0.043434699484285653,-0.09326277059196887,0.010093997768468263,-0.11385429362562821,0.010009919673993327
HEBP1,0.06374557202404126,0.06242545466808805,0.04106611352041381,-0.04572349177986719,0.0711391463604215,0.0140791929913071,0.09570193301745566,-0.020148825452340577,-0.05815002737697646,-0.06077537501538331,0.030953613066630786
WNT7B,0.0064386298609256385,-0.0219297766960262,-0.03440760405940912,-0.003971785300397506,,0.01618012897994837,-0.03306740334629167,0.0137815193933857,0.06637834626349816,-0.0465794247158936,0.03234526569348578
PTMA,-0.037929533188320486,0.018897140648682486,0.015480666472174632,-0.08572346629647978,0.06327549513070885,0.044320117279709956,-0.04166246561545673,-0.10339148316361832,0.03563855609408221,0.02165797675127478,-0.10437719558316436
CEACAM1,-0.03180633365811156,0.014898589045689751,-0.020014459314464043,-0.014102474305417275,,,,0.04196292498393965,-0.04378921588293562,0.048703705844781967,
PDAP1,0.08928515075263313,0.0014610215902474382,0.024219872260451608,0.04253011090452746,-0.023022320810663837,0.008014727457824293,0.028998271253900268,0.017653928798573165,0.01514958018197552,0.014872652508345461,0.08757704388970151
QDPR,0.005426402829808316,0.026488641783713858,0.023668472224901,-0.01693353259795214,0.1473625754040854,-0.0434882854491451,-0.04279202952351178,-0.03836674192971387,0.03696022832705636,-0.055878911448111766,0.04758658300895807
POMC,-0.020985125586691373,0.0016962286113747617,-0.0023890278315228802,-0.022245179697921037,-0.01492960474745462,-0.021384879438601012,0.07332785012497686,0.01517854936416623,0.034625183567686256,0.059158785165358434,-0.0800288905712718
CCL18,,,,,0.053346749280537384,,,-0.020974870808720746,,0.035239447365445306,
CCL17,,-0.02132631509297184,,-0.013864689726140397,,-0.020904618784727845,,-0.018965782000066576,0.01615027002890686,,
VEGFD,-0.009495325079930787,-0.011771357448034621,0.07476220606507249,0.015095807056577483,0.06366711090735733,0.037152031670049046,,,-0.04109139267406435,,
TNFSF13,,-0.014710414854106367,,,,,,0.001500646304861245,0.019970734903628717,-0.02313799361396543,
WNT5A,0.061861572701946886,0.05207300761518577,0.11299609257252113,0.019686137261815576,-0.04689515860221511,-0.04189305955005196,0.03708113551505074,0.01634270189158321,0.037822071407153546,0.06554445051507816,-0.05734317619802542
CXCL8,-0.01747574876219152,-0.029128998291113112,0.052152139169097514,8.516004994769143e-05,0.06201201343030025,0.0171948573968378,,0.07975070555658752,-0.04491194206306456,0.055152388689751905,0.02687957069569556
GRN,-0.0013866083470549602,-0.02403486173958596,0.038066518684672784,-0.0031015373230552203,0.04443125319668888,0.04573123250938407,-0.0290726067810009,0.011736257776926181,-0.06335856441997673,0.16082984663897612,-0.0394931527802309
MIA,-0.014948073707884374,0.034728167190167906,-0.05202965220088567,-0.02722981430539928,,-0.008766413563645714,0.02855998844805477,0.028068948837520733,-0.010129524050663755,0.25024084991342793,
COL4A4,-0.028867267825468147,-0.00544231780634721,0.00946480573172951,-0.010133808042515473,,0.08538932607188007,,-0.009802325547546944,0.051599058743189666,-0.023901153202927086,
TAC1,-0.04246198586496567,0.03443846614086344,-0.11945220957598837,-0.047788678710925236,-0.05544749811920671,-0.05274823769795873,,,,-0.05333794406452605,0.05676805188056054
RARRES2,-0.0002945815113700843,0.04740181629008354,0.08528025695091683,-0.0006999416498613798,0.03634115439546602,0.03086858078614133,-0.07734594378659339,0.09846219092999706,-0.029041529093023547,0.05183318569307418,0.05646427860158898
FGF7,-0.0127707520687053,0.008349826795860976,0.010508135777947175,-0.04248285117179508,0.011353410703635903,0.0444599392714653,-0.018592112619759286,-0.04875662971863662,0.004603373331820819,-0.03183816751016514,-0.015420086227772469
HBEGF,0.05811387464576616,-0.022888905174835755,-0.0414226604659375,0.05359637824069338,0.07364036898580391,0.0469780978577344,-0.11057510908742148,-0.03584724287981709,0.048497927204909246,0.04829787690642583,0.009883641874036855
CSF3,,-0.014165587470086945,0.04976322533180768,,,,,0.054006674647448134,,0.038963911403770445,
PI3,,0.00423292871081318,-0.04248129544547585,,,,,0.09469103433266346,-0.03310337181470661,0.13473692652190639,
PCSK1N,-0.0403059503604273,-0.0030330937428551526,-0.03826784853600718,0.0405701508685414,-0.07582337200770049,0.026982347814618456,0.045458841746531205,-0.04832197700595985,-0.006310267891706446,0.023924314146827736,9.948476528623889e-07
NTS,,,0.05141441083814224,0.039212728879370065,-0.019925558741811927,,,0.0006463845368005585,,-0.011445800708305028,
SFRP1,-0.025375918716707295,-0.018608034257268175,0.018022302615951995,0.05471152781781892,-0.000912985737993898,0.08690534962070877,-0.009719767979646026,0.016689329910861226,0.029219050374708993,-0.03542962305146661,0.0638650845653345
CXCL13,0.0037365263535919296,,,,,,,-0.001561115717111718,,0.03802721524571745,
MICA,0.07897295564095717,0.03319359548837005,-0.009566111257933291,-0.05312815199685647,-0.0013642167154819182,0.025273529562962315,0.014130073551679147,0.03780146353300412,0.035249433806838586,-0.015407353010455215,0.005914089922996132
TG,0.06691899764385086,0.039082128656841374,-0.002997907013916733,0.05148123321023755,,0.03332876372659562,-0.03849335022981119,-0.025200782560832004,,0.07726202462366599,
ADA,-0.007209523492684238,0.01428563532927039,0.10217044917129768,0.060164843256070404,0.0614057426939849,0.06685014039299979,0.016399646526164817,0.06093712621778291,0.0015539187471765715,-0.009925484308544346,0.06362847007533971
LAMC3,-0.02383565576414189,-0.0801952268867968,-0.0014046923608786142,0.031245612759223582,0.02529665595687418,-8.290560060333427e-05,-0.015769638093273114,-0.041467750812713776,-0.0598354339702221,0.03749673698150498,0.04354262576769401
CCL7,,0.024546788369933556,,,,,,0.003846732963784568,,,
NGF,,-0.033265690885105795,,,0.07254295433195887,,,0.02395739727876819,,0.10099584893341064,
TNFSF15,,-0.01616710804513084,,,,,-0.035481124600298036,-0.027711510313820197,,-0.0275228959167841,
HMGB1,0.08902125243646307,0.02644534426675325,0.13653943287310144,-0.07991418005472539,0.004407668580265969,-0.013842026581630524,-0.08511456104593297,-0.05428022051091347,0.05151994505944137,-0.003793053355637201,-0.11449469030743828
ITGB3BP,0.06461588418113105,0.007672550504937588,0.036761551637843684,0.014198882817655259,0.013653776940388898,0.02880469335186834,-0.08532809359392318,0.0461591523679446,1.6306754398343463e-05,-0.007054481887511348,-0.08692328779762494
AANAT,,0.06523500714915571,0.051991121767434895,0.02427667852347661,0.03534954597884621,-0.0038031045912914714,,-0.02493703994829681,0.018072027647297983,,
RELN,-0.03153911437152919,0.019274675301555765,-0.016328925124071844,-0.06602703831217661,0.043696351932985766,-0.009355669994873153,,,0.06061808517757559,0.01319578076517359,0.1601056270779483
IL15,0.03446386072630063,0.05798462622502058,-0.02135058236819536,0.04332079941243402,0.025620318666556036,0.025777368955624613,-0.06056585729891329,0.06411064056255973,-0.014765275434942531,0.013349966380101446,
UTS2,,,-0.05062841230529614,,,,0.060954084814707876,-0.021235714597787905,,,
BSG,-0.0014648074394046772,-0.04750388518497845,-0.035926617275736,-0.005338534179020955,-0.014444398922191183,0.019637911947116036,0.009584823601965862,0.06609516448712344,-0.01343953070977893,0.0900907725086756,0.07227253141463667
ADAMTS3,0.028965736682723557,-0.026168951976758545,0.05946037648200835,-0.011504677721671455,0.05019515518041799,0.03699153717590212,0.04508787754109755,-0.01690374048827673,-0.03232285052141454,-0.058884752483689295,
CD34,-0.009266519562167168,0.019963425075812797,0.010425842323079009,-0.02726087904849292,-0.06779983650172565,0.008937457533092689,-0.00998614269649257,-0.031577401881341595,-0.06400582121034937,0.025502799630516035,0.01774924293968445
CCL23,,,-0.01808677718928144,,,,-0.03348032673419366,,,,
PLAT,0.0006980905059407519,0.004203137604985349,0.036096570728209196,0.08748095735795873,-0.059477155960754265,0.02330983559024647,0.01662567486705096,-0.07076538623918767,0.06291897897586328,-0.021218313911415054,0.1357572706505383
NTF3,,,,,,,,0.006722774320254601,,0.015273603015001533,
LTA,0.01455295377043965,-0.018608033386755082,,-0.004557390611080109,,0.07840922145252957,,,,,
CKLF,0.013537075774267597,0.01178520488387736,0.11001468092272408,-0.02232795554408255,0.002215358483203782,0.015615132743271755,-0.15836496462308217,-0.05022309833401419,-0.02055378811350322,-0.01797177616611004,0.0899273144399098
CD24,0.06531846051480397,-0.009921159337975065,0.13155495619228713,-0.008537677273309835,-0.03535363157640175,0.02427298988715577,-0.0061215771498853875,-0.07152577041388597,0.06183187958338479,-0.09515397223629733,-0.07608950065206344
HSP90AA1,-0.001270939878435934,-0.07120101614428603,-0.056180879314294316,0.0794530661799916,0.0007801022464856267,-0.01417450628579179,0.04248792247291939,0.0611901937011597,0.07210220286936113,0.008682185479855772,0.03618733781599288
BMP4,0.04126758524082765,-0.012726248491877009,-0.04444799841770144,-0.04577675403884284,-0.05244079633005233,0.008691837454082038,-0.01332560187871218,-0.023146633062102125,-0.032587082052199755,-0.00480889594544594,
SCGB3A1,,,,,0.02179835235017081,0.055727967170653786,-0.041317412872641575,-0.012859385680718852,,-0.021002917095895142,
IGFBP4,0.02171389856179047,-0.05185323297210573,-0.040666636012093436,0.08148654462662591,-0.014647728010839398,-0.01942805171640495,-0.04461272739426125,0.04019263444388266,0.04265565610441949,0.15093820054678703,-0.017622820495662998
RSPO4,-0.02465807170050794,-0.006942859386651213,,-0.011862396941415925,,0.02990438773389119,,,,-0.03849238284369208,
LEFTY2,-0.03219696713190744,-0.03466682956036638,-0.004640006135279157,-0.023713709367093418,0.05955312144135916,0.1226928439788323,-0.04115609742619053,-0.024129891003869135,-0.01283839039795111,-0.03726410003365744,
PF4,-0.016645398631993092,0.009822801060465146,,,,,,,,,
ANGPTL2,-0.012940985531413273,0.0427876356144277,0.03493554382863849,0.006850209975249178,0.03610691153941988,0.02718310608304293,-0.018744358278017768,-0.05266038501360756,-0.07381349233321714,-0.14830769015208653,0.03037541992727041
LRIG2,-0.015090204224315642,-0.057785174927513644,0.023789139915399007,-0.013581912993172796,0.02642414780045248,0.015716051210756043,0.03247591177050525,-0.022420501069784677,0.05606027430091847,0.042938562441344426,-0.06458860470231051
ICOSLG,0.04615855822677687,0.020374230594398603,0.05380603423730171,0.034857538800310804,0.14915733416812937,-0.023063721860787968,-0.03935119245767298,-0.06884913313188555,-0.018040692270570813,0.008206949809224276,0.056220289565853905
WIF1,,,-0.06707144289583983,0.04487806363170819,-0.05142069735174246,-0.04588942992518027,,,,-0.014579822224980733,0.07476946450830292
NPPC,,0.009377039787365099,0.07782049990817878,-0.03886100039107774,0.061425839754401856,0.05570679757928571,-0.029581017731970007,-0.04243389999680058,-0.00044258461607667946,0.047318263552581646,-0.06168015774941357
LYZ,0.009326077431428265,0.03944060828707837,0.09129118628526779,-0.042213964246478934,0.0602910876459554,0.031021594099859582,0.022263593309459064,0.012065408297149053,0.04534843156423205,-0.008789901535457926,-0.0658574902602895
EREG,,,,,-0.035974842713068715,,,0.06515655530586062,,0.05425199330559589,
SPTAN1,-0.02062181564876974,0.02033363868222073,-0.09608486798755345,0.04134786413055809,-0.04376322811917009,0.0014625327434525084,0.1163170744261018,-0.023196719257796643,-0.05571683256429717,-0.04026700266347036,0.013133653172173423
PTH2,,,,,,,,,,0.0004368809723539033,
LIPC,-0.028192312272435485,0.027756843923426876,0.0018573022087132783,0.01878754150081416,0.012160921024545196,0.028302596101814296,-0.03136764126987932,,0.00830267636906862,,
COL8A1,-0.0020294631290013136,0.017862819169172404,0.07092487178677,-0.02616008057032597,-0.008531296671607997,0.012144730751150997,0.022109385290562833,0.07028213294950356,0.017899361464762807,0.0893042218310092,
GSTM2,0.016106125081270666,0.030448977602680633,-0.009503951117295318,0.024268828870604026,-0.04696498911093903,0.09941486457945854,0.0346094755271855,-0.01625288480588491,0.025597638798222744,0.0018171715948980182,
SPX,-0.06527500471013159,-0.03730104441264435,-0.01511024247811065,-0.04345202215198984,0.13456484408590821,-0.015099229735956367,-0.02048870252564635,-0.02865973274157402,0.02544416622185741,-0.06818947961969068,0.037530487303728696
MFGE8,0.03842205329324411,-0.020305200991634624,0.038897365451413694,0.006606103446956359,-0.0631975200636852,0.08283281271076563,0.05153750942040593,0.0288841238350339,0.035685218425543536,-0.0622490273771038,-0.030361184356163688
TGFA,0.0010060742389771723,-0.03199515184746835,0.03689990199852536,0.013799290481127387,0.059727100958605006,0.06248098220541106,-0.0341630913484381,-0.07699453308744716,0.017074891934581095,0.06673685161284382,-0.028634789768207984
SLIT2,-0.05048342072986255,-0.013477100612560059,-0.0569147363619694,-0.03168241470158017,-0.008355398574846712,-0.04701557472785493,5.990404012500621e-05,0.03524940686376068,0.017526264923062848,-0.040807093069919094,0.0372122477644448
PLTP,-0.019894544498703124,-0.009475297875094836,0.05101731904120486,0.004047204990861708,-0.015281010010228581,0.007174694837076943,0.013165411224935473,0.03801095204790758,-0.0639047515916547,0.16984254621853132,0.10043676115406365
APOD,-0.030062171247237753,0.04265703158327491,0.14675630540311568,-0.013265132989323289,0.1529323157031983,0.019322280731319683,-0.02764244735888991,-0.07551454387062614,0.015113459090398112,-0.09158278159466594,0.057536842862116085
B2M,-0.03703351490546997,0.06435828862186382,0.06009683096899323,-0.018337741704803137,-0.007994730495635562,0.028627645872391378,-0.062109402785231464,-0.010507621538394126,-0.008080648195552743,0.10574704784036244,-0.04506455009296757
OMG,0.06315657041490108,-0.021030571798138595,0.1147845694224607,-0.016909253242742343,0.05391194750410661,0.07189868645598459,-0.0029669129846648327,-0.03704631776071022,0.06533559056823343,-0.052983374047148264,0.11336947356947837
CXCL3,-0.04703389243933725,0.021426144731725882,0.0019132775625622799,0.01877253701993362,-0.05064339766657131,-0.018729923493274434,0.019774970351751874,0.056932564645494226,0.03181959237746051,0.02489125215307255,
CXCL10,-0.028762120266911734,0.03865877538677469,0.03585137586264601,-0.0012471690758430877,-0.06156303795669187,-0.029764115084221162,0.013363806329492496,0.03228003975748738,-0.0008364901720732494,-0.036345024928187385,
RSPO3,,-0.014710415337187721,-0.0558805941210869,0.054076472259666525,0.018844814250546932,-0.019572409066557266,,0.0029052729558885675,,-0.035474227042727756,-0.0408625641648506
CORT,-0.00965987166259715,0.021597772657712056,-0.02634225432703452,0.006459843945730435,-0.017764279748738784,0.016112407853145598,,0.03630865061422638,,-0.0387810609226924,-0.04363460006246266
NCAN,0.07269692345285143,-0.014277483422746665,0.028820341948876085,-0.020488558284251758,-0.007531969155273476,0.016835978179174173,0.10343152949421348,-0.15510173865896418,0.09569584670959828,-0.18911051576526625,-0.028296205641378348
PRG4,,-0.014518545551475427,-0.024637425654768837,-0.03731424317810947,,-0.008237648014770808,,0.027461983881192083,,-0.02603254870193027,
ZG16B,0.09860848394949598,-0.016850547726848946,-0.004289362554472947,-0.028746332562061078,,,,,,,
TGM2,-0.04906325354594347,0.031115246405891965,-0.01794974432572168,0.01007355569201211,-0.013832471231989003,-0.00014613637051600907,-0.004564951358426867,0.07031415705274256,-0.06741818699678094,-0.004742487041871976,0.15227445294768197
VEGFC,-0.03702321479105512,-0.002558416316803888,-0.033996570761269246,-0.0381239808576876,0.04793256434186748,-0.023353403089407258,-0.05045883936208979,0.0014912321854554315,-0.010039618041700145,-0.022582438297055002,
WNT6,-0.0112204789719548,0.02401100455012817,0.10511404672274653,-0.03986202388584507,,0.013733182967308251,,-0.00032068414104908664,,0.04550419999313715,
NRG4,,-0.017669734099688115,-0.0005028461512745884,-0.011354622487573789,-0.045288082447798875,-0.0021323609529825594,,,-0.03594497486493573,0.010939680953037859,
PMCH,,-0.02448313804288931,,-0.034493932080916695,,,,0.030986104137115184,,-0.029265924891188965,
COL9A1,0.014883637193497098,0.043113618736601036,0.0035492701215371165,0.037681388969239886,-0.03547613166316271,0.02473353936711374,-0.020398896172986285,0.0028710052990176564,0.01488399617857529,0.018727632327250717,0.011174487740087337
GDF11,0.03247905676383715,-0.043852637381655596,0.07383693285789944,0.015492153493914541,0.008358514018017155,0.07457781025314945,0.014494121052053884,-0.04465573250352605,0.017767841670784698,-0.0255660251337436,-0.04345072151908458
IL24,,,,,,,,0.01912774614987125,,,
