,UKF248,UKF296,ZH1019T1,ZH8811Bbulk,ZH881T1
BMP1,0.015342482400545084,0.0276668239163009,0.010356914827008486,0.06150815977815996,-0.04684244210628444
NDP,-0.037998385522255,0.029703240134525712,-0.05731584056497036,0.017530998736705945,-0.02169216328840598
TNFSF18,-0.013252848522081287,,-0.05814479563732399,,
RTN4,-0.01978129936484265,-0.02556372650768489,0.009351414559008935,0.02598253088334043,0.043831513748100646
HEBP1,-0.01996995785790363,0.03905746842026085,-0.04984545375799642,0.05284547770625613,-0.05811653193652881
WNT7B,-0.013348390280834734,-0.010917753163163386,,0.01893487949241236,-0.022338912311980718
PTMA,0.013714848825402684,-0.03109776751741724,0.04799588111715119,-0.06517187198947383,0.009029594884863573
CEACAM1,-0.01690916149082614,,0.1479575457919434,0.025575784659744662,-0.014826660991910582
PDAP1,-0.014676995892791204,0.03868113394528635,0.004280253540678439,-0.006763919111628584,0.014486523153619578
QDPR,-0.0057269808220541596,0.10010836015907992,-0.09061105533541607,0.01978425092050118,0.008237816172157809
POMC,0.018632985080643847,0.013904775970375113,-0.06714375023595572,0.047506842650239384,0.02225555682990641
CCL18,-0.00441584592237168,,,-0.03542820298121415,-0.04298119898027206
CCL17,,-0.01351311786454601,,0.03441203219292688,
VEGFD,-0.021101042595444538,0.018212900991644916,-0.055583157912145555,-0.018272024017021615,
TNFSF13,-0.01592352387100742,,,0.027428303628154512,0.0709612881340242
WNT5A,-0.0170390607533629,-0.0031123405264042066,0.07945294299781122,-0.012486754909340576,0.027330990679876013
CXCL8,-0.03102827580638606,-0.009230518329456844,-0.05673100755638728,-0.10334070579264959,-0.012562360478351423
GRN,-0.0427911409752461,0.046154609698771346,0.002038969311351587,0.013058704251804698,-0.054787515012368254
MIA,-0.031957355815825025,-0.011272852782176716,0.02453530983985623,-0.03895862091279361,-0.028879509438535633
COL4A4,-0.025342172668768554,-0.01893749617381463,0.0007991458855577364,-0.02925636744505926,0.019832013412506004
TAC1,-0.04165191332043613,0.019875103077626136,,,-0.025580214067182718
RARRES2,-0.013517639126936987,-0.02703861439054132,0.030629842998080106,-0.028300068524881476,0.008580383596769983
FGF7,,-0.004471920464568342,0.013670660796525779,0.03335800868957146,-0.02156947955300096
EFNA2,,,,-0.017366336008105564,
HBEGF,-0.03706075963709981,0.02368465582153522,-0.09099639745694568,-0.004179330862650061,0.05026760028425136
CSF3,,,,-0.06571552162913002,-0.02125604383401487
PI3,-0.022199179418099763,,,-0.05534377308322218,-0.002899305371855728
PCSK1N,0.008888893091584358,-0.012463420966638114,-0.011512825555539816,0.009875570676970882,0.014222926713208807
NTS,,-0.021903308136730082,,-0.02115758493049639,0.035891494707234
SFRP1,-0.001787963644969109,-0.013513118000634204,-0.05520882266812929,-0.01461446401426666,0.02628434988589027
CXCL13,,,,0.0009621721190169323,0.08734685299818415
MICA,0.004078006896984531,-0.005958529819010713,-0.015589458897202677,0.06010465945652894,0.0021203491494611038
TG,0.009309648889623177,-0.009779384716220795,-0.021172259876256934,0.05525686780317765,-0.0174940507081097
ADA,0.007249305860782946,0.020464937748633994,-0.00520226386120869,0.11746664683346417,-0.009706974059415186
LAMC3,-0.0035981642429066857,-0.029211804515635847,-0.06685575854838659,0.010068255261543313,0.014044652858273143
CCL7,-0.013422041397498296,,,,
NGF,-0.02304497855319338,,-0.012434836853510597,0.07948808464327094,-0.03649198220382081
TNFSF15,,,-0.0459671334218903,,-0.013199638299676601
HMGB1,-6.50831923387782e-05,-0.02681830039716935,0.13651051358374322,0.06009929720089416,0.04363913257146582
ITGB3BP,0.014572043623991818,-0.023606225334189376,-0.014776169200387608,-0.0025025176078397387,-0.0019770799941430735
AANAT,-0.019473340046740867,-0.011272853409201568,,0.06496920082776539,
RELN,-0.008080209385500742,0.014247392926978254,-0.047513295576554794,,0.07675061255741619
IL15,0.0049835862028099484,-0.02422905631132232,-0.0634905162508417,0.04890186264246774,0.038921703602212046
BSG,-0.018679019214233775,0.0017243766767349857,0.11061715579815046,0.014065944570048554,-0.018617131628518076
