,UKF266,UKF304,UKF334,ZH916bulk,ZH916inf
BMP1,0.0040473762947743136,-0.09720152903850353,-0.05980870233598967,-0.09734593802565691,-0.005452346440596085
NDP,-0.012766292939069047,-0.10261382272080635,-0.03815137267968766,0.07851956140826129,-0.06291942670222497
TNFSF18,-0.0019227197915127278,,,-0.02359243843697046,
IL36G,,,0.0595413181887352,,
RTN4,0.009654652313713923,0.2161407274281187,0.14222171596966954,0.04365039286707028,0.011151868400686724
HEBP1,0.030328151262578863,-0.15123500178763835,-0.03679994980410665,-0.035143484923679406,-0.08591129697287726
WNT7B,0.016418694093733224,,0.06896665184921488,-0.010112822992783165,0.20356986582979
PTMA,0.015016899851995185,-0.31660933650175765,-0.09838665483647108,-0.12234219871149714,-0.14063143404411527
PDAP1,-0.055424031529653,0.03437997671790885,-0.08822589383852399,-0.06472997312153465,-0.0421538335175567
QDPR,0.019557795476303364,-0.21271856303191028,0.0704557143481565,0.11668988232856803,0.020330098374487845
POMC,0.059741720457306,0.051920269027039376,0.030335536095680602,0.011438097792194823,-0.05231615793745687
CCL18,,-0.1307818398027019,,,
CCL17,,,0.06929269315226258,,
VEGFD,,0.02455199472025091,-0.017245601249119454,,
TNFSF13,0.017708536586411715,,,-0.025665207801408678,
WNT5A,-0.016406975953746475,-0.020269338817217583,-0.07007356592081404,-0.10055065275247803,0.04323581833544711
CXCL8,0.039509267520451044,-0.11173510792155372,-0.051850924167603465,-0.05379413269076778,0.050607031528204637
GRN,-0.06200737578150887,-0.22243500394443463,-0.024735415246386592,-0.024262297395416202,-0.06619228660328086
MIA,0.04493956857262365,,-0.02361864123449941,-0.02368762152725296,
COL4A4,0.001152121089520374,,-0.022910958227759837,-0.009650572859839047,
TAC1,-0.014547465861776717,0.15272202055871634,-0.03230163200488459,0.04945788560830059,0.1890809126162907
RARRES2,0.0008488101326355287,-0.06686358787456635,-0.10252589396313593,-0.033691410416213104,0.08037728188094484
