,UKF255,UKF313,ZH1019T1,ZH8811Abulk
BMP1,-0.029191182627148513,0.06769277885326408,0.03941233040819355,-0.01043972568168139
NDP,-0.04758888738921708,0.04064204971760849,0.10680466230147743,0.02389057926483061
TNFSF18,,,0.04369399009671245,
RTN4,-0.04348574135633855,-0.028415515549473497,-0.013263309951780747,0.01889328214380387
HEBP1,0.024447227682462658,0.037876364961654294,0.03067545111366438,0.04855296211968898
WNT7B,-0.031103819865465454,0.03546618707319612,,-0.036288504066019224
PTMA,-0.05134545527272981,0.09599510433308696,-0.06002994844968744,0.04439792177939741
CEACAM1,,,-0.03644308743425618,-0.02033423864495689
PDAP1,0.037410130230920116,0.056846204924617734,0.028922463150091695,-0.04686925020419256
QDPR,-0.013172468488942527,0.11132722641174869,-0.03171500681504695,0.019870202604764187
POMC,,0.00219789356432614,-0.0720758359056066,-0.04882389900505033
CCL18,,0.1017354597222226,,-0.03721140728841826
CCL17,,,,-0.014426158113781198
VEGFD,,0.024231917224366187,-0.04954357875932823,
TNFSF13,,,,0.03643193048120643
WNT5A,0.031372747648057045,0.0027879503871881726,-0.013607050861210264,0.04323542131731375
CXCL8,0.0913806557216333,-0.01967501827268584,-0.07933988531968732,-0.05361088363291773
GRN,-0.038734585276714216,0.07342535023741029,0.007135247371106463,0.0032141706958798565
MIA,0.05093501138445026,-0.009420437323036823,0.09823501053555175,-0.038193180740558615
COL4A4,-0.014068355320010302,,-0.038793597891259676,0.06260450179299801
TAC1,-0.04342779640283527,,,
RARRES2,0.06090062233659883,-0.03935307590674494,0.04278706059934087,-0.055735646847016464
FGF7,0.14050547148030057,0.020493567418697636,0.02096517651130232,0.022262584773047177
HBEGF,0.029993045905177637,-0.0040433447283647695,-0.024453135629650583,0.03439384249893616
CSF3,0.23301607420050394,-0.027322461375964988,,0.024959612609982373
PI3,0.11342681664029106,,,-0.07267190461631463
PCSK1N,-0.04730856844849326,-0.02335314442746773,0.00720368744081234,0.006116042185132841
NTS,,,,0.019354121390426155
SFRP1,,0.07214972625808637,-0.026482245133414066,0.03813874264365618
CXCL13,-0.016031269014048614,0.05059005024517872,,-0.03240410890038852
MICA,-0.007241874839831608,-0.03803184606107818,0.011710806566399414,-0.014576744640320738
TG,,-0.007957512974468381,-0.0006302020643261417,0.024791737883979727
ADA,0.06403686935704196,0.025733257620542932,-0.053676649655859617,0.0343522596155969
LAMC3,-0.04121188057846657,0.03727540926661118,0.004155777011174051,0.0062084123304485496
CCL7,,,,-0.021621485774141726
NGF,,-0.04199860832135258,0.023140793805230667,0.010970663911430669
TNFSF15,,-0.017399480444828284,-0.05574880545959318,-0.02107852074633386
HMGB1,-0.07018546318644461,0.051049253977137006,-0.07244976796019817,0.004646688230247516
ITGB3BP,0.028744211410130727,0.002639673725021746,0.11587319153289308,0.035570418102997214
AANAT,,,,0.0699970480577966
RELN,0.0780008233924171,,0.04254313806042866,
IL15,,-0.04091287614591516,-0.03764890752679546,-0.03475041668794779
UTS2,,,,-0.016152762720026224
BSG,-0.08702877282020839,-0.02863587428501824,-0.03637297319024927,-0.05651561234492909
ADAMTS3,,0.011886820829465105,,0.02908301946077142
CD34,-0.006367744487180718,0.06848781005855867,-0.004222115244126184,0.05773023025818186
PLAT,-0.06868663961980198,0.05655832811248955,-0.00884654972426097,0.009327003587389
NTF3,,0.08659881287779259,,-0.04261182865592765
CKLF,0.014428010030082187,0.0061707168183008825,-0.06409737893859893,-0.00040836059729051905
APELA,,-0.032075009687128474,,
CD24,0.017602635016686515,0.07724287172494461,0.08714453322923094,-0.012181518068798572
HSP90AA1,-0.05561262008267343,-0.032283177975948,-0.11439104160281102,-0.04102411415679613
BMP4,-0.03526855425267317,-0.01664833623942253,0.015295512758195464,0.009567975653994127
SCGB3A1,-0.023599240921990734,-0.025642565376955282,-0.01708301516083844,-0.005234224536735849
IGFBP4,-0.0035065791165092308,0.023744343884750684,-0.04209845176564504,-0.009853818076421423
RSPO4,,,-0.010081544287995459,
LEFTY2,0.02598149910758583,-0.019673416116146175,,0.07398028032604008
ANGPTL2,-0.0767240937865857,-0.06254655083700707,-0.005915032727688284,0.009691598697850324
LRIG2,-0.005863131799716775,0.01820095780348539,-0.055971849127565636,0.010945018823503554
ICOSLG,-0.01601384884105866,-0.0032736678971058545,-0.008664595899946828,0.045551727993541895
WIF1,-0.03826886324076994,,,
NPPC,-0.029607201195671624,,0.09851436265402139,0.049436465185708524
LYZ,0.011191764687575158,0.02662061846575551,0.03681762590264753,0.013912762507855026
EREG,-0.02975957139824038,-0.023004989527680847,,-0.04388773915910557
