,UKF243,UKF251,UKF255,UKF259,UKF266,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.02640556215379648,
BMP1,0.05032872680938744,0.026899125298908057,0.04064067407084208,-0.037170274484173975,0.05351872064920353,-0.030690934287077247,0.008621737066525359,0.05902314774464894
NDP,0.042482521963109365,-0.01647997510531903,-0.02751546158954555,-0.08039498713068383,-0.026968929451678902,-0.04056128997910097,-0.048740570529878534,0.03309814123807998
TNFSF18,-0.0225966931888096,0.03445584854014491,,,-0.012399100650078222,,-0.04139743749269952,-0.0004416939410520459
RTN4,-0.0784345823697234,0.0040724721865771675,0.04365873456897195,-0.009363180543233355,-0.04625920544705536,0.03877168046242016,0.046622826375698576,-0.002971083842984385
HEBP1,0.0244015034095352,-0.029795991946028867,0.00017195929234839298,0.01879655576207831,0.025466391048522826,0.05979102945523324,0.05828637750698389,0.06961852029524186
WNT7B,-0.0025788490264330504,-0.031826943002805815,-0.03658297046809744,0.05732958848059551,-0.01058310492813511,-0.020659314371579578,0.17262740358220538,0.05015319338137511
PTMA,0.060636594572851255,-0.007360440216967821,0.04785199707748401,0.04848837898714641,0.07791693958598911,0.0011842878727940922,-0.01576719096770613,0.05023946691988729
FASLG,,,,,,,0.07455669280234718,
CEACAM1,,-0.02442526449293196,,0.04449231169978181,,-0.01371188741129703,-0.029614946173588085,
PDAP1,-0.015278648574339198,0.021235668723681118,-0.0003358505457132547,0.027605098100111303,0.008753500107835394,-0.022994894316137937,-0.007665451042673626,0.04439946705546229
QDPR,-0.03445358937920692,-0.02947227710807574,0.05331695377221918,-0.04139845865597646,0.01750164123182224,0.008664544150758853,0.02056160279875995,-0.04153462876411128
POMC,-0.02797173643272084,0.004636714025832811,,0.010307060377625292,-0.032711328294626335,-0.022430846534132704,0.023237982155963545,-0.0362790927217803
CCL18,0.010047395762917093,,,,,-0.031054028554312697,,
CCL17,,,,-0.018054782359879236,,,0.13001416728717552,
VEGFD,-0.03414377715009611,0.0824610913807515,,0.03695016199339484,,,,
TNFSF13,,,,-0.012453784793883699,-0.01202454103227023,-0.015397530557429175,0.008589598224502325,-0.02526718762583235
WNT5A,-0.019442270149076773,0.002177246928105735,0.05908150289083681,-0.03851360209422989,0.045941608743235766,-0.01272240794571684,0.022287456987995488,0.043417889627977276
CXCL8,0.02220551825802707,-0.03275721647063055,-0.021960352719630274,0.10238505832843937,0.09307946317532069,-0.01591995236418749,0.06085706357106087,0.05203547786980582
GRN,-0.03660110186567863,0.022016577666567585,-0.029182528175892012,-0.054202268824360786,0.08046044358119475,-0.008418389718412318,0.012357582268588439,-0.0417201768572041
MIA,0.07357643433320984,0.021949012235924558,-0.016045611668281983,0.057373897164962905,-0.021742689253909195,0.061548555915443094,0.04149768740127967,-0.03495083653320055
COL4A4,-0.0343716705064663,0.030482160346550283,-0.00789941681147609,-0.01723723564230245,-0.011440819542981841,-0.02763419240069752,-0.04912019183853547,0.11695133544753239
TAC1,-0.014336848055639864,0.017587331644894285,0.08279735088213402,-0.03724712807515292,-0.04172755494054134,-0.02365691206114826,-0.025361898353460418,0.026888690167342466
RARRES2,-0.07134184956653064,0.021563312347405373,-0.05636321688595172,-0.08582014307006326,0.04635080012197475,0.014073845399757057,0.07177015044292943,0.09031133371398473
FGF7,-0.01786609576172099,-0.03101768414316136,0.05023939426887797,-0.004985891170129466,-0.03279131281490502,-0.02611754812073434,-0.013165387761815014,-0.022942676024292646
HBEGF,-0.02555875885430457,0.005525684111247716,-0.053232446722217504,0.036041751345860934,0.007495833128538854,0.01905649746412194,0.02959306218675011,0.06166065299948991
CSF3,-0.03437164329431209,,-0.02596723716265529,0.15882565608466567,,-0.019657863629621467,-0.02031198251979095,0.09425440410159217
PI3,0.03429269761863809,,-0.041925367291029234,0.11101610921444219,,0.013415716198224919,-0.03428361795248989,0.07265247429125478
PCSK1N,-0.10174209301818293,-0.011550491780935724,0.06186532862314404,-0.035547917948986284,-0.03155933530570925,0.05715339671940093,0.019168070786828684,-0.07536032311596422
NTS,,,,,-0.0139666412142204,0.061810094615547685,0.11075094745167002,
SFRP1,-0.028700471374016285,0.004050912627499617,,-0.01575349549115834,0.0711083921324389,0.0057498694139312325,-0.029380310166981633,0.017342581249127943
CXCL13,,0.0047272022631381465,-0.01885528669609564,,,0.06307184828333942,,-0.024094913550750417
MICA,0.015499081948314024,-0.004662508487469398,-0.0010213279282536567,0.05604656295197657,0.048409953564603495,-0.006473909458045288,-0.029925754037222863,0.0219525723489752
TG,-0.005806328073344088,0.007847294102565133,,-0.017000517528101326,-0.016121185753239835,-0.01617872384132866,0.027709275494440248,0.012975586429940358
ADA,-0.040519659154953896,-0.00890820402494986,-0.051236313600268014,0.032170905414824764,0.014797861478996506,0.005838015152650423,0.007329932850962953,-0.010551777770687023
LAMC3,0.0006743840998058038,-0.025354714558981247,0.08906580795283009,0.01976167225161058,0.0334752121949181,0.03232409420260219,-0.05348606668837945,-0.006630657820811289
CCL7,,,,-0.012291347010592188,,,0.016935663087410936,0.09931192429774377
NGF,-0.019802480767318754,,,0.14265482433690232,-0.015383935185052877,-0.03374825604138716,-0.013918690448511137,-0.03366505467059627
TNFSF15,-0.024498140126226614,,,-0.013687016058375905,-0.018679469981802557,-0.012207195830117033,-0.04757527299812282,0.03094533268978738
