,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,-0.01731273744019966,-0.019410025449447768,
BMP1,0.10372054141238207,0.009768418952416879,0.04371943037330446
NDP,-0.032849684130043924,-0.035626527256778714,-0.027785530344637696
TNFSF18,-0.017854320534316435,0.02229776109331814,-0.024308730675378375
RTN4,-0.0093275149996994,-0.0005255564927556791,-0.02338294080985192
HEBP1,0.008241285428403244,-0.030298747982252797,0.01335399201366311
WNT7B,-0.037334828614203716,-0.04142906316974598,0.07620750812124526
PTMA,-0.03355444189648831,0.07560849655057862,0.027731904543333914
FASLG,,-0.016834308450480184,
CEACAM1,0.05715012466252109,-0.005527841249633916,
PDAP1,-0.08783914481768013,-0.039839583567144406,0.05271619275237313
QDPR,-0.06798094206780154,0.019751123295627046,-0.07510447301380176
POMC,-0.04431206161834898,0.0044788929292999945,-0.010641954538472373
CCL17,-0.02282584424429435,-0.015258409787250316,
VEGFD,0.061414159228185036,,
TNFSF13,-0.024477766042831604,0.008462532949597597,-0.02644443158509638
WNT5A,-0.015749418383477036,-0.001160246109540411,0.021192300627284315
CXCL8,-0.0003919713493016574,0.010451105458876656,0.04328856644597398
GRN,0.03372219064570265,0.028369829937468716,-0.12213859328854813
MIA,0.03943120594094834,-0.02328544396277673,-0.02535517601631896
COL4A4,0.02702557078816829,0.04460679201612884,0.09269952014273633
TAC1,,-0.020058731205752172,0.04444331858320005
RARRES2,-0.03438462127734053,-0.022374325070410768,0.08627040063828947
FGF7,0.07567643444050631,-0.03818580140137499,-0.06885719600493752
HBEGF,0.0006388517268078948,0.03770586293185975,0.011992908638353892
CSF3,,-0.016064751618438396,0.052818796424398864
PI3,0.16093548915042405,-0.022562744669771775,0.07395997528457177
PCSK1N,-0.06206182973660452,-0.03371063404369212,-0.030074533250363807
NTS,,-0.023789706537817965,
SFRP1,-0.06398106225848156,-0.023236894027717878,0.005456733131301427
CXCL13,,,-0.025217539141166728
MICA,0.017205526433023456,0.050612795269929525,-0.017391013048916645
TG,,0.010310349700447929,-0.01011442143637292
ADA,0.009275261325935097,0.03658474096705954,-0.0018047209576006358
LAMC3,0.07793518706564745,0.10377005024926629,-0.038403141094727984
CCL7,,-0.016834302464401037,0.046537337602682985
NGF,,0.08210174781893628,-0.02002261224404103
TNFSF15,,-0.013627983067560787,-0.003272323847645948
HMGB1,0.01893866727930911,-0.05085279652748694,-0.011532927930994271
ITGB3BP,0.016532107254796934,0.0252283302527952,0.022354633768704644
AANAT,-0.028234837029675854,-0.017811394034417477,-0.018983008272571215
RELN,0.05256822359024555,,-0.019102749652951844
IL15,0.07457438453297331,0.00947188480702451,0.024484121446496008
BSG,0.055855692947222056,-0.05256469952846002,0.06442493213588638
ADAMTS3,0.10147962257925074,-0.05401884945644947,0.019178368034123375
CD34,0.05855006321270202,0.05109930454777518,-0.025331824863385526
PLAT,0.026989502729354905,-0.0026145152458886592,-0.08043221908800569
LTA,,-0.02397145212882292,
CKLF,0.12437855369417304,-0.02312679214412209,-0.002080979632825289
CD24,-0.04594268491113219,0.0198822062300686,0.024347408065683113
HSP90AA1,-0.03212259567433939,0.01417448242885062,0.004503968578326264
BMP4,-0.03850423479928004,0.05242668167789633,0.02927924714150904
SCGB3A1,,-0.010988977915616118,0.051454076422385364
IGFBP4,0.054734506160127615,0.04242055705992998,-0.050573800225203795
RSPO4,,0.008033194482797925,-0.02393682149761592
LEFTY2,0.02026877393670726,0.024292642456707515,0.024948851360908842
PF4,,-0.023971446581651092,-0.0187510667366814
ANGPTL2,0.04123550692666151,0.040529649293986676,-0.036054699276621166
LRIG2,-0.01559191567176817,0.007348564344664592,0.05864503836392984
ICOSLG,-0.017402068457359383,-0.025228042639355654,-0.027592723060717243
WIF1,,,-0.00468483730218517
NPPC,-0.026786625973329026,,-0.0331313898793537
