,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF269,UKF275,UKF296,UKF313,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.01803161589077103,,,,,,,,-0.022372716529449457,
BMP1,-0.03254286467896037,-0.026577726740434775,-0.015093463211538802,0.03579560888555336,-0.03964852157361807,-0.009072927090938591,0.1012499739740523,0.05530217905241885,0.016953570592875163,0.01861963848695317,0.0596334472468799,-0.04524462212229639,-0.05980938604022542,-0.006974395459963416,4.802903974510141e-05,0.026669668138578108
NDP,-0.026018596119549663,-0.01570721299338963,-0.01000735666233659,0.00457520640251676,0.007518051603751833,-0.015492907592124528,0.017519174953384852,-0.0001527990166686567,0.005985948492628313,-0.03975956378321234,0.02509893332977784,-0.005750471426146615,-0.004003318924482318,0.007521766212616824,0.007944385244284653,-0.03833496188458806
TNFSF18,0.04856475010878596,-0.030582300904850628,-0.010747573157383929,,,,0.10654959844333074,-0.017874564041307217,,,,,,,-0.002342133950389822,-0.041310476793381325
IL36G,,,,,,,,,,,-0.02094721509892775,,,,,
RTN4,0.06351419738694715,-0.041461400744259844,-0.05258149406264999,0.012665970570242022,-0.04811066178167023,-0.006860335848741787,-0.09209609098436738,-0.024221084239102818,0.04630614708248482,0.06304643998097248,-0.07072976122660879,0.09000400045705197,-0.10596063071252214,0.07240174091495001,-0.009281073243494174,-0.02747900198115155
HEBP1,0.09472263925568547,-0.037644344572842006,-0.005009674240132662,-0.01572751942916468,-0.012375698247893944,0.0198691434058713,0.06868719019456922,0.0165025062912875,-0.0009434780606065447,0.026237118434919195,-0.0652085646925903,0.02156646306868006,-0.017228747536725042,0.008293733567239015,-0.05083130837234417,-0.02436187205267186
WNT7B,0.0190154517012472,0.05010215196750569,-0.019754889379338256,-0.0062631947991038965,-0.014858982752459542,0.01694495206134838,-0.05233681226874812,-0.017609430910320946,0.010632642707936272,0.008799485798482458,0.007024301663595157,-0.01902965575652996,-0.024460425110190028,-0.022872898315759258,-0.013278757631982996,0.03230335435264116
PTMA,0.027800467374513377,-0.05521085580989475,0.06768599800074565,0.05794399726716563,-0.01892608942341083,0.009907292534713332,-0.07491633594051707,-0.0029495415735593016,-0.0364246944130368,-0.012351282040715424,0.05978591824457745,0.013522834557863486,-0.01623883726491949,0.021526775357350383,-0.001760158703145218,0.04775490383989491
FASLG,,,,,,,,,,,,,,,-0.01940384941342898,
CEACAM1,,-0.036395478036917846,0.07224911122498145,,0.001622755327719034,-0.02133536391782123,0.10224221411143665,-0.02811243090741758,,,,0.05937217553331847,0.056900842024860086,-0.015181075268750881,-0.026997606552053577,
PDAP1,-0.00984477625774805,-0.04261228250565637,0.01190712838374575,0.020569972130007705,0.05960742660276538,-0.01525510586430092,0.09498504535374738,-0.015290933656078079,-0.020292141410048085,-0.05639653896849369,0.032085273814707715,0.030723637022501825,-0.04164544244480928,0.02788767950197237,-0.06666002529245377,0.0026291990712099637
QDPR,-0.10767889392975802,-0.020473696962505717,-0.04743127256306312,-0.004058916446999319,-0.029645949918122493,0.053800622483634805,-0.06553818451918016,-0.0066143665697714895,-0.0022751123212051503,-0.011635873826563952,-0.023113405275134044,0.030262491229913334,0.021101196485189468,-0.03528407968046217,0.029924181344996515,-0.06391232902483396
POMC,-0.03395038081994254,0.0445478433169913,-0.026938126327218297,,-0.03130931187846815,-0.042931797421706455,-0.0058270356606523995,0.03270485604331137,0.0013004204350428753,0.02883667349976061,-0.005510748634402078,0.05619444047093293,0.06392516911438746,-0.024834244868136478,-0.02548224912892644,-0.0504900444944699
CCL18,0.03278008035654889,-0.00345415525041371,,,,,,,,-0.019250509816930075,,-0.004306742426947858,0.03945821861889226,-0.05227976282688653,,
CCL17,,,,,-0.006346341358418372,,,-0.009774256372337248,-0.015446736949854736,,-0.019135875684105526,-0.029033338323721774,-0.030476544993695703,,-0.017587410060301636,
VEGFD,0.10452258994576692,-0.006592541174241066,-0.02171464591758353,,0.06476091066645481,0.016161894091650603,-0.021183583914865776,0.021966315115392262,0.03926251984165055,-0.030395301071168647,-0.00425209897520928,,0.11481338183218927,,,
TNFSF13,,0.006295809667146529,,,-0.019430470709517783,,,,,,,-0.04648568296693892,0.031252311133958356,-0.017047330052654883,-0.014018780172922513,0.04616294187323483
WNT5A,0.05154248394813222,0.05032408756170676,0.012221519117612158,0.014781563580740828,-0.027377126902714453,0.0200519145712497,0.0167423455860347,-0.08075531490989428,0.0174385120870932,0.01772157069430309,0.015631677455445036,0.04950928558660033,0.05355092308427407,-0.030327452602943374,0.00710862931585664,0.08930170331070895
CXCL8,0.035599201466316045,0.03782401068864186,-0.020332307369114743,0.0003098611001279472,0.033363538923676626,0.015329336349469053,-0.004760613415684007,0.011101528312978325,-0.010551331674536727,0.002706860590407597,0.019554465735171094,-0.027687746509392635,-0.04210595268358772,-0.05784629555980215,-0.019310323502926968,0.12038334813279263
GRN,0.02034866201100699,-0.05269610199166739,-0.020241543075902632,0.022129294481979398,-0.028384867131223488,0.012885015939354044,0.07249331444035725,-0.03461680723867523,-0.0493571256209444,-0.04949618959765911,-0.0024795526469755576,0.030247927240160042,0.020531877893858293,-0.05658944081105662,0.023549952284570567,-0.07984937032303624
MIA,-0.00816667963563489,-0.0007068379954172998,-0.019311487512598962,-0.056940124026775014,-0.011495394448572489,-0.007835600381980662,0.03390360728813451,0.021345292450165265,-0.012885907852367564,-0.020778133137127862,-0.01626614245063963,0.006575433078358507,0.02381968207511043,-0.07353514275543946,0.050991057645058846,0.08829794490651334
COL4A4,0.07174383571738165,-0.0099247868139614,0.049135576827095025,-0.06050190985827466,0.01687598368598377,0.06825973013478032,-0.012460601262358923,-0.023274645850869555,0.03092136141720575,,-0.01472519828459799,-0.033935262639096186,0.06624704447005761,-0.006628306035269336,-0.017035476404613625,-0.01816961736831025
TAC1,-0.02286394567292139,-0.017189447292734993,0.04083047272605696,0.06752114750937267,0.0023819358561410265,-3.892649344853612e-05,-0.062228170396870855,0.03036446660330548,0.08282108218397337,,-0.03325623673844272,,,0.0024359918125099827,0.012769544899006686,0.03175346540875816
