,UKF248,UKF296,UKF313,ZH1019T1,ZH1019inf,ZH916T1
IGFL3,,,,,,-0.015714768715583007
BMP1,0.09114273466205695,-0.004656591859541693,0.044697655060738715,-0.037161633473386635,0.022724800523476245,0.005461490403297927
NDP,-0.03614629535368921,0.04710008830978216,0.048653020389522746,0.0224488518610794,0.09106557301100686,-0.017891190842163413
TNFSF18,-0.005576055111392552,,,0.05272329513231917,,0.03682729908428295
RTN4,-0.03466631467381675,-0.05894958039552029,0.02258236750076382,0.02166942541656496,-0.08413643990376639,-0.031046976854196173
HEBP1,0.017854889299812285,-0.00024271132517760425,-0.006131099175620949,-0.10361329338743606,-0.018328731191097826,0.019885439006582118
WNT7B,0.05463444345105859,-0.01563037530199413,-0.00011458861988768351,,0.0113822345438864,-0.03354184915993293
PTMA,0.004220244697789057,0.004430596060717229,0.13296318949143146,0.03066959566731816,-0.15799355486397879,-0.012998404990412733
FASLG,,,,,,-0.013629413545854325
CEACAM1,-0.018350453272438148,,,0.01199683704255155,-0.029370504760535963,0.06691221854735606
PDAP1,0.008485039948895629,-0.0030997786420234384,0.04381436753880497,0.031950572527356384,0.059699774565618605,0.020057409214166825
QDPR,-0.017198026015481264,-0.05000105097644979,0.05174384074687521,0.003631529087127486,-0.10273117537711167,0.01850690650693455
POMC,0.039148400463939644,0.032990609095529165,0.013299949199301815,0.029096424990648385,0.022729599189690038,-0.03195585843443904
CCL18,-0.022899631859277268,,0.056662185565838324,,-0.020824170772640763,
CCL17,,-0.019346022992677424,,,,-0.012353532528781347
VEGFD,-0.007790598879612752,-0.014190541824817507,0.042869823311220134,-0.06801085689863685,,
TNFSF13,0.02176040508220196,,,,,0.00025277630137099264
WNT5A,0.00898060121210423,0.02890928301469816,0.06647157068611177,-0.023560867285792715,0.062333917480815404,0.04868527490175594
CXCL8,-0.010913139280098075,-0.013214849572541779,0.052279983477609517,-0.01268987322744476,0.00038958758839094875,0.047716145977803145
GRN,0.08101311567641187,-0.03171932636531878,0.05505337572678875,0.03314454021598677,0.005476659940980789,0.028915577121026746
MIA,-0.030722142420157174,-0.016138752825448348,-0.031618609420461574,0.022306975122893563,0.1416879935349933,-0.04770829145989823
COL4A4,-0.027502271808841534,0.005278061902739429,,-0.013194439852349528,-0.026328258436901713,0.05853088276356955
TAC1,0.002501914391063545,5.874409499057403e-05,,,,-0.01623997466914249
RARRES2,-0.08782693465599518,-0.05378568354952827,0.03450230227581511,-0.029078051602705317,0.07401835896474174,0.06903662420527992
FGF7,,-0.019641184959421888,-0.0007592089318251907,0.03676556016761139,0.07655460777482093,0.044204741098535574
HBEGF,0.0673942719770779,0.02108775627663703,0.05587712006967578,0.037619628515295475,-0.01301824100308789,-0.020797510504232796
CSF3,,,0.010838302294170448,,,-0.013006363995479959
PI3,-0.024091378204609454,,,,,-0.01368400477059116
PCSK1N,-0.020203674661461776,-0.10294285722848835,-0.004819374885455788,0.08983478128122087,0.01353865505910802,0.0002051795465895625
NTS,,0.05087804949950673,,,,-0.01926065151367633
SFRP1,-0.01213158350031997,-0.019346023187507763,-0.03654508172314933,-0.09197254958987237,0.0959502922034239,-0.018813082768239633
CXCL13,,,0.028296686521925216,,,
MICA,0.04432920934575873,0.05354589241957128,-0.008050527917511116,0.013216043469620983,0.01836389588219879,0.10425813498895298
TG,-0.03606136472571471,-0.014000632827352448,-0.01773785308415307,-0.03497971685084313,-0.03390661866434383,0.043689340329060876
ADA,0.04579837599863296,-0.022738153643261753,0.0801162565783451,-0.02552077942847941,0.06574491962879682,0.027626979734184775
LAMC3,0.10710991042526634,0.03245814635502498,0.0717650927327606,-0.03824088650539024,0.07722774553631387,0.05515339694863375
CCL7,-0.014566100372224269,,,,,-0.013629408699397553
NGF,0.0305121226539355,,0.007404545141814423,0.019324261438232244,0.016130289622442878,0.021856096077172968
TNFSF15,,,-0.022305206781086002,0.05502121902824021,-0.008965377457744903,-0.01268555987049595
HMGB1,-0.03839228405769543,-0.023734814033472985,0.0823661407014821,-0.038491258650816575,0.003623802865283258,-0.07063373120467707
ITGB3BP,-0.010015862810839273,-0.011549187200154996,0.019809169343348466,0.1349575323646046,-0.00946798373489086,-0.004217173374503158
AANAT,-0.021133195562647488,-0.016138753723126984,,,-0.02168924677021809,-0.014420482779992904
RELN,-0.04562396967748299,0.04424636383588038,,-0.00690689869671327,,
IL15,0.06817606000359216,-0.00021526636376431604,0.05318594591484697,0.03597154777090639,-0.03666432709523222,0.13525260675689224
BSG,-0.029973939361800452,0.024597206378858344,0.007802538057857276,0.035229846640286354,-0.005335387274904275,0.024304341525493534
ADAMTS3,0.027515446205354885,0.03302381535205958,0.04850558318043379,,-0.02597066495048687,-0.010370585449790531
CD34,0.08247894561845814,0.028454318646075148,0.10248640194145173,0.00932651147075058,-0.015002091326408704,-0.0072755514378559484
PLAT,0.05070211069438636,-0.03902929609416903,0.055137826431085404,-0.042624092712626724,0.053937570608386665,0.004575512885036016
NTF3,,0.06216662810316363,0.026710313153723218,,,
LTA,,,,,,-0.01940779660295807
CKLF,0.04256969422225983,0.02428647372105314,0.026477452540574514,0.05344206341439679,0.08606437929409419,0.005576832451689781
APELA,,,0.025625666807554324,,,
CD24,-0.046469905990914294,0.06249785725192749,0.013553651333834986,-0.09873136100487039,0.05030428660101956,0.03873597206453039
HSP90AA1,-0.0018414785796777757,-0.06410858853150962,0.0054990558181328645,-0.041077778409734304,0.01584344746883191,-0.06501533967469608
BMP4,0.05833260931194034,0.0421751738547719,-0.02721260034752502,0.08873300304838226,0.18120331527620714,0.09028849422480431
SCGB3A1,-0.014566098915633693,-0.013613196613596147,-0.038330604882640285,0.029799587142019232,,0.001465895038654493
IGFBP4,0.12547995782334984,-0.007349652429749164,0.0999242814852406,0.03716716795661937,-0.053328242875164356,0.02807984646606509
RSPO4,,0.007152392882198569,,-0.05189822089875032,,-0.02559685217054616
LEFTY2,0.0804304126074609,-0.014927034396444116,-0.025220271142718086,,-0.027717019212298605,-0.0051687487265589405
PF4,-0.0151099894240795,,,,,-0.01940779211184998
ANGPTL2,0.10007932318391427,0.06976848640680339,-0.07730023684376197,0.0007448402091615082,-0.012591445563971012,0.03400329885152033
LRIG2,-0.05569579571238621,-0.03144784317894415,-0.04694583071538407,0.08556152382350504,0.12607606465832794,0.016813100392666976
ICOSLG,0.054113856360985285,0.0414936816947934,0.019301607884340957,0.020387710744953758,0.06490990753432445,0.029619811535038714
WIF1,-0.0013466715340685145,-0.025617213731821915,,,,
NPPC,-0.020546255603481344,-0.003340157030848016,,-0.06395878796746152,-0.025970615072269672,
LYZ,0.0582089436563991,0.06528690568003644,0.051478948498222384,0.008710565393060348,0.00014013431120593484,0.07478294465715674
EREG,,,0.02517956150113567,,,0.015109703789220443
SPTAN1,-0.015767554881348938,0.02076426645831533,0.1042807849968554,0.021758355273391563,0.10450641113651724,-0.020565368733100827
LIPC,0.10787179416988794,,-0.02646405522979052,0.029698070030179265,0.028671288575184545,0.23674268876513666
COL8A1,0.04723927119245182,0.03209853677217827,-0.0509796932830892,0.03133952808542138,0.007446992817053697,0.030656868634679417
GSTM2,0.03519016776842246,-0.018872581128724066,0.0288623825751311,-0.04005798925977132,0.1859404252850773,-0.0427565817350182
SPX,-0.01802056606307412,0.0012198143521448515,,,0.09825640742163497,-0.012155519518826529
MFGE8,0.06025328436088276,0.03611410352286863,0.00722842636985677,0.012417860878852386,-0.0707529935362091,0.030234446777844717
TGFA,-0.005854902432292262,-0.03888266359977576,-0.01015222874227813,0.027824343483930456,0.012804628090586792,0.055220545270988096
SLIT2,0.04226339690573551,-0.03395935336211688,0.033238505074782675,0.0684328909995144,-0.029370468874922482,0.047962061283817636
PLTP,0.005711867782508958,0.015826416110107402,0.019663657442674915,-0.0569449055440549,0.05553030845594918,-0.0008891565048222395
APOD,-0.032201791417745144,-0.023545785891440504,0.11636314254330943,0.03686842096490125,-0.07317323278690938,-0.005918931730853741
B2M,0.041771572859507174,0.08903681772729494,0.11502858589943488,0.03263688395743621,-0.031239224545759902,0.009955011860024123
OMG,-0.07449308644634187,-0.05302695312936101,-0.018676920459317993,0.07270881488594187,-0.0580158937078008,-0.01659654594163574
CXCL3,-0.02802473520419708,-0.014563240733932541,0.09993604381750056,,,-0.006986449555336079
CXCL10,-0.02389983293222126,-0.022122628583201104,-0.009659666132647949,-0.05357980074024971,-0.014789719676210343,0.04147311054729416
RSPO3,0.117545992783121,0.030341107021998708,,,,-0.013831184729060227
CORT,0.01375900156421869,0.028718120499466912,,,,
NCAN,-0.002239902999015928,0.023127710170423657,,0.09125352037325572,0.0011474034174111798,-0.033964406451480085
PRG4,-0.021905675395776144,,,,,0.039057662996224846
ZG16B,0.0133583724681915,,-0.008262207894797424,,0.03430203017340275,-0.017245998846680818
TGM2,0.05830146430416673,-0.021897779850172296,-0.0321844501007336,-0.04007803966863457,-0.016602396610608014,0.05354546724283397
VEGFC,0.03434301344268383,0.03299806497924946,0.05387679895909061,-0.022772553382265078,0.130816939768145,0.029894473980900334
WNT6,0.04998017690590664,,0.0279587853577876,,-0.022929735996475808,0.06041387524339449
NRG4,-0.013415889822702493,0.03733828500187342,,-0.05325378162949239,,-0.013831186279206046
PMCH,0.006674872767823268,,,,,0.06777932142107476
COL9A1,0.0472377740918915,0.07368882119825103,,-0.09469842289660928,0.06197678583793244,-0.0023827333386026786
GDF11,0.012598687536092678,0.043833600855068246,0.03556765685652182,0.04126974607862045,0.06880713878011926,0.012109067679498155
RAET1E,,,,,,0.01208537816604962
IL24,,,-0.020980022541624767,,,
SORBS1,0.04406652909120213,0.012854115366419835,0.00920060914622599,0.023469146649298295,0.08843841154528924,-0.06807667859209435
DLL1,0.06319690938028408,0.005461295528096718,0.02315386602616765,0.057847925008593995,-0.00625420462088527,0.007026832914641956
TLN1,0.07033433711347178,0.02742876445305749,0.05231742440507643,0.02168298386829778,0.019768428681613867,0.03557162865757047
COL2A1,0.03733315434260998,,,,,0.06329073372863807
SHH,,-0.01563037752278157,,,,0.01587575050435336
PON2,-0.0016134914010170669,0.040034026221371644,0.09336839156489896,0.08153066677238681,0.09027856349689804,-0.009923353208142612
ICAM5,-0.0037368524725029492,0.0059937607812994885,-0.019860169124262635,,,0.10176962546591288
HPX,0.028119703678789305,-0.013613195225763536,0.0722341290812764,-0.027567849449329995,0.04905801384208078,0.009011131906307375
SFRP2,-0.01936566732611511,0.011554853412050465,-0.020705429071784676,,-0.006833579688768083,0.034373706994291896
CD70,-0.013968134815494145,,0.0762974236687617,-0.05779581454174356,,-0.021101973774077656
HP,-0.0255577774792612,0.06294941429319122,,-0.04194636173477503,-0.02721064374114194,-0.02068994189753899
CXCL2,0.011067105075448471,-0.0189190076065703,0.14671718116705557,-0.03325357919425056,,-0.023275731431044683
NPPB,0.07283743807962977,,,,,0.1596801861725517
CCK,-0.037751521999731155,-0.07770489571027063,,,-0.030009344962890084,-0.018200954460933432
SEMA6A,-0.04396336564463007,0.058965724133254675,0.022543677722000784,-0.056923551511766916,0.09480060540161803,-0.0440539512743186
IRAK4,0.0725365766430705,-0.010639049029761805,0.0013785279680465982,0.02387328217972607,0.08522776702775423,0.02091095819143551
GSTP1,-0.026304702868160907,-0.00016673160795092855,0.06540341295005733,-0.018113351637286803,-0.03580781927379773,0.01538422431402269
VCAM1,-0.02582716427487825,0.018902312074965306,0.025297860591541852,-0.04906619952675244,0.09368525767192613,0.06843603049400779
NXPH3,0.02975544023153507,0.04206111703586182,-0.03959002768922169,-0.035947726455093004,0.06781038800523696,0.02124253638168801
MTMR4,-0.014823242090557782,0.013496576171428068,0.0026463078516655238,-0.07717058024193148,0.03722880404169256,0.011387018690413047
LAMC2,-0.014749501822430698,,0.019761092920866676,-0.05325381355538968,,0.06980804470695205
IL10,0.013608587166588823,,0.1035347319082395,-0.0022223688451743083,0.05007574985911988,0.07500425554815486
SEMA4D,0.04023809292359298,0.0286388364321316,-0.044541351798179536,-0.027573918505831137,-0.08138992248636588,0.06549339322919757
TRH,-0.041563461326063735,,,,,-0.01571476275551483
