,UKF248,UKF255,UKF260,UKF266,UKF275,UKF296,ZH1019inf,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,,,,,,0.03594546271579496
BMP1,0.05021488036781102,0.04614454552612072,0.030171887223634213,0.14144682888174887,-0.0336384380958282,-0.004976185656050083,0.031801533302838574,-0.013690769702718241,0.03821281831896399,0.010204404393713803
NDP,0.05372180405614206,0.06486450896231145,0.007249087352148557,0.014139439866567011,0.04170641148942909,0.06668344033815667,0.0978133587207858,0.007650276154765165,0.04908439358644379,0.09041507848685036
TNFSF18,-0.011934830640019196,,,-0.01626493579193979,0.021942665941390715,,,,,-0.045792568080796195
RTN4,0.07887121129884643,0.033249882004568194,0.038462639088204055,-0.11370893122348197,-0.047635851167860815,-0.0017719146128326322,-0.11646488419362809,0.014440480018196242,0.005990833040583309,-0.05208118955475812
HEBP1,-0.012447015207130065,0.028797031541321096,0.0566770989373345,0.04116473798406804,0.006399596228914881,0.024978890959893037,0.025915323274790878,0.013931508837790003,-0.006843574523634382,0.10189037706025161
WNT7B,-0.058628727965416114,0.06920240844711746,0.08430593988820773,0.04962607360008242,-0.04053238007041163,-0.014901628585780808,-0.03675146899201373,-0.02676101608512559,0.0007381026936747985,-0.012928595655158106
PTMA,0.023755567383927794,0.0421098469805783,-0.025198421765709352,0.1622961216623551,0.0385769942606091,-0.0194320083895565,-0.14031483851003937,0.011622189990093472,-0.033888001463860486,-0.09993368266505512
FASLG,,,,,,,,,,-0.023544806196430977
CEACAM1,0.058324468981077626,,0.005280894426897874,,-0.0201256538815371,,0.05386323887625819,-0.021930868025300476,-0.018228276192437977,0.09766247083618065
PDAP1,0.06160555701835745,0.019827242752278318,0.037749876203646816,0.036055169356454315,0.025990163839554208,0.013065032314596669,0.047666893563410924,0.0024829693655266335,0.05601031106937504,0.028524238034172724
QDPR,-0.028336755140092346,-0.00034930696936434386,0.10468379987419715,-0.10261620383836534,-0.02629947146166044,0.0015412267686170605,-0.10256001640584674,0.021541646700820625,0.03615085992493646,0.08651879399431339
POMC,0.01382374212938238,,0.12280355672492445,0.008744195144836696,-0.02493095702145384,-0.011437126376193325,0.038647541536172114,0.043512677733172626,0.02126929218247759,0.0675131602502722
CCL18,-0.03489975362023042,,,,,,-0.06005983201770178,0.0010601884129897423,-0.024136612260667885,
CCL17,,,,,0.08023989203267878,-0.018444038846084195,,-0.03165858480200064,,0.07643514861004995
VEGFD,-0.014496767097408483,,-0.01451709649502672,,0.012937155727840507,-0.013528925545213255,,-0.021930868025300476,,
TNFSF13,-0.0005204761329490742,,,-0.015773594661173014,,,,-0.021846626031865546,-0.020469132458824167,0.051148302365346794
WNT5A,-0.007968865045296956,0.059134149961696254,0.07675590156800945,0.14870501633853417,0.02192748784277264,-0.012594514672115715,0.0484018664657599,0.01997791700125254,-0.03098725819896284,-0.0004289425595434328
CXCL8,-0.03372876085859188,-0.07640563391398741,-0.08201747316912085,-0.022436915343488215,0.030495642358066868,-0.012598723724942062,-0.03767429169881102,-0.011795675300825448,-0.05378418029700274,-0.024567693843898054
GRN,0.10384362280960047,0.12248502156423935,0.0020035040937882655,0.1028160394724881,0.010097006444490153,0.013740598093599041,0.011053241185787356,0.048247867283266105,-0.012423927151685586,-0.06710693614713614
MIA,0.009391322101501001,0.0016753473009876324,-0.05426457452743985,0.10155061187728062,0.04090943017446815,-0.015386303642489609,0.00830581516665847,0.02697572683687548,-0.03240694413143816,0.16215914178902968
COL4A4,-0.033441834706918916,0.03834493137511239,0.0917994052981175,0.009149028244576392,0.0016483331358607284,0.062381762416972714,-0.006040781101000663,0.04621812126232005,0.02607829812857307,-0.0206518847532595
TAC1,-0.020068644178456937,0.08128801569357756,0.04712214137178953,-0.11347762265727816,-0.04054401593615342,0.009647673192573656,,,-0.008353152895411104,0.0008556072898100495
RARRES2,-0.0032613745225455217,0.02244949432280152,-0.09100976915653722,0.07080935557390858,0.035927164697660115,0.014955010685764509,-0.007913047627408786,0.01784004250268419,-0.08725958494791143,0.0014125190281001616
FGF7,,-0.0152336073767808,-0.013853114099625297,0.17603456070202647,-0.018933576804264562,0.07511688363377243,0.01466194172597706,-0.014759950271311184,-0.020603439138658617,0.0188368490908364
EFNA2,,,,,,,,-0.0010063741683040955,,
HBEGF,-0.0031681993995238086,0.04864807674713319,-0.11007959719223137,0.08006256603697581,0.05306626816074625,-0.026164079956508216,0.06412092103708576,0.045535186361380424,-0.03634419454856973,-0.07284395044583002
CSF3,,-0.024416538272923727,-0.07331609766428307,,,,,-0.012964590598792338,-0.026132723880069143,0.014854799341212725
PI3,-0.03671601224331626,-0.0373582231284965,-0.06225275273240513,,,,,-0.002199758748885195,-0.07645659908314129,-0.04881656078042508
PCSK1N,0.049889253437599534,0.04283138011077967,0.06763558374225266,-0.00812609746785336,0.032152297125771626,-0.05709497376996777,-0.008421034353479268,0.03278599234025752,-0.05259575613959634,0.08485712604814616
NTS,,,0.017599993143567565,-0.01832120965780866,0.11347645779217656,0.020712190838393582,,-0.0253942421711219,0.046447592387615505,0.1350120633158551
SFRP1,0.058025981403466036,,-0.03195615955291135,0.14983144717563115,0.019021857579819397,-0.018444039031830818,-0.013828811140208773,0.022046902422045343,0.08454728827447618,-0.007421457886622282
CXCL13,,-0.017729295819127966,0.03657492354364051,,,,,-0.019039844294816775,-0.042627910760288074,
MICA,-0.03758116917177368,0.023404687585481733,-0.036499893622803634,0.031298546877619675,0.07529090953517598,-0.047496346369446094,0.05186324882512282,0.04869583185401867,0.014321539425699335,0.04983855021932833
TG,-0.008001789211516942,,0.05962982160533528,-0.02114750565918877,-0.028840120940011208,-0.013347870817438342,0.007702540287394718,0.009812401417322472,0.04596008473460939,0.00671520986595283
ADA,0.035715854319682196,-0.048176608244777305,-0.02658741599460961,0.13226852221636354,-0.03698777481677057,-0.02167801564400547,-0.022820557479977892,-0.038952594859090375,0.04647090823065274,0.006794893133856394
LAMC3,0.06358558749350804,0.1708949609947387,-0.00453348154936751,0.08109430791951132,0.03957303197262416,-0.03759265388123184,0.033003580522799454,0.015003405993061244,-0.0013745010698747217,-0.031511382270503714
CCL7,0.008786796424877893,,-0.02867838027675253,,,,,,,-0.006037500093820836
