,UKF248,UKF259,UKF313,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.030839823674605953,
BMP1,0.12347771404872963,0.0026115301394495595,-0.037909461548573054,0.009298598761481567,-0.017123153953501773,0.08691457071964924,0.025477258042210925,0.1127065545072801,0.04351289376884226
NDP,0.06633109689906788,-0.0372216676415006,-0.011706448984728628,0.030392164469886702,0.02667182611389658,0.04520246033876438,0.00970903848776951,0.042565057436770186,-4.650750640137652e-05
TNFSF18,0.016236584181188216,,,0.22141010887726156,,,,0.0014509500485593283,0.05944702365373186
RTN4,-0.017796749689137296,-0.006188071546667896,0.027659107233992536,-0.04386411058635484,-0.13138116766970298,-0.10230756274984848,-0.0081665339891166,0.06780649554528248,0.009448480698477212
HEBP1,0.009511234531955107,-0.07112499707467154,-0.011848414374324562,0.00972834862440494,-0.055698032319495,0.025256313855858397,0.061811991795242854,-0.024984739640117645,0.01647172711825698
WNT7B,0.0005878771231726962,0.020110634869191506,0.00587540675384526,-0.009285665535242797,0.014670416273145779,0.04510486352309875,0.07398212656779068,0.03772514138814534,-0.02531537003346791
PTMA,0.039133066681155855,-0.028461844968298917,0.02225812832235257,0.05541029052511987,0.04009735763593249,-0.021717431328958623,0.020764495400502625,0.04041436058477059,0.001824380161252729
FASLG,,,,,,,,0.041630011737126035,
CEACAM1,-0.013565747762284709,-0.03069861868879308,,,-0.04108334761911258,-0.029190092059051414,-0.01973868012848168,-0.010277651058263363,
PDAP1,0.006354877495397742,-0.09534991698995246,-0.02652294245874113,0.04820992245377713,0.04430424108311655,-0.0019170813635484617,-0.0780713390669567,0.007977537138161,0.035769437806201565
QDPR,-0.038331054414181435,-0.018481002615303006,-0.013844466760750672,-0.009522481727928163,0.013273236679759154,0.0074903314664693564,0.09539659627507215,0.020780191001929182,-0.02414016641391281
POMC,0.06718943121719094,0.006366700595937213,-0.04142114555639134,0.12205716565075675,-0.057825533016117245,0.014460743945182266,-0.04624068017673062,0.06533986231357285,0.11998999920580236
CCL18,-0.03317333376793653,,-0.06434653386523449,,0.028748625553310248,0.01781884867179541,-0.00890767028184986,,
CCL17,,0.031869763715079116,,,,0.2140365255646849,-0.028494023948627566,0.05037047142510698,
VEGFD,-0.022792006055226077,0.05487805711200427,-0.027985800323628702,,-0.01137939637586147,,-0.01973868012848168,,
TNFSF13,0.002732110041177923,-0.01535873310267193,,,,-0.039737378862786485,-0.030972029852472993,-0.015226716521285,0.11523099940467069
