,MGH258,UKF248,UKF259,UKF260,UKF275,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.05004997397071455,
BMP1,0.017808081996146297,0.14457715033020374,0.00256512338517504,0.006153862293055974,0.02867381991040179,-0.014025985958031048,0.1677949267467872,0.11266358764874128
NDP,0.0342160850489924,0.007963628204145944,0.013680388612038023,-0.03453841141577769,0.01907448494488061,0.025453490410149597,-0.0022765189747515875,0.038810048450534124
TNFSF18,0.0034423703900816854,0.04817153351290936,,,-0.011674763324373984,,0.054076727196606306,0.023228581476062066
RTN4,-0.04624029768266442,0.025155623497254337,-0.017659085869054094,-0.04391808404682659,0.0039481742384303384,0.02183692760849767,-0.05550800192531472,0.0052908205087763265
HEBP1,-0.013212803679488376,0.05925582544219899,-0.004444117859436099,0.05304947533176844,0.027881687986059583,-0.020224756615951217,0.0346814494275253,0.05994225456512286
WNT7B,-0.02611143476435013,0.04041157736819113,0.024979258540642747,-0.014122916362226137,0.020261657056561112,-0.020069964853893656,0.0461483403457376,-0.04434154736615013
PTMA,-0.129139814964386,0.03657639535660231,0.011653575495399138,0.004530416776180635,-0.029185451938431677,0.0051427171220781425,0.08586740144453903,-0.0007584177569492527
FASLG,0.03022791785278528,,,,,,-0.043408325350005376,
CEACAM1,0.04572887973186046,0.05473956490733962,-0.027388827874929328,-0.019925276618304753,-0.01836162138323759,-0.013320727565086038,0.07449706844220273,
PDAP1,0.055191372847701856,-0.0012688881627368393,-0.026849641621812286,0.02687835759464979,-0.003814459178281062,-0.0330440591465987,-0.017254880983163395,-0.034869602624121455
QDPR,-0.0261337585676803,-0.054968625264582835,-0.054419687728649746,-0.042666871807291555,0.017846300073124925,0.019446148586693496,-0.01339035883131747,0.04861707249101279
POMC,-0.02076265957678245,0.022114673339444158,-0.025505587778387327,-0.03026158540875381,-0.013546472143066925,0.06709682277160942,0.07997203100104498,0.09706034785716608
CCL18,,-0.04514554919226664,,,,-0.03768558182025818,,
CCL17,,,0.05736146364094332,,0.024375147103295115,,-0.03934477132321852,
