,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF269,UKF296,UKF313,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.01799030047755423,,,,,,,,-0.016603065773361837,,0.12291268492096541,
BMP1,0.03554534635837818,-0.002895816311432928,0.08517151970363014,-0.016767102928623625,-0.060408679592604486,0.0462566398352993,0.11443816909246556,-0.0026752515034556483,0.09995843674929164,-0.01630498263793766,-0.048963537397858886,0.06851417635084041,0.05620274721907625,0.0211837305856876,0.04120506053368884,-0.01697376987408657,0.02557840984255004,0.03190306825094319
NDP,-0.007224481837014213,0.020931706469905196,0.022990918564878057,-0.021312314060583138,0.025050607976581596,-0.01540957617699423,0.037954219531981116,-0.0026910418031005114,0.04058599846014672,-0.0027939546966851314,-0.16331233251809213,-0.04409644329974199,0.042479522317321015,0.02694880806725903,0.0104623342263138,0.015590085877063179,0.029714792195302174,0.06324426561543142
TNFSF18,0.0051651505766246554,-0.03101891521794896,0.0534408751256126,-0.027734216443155837,,,0.08792920711086909,,,0.14162698300135174,,-0.06684603741642237,,,0.011999512811946228,,-0.01747092786178384,0.05296863909015993
RTN4,-0.04392838516381199,-0.0549428463350118,0.025927383271871444,-0.006601484611851752,-0.023785656349548767,0.01921155161999286,-0.14015387639263566,-0.06791016999520211,-0.07521655033765628,-0.09159472618527209,0.01949959263134021,0.06833405213954379,-0.050941804223949054,-0.034453517164158724,0.056384237412437394,0.048974262086991745,-0.0013954651397172885,-0.028981633680060234
HEBP1,0.0871552672848353,0.033122280246142485,0.06419299629958686,0.05983618887288634,0.018076223378625224,0.08568699203238181,0.014560066324973132,0.017730908565903786,0.01667873764960163,0.03755185891702082,0.10347966313683547,0.005331198077527368,-0.04292012390544995,0.016223210825300243,-0.0003808201227639435,0.042243128806286424,0.022770474240678823,-0.026852744292421907
WNT7B,-0.016882186914270975,-0.0468426823175197,-0.059934430219040886,-0.017227635528266325,-0.02495040085018759,0.06094066221578795,-0.0230253969032096,-0.012770483223352763,-0.014374264414049653,0.02326943058236269,-0.014938730664005997,,-0.016490123336697683,0.015172325827875366,0.0364168083552886,-0.02390731598820548,-0.022523556475141458,0.05399258438690293
PTMA,-0.015794172851588163,-0.019237090537543376,-0.021598865491045564,0.04072538019726223,0.05757067050655858,-0.0002183450361479954,-0.030701706955776783,0.03147111806256678,0.15023749988033638,-0.003287782245137725,-0.0903752262444875,-0.0873718180201558,-0.11763933136577483,-0.07910153379339334,0.030783014701030936,-0.005419059880865686,-0.02190809268958491,-0.06530188695882312
FASLG,0.0007119000271507327,,,,,,,,,,,,,,,,0.06392219746682477,
CEACAM1,-0.021170502631848952,,-0.007139348508009423,-0.013221174095439842,0.014320800678777447,0.02170596634269302,0.07419789114229182,,,,-0.04070715605301644,-0.00015658660352810424,0.04264450605566813,-0.022409296896811124,-0.0030118596971405926,-0.015867633322214206,-0.027621143963236054,
PDAP1,-0.005285614481155362,-0.008539272333835692,-0.009496380791972106,0.0039168520019080616,-0.03957749547179922,-0.07761674158585391,0.07632252240427077,0.06754713834927036,0.13306593418689502,0.11475724507014509,-0.003347615778786082,0.060449614262648506,-0.01852270826683464,-0.05548430119374329,-0.06692485547105295,0.009286391188799271,0.04162432759945528,-0.015179685938846747
QDPR,-0.026234098445580417,0.004216245884865611,-0.040152249404086515,0.04703605625225617,0.013575842764621374,0.018674726955038363,-0.11464794276262477,-0.002276002664541947,0.06632109230103482,0.10823617835769979,-0.013254646997054456,0.021963836525929103,-0.05374683404413652,0.050508651382304995,0.010645388784338851,-0.021790434294279112,0.04105540477314808,-0.013989672871344202
POMC,0.02199381113383897,0.008373957240287094,0.002475124416471945,0.03050195210614533,-0.004021478043782393,-0.03635469187283314,-0.028394955018558213,-0.026149161886562355,0.02332808677384076,0.06741698926142756,-0.022491318736013285,0.05492919300768408,0.015561758895912405,0.0506311849961584,-0.053211634927887184,0.07945648135981749,-0.01194447159465455,-0.02171757213888588
CCL18,,0.061421375664695105,0.008979420742861224,,,,,,0.13056139014702728,,-0.054860436157080986,,-0.0399214821340456,0.0795261549018441,,-0.04777528178261035,,
CCL17,,,,,-0.01669895680813275,,,-0.015806278307025943,,,,,,-0.03234922691351997,-0.021890183145766066,,0.14437692004708438,
VEGFD,,-0.007109901611365673,-0.018377468741272423,-0.018936679335939496,-0.01860448194539237,0.0659173898572418,-0.01674596435324416,-0.011594096290253346,-0.019673404376399403,,-0.05120416145966848,-0.03256804584804137,,-0.022409296896811124,-0.023087386828666782,,,
TNFSF13,,,-0.004759835878082169,,-0.011518566672560836,,,,,,,,,0.16885610951065502,-0.023474390517263518,-0.017818288731832856,0.058468301985882064,0.11099022426053543
WNT5A,-0.005035378843568968,-0.0662814245341427,0.0822233553400604,-0.00941341284744858,0.007555415796245402,0.07083582837683829,0.07982772724801125,0.03517360373768517,0.032108254817394134,0.040895815376912774,-0.0035163929443837675,-0.027149358728584278,0.04883116057969273,-0.03399477842726717,0.07373054750021792,0.07321303653785514,-0.04230322198720965,0.0038587480678434734
CXCL8,,-0.02603304347567017,0.040253395253461034,-0.017731184117393724,0.07159341543002987,-0.05907651588701471,0.0707621947565784,-0.010796926593550492,0.04473226879377317,,0.06681380659390287,-0.008763699021572521,0.034347283336515155,-0.11666520098522529,0.03490082873219524,-0.03286992593796208,-0.006004346286994844,-0.006666541929213244
